"X.treeName","Method","NumericalLogZ","logZ"
"sim-1121221206.msf.Rep0","Adaptive",0,-28292.7797018133
"sim-1121221206.msf.Rep0","Deterministic",0,-28285.7119867379
"sim-1121221206.msf.Rep1","Adaptive",0,-28293.6988963422
"sim-1121221206.msf.Rep1","Deterministic",0,-28291.2294269595
"sim-1121221206.msf.Rep2","Adaptive",0,-28298.0283055223
"sim-1121221206.msf.Rep2","Deterministic",0,-28294.8313867829
"sim-1121221206.msf.Rep3","Adaptive",0,-28289.9247040119
"sim-1121221206.msf.Rep3","Deterministic",0,-28297.7729126799
"sim-1121221206.msf.Rep4","Adaptive",0,-28291.5168012028
"sim-1121221206.msf.Rep4","Deterministic",0,-28298.8488021306
"sim-1121221206.msf.Rep0","Adaptive",0,-28295.0866241527
"sim-1121221206.msf.Rep0","Deterministic",0,-28295.3653522092
"sim-1121221206.msf.Rep1","Adaptive",0,-28304.9802137235
"sim-1121221206.msf.Rep1","Deterministic",0,-28293.2774436198
"sim-1121221206.msf.Rep2","Adaptive",0,-28295.2823673379
"sim-1121221206.msf.Rep2","Deterministic",0,-28294.5251496999
"sim-1121221206.msf.Rep3","Adaptive",0,-28289.7489696602
"sim-1121221206.msf.Rep3","Deterministic",0,-28298.6387655262
"sim-1121221206.msf.Rep4","Adaptive",0,-28296.2149304286
"sim-1121221206.msf.Rep4","Deterministic",0,-28317.6508456807
"sim-1121221206.msf.Rep5","Adaptive",0,-28294.1159601666
"sim-1121221206.msf.Rep5","Deterministic",0,-28289.1738782789
"sim-1121221206.msf.Rep6","Adaptive",0,-28297.8922995015
"sim-1121221206.msf.Rep6","Deterministic",0,-28283.1702788016
"sim-1121221206.msf.Rep7","Adaptive",0,-28295.4825781322
"sim-1121221206.msf.Rep7","Deterministic",0,-28294.5109755528
"sim-1121221206.msf.Rep8","Adaptive",0,-28286.2951832081
"sim-1121221206.msf.Rep8","Deterministic",0,-28299.1116937636
"sim-1121221206.msf.Rep9","Adaptive",0,-28296.828582873
"sim-1121221206.msf.Rep9","Deterministic",0,-28292.3670368758
"sim-1121221206.msf.Rep0","Adaptive",0,-28294.2568598543
"sim-1121221206.msf.Rep0","Deterministic",0,-28292.4940367655
"sim-1121221206.msf.Rep1","Adaptive",0,-28293.4511537172
"sim-1121221206.msf.Rep1","Deterministic",0,-28305.2313142317
"sim-1121221206.msf.Rep2","Adaptive",0,-28297.81943035
"sim-1121221206.msf.Rep2","Deterministic",0,-28294.8425035029
"sim-1121221206.msf.Rep3","Adaptive",0,-28298.159494352
"sim-1121221206.msf.Rep3","Deterministic",0,-28295.1137872739
"sim-1121221206.msf.Rep0","Adaptive",0,-28302.2568151252
"sim-1121221206.msf.Rep0","Deterministic",0,-28284.3959640467
