#Method,Adaptive,AdaptiveType,T,IterScale,Repeat,Metric,Value,TreeName,Time
ANNEALING,true,0,10836,200.0,0,ConsensusLogLL,-653.6020083008762,sim-1983759278.msf,249783
ANNEALING,true,0,10836,200.0,0,BestSampledLogLL,-654.9092149502819,sim-1983759278.msf,249783
ANNEALING,true,0,10836,200.0,0,PartitionMetric,0.0,sim-1983759278.msf,249783
ANNEALING,true,0,10836,200.0,0,RobinsonFouldsMetric,0.49337776179592013,sim-1983759278.msf,249783
ANNEALING,true,0,10836,200.0,0,KuhnerFelsenstein,0.02435995907900441,sim-1983759278.msf,249783
ANNEALING,false,0,10836,200.0,0,ConsensusLogLL,-653.3417453754919,sim-1983759278.msf,246002
ANNEALING,false,0,10836,200.0,0,BestSampledLogLL,-655.4579396755919,sim-1983759278.msf,246002
ANNEALING,false,0,10836,200.0,0,PartitionMetric,0.0,sim-1983759278.msf,246002
ANNEALING,false,0,10836,200.0,0,RobinsonFouldsMetric,0.4398708476385135,sim-1983759278.msf,246002
ANNEALING,false,0,10836,200.0,0,KuhnerFelsenstein,0.019524823576583358,sim-1983759278.msf,246002
ANNEALING,true,0,10875,200.0,1,ConsensusLogLL,-653.501272795326,sim-1983759278.msf,252866
ANNEALING,true,0,10875,200.0,1,BestSampledLogLL,-656.4482420141717,sim-1983759278.msf,252866
ANNEALING,true,0,10875,200.0,1,PartitionMetric,0.0,sim-1983759278.msf,252866
ANNEALING,true,0,10875,200.0,1,RobinsonFouldsMetric,0.4460647213203869,sim-1983759278.msf,252866
ANNEALING,true,0,10875,200.0,1,KuhnerFelsenstein,0.020387548443091864,sim-1983759278.msf,252866
ANNEALING,false,0,10875,200.0,1,ConsensusLogLL,-653.1624304866054,sim-1983759278.msf,246349
ANNEALING,false,0,10875,200.0,1,BestSampledLogLL,-655.892298397413,sim-1983759278.msf,246349
ANNEALING,false,0,10875,200.0,1,PartitionMetric,0.0,sim-1983759278.msf,246349
ANNEALING,false,0,10875,200.0,1,RobinsonFouldsMetric,0.4464278071629805,sim-1983759278.msf,246349
ANNEALING,false,0,10875,200.0,1,KuhnerFelsenstein,0.020739813085519688,sim-1983759278.msf,246349
ANNEALING,true,0,10829,200.0,2,ConsensusLogLL,-653.3871077249339,sim-1983759278.msf,252369
ANNEALING,true,0,10829,200.0,2,BestSampledLogLL,-655.1541176694486,sim-1983759278.msf,252369
ANNEALING,true,0,10829,200.0,2,PartitionMetric,0.0,sim-1983759278.msf,252369
ANNEALING,true,0,10829,200.0,2,RobinsonFouldsMetric,0.46762776179592014,sim-1983759278.msf,252369
ANNEALING,true,0,10829,200.0,2,KuhnerFelsenstein,0.021208833323136396,sim-1983759278.msf,252369
ANNEALING,false,0,10829,200.0,2,ConsensusLogLL,-653.1988566314501,sim-1983759278.msf,245282
ANNEALING,false,0,10829,200.0,2,BestSampledLogLL,-655.3030571400482,sim-1983759278.msf,245282
ANNEALING,false,0,10829,200.0,2,PartitionMetric,0.0,sim-1983759278.msf,245282
ANNEALING,false,0,10829,200.0,2,RobinsonFouldsMetric,0.45085472132038695,sim-1983759278.msf,245282
ANNEALING,false,0,10829,200.0,2,KuhnerFelsenstein,0.02110163196224762,sim-1983759278.msf,245282
ANNEALING,true,0,10935,200.0,3,ConsensusLogLL,-653.488069805393,sim-1983759278.msf,254494
ANNEALING,true,0,10935,200.0,3,BestSampledLogLL,-655.1511310646017,sim-1983759278.msf,254494
ANNEALING,true,0,10935,200.0,3,PartitionMetric,0.0,sim-1983759278.msf,254494
ANNEALING,true,0,10935,200.0,3,RobinsonFouldsMetric,0.4590108476385135,sim-1983759278.msf,254494
ANNEALING,true,0,10935,200.0,3,KuhnerFelsenstein,0.020931235603811753,sim-1983759278.msf,254494
ANNEALING,false,0,10935,200.0,3,ConsensusLogLL,-653.3814594998332,sim-1983759278.msf,247117
ANNEALING,false,0,10935,200.0,3,BestSampledLogLL,-655.9409814482638,sim-1983759278.msf,247117
ANNEALING,false,0,10935,200.0,3,PartitionMetric,0.0,sim-1983759278.msf,247117
ANNEALING,false,0,10935,200.0,3,RobinsonFouldsMetric,0.4456008476385135,sim-1983759278.msf,247117
ANNEALING,false,0,10935,200.0,3,KuhnerFelsenstein,0.020012112408236204,sim-1983759278.msf,247117
ANNEALING,true,0,10915,200.0,4,ConsensusLogLL,-653.27338148065,sim-1983759278.msf,254396
ANNEALING,true,0,10915,200.0,4,BestSampledLogLL,-656.001599754879,sim-1983759278.msf,254396
ANNEALING,true,0,10915,200.0,4,PartitionMetric,0.0,sim-1983759278.msf,254396
ANNEALING,true,0,10915,200.0,4,RobinsonFouldsMetric,0.49686084763851346,sim-1983759278.msf,254396
ANNEALING,true,0,10915,200.0,4,KuhnerFelsenstein,0.023405517903777477,sim-1983759278.msf,254396
ANNEALING,false,0,10915,200.0,4,ConsensusLogLL,-653.5424189228361,sim-1983759278.msf,246709
ANNEALING,false,0,10915,200.0,4,BestSampledLogLL,-655.820892708032,sim-1983759278.msf,246709
ANNEALING,false,0,10915,200.0,4,PartitionMetric,0.0,sim-1983759278.msf,246709
ANNEALING,false,0,10915,200.0,4,RobinsonFouldsMetric,0.4749108476385135,sim-1983759278.msf,246709
ANNEALING,false,0,10915,200.0,4,KuhnerFelsenstein,0.021358024443352313,sim-1983759278.msf,246709
ANNEALING,true,0,10865,200.0,5,ConsensusLogLL,-653.3626950651696,sim-1983759278.msf,253553
ANNEALING,true,0,10865,200.0,5,BestSampledLogLL,-654.5845595903609,sim-1983759278.msf,253553
ANNEALING,true,0,10865,200.0,5,PartitionMetric,0.0,sim-1983759278.msf,253553
ANNEALING,true,0,10865,200.0,5,RobinsonFouldsMetric,0.44346084763851357,sim-1983759278.msf,253553
ANNEALING,true,0,10865,200.0,5,KuhnerFelsenstein,0.01934533007528241,sim-1983759278.msf,253553
ANNEALING,false,0,10865,200.0,5,ConsensusLogLL,-653.3733983963384,sim-1983759278.msf,245940
ANNEALING,false,0,10865,200.0,5,BestSampledLogLL,-655.9934773258717,sim-1983759278.msf,245940
ANNEALING,false,0,10865,200.0,5,PartitionMetric,0.0,sim-1983759278.msf,245940
ANNEALING,false,0,10865,200.0,5,RobinsonFouldsMetric,0.4661478071629803,sim-1983759278.msf,245940
ANNEALING,false,0,10865,200.0,5,KuhnerFelsenstein,0.022174612951180568,sim-1983759278.msf,245940
ANNEALING,true,0,10829,200.0,6,ConsensusLogLL,-653.2244536467583,sim-1983759278.msf,254557
ANNEALING,true,0,10829,200.0,6,BestSampledLogLL,-655.9814275658289,sim-1983759278.msf,254557
ANNEALING,true,0,10829,200.0,6,PartitionMetric,0.0,sim-1983759278.msf,254557
ANNEALING,true,0,10829,200.0,6,RobinsonFouldsMetric,0.44034472132038693,sim-1983759278.msf,254557
ANNEALING,true,0,10829,200.0,6,KuhnerFelsenstein,0.019659523064448473,sim-1983759278.msf,254557
ANNEALING,false,0,10829,200.0,6,ConsensusLogLL,-653.2044474585796,sim-1983759278.msf,244586
ANNEALING,false,0,10829,200.0,6,BestSampledLogLL,-654.931288459195,sim-1983759278.msf,244586
ANNEALING,false,0,10829,200.0,6,PartitionMetric,0.0,sim-1983759278.msf,244586
ANNEALING,false,0,10829,200.0,6,RobinsonFouldsMetric,0.46065084763851344,sim-1983759278.msf,244586
ANNEALING,false,0,10829,200.0,6,KuhnerFelsenstein,0.020787297770378587,sim-1983759278.msf,244586
ANNEALING,true,0,10813,200.0,7,ConsensusLogLL,-653.271130052158,sim-1983759278.msf,254951
ANNEALING,true,0,10813,200.0,7,BestSampledLogLL,-655.6585842441682,sim-1983759278.msf,254951
ANNEALING,true,0,10813,200.0,7,PartitionMetric,0.0,sim-1983759278.msf,254951
ANNEALING,true,0,10813,200.0,7,RobinsonFouldsMetric,0.46306472132038695,sim-1983759278.msf,254951
ANNEALING,true,0,10813,200.0,7,KuhnerFelsenstein,0.022223091894933534,sim-1983759278.msf,254951
ANNEALING,false,0,10813,200.0,7,ConsensusLogLL,-653.4595895346026,sim-1983759278.msf,246151
ANNEALING,false,0,10813,200.0,7,BestSampledLogLL,-655.1966206719974,sim-1983759278.msf,246151
