#t,ESS,tempDiff,temp
0,200.00000000000065,0.0,0.0
1,199.99979999999994,1.0709917723968278E-5,1.0709917723968278E-5
2,199.99920615513633,1.0654691528996562E-5,2.1364609252964838E-5
3,199.9982232725393,1.058876761576E-5,3.195337686872484E-5
4,199.99686997154032,1.057062251822976E-5,4.252399938695459E-5
5,199.9951464858005,1.04565080160403E-5,5.298050740299489E-5
6,199.99305752254693,1.0314202490410795E-5,6.329470989340568E-5
7,199.99064303282046,1.0165202135620372E-5,7.345991202902605E-5
8,199.9878594688081,1.012980371417178E-5,8.358971574319783E-5
9,199.98473382435935,1.0138277446141367E-5,9.37279931893392E-5
10,199.98123842402708,1.0139695697582884E-5,1.0386768888692208E-4
11,199.97741682182436,9.918232908735672E-6,1.1378592179565774E-4
12,199.97326828621812,9.850640055808529E-6,1.2363656185146628E-4
13,199.96877541530537,9.747285988564065E-6,1.3338384784003035E-4
14,199.96392575318944,9.873353898032903E-6,1.4325720173806325E-4
15,199.95873933342725,1.0009261231085244E-5,1.532664629691485E-4
16,199.95319782703677,1.0088190793235649E-5,1.6335465376238415E-4
17,199.9473309567342,1.0088808866886974E-5,1.7344346262927111E-4
18,199.9411855522409,1.0282878947610015E-5,1.8372634157688114E-4
19,199.93481330530923,1.0107676972035282E-5,1.9383401854891643E-4
20,199.92812028335516,1.0175930225224842E-5,2.040099487741413E-4
21,199.92111466424245,1.0134369753063238E-5,2.1414431852720452E-4
22,199.9138289957887,1.0060449897460015E-5,2.2420476842466454E-4
23,199.9062991846677,1.012108253954424E-5,2.3432585096420878E-4
24,199.89844652108528,1.0212445984099613E-5,2.4453829694830837E-4
25,199.89033012475795,1.0313376552223863E-5,2.5485167350053226E-4
26,199.88199277741396,1.0484598930564542E-5,2.653362724310968E-4
27,199.87334919853734,1.05367747213949E-5,2.758730471524917E-4
28,199.86460134884996,1.0703769373218025E-5,2.865768165257097E-4
29,199.85548888370454,1.0748435439379931E-5,2.973252519650896E-4
30,199.84621084577486,1.055635466155328E-5,3.078816066266429E-4
31,199.83676222626593,1.0564663685503164E-5,3.1844627031214605E-4
32,199.8272434771437,1.0128388057277357E-5,3.285746583694234E-4
33,199.81744538321206,1.0204137723540123E-5,3.3877879609296355E-4
34,199.80733677669085,1.018035947057034E-5,3.489591555635339E-4
35,199.7969751858072,1.0128941231812639E-5,3.590880967953465E-4
36,199.7864184645766,1.0069305689408492E-5,3.69157402484755E-4
37,199.77579534213123,1.0290981835449294E-5,3.794483843202043E-4
38,199.76499115905173,9.990531853909137E-6,3.8943891617411344E-4
39,199.75409165236437,1.0087341153561278E-5,3.995262573276747E-4
40,199.74293558821435,9.90685710560222E-6,4.0943311443327694E-4
41,199.731572138313,9.953233356562417E-6,4.1938634778983935E-4
42,199.72009167488412,9.85522768402614E-6,4.292415754738655E-4
43,199.70863345385237,9.980029693651173E-6,4.392216051675167E-4
44,199.6967850170149,1.0038253401827783E-5,4.4925985856934445E-4
45,199.68487903299328,9.998924611207002E-6,4.5925878318055143E-4
46,199.67286030101982,9.671786289981529E-6,4.6893056947053296E-4
47,199.66062191133142,9.593675285445157E-6,4.785242447559781E-4
48,199.64820946582628,9.737790618910902E-6,4.88262035374889E-4
49,199.63571621455858,9.833894176572528E-6,4.980959295514616E-4
50,199.62281581053452,9.693169281429096E-6,5.077890988328907E-4
51,199.60951874327907,9.712161592786814E-6,5.175012604256775E-4
52,199.5960980066739,9.695855501054313E-6,5.271971159267318E-4
53,199.58278074919912,9.62123763828439E-6,5.368183535650162E-4
54,199.56923476683593,9.691178601483842E-6,5.465095321665E-4
55,199.55543621648908,9.767081675146984E-6,5.56276613841647E-4
56,199.54153323820412,9.768195556326183E-6,5.660448093979732E-4
57,199.52772425420494,9.582492501432497E-6,5.756273018994056E-4
58,199.513660711204,9.644737735731873E-6,5.852720396351375E-4
59,199.499340900334,9.455146992087481E-6,5.947271866272249E-4
60,199.48492274303365,9.372837733735352E-6,6.041000243609603E-4
61,199.47038850442172,9.246528418405525E-6,6.133465527793659E-4
62,199.45547760469861,9.154678439094969E-6,6.225012312184608E-4
63,199.44067317756785,9.029433042674891E-6,6.315306642611357E-4
64,199.42545235256296,8.929865862109673E-6,6.404605301232454E-4
65,199.40970314950187,9.081083041614075E-6,6.495416131648594E-4
66,199.39353682012256,9.111498379660015E-6,6.586531115445194E-4
67,199.37683042086124,9.138013759436342E-6,6.677911253039557E-4
68,199.36001293825498,9.004909749999686E-6,6.767960350539554E-4
69,199.34293869068048,8.869113840424616E-6,6.8566514889438E-4
70,199.3254674928642,8.923164903679652E-6,6.945883137980597E-4
71,199.30780925488426,8.939687580430096E-6,7.035280013784898E-4
72,199.2902422324294,8.986314281576964E-6,7.125143156600668E-4
73,199.27243969799804,9.010160315128055E-6,7.215244759751949E-4
74,199.25433028228124,8.858135994967322E-6,7.303826119701622E-4
75,199.2359806373866,8.875623476027078E-6,7.392582354461893E-4
76,199.21755553069278,8.534683970163953E-6,7.477929194163532E-4
77,199.1989234454069,8.573682208895355E-6,7.563666016252486E-4
78,199.18041849640736,8.655219222874394E-6,7.65021820848123E-4
79,199.16144259495005,8.671547297906167E-6,7.736933681460292E-4
80,199.14247235914968,8.734250734124079E-6,7.824276188801532E-4
81,199.12317989393563,8.894950589149257E-6,7.913225694693025E-4
82,199.10361787492016,8.875735750258352E-6,8.001983052195608E-4
83,199.08412189463638,8.678443710014617E-6,8.088767489295754E-4
84,199.0646625287246,8.787362212302284E-6,8.176641111418777E-4
85,199.04488724464974,8.970015122140298E-6,8.266341262640179E-4
86,199.02506559396542,8.841747466513591E-6,8.354758737305315E-4
87,199.00554583944935,9.167631021367253E-6,8.446435047518988E-4
88,198.9855585187956,9.212527899665119E-6,8.538560326515639E-4
89,198.9655547931964,9.180350683151919E-6,8.630363833347158E-4
90,198.94549324951552,9.212984237642892E-6,8.722493675723587E-4
91,198.92534502817927,9.288109407523886E-6,8.815374769798826E-4
92,198.9049479503985,9.374969719152559E-6,8.909124466990352E-4
93,198.88441675323395,9.187230222358503E-6,9.000996769213936E-4
94,198.863741298269,9.302672368023603E-6,9.094023492894172E-4
95,198.84349538449007,9.291036193203424E-6,9.186933854826206E-4
96,198.82270420684682,9.23505709250596E-6,9.279284425751266E-4
97,198.80170245094104,9.176369625270299E-6,9.371048122003969E-4
98,198.78088301109156,9.077347638852919E-6,9.461821598392499E-4
99,198.75954298474016,9.11297072537108E-6,9.55295130564621E-4
100,198.7386664636442,9.151841092374847E-6,9.644469716569958E-4
101,198.7176737926498,9.036829616889153E-6,9.73483801273885E-4
102,198.69684891759894,8.809282369375403E-6,9.822930836432603E-4
103,198.67488115083037,8.783153565018448E-6,9.910762372082787E-4
104,198.652754283034,8.554213257011844E-6,9.996304504652906E-4
105,198.63000174156107,8.499031342858907E-6,0.0010081294818081496
