#t,ESS,tempDiff,temp
0,200.00000000000065,0.0,0.0
1,199.99979938667866,4.799352164602238E-6,4.799352164602238E-6
2,199.9991971667468,4.79958574382619E-6,9.598937908428428E-6
3,199.9981989290526,4.768512082386882E-6,1.4367449990815311E-5
4,199.9968122875626,4.803487434630028E-6,1.9170937425445338E-5
5,199.99504278820933,4.83202322064966E-6,2.4002960646094998E-5
6,199.99288387060292,4.807998624817767E-6,2.8810959270912765E-5
7,199.99030678125447,4.814874791590759E-6,3.362583406250352E-5
8,199.98732365724288,4.793110289310486E-6,3.841894435181401E-5
9,199.98390016276238,4.838898836705329E-6,4.325784318851934E-5
10,199.98004680565958,4.8404521313464345E-6,4.8098295319865777E-5
11,199.97578857700012,4.817408523944483E-6,5.291570384381026E-5
12,199.97111787868278,4.809346676784605E-6,5.772505052059486E-5
13,199.96600674803625,4.831636855987416E-6,6.255668737658228E-5
14,199.96042783610145,4.8885722218289945E-6,6.744525959841128E-5
15,199.9544974310361,4.881953064418948E-6,7.232721266283023E-5
16,199.94820625692807,4.879443762475764E-6,7.720665642530599E-5
17,199.94157002337772,4.864729933842254E-6,8.207138635914824E-5
18,199.93451928649867,4.8686623199182225E-6,8.694004867906647E-5
19,199.92729888275446,4.749382643899515E-6,9.168943132296597E-5
20,199.91971323466922,4.7470293563130556E-6,9.643646067927902E-5
21,199.91173294087977,4.772916995236408E-6,1.0120937767451543E-4
22,199.9034482505436,4.753386250218994E-6,1.0596276392473442E-4
23,199.89481606463636,4.741556603310058E-6,1.1070432052804448E-4
24,199.88586888660151,4.707004363003791E-6,1.1541132489104828E-4
25,199.87661190381536,4.688579506681822E-6,1.200999043977301E-4
26,199.86701559074237,4.721545510654121E-6,1.2482144990838423E-4
27,199.85704040603827,4.751254694819945E-6,1.2957270460320418E-4
28,199.84658991897138,4.779376778428294E-6,1.3435208138163246E-4
29,199.8358184919414,4.746269735307665E-6,1.3909835111694012E-4
30,199.8245436705848,4.727589604538654E-6,1.4382594072147878E-4
31,199.81283228992706,4.730853552502337E-6,1.4855679427398113E-4
32,199.80084715336088,4.679868583879714E-6,1.5323666285786084E-4
33,199.78853889259108,4.663780904238185E-6,1.5790044376209902E-4
34,199.77597832838083,4.63302417043103E-6,1.6253346793253004E-4
35,199.7630685178797,4.6537456226374166E-6,1.6718721355516746E-4
36,199.74969709113253,4.703357630265188E-6,1.7189057118543265E-4
37,199.73598802667428,4.682410393321965E-6,1.7657298157875461E-4
38,199.72184285622717,4.6869478843737326E-6,1.8125992946312834E-4
39,199.7071689038655,4.731779562752153E-6,1.8599170902588048E-4
40,199.69194959203685,4.801706450873432E-6,1.907934154767539E-4
41,199.67663112728584,4.764546233960292E-6,1.955579617107142E-4
42,199.66081792897532,4.777057154370532E-6,2.0033501886508473E-4
43,199.64448613473377,4.827461844188376E-6,2.051624807092731E-4
44,199.6278394022962,4.802261864022456E-6,2.0996474257329556E-4
45,199.61020558747856,4.955876034924622E-6,2.1492061860822019E-4
46,199.59216942297235,4.96937276397995E-6,2.1988999137220015E-4
47,199.5740096499208,4.932054352787061E-6,2.248220457249872E-4
48,199.5555696884029,4.911369695387418E-6,2.2973341542037462E-4
49,199.53651128598625,4.977994871654197E-6,2.347114102920288E-4
50,199.51659188616242,5.048058008224135E-6,2.3975946830025294E-4
51,199.4958522347706,5.124968786165025E-6,2.4488443708641796E-4
52,199.47469337162138,5.115197702775845E-6,2.499996347891938E-4
53,199.45318895110208,5.102439352044291E-6,2.5510207414123807E-4
54,199.43125997375938,5.0778734353091615E-6,2.601799475765472E-4
55,199.40912913885262,5.02480781486325E-6,2.6520475539141045E-4
56,199.38686406536453,4.9865055333506895E-6,2.7019126092476116E-4
57,199.3647028471304,4.924247613108331E-6,2.751155085378695E-4
58,199.34227023673935,4.929694643886394E-6,2.800452031817559E-4
59,199.31945202865742,4.914773011517151E-6,2.849599761932731E-4
60,199.29669575319537,4.8850267633413446E-6,2.898450029566144E-4
61,199.27346207822683,4.9223185063197485E-6,2.9476732146293416E-4
62,199.24998679866525,4.885163943035456E-6,2.996524854059696E-4
63,199.22627190401852,4.890527143368732E-6,3.0454301254933836E-4
64,199.20192567339228,4.909599590343415E-6,3.0945261213968176E-4
65,199.1775580447305,4.897236074085609E-6,3.1434984821376735E-4
66,199.15265859462767,4.9279622016562765E-6,3.1927781041542365E-4
67,199.12763465912596,4.910191613850994E-6,3.2418800202927464E-4
68,199.1022502414748,4.902364968239159E-6,3.290903669975138E-4
69,199.0762908706089,4.9344647779936336E-6,3.3402483177550745E-4
70,199.0500380277283,4.970484068587542E-6,3.38995315844095E-4
71,199.02356496401413,4.943725604603008E-6,3.43939041448698E-4
72,198.9970811471898,4.931466520871811E-6,3.488705079695698E-4
73,198.9703149283188,4.921001154233096E-6,3.537915091238029E-4
74,198.9431680296706,4.984332380861327E-6,3.587758415046642E-4
75,198.91582406208198,4.969519556570936E-6,3.6374536106123517E-4
76,198.88786131286415,4.979421966517755E-6,3.6872478302775295E-4
77,198.8596401619823,5.002567345193271E-6,3.7372735037294623E-4
78,198.8311087966875,5.021435384952114E-6,3.7874878575789835E-4
79,198.80287405372485,4.957922913840505E-6,3.8370670867173885E-4
80,198.77390815076768,4.99525440202206E-6,3.887019630737609E-4
81,198.74480204149546,4.9506000671817665E-6,3.9365256314094266E-4
82,198.71521491425725,4.983877639010314E-6,3.9863644077995297E-4
83,198.68532545154042,4.986981866970652E-6,4.036234226469236E-4
84,198.65509137824031,5.036061619528516E-6,4.0865948426645215E-4
85,198.62488298110245,5.018987983681126E-6,4.1367847225013326E-4
86,198.59466734559325,5.059695340435255E-6,4.187381675905685E-4
87,198.56453935040201,4.982683177870506E-6,4.2372085076843903E-4
88,198.53391716938614,5.018225497377904E-6,4.2873907626581693E-4
89,198.50318572102933,5.019776399758137E-6,4.3375885266557504E-4
90,198.4718950917993,5.0593136961980385E-6,4.388181663617731E-4
91,198.4404114748592,5.062063853034431E-6,4.438802302148075E-4
92,198.40862386067647,5.049528675787526E-6,4.4892975889059504E-4
93,198.37625964560692,5.092422872214916E-6,4.5402218176280993E-4
94,198.34374920973477,5.096984264933144E-6,4.5911916602774306E-4
95,198.31086871014622,5.07603273157566E-6,4.641951987593187E-4
96,198.27804410151504,5.042217968035272E-6,4.6923741672735397E-4
97,198.24559793851543,5.023934665807807E-6,4.7426135139316177E-4
98,198.2126537237472,5.0354366674096914E-6,4.792967880605715E-4
99,198.17975271420877,5.043124783882555E-6,4.84339912844454E-4
100,198.1463582752752,5.104285473767301E-6,4.894441983182213E-4
101,198.1127774365727,5.127821386904173E-6,4.945720197051255E-4
102,198.07848391006928,5.171138652767784E-6,4.997431583578933E-4
103,198.04404085021986,5.140341898003909E-6,5.048835002558972E-4
104,198.00918603229604,5.1644085947324435E-6,5.100479088506296E-4
105,197.97442399892367,5.123682763328122E-6,5.151715916139577E-4
106,197.9397344878525,5.082911401941099E-6,5.202545030158988E-4
107,197.9051452643652,5.110509289485091E-6,5.253650123053839E-4
108,197.8705040399045,5.1163157484012425E-6,5.304813280537852E-4
109,197.83609817278654,5.039810702156486E-6,5.355211387559417E-4
110,197.80087763793136,5.115900113317634E-6,5.406370388692593E-4
111,197.76557346043674,5.072926966751538E-6,5.457099658360109E-4
112,197.730260333602,5.0648999964280904E-6,5.50774865832439E-4
113,197.6950395280119,5.032008590812014E-6,5.558068744232511E-4
114,197.65881092973038,5.0577586404001E-6,5.608646330636512E-4
115,197.6220382583211,5.080766404137414E-6,5.659453994677886E-4
116,197.58527244673806,5.074296383890498E-6,5.710196958516791E-4
117,197.5480650521389,5.056431543292543E-6,5.760761273949717E-4
118,197.51118374346112,5.068925454390292E-6,5.81145052849362E-4
119,197.47418558706758,5.07947854284145E-6,5.862245313922035E-4
120,197.43697536575465,5.08905594959107E-6,5.913135873417946E-4
121,197.3997220279416,5.0745227799270335E-6,5.963881101217216E-4
122,197.36266035450566,5.065067747796954E-6,6.014531778695185E-4
123,197.3262285386687,5.000806362325811E-6,6.064539842318443E-4
124,197.28924436962208,5.077352966544063E-6,6.115313371983884E-4
125,197.2522345036191,5.078327697878691E-6,6.16609664896267E-4
126,197.21487333361952,5.100242191323551E-6,6.217099070875906E-4
127,197.17715298488082,5.116801559015239E-6,6.268267086466058E-4
128,197.13897822995872,5.11553948138156E-6,6.319422481279874E-4
129,197.10058253358784,5.089148451541221E-6,6.370313965795286E-4
130,197.06260575119126,5.0281136808909E-6,6.420595102604195E-4
131,197.0240002413244,5.089308785166837E-6,6.471488190455863E-4
132,196.9860605401903,5.046535992004511E-6,6.521953550375909E-4
133,196.94741838720617,5.0508609046118795E-6,6.572462159422027E-4
134,196.90910591989874,5.0215864919354375E-6,6.622678024341381E-4
135,196.87003809879457,5.0980628340837275E-6,6.673658652682218E-4
136,196.83012385471764,5.127445391343047E-6,6.724933106595648E-4
137,196.78989482904203,5.088777369161277E-6,6.775820880287262E-4
138,196.74927601721166,5.095293774108728E-6,6.826773818028349E-4
139,196.70824377311658,5.152036251832827E-6,6.878294180546678E-4
140,196.66635785875806,5.2408308819342566E-6,6.93070248936602E-4
141,196.6248209383382,5.206765977613061E-6,6.98277014914215E-4
