#treeName,Method,NumericalLogZ,logZ
sim--706515689.msf.Rep0,Adaptive,0.0,-2886.9907191500843
sim--706515689.msf.Rep0,Deterministic,0.0,-2890.3800750167084
sim--706515689.msf.Rep1,Adaptive,0.0,-2888.2368562119473
sim--706515689.msf.Rep1,Deterministic,0.0,-2888.9728170284257
sim--706515689.msf.Rep2,Adaptive,0.0,-2888.8026385784865
sim--706515689.msf.Rep2,Deterministic,0.0,-2888.4888552523016
sim--706515689.msf.Rep3,Adaptive,0.0,-2888.8513819106415
sim--706515689.msf.Rep3,Deterministic,0.0,-2890.2643433082308
sim--706515689.msf.Rep4,Adaptive,0.0,-2889.3681472585445
sim--706515689.msf.Rep4,Deterministic,0.0,-2886.855034349642
sim--706515689.msf.Rep5,Adaptive,0.0,-2885.8272936623025
sim--706515689.msf.Rep5,Deterministic,0.0,-2887.733002267232
sim--706515689.msf.Rep6,Adaptive,0.0,-2889.635437456654
sim--706515689.msf.Rep6,Deterministic,0.0,-2886.754863907859
sim--706515689.msf.Rep7,Adaptive,0.0,-2889.2670872866274
sim--706515689.msf.Rep7,Deterministic,0.0,-2889.6363898743293
sim--706515689.msf.Rep8,Adaptive,0.0,-2887.6265758607246
sim--706515689.msf.Rep8,Deterministic,0.0,-2888.1189133206963
sim--706515689.msf.Rep9,Adaptive,0.0,-2886.388074262408
sim--706515689.msf.Rep9,Deterministic,0.0,-2886.7987937966277
sim--706515689.msf.Rep10,Adaptive,0.0,-2890.643640251754
sim--706515689.msf.Rep10,Deterministic,0.0,-2889.225001257622
sim--706515689.msf.Rep11,Adaptive,0.0,-2885.833895685248
sim--706515689.msf.Rep11,Deterministic,0.0,-2888.561734177806
sim--706515689.msf.Rep12,Adaptive,0.0,-2889.750167733115
sim--706515689.msf.Rep12,Deterministic,0.0,-2889.1797041855475
sim--706515689.msf.Rep13,Adaptive,0.0,-2888.9705807426585
sim--706515689.msf.Rep13,Deterministic,0.0,-2886.6356011096354
sim--706515689.msf.Rep14,Adaptive,0.0,-2890.681315047464
sim--706515689.msf.Rep14,Deterministic,0.0,-2888.627126893091
sim--706515689.msf.Rep15,Adaptive,0.0,-2891.2558029812767
sim--706515689.msf.Rep15,Deterministic,0.0,-2885.977501383214
sim--706515689.msf.Rep16,Adaptive,0.0,-2887.516232225731
sim--706515689.msf.Rep16,Deterministic,0.0,-2888.156502890518
sim--706515689.msf.Rep17,Adaptive,0.0,-2891.2019996194185
sim--706515689.msf.Rep17,Deterministic,0.0,-2888.676400816993
sim--706515689.msf.Rep18,Adaptive,0.0,-2887.7146167896785
sim--706515689.msf.Rep18,Deterministic,0.0,-2884.3717287483323
sim--706515689.msf.Rep19,Adaptive,0.0,-2888.657186146286
sim--706515689.msf.Rep19,Deterministic,0.0,-2887.0895099173385
