#treeName,Method,NumericalLogZ,logZ
sim--571596271.msf.Rep0,Deterministic,0.0,-1080.5869627818065
sim--571596271.msf.Rep1,Deterministic,0.0,-1080.9939061232844
sim--571596271.msf.Rep2,Deterministic,0.0,-1080.9913629299529
sim--571596271.msf.Rep3,Deterministic,0.0,-1080.779364858407
sim--571596271.msf.Rep4,Deterministic,0.0,-1080.1948405759024
sim--571596271.msf.Rep5,Deterministic,0.0,-1081.8233188996621
sim--571596271.msf.Rep6,Deterministic,0.0,-1081.3771620085797
sim--571596271.msf.Rep7,Deterministic,0.0,-1081.131411348822
sim--571596271.msf.Rep8,Deterministic,0.0,-1081.3468474386593
sim--571596271.msf.Rep9,Deterministic,0.0,-1079.6141755207937
sim--571596271.msf.Rep10,Deterministic,0.0,-1079.7656260535107
sim--571596271.msf.Rep11,Deterministic,0.0,-1081.0283834796521
sim--571596271.msf.Rep12,Deterministic,0.0,-1081.6312530206665
sim--571596271.msf.Rep13,Deterministic,0.0,-1081.376572365889
sim--571596271.msf.Rep14,Deterministic,0.0,-1081.043249154665
sim--571596271.msf.Rep15,Deterministic,0.0,-1080.5204910478435
sim--571596271.msf.Rep16,Deterministic,0.0,-1081.1334787885712
sim--571596271.msf.Rep17,Deterministic,0.0,-1080.1216582320822
sim--571596271.msf.Rep18,Deterministic,0.0,-1081.1068743209726
sim--571596271.msf.Rep19,Deterministic,0.0,-1080.5413680149923
