#Method,Adaptive,AdaptiveType,T,IterScale,Repeat,Metric,Value,TreeName,Time
ANNEALING,false,0,12200,200.0,0,ConsensusLogLL,-2551.640161283645,sim-1491444859.msf,1413944
ANNEALING,false,0,12200,200.0,0,BestSampledLogLL,-2569.111362713701,sim-1491444859.msf,1413944
ANNEALING,false,0,12200,200.0,0,PartitionMetric,18.0,sim-1491444859.msf,1413944
ANNEALING,false,0,12200,200.0,0,RobinsonFouldsMetric,2.558222035924798,sim-1491444859.msf,1413944
ANNEALING,false,0,12200,200.0,0,KuhnerFelsenstein,0.25986072050008757,sim-1491444859.msf,1413944
ANNEALING,false,0,12200,200.0,1,ConsensusLogLL,-2552.893848350895,sim-1491444859.msf,1452149
ANNEALING,false,0,12200,200.0,1,BestSampledLogLL,-2573.7321084336277,sim-1491444859.msf,1452149
ANNEALING,false,0,12200,200.0,1,PartitionMetric,22.0,sim-1491444859.msf,1452149
ANNEALING,false,0,12200,200.0,1,RobinsonFouldsMetric,3.8275522623946214,sim-1491444859.msf,1452149
ANNEALING,false,0,12200,200.0,1,KuhnerFelsenstein,0.7794915300989331,sim-1491444859.msf,1452149
ANNEALING,false,0,12200,200.0,2,ConsensusLogLL,-2554.43617208293,sim-1491444859.msf,1407665
ANNEALING,false,0,12200,200.0,2,BestSampledLogLL,-2565.3486980024204,sim-1491444859.msf,1407665
ANNEALING,false,0,12200,200.0,2,PartitionMetric,18.0,sim-1491444859.msf,1407665
ANNEALING,false,0,12200,200.0,2,RobinsonFouldsMetric,2.963243025525855,sim-1491444859.msf,1407665
ANNEALING,false,0,12200,200.0,2,KuhnerFelsenstein,0.5030502071458478,sim-1491444859.msf,1407665
ANNEALING,false,0,12200,200.0,3,ConsensusLogLL,-2553.798055072448,sim-1491444859.msf,1416635
ANNEALING,false,0,12200,200.0,3,BestSampledLogLL,-2564.633213693743,sim-1491444859.msf,1416635
ANNEALING,false,0,12200,200.0,3,PartitionMetric,20.0,sim-1491444859.msf,1416635
ANNEALING,false,0,12200,200.0,3,RobinsonFouldsMetric,2.5193526484329345,sim-1491444859.msf,1416635
ANNEALING,false,0,12200,200.0,3,KuhnerFelsenstein,0.26952472292458485,sim-1491444859.msf,1416635
ANNEALING,false,0,12200,200.0,4,ConsensusLogLL,-2551.519922084634,sim-1491444859.msf,1414839
ANNEALING,false,0,12200,200.0,4,BestSampledLogLL,-2569.6812640598223,sim-1491444859.msf,1414839
ANNEALING,false,0,12200,200.0,4,PartitionMetric,20.0,sim-1491444859.msf,1414839
ANNEALING,false,0,12200,200.0,4,RobinsonFouldsMetric,2.443254077758825,sim-1491444859.msf,1414839
ANNEALING,false,0,12200,200.0,4,KuhnerFelsenstein,0.24739229188156384,sim-1491444859.msf,1414839
ANNEALING,false,0,12200,200.0,5,ConsensusLogLL,-2552.7635906825763,sim-1491444859.msf,1416059
ANNEALING,false,0,12200,200.0,5,BestSampledLogLL,-2568.670293910765,sim-1491444859.msf,1416059
ANNEALING,false,0,12200,200.0,5,PartitionMetric,18.0,sim-1491444859.msf,1416059
ANNEALING,false,0,12200,200.0,5,RobinsonFouldsMetric,2.371617967103413,sim-1491444859.msf,1416059
ANNEALING,false,0,12200,200.0,5,KuhnerFelsenstein,0.22802678908761237,sim-1491444859.msf,1416059
ANNEALING,false,0,12200,200.0,6,ConsensusLogLL,-2553.1944499227798,sim-1491444859.msf,1412004
ANNEALING,false,0,12200,200.0,6,BestSampledLogLL,-2568.647850062274,sim-1491444859.msf,1412004
ANNEALING,false,0,12200,200.0,6,PartitionMetric,20.0,sim-1491444859.msf,1412004
ANNEALING,false,0,12200,200.0,6,RobinsonFouldsMetric,2.421044510762943,sim-1491444859.msf,1412004
ANNEALING,false,0,12200,200.0,6,KuhnerFelsenstein,0.2033101386981965,sim-1491444859.msf,1412004
ANNEALING,false,0,12200,200.0,7,ConsensusLogLL,-2553.0747916729147,sim-1491444859.msf,1411528
ANNEALING,false,0,12200,200.0,7,BestSampledLogLL,-2571.0372077760762,sim-1491444859.msf,1411528
ANNEALING,false,0,12200,200.0,7,PartitionMetric,20.0,sim-1491444859.msf,1411528
ANNEALING,false,0,12200,200.0,7,RobinsonFouldsMetric,2.59737841830649,sim-1491444859.msf,1411528
ANNEALING,false,0,12200,200.0,7,KuhnerFelsenstein,0.28421390606268615,sim-1491444859.msf,1411528
ANNEALING,false,0,12200,200.0,8,ConsensusLogLL,-2554.2906952175927,sim-1491444859.msf,1427423
ANNEALING,false,0,12200,200.0,8,BestSampledLogLL,-2569.9275683793394,sim-1491444859.msf,1427423
ANNEALING,false,0,12200,200.0,8,PartitionMetric,18.0,sim-1491444859.msf,1427423
ANNEALING,false,0,12200,200.0,8,RobinsonFouldsMetric,3.00971796449586,sim-1491444859.msf,1427423
ANNEALING,false,0,12200,200.0,8,KuhnerFelsenstein,0.45813990202083565,sim-1491444859.msf,1427423
ANNEALING,false,0,12200,200.0,9,ConsensusLogLL,-2555.1617269185795,sim-1491444859.msf,1455052
ANNEALING,false,0,12200,200.0,9,BestSampledLogLL,-2571.012391482861,sim-1491444859.msf,1455052
ANNEALING,false,0,12200,200.0,9,PartitionMetric,20.0,sim-1491444859.msf,1455052
ANNEALING,false,0,12200,200.0,9,RobinsonFouldsMetric,3.4686503308944916,sim-1491444859.msf,1455052
ANNEALING,false,0,12200,200.0,9,KuhnerFelsenstein,0.7926827490131572,sim-1491444859.msf,1455052
ANNEALING,false,0,12200,200.0,10,ConsensusLogLL,-2552.8121387318197,sim-1491444859.msf,1453206
ANNEALING,false,0,12200,200.0,10,BestSampledLogLL,-2570.1803789020414,sim-1491444859.msf,1453206
ANNEALING,false,0,12200,200.0,10,PartitionMetric,18.0,sim-1491444859.msf,1453206
ANNEALING,false,0,12200,200.0,10,RobinsonFouldsMetric,2.5072314872372363,sim-1491444859.msf,1453206
ANNEALING,false,0,12200,200.0,10,KuhnerFelsenstein,0.25837922560743265,sim-1491444859.msf,1453206
ANNEALING,false,0,12200,200.0,11,ConsensusLogLL,-2554.503473966171,sim-1491444859.msf,1448010
ANNEALING,false,0,12200,200.0,11,BestSampledLogLL,-2568.957837663881,sim-1491444859.msf,1448010
ANNEALING,false,0,12200,200.0,11,PartitionMetric,18.0,sim-1491444859.msf,1448010
ANNEALING,false,0,12200,200.0,11,RobinsonFouldsMetric,3.4258406726058217,sim-1491444859.msf,1448010
ANNEALING,false,0,12200,200.0,11,KuhnerFelsenstein,0.8531113238774451,sim-1491444859.msf,1448010
ANNEALING,false,0,12200,200.0,12,ConsensusLogLL,-2554.210066695012,sim-1491444859.msf,1453966
ANNEALING,false,0,12200,200.0,12,BestSampledLogLL,-2569.3477418067073,sim-1491444859.msf,1453966
ANNEALING,false,0,12200,200.0,12,PartitionMetric,18.0,sim-1491444859.msf,1453966
ANNEALING,false,0,12200,200.0,12,RobinsonFouldsMetric,3.2929189408803197,sim-1491444859.msf,1453966
ANNEALING,false,0,12200,200.0,12,KuhnerFelsenstein,0.7520088991376127,sim-1491444859.msf,1453966
ANNEALING,false,0,12200,200.0,13,ConsensusLogLL,-2553.68379355626,sim-1491444859.msf,1449765
ANNEALING,false,0,12200,200.0,13,BestSampledLogLL,-2568.680390866573,sim-1491444859.msf,1449765
ANNEALING,false,0,12200,200.0,13,PartitionMetric,18.0,sim-1491444859.msf,1449765
ANNEALING,false,0,12200,200.0,13,RobinsonFouldsMetric,3.0885259828540548,sim-1491444859.msf,1449765
ANNEALING,false,0,12200,200.0,13,KuhnerFelsenstein,0.5865608715346222,sim-1491444859.msf,1449765
ANNEALING,false,0,12200,200.0,14,ConsensusLogLL,-2553.7163175775017,sim-1491444859.msf,1450525
ANNEALING,false,0,12200,200.0,14,BestSampledLogLL,-2567.2017436060246,sim-1491444859.msf,1450525
ANNEALING,false,0,12200,200.0,14,PartitionMetric,18.0,sim-1491444859.msf,1450525
ANNEALING,false,0,12200,200.0,14,RobinsonFouldsMetric,2.861499669365455,sim-1491444859.msf,1450525
ANNEALING,false,0,12200,200.0,14,KuhnerFelsenstein,0.4070749868225126,sim-1491444859.msf,1450525
ANNEALING,false,0,12200,200.0,15,ConsensusLogLL,-2555.67450784121,sim-1491444859.msf,1450024
ANNEALING,false,0,12200,200.0,15,BestSampledLogLL,-2570.9077724323997,sim-1491444859.msf,1450024
ANNEALING,false,0,12200,200.0,15,PartitionMetric,22.0,sim-1491444859.msf,1450024
ANNEALING,false,0,12200,200.0,15,RobinsonFouldsMetric,3.4161996554823033,sim-1491444859.msf,1450024
ANNEALING,false,0,12200,200.0,15,KuhnerFelsenstein,0.7061872596303393,sim-1491444859.msf,1450024
ANNEALING,false,0,12200,200.0,16,ConsensusLogLL,-2553.9663990294084,sim-1491444859.msf,1450448
ANNEALING,false,0,12200,200.0,16,BestSampledLogLL,-2570.306245802654,sim-1491444859.msf,1450448
ANNEALING,false,0,12200,200.0,16,PartitionMetric,18.0,sim-1491444859.msf,1450448
ANNEALING,false,0,12200,200.0,16,RobinsonFouldsMetric,2.5219400674313373,sim-1491444859.msf,1450448
ANNEALING,false,0,12200,200.0,16,KuhnerFelsenstein,0.2446982799886138,sim-1491444859.msf,1450448
ANNEALING,false,0,12200,200.0,17,ConsensusLogLL,-2553.6111075482545,sim-1491444859.msf,1452812
ANNEALING,false,0,12200,200.0,17,BestSampledLogLL,-2568.7231009724915,sim-1491444859.msf,1452812
ANNEALING,false,0,12200,200.0,17,PartitionMetric,18.0,sim-1491444859.msf,1452812
ANNEALING,false,0,12200,200.0,17,RobinsonFouldsMetric,2.3575237095143016,sim-1491444859.msf,1452812
ANNEALING,false,0,12200,200.0,17,KuhnerFelsenstein,0.1986173237691659,sim-1491444859.msf,1452812
ANNEALING,false,0,12200,200.0,18,ConsensusLogLL,-2552.4064801758636,sim-1491444859.msf,1458049
ANNEALING,false,0,12200,200.0,18,BestSampledLogLL,-2569.9218432755633,sim-1491444859.msf,1458049
ANNEALING,false,0,12200,200.0,18,PartitionMetric,22.0,sim-1491444859.msf,1458049
ANNEALING,false,0,12200,200.0,18,RobinsonFouldsMetric,3.897630369247664,sim-1491444859.msf,1458049
ANNEALING,false,0,12200,200.0,18,KuhnerFelsenstein,0.8326951526510956,sim-1491444859.msf,1458049
ANNEALING,false,0,12200,200.0,19,ConsensusLogLL,-2553.477256293972,sim-1491444859.msf,1447576
ANNEALING,false,0,12200,200.0,19,BestSampledLogLL,-2572.4745579325345,sim-1491444859.msf,1447576
ANNEALING,false,0,12200,200.0,19,PartitionMetric,16.0,sim-1491444859.msf,1447576
ANNEALING,false,0,12200,200.0,19,RobinsonFouldsMetric,2.3626395519402696,sim-1491444859.msf,1447576
ANNEALING,false,0,12200,200.0,19,KuhnerFelsenstein,0.18655951401885792,sim-1491444859.msf,1447576
