#treeName,Method,NumericalLogZ,logZ
sim--2142322983.msf.Rep0,Adaptive,0.0,-2507.9789966029102
sim--2142322983.msf.Rep0,Deterministic,0.0,-2500.4087634254292
sim--2142322983.msf.Rep1,Adaptive,0.0,-2507.4455779125005
sim--2142322983.msf.Rep1,Deterministic,0.0,-2503.2422896297385
sim--2142322983.msf.Rep2,Adaptive,0.0,-2509.0961455935185
sim--2142322983.msf.Rep2,Deterministic,0.0,-2497.8323750842637
sim--2142322983.msf.Rep3,Adaptive,0.0,-2501.9058221588416
sim--2142322983.msf.Rep3,Deterministic,0.0,-2495.247455237465
sim--2142322983.msf.Rep4,Adaptive,0.0,-2499.727011421313
sim--2142322983.msf.Rep4,Deterministic,0.0,-2499.2200959701004
sim--2142322983.msf.Rep5,Adaptive,0.0,-2503.786333191028
sim--2142322983.msf.Rep5,Deterministic,0.0,-2502.0331495989517
sim--2142322983.msf.Rep6,Adaptive,0.0,-2501.379395930611
sim--2142322983.msf.Rep6,Deterministic,0.0,-2494.806719907912
sim--2142322983.msf.Rep7,Adaptive,0.0,-2500.0881392043343
sim--2142322983.msf.Rep7,Deterministic,0.0,-2501.370539643687
sim--2142322983.msf.Rep8,Adaptive,0.0,-2491.8422579332655
sim--2142322983.msf.Rep8,Deterministic,0.0,-2502.8410064665954
sim--2142322983.msf.Rep9,Adaptive,0.0,-2500.003881414448
sim--2142322983.msf.Rep9,Deterministic,0.0,-2503.32841285717
sim--2142322983.msf.Rep10,Adaptive,0.0,-2501.0126928837553
sim--2142322983.msf.Rep10,Deterministic,0.0,-2501.2391944315636
sim--2142322983.msf.Rep11,Adaptive,0.0,-2499.386884119396
sim--2142322983.msf.Rep11,Deterministic,0.0,-2498.3339146934795
sim--2142322983.msf.Rep12,Adaptive,0.0,-2499.2550092918086
sim--2142322983.msf.Rep12,Deterministic,0.0,-2506.4002051993157
sim--2142322983.msf.Rep13,Adaptive,0.0,-2503.2944645178254
sim--2142322983.msf.Rep13,Deterministic,0.0,-2500.2295568970935
sim--2142322983.msf.Rep14,Adaptive,0.0,-2501.5872286121935
sim--2142322983.msf.Rep14,Deterministic,0.0,-2508.852625075042
sim--2142322983.msf.Rep15,Adaptive,0.0,-2501.439836063402
sim--2142322983.msf.Rep15,Deterministic,0.0,-2500.065391220209
sim--2142322983.msf.Rep16,Adaptive,0.0,-2505.993064091258
sim--2142322983.msf.Rep16,Deterministic,0.0,-2507.809578741198
sim--2142322983.msf.Rep17,Adaptive,0.0,-2510.9387415185265
sim--2142322983.msf.Rep17,Deterministic,0.0,-2508.623473383879
sim--2142322983.msf.Rep18,Adaptive,0.0,-2501.617844296418
sim--2142322983.msf.Rep18,Deterministic,0.0,-2503.611419884546
sim--2142322983.msf.Rep19,Adaptive,0.0,-2501.8633751801167
sim--2142322983.msf.Rep19,Deterministic,0.0,-2506.2483742720865
