#Method,Adaptive,AdaptiveType,T,IterScale,Repeat,Metric,Value,TreeName,Time
ANNEALING,true,0,600,500.0,0,ConsensusLogLL,-2421.672562153215,sim--2142322983.msf,84378
ANNEALING,true,0,600,500.0,0,BestSampledLogLL,-2428.4303141640107,sim--2142322983.msf,84378
ANNEALING,true,0,600,500.0,0,PartitionMetric,0.0,sim--2142322983.msf,84378
ANNEALING,true,0,600,500.0,0,RobinsonFouldsMetric,0.7955478771206694,sim--2142322983.msf,84378
ANNEALING,true,0,600,500.0,0,KuhnerFelsenstein,0.042602776144272776,sim--2142322983.msf,84378
ANNEALING,false,0,600,500.0,0,ConsensusLogLL,-2423.9325291182054,sim--2142322983.msf,82382
ANNEALING,false,0,600,500.0,0,BestSampledLogLL,-2429.747644087105,sim--2142322983.msf,82382
ANNEALING,false,0,600,500.0,0,PartitionMetric,0.0,sim--2142322983.msf,82382
ANNEALING,false,0,600,500.0,0,RobinsonFouldsMetric,0.8889681877411897,sim--2142322983.msf,82382
ANNEALING,false,0,600,500.0,0,KuhnerFelsenstein,0.05272961585756311,sim--2142322983.msf,82382
ANNEALING,true,0,593,500.0,1,ConsensusLogLL,-2421.392086731179,sim--2142322983.msf,82157
ANNEALING,true,0,593,500.0,1,BestSampledLogLL,-2428.40564402817,sim--2142322983.msf,82157
ANNEALING,true,0,593,500.0,1,PartitionMetric,0.0,sim--2142322983.msf,82157
ANNEALING,true,0,593,500.0,1,RobinsonFouldsMetric,0.8239064412337676,sim--2142322983.msf,82157
ANNEALING,true,0,593,500.0,1,KuhnerFelsenstein,0.04802922960184871,sim--2142322983.msf,82157
ANNEALING,false,0,593,500.0,1,ConsensusLogLL,-2421.056406880152,sim--2142322983.msf,81130
ANNEALING,false,0,593,500.0,1,BestSampledLogLL,-2427.5658432072596,sim--2142322983.msf,81130
ANNEALING,false,0,593,500.0,1,PartitionMetric,0.0,sim--2142322983.msf,81130
ANNEALING,false,0,593,500.0,1,RobinsonFouldsMetric,0.9154731595088619,sim--2142322983.msf,81130
ANNEALING,false,0,593,500.0,1,KuhnerFelsenstein,0.07347077464428559,sim--2142322983.msf,81130
ANNEALING,true,0,595,500.0,2,ConsensusLogLL,-2424.8465365148986,sim--2142322983.msf,82225
