#t,ESS,tempDiff,temp
0,499.9999999999944,0.0,0.0
1,488.9999999999926,6.292692671841599E-4,6.292692671841599E-4
2,478.2419999999874,2.735611887090347E-4,9.028304558931946E-4
3,467.7206759999871,2.1520536796370372E-4,0.0011180358238568984
4,457.4308211279874,1.8420884782074465E-4,0.001302244671677643
5,447.3673430631716,1.6501480144843803E-4,0.001467259473126081
6,437.5252615157845,1.516474800238336E-4,0.0016189069531499145
7,427.8997057624364,1.418314901231907E-4,0.0017607384432731053
8,418.4859122356626,1.3283065363304722E-4,0.0018935690969061525
9,409.2792221664775,1.2500992608943887E-4,0.0020185790229955915
10,400.27507927881487,1.2062780446596195E-4,0.0021392068274615535
11,391.46902753468055,1.1440554805784965E-4,0.0022536123755194032
12,382.8567089289172,1.0909497434101826E-4,0.0023627073498604214
13,374.43386133248094,1.0581496610169024E-4,0.0024685223159621114
14,366.1963163831656,1.0045027791497276E-4,0.0025689725938770843
15,358.1399974227359,9.681357878928562E-5,0.0026657861726663698
16,350.2609174794346,9.284933050893903E-5,0.002758635503175309
17,342.55517729488656,9.139644887844847E-5,0.0028500319520537573
18,335.01896339439895,8.851307644425087E-5,0.002938545028498008
19,327.64854619972215,8.923815423652469E-5,0.003027783182734533
20,320.44027818332825,8.730493724896605E-5,0.003115088119983499
21,313.39059206329495,8.605166207594591E-5,0.003201139782059445
22,306.49599903790244,8.440700240513555E-5,0.0032855467844645804
23,299.75308705906855,8.210941339654617E-5,0.0033676561978611265
24,293.15851914376805,8.145555047085004E-5,0.0034491117483319766
25,286.70903172260495,8.252693679674364E-5,0.0035316386851287204
26,280.4014330247074,8.333628633837816E-5,0.0036149749714670986
27,274.23260149816366,8.291714593432134E-5,0.00369789211740142
28,268.1994842652039,8.338543596913077E-5,0.0037812775533705508
29,262.2990956113692,8.322577567109264E-5,0.0038645033290416434
30,256.52851550791866,8.322889542624168E-5,0.003947732224467885
31,250.8848881667444,8.651457779354595E-5,0.004034246802261431
32,245.3654206270759,8.548832922093184E-5,0.0041197351314823626
33,488.9999999999985,7.051084579063972E-4,0.00482484358938876
34,478.2419999999968,3.117400529871599E-4,0.00513658364237592
35,467.7206759999953,2.4263840441194324E-4,0.005379222046787863
36,457.43082112799425,2.083323596961808E-4,0.005587554406484044
37,447.36734306317794,1.899670619432198E-4,0.005777521468427264
38,437.52526151578786,1.767122235174839E-4,0.005954233691944748
39,427.8997057624404,1.6590308214071655E-4,0.006120136774085464
40,418.4859122356658,1.5642581281243058E-4,0.006276562586897894
41,409.27922216648085,1.5163935488147673E-4,0.006428201941779371
42,400.2750792788175,1.4629959333963154E-4,0.006574501535119003
43,391.46902753468305,1.3903065998095964E-4,0.006713532195099963
44,382.85670892891983,1.3337675055544716E-4,0.0068469089456554095
45,374.43386133248333,1.3023651311001635E-4,0.0069771454587654255
46,366.19631638316804,1.2809093901755854E-4,0.007105236397782984
47,358.139997422738,1.2612485069599976E-4,0.0072313612484789834
48,350.2609174794377,1.2331572973026946E-4,0.007354676978209253
49,342.5551772948879,1.2123492455718729E-4,0.007475911902766441
50,335.01896339442345,1.2041818856918912E-4,0.00759633009133563
51,327.64854619974614,1.1869846916931772E-4,0.007715028560504948
52,320.44027818335167,1.1623555758129293E-4,0.007831264118086241
53,313.39059206331734,1.1894413476904398E-4,0.007950208252855286
54,306.4959990379243,1.1733599776652632E-4,0.008067544250621813
55,299.7530870590895,1.1637209362542773E-4,0.008183916344247241
56,293.15851914378896,1.133031342921313E-4,0.008297219478539373
57,286.7090317226256,1.1217338416286225E-4,0.008409392862702234
58,280.40143302472774,1.1212592912698546E-4,0.008521518791829219
59,274.2326014981835,1.0885097942989379E-4,0.008630369771259113
60,268.1994842652232,1.112065241022407E-4,0.008741576295361353
61,262.2990956113883,1.1386199690067314E-4,0.008855438292262026
62,256.5285155079377,1.1270765134512339E-4,0.00896814594360715
63,250.884888166763,1.1196799696702622E-4,0.009080113940574175
64,245.36542062709418,1.1491677948574554E-4,0.009195030720059921
65,488.9999999999974,8.35393453255444E-4,0.010030424173315365
66,478.2419999999949,3.69717303581866E-4,0.010400141476897232
67,467.7206759999949,2.9162357818836326E-4,0.010691765055085595
68,457.4308211279942,2.503036355297489E-4,0.010942068690615344
69,447.36734306317834,2.272360499951841E-4,0.011169304740610527
70,437.5252615157888,2.0971819112680296E-4,0.01137902293173733
71,427.899705762441,1.9598916836096518E-4,0.011575012100098295
72,418.4859122356657,1.9138926528020062E-4,0.011766401365378496
73,409.2792221664809,1.846324401447888E-4,0.011951033805523285
74,400.2750792788172,1.7703256046061684E-4,0.012128066365983901
75,391.4690275346827,1.7369996010788632E-4,0.012301766326091788
76,382.8567089289205,1.6925526252948631E-4,0.012471021588621274
77,374.4338613324841,1.6433265759238004E-4,0.012635354246213653
78,366.19631638316935,1.5836666243071906E-4,0.012793720908644373
79,358.1399974227393,1.5542960468200228E-4,0.012949150513326376
80,350.26091747943843,1.51661778833899E-4,0.013100812292160275
81,342.55517729489003,1.4879150835643207E-4,0.013249603800516707
82,335.01896339440236,1.4319818777767734E-4,0.013392801988294385
83,327.64854619972454,1.415327649093969E-4,0.013534334753203783
84,320.44027818333035,1.3808429693039156E-4,0.013672419050134174
85,313.3905920632962,1.3650517740352412E-4,0.013808924227537699
86,306.4959990379032,1.3577595098878016E-4,0.01394470017852648
87,299.753087059069,1.324592914458325E-4,0.014077159469972312
88,293.15851914376947,1.2597928017901247E-4,0.014203138750151324
89,286.70903172260563,1.2510000397650958E-4,0.014328238754127833
90,280.4014330247078,1.2556146380101205E-4,0.014453800217928844
91,274.2326014981638,1.270577865876106E-4,0.014580858004516455
92,268.1994842652039,1.248326284754036E-4,0.014705690632991859
93,262.29909561136907,1.2278494674039043E-4,0.014828475579732249
94,256.5285155079186,1.2286240952874366E-4,0.014951337989260993
95,250.8848881667438,1.2020125395147916E-4,0.015071539243212473
96,245.36542062707542,1.2405158618644394E-4,0.015195590829398916
97,488.99999999999994,9.745777389999926E-4,0.01617016856839891
98,478.2419999999998,4.3355337384466214E-4,0.016603721942243573
99,467.7206759999992,3.436855461539228E-4,0.016947407488397497
100,457.4308211279986,3.0041489007911E-4,0.017247822378476607
101,447.36734306321404,2.705632215955677E-4,0.017518385600072173
102,437.5252615158232,2.5267332372351693E-4,0.017771058923795692
103,427.89970576247447,2.367483315013013E-4,0.018007807255296993
104,418.4859122356999,2.2441937862084763E-4,0.01823222663391784
105,409.27922216651444,2.1458849257430758E-4,0.018446815126492145
106,400.2750792788508,2.050137030375722E-4,0.018651828829529718
107,391.4690275347147,1.989526845843494E-4,0.018850781514114068
108,382.8567089289506,1.9000253116123925E-4,0.019040784045275306
109,374.4338613325123,1.8646814087333786E-4,0.019227252186148645
110,366.1963163831966,1.8346229700135435E-4,0.019410714483149998
111,358.1399974227649,1.774537709683385E-4,0.019588168254118337
112,350.26091747946344,1.7528880523847958E-4,0.019763457059356816
113,342.55517729491504,1.6785984362775467E-4,0.01993131690298457
114,335.0189633944269,1.6192043480062695E-4,0.020093237337785196
115,327.648546199749,1.5830300568372182E-4,0.02025154034346892
116,320.4402781833541,1.5294602135518495E-4,0.020404486364824104
117,313.3905920633201,1.5109015538887122E-4,0.020555576520212976
118,306.49599903792705,1.4839571800603698E-4,0.02070397223821901
119,299.753087059092,1.4654656102822212E-4,0.020850518799247233
120,293.15851914379186,1.5277473014349633E-4,0.02100329352939073
121,286.709031722628,1.4906650489610276E-4,0.021152360034286832
122,280.40143302472967,1.4634782874389161E-4,0.021298707863030723
123,274.23260149818555,1.4589155568133405E-4,0.021444599418712056
124,268.19948426522535,1.4785461665674845E-4,0.021592454035368806
125,262.29909561139004,1.478084840999082E-4,0.021740262519468714
126,256.52851550793946,1.4395872255739672E-4,0.02188422124202611
127,250.88488816676454,1.4196723065198867E-4,0.0220261884726781
128,245.36542062709563,1.3932068007812962E-4,0.02216550915275623
129,488.9999999999959,0.00111035839080244,0.023275867543558672
130,478.24199999999513,4.82370754680964E-4,0.023758238298239635
131,467.72067599999366,3.810489208113575E-4,0.02413928721905099
132,457.4308211279935,3.3194834402587396E-4,0.024471235563076864
133,447.3673430631932,3.011983615548345E-4,0.024772433924631698
134,437.5252615158029,2.809265823185401E-4,0.02505336050695024
135,427.8997057624542,2.7144360424416594E-4,0.025324804111194404
136,418.4859122356802,2.5961460390312415E-4,0.025584418715097527
137,409.27922216649415,2.488123082620037E-4,0.02583323102335953
138,400.27507927883073,2.4115124671589616E-4,0.026074382270075427
139,391.4690275346964,2.3364780987861805E-4,0.026308030079954046
140,382.85670892893216,2.2811807258992173E-4,0.02653614815254397
141,374.43386133249567,2.2135240735180004E-4,0.02675750055989577
142,366.1963163831804,2.182711520445065E-4,0.026975771711940277
143,358.13999742275024,2.166130029423526E-4,0.02719238471488263
144,350.2609174794494,2.128212511154597E-4,0.02740520596599809
145,342.55517729490026,2.1073404808055141E-4,0.02761594001407864
146,335.0189633944122,2.0829354553879704E-4,0.027824233559617436
147,327.6485461997344,2.0725915939573002E-4,0.028031492719013167
148,320.44027818333973,2.043828844133498E-4,0.028235875603426518
149,313.39059206330586,2.0351223231669546E-4,0.028439387835743214
150,306.4959990379129,2.0152497259669583E-4,0.02864091280833991
151,299.75308705907855,1.9810888076271047E-4,0.02883902168910262
152,293.1585191437786,1.9685411687126537E-4,0.029035875805973888
153,286.70903172261495,1.952948573692805E-4,0.02923117066334317
154,280.4014330247171,1.9163668409659441E-4,0.029422807347439763
155,274.23260149817287,1.8930176772702866E-4,0.02961210911516679
156,268.1994842652131,1.8895800345118417E-4,0.029801067118617974
157,262.2990956113786,1.8583317363103318E-4,0.029986900292249007
158,256.52851550792826,1.891464688821116E-4,0.030176046761131118
159,250.88488816675383,1.8584194413800265E-4,0.03036188870526912
160,245.3654206270857,1.8345533209314656E-4,0.030545344037362268
161,488.9999999999998,0.001420082996717434,0.0319654270340797
162,478.24199999999837,6.203941030449029E-4,0.032585821137124604
163,467.72067599999747,4.8742509181671427E-4,0.03307324622894132
164,457.4308211279965,4.175097072278926E-4,0.03349075593616921
165,447.36734306318033,3.813825956475473E-4,0.03387213853181675
166,437.52526151578974,3.5474334847853273E-4,0.03422688188029529
167,427.899705762457,3.315524380429038E-4,0.034558434318338195
168,418.48591223568445,3.1159879632663745E-4,0.034870033114664835
169,409.27922216649955,2.962348029700385E-4,0.03516626791763487
170,400.2750792788353,2.8085319824109863E-4,0.035447121115875974
171,391.46902753470056,2.694683018229337E-4,0.03571658941769891
172,382.85670892893626,2.588523735565053E-4,0.03597544179125541
173,374.43386133249925,2.545937263391958E-4,0.03623003551759461
174,366.1963163831834,2.479402336587348E-4,0.03647797575125334
175,358.13999742275325,2.4644403751511847E-4,0.03672441978876846
176,350.260917479452,2.3871424520914187E-4,0.0369631340339776
177,342.55517729490373,2.3724800192357384E-4,0.037200382035901175
178,335.01896339441544,2.3431491010227258E-4,0.037434696946003446
179,327.6485461997379,2.3554630186091116E-4,0.03767024324786436
180,320.4402781833433,2.2903192194917663E-4,0.037899275169813534
181,313.39059206330944,2.2980362833761956E-4,0.03812907879815115
182,306.49599903791636,2.2983457320072107E-4,0.038358913371351874
183,299.75308705908157,2.2541547801490259E-4,0.03858432884936678
184,293.1585191437813,2.266015475236062E-4,0.03881093039689039
185,286.7090317226181,2.234279320682559E-4,0.03903435832895864
186,280.4014330247204,2.2167252495117833E-4,0.03925603085390982
187,274.23260149817656,2.2135232621249616E-4,0.03947738318012232
188,268.19948426521626,2.2616716842072901E-4,0.039703550348543046
189,262.2990956113814,2.228795100304646E-4,0.03992642985857351
190,256.5285155079306,2.1553269167989313E-4,0.0401419625502534
191,250.8848881667559,2.133983389911223E-4,0.040355360889244525
192,245.3654206270877,2.1151757197794048E-4,0.040566878461222464
193,488.9999999999986,0.0017487075890416232,0.04231558605026409
194,478.2419999999985,7.745863105676659E-4,0.04309017236083175
195,467.72067599999843,6.188548717863545E-4,0.0437090272326181
196,457.43082112799846,5.338137843036474E-4,0.04424284101692175
197,447.3673430631819,4.878096135534964E-4,0.044730650630475245
198,437.525261515791,4.480472831597326E-4,0.04517869791363498
199,427.8997057624451,4.140450133111932E-4,0.04559274292694617
200,418.4859122356714,3.9281440034601205E-4,0.04598555732729218
201,409.27922216648693,3.7299898169410224E-4,0.04635855630898628
202,400.2750792788232,3.5651474180628767E-4,0.04671507105079257
203,391.46902753468737,3.4034456209847103E-4,0.04705541561289104
204,382.8567089289241,3.291456912170324E-4,0.04738456130410807
205,374.43386133248686,3.201891260949538E-4,0.04770475043020302
206,366.19631638316986,3.123616090764867E-4,0.04801711203927951
207,358.13999742273995,3.0814756647299274E-4,0.048325259605752506
