#treeName,Method,NumericalLogZ,logZ
sim--2142322983.msf.Rep0,Adaptive,0.0,-2499.56302399202
sim--2142322983.msf.Rep0,Deterministic,0.0,-2510.637936921228
sim--2142322983.msf.Rep1,Adaptive,0.0,-2510.987542956462
sim--2142322983.msf.Rep1,Deterministic,0.0,-2496.9554709461504
sim--2142322983.msf.Rep2,Adaptive,0.0,-2504.922490530096
sim--2142322983.msf.Rep2,Deterministic,0.0,-2497.23931979909
sim--2142322983.msf.Rep3,Adaptive,0.0,-2504.240106287046
sim--2142322983.msf.Rep3,Deterministic,0.0,-2507.282874497145
sim--2142322983.msf.Rep4,Adaptive,0.0,-2498.741726009969
sim--2142322983.msf.Rep4,Deterministic,0.0,-2513.7511112600023
sim--2142322983.msf.Rep5,Adaptive,0.0,-2498.9465389068037
sim--2142322983.msf.Rep5,Deterministic,0.0,-2497.736718885525
sim--2142322983.msf.Rep6,Adaptive,0.0,-2500.1183114336804
sim--2142322983.msf.Rep6,Deterministic,0.0,-2499.3326118992777
sim--2142322983.msf.Rep7,Adaptive,0.0,-2514.255955160207
sim--2142322983.msf.Rep7,Deterministic,0.0,-2507.248510261553
sim--2142322983.msf.Rep8,Adaptive,0.0,-2507.2135508002066
sim--2142322983.msf.Rep8,Deterministic,0.0,-2497.3790225855796
sim--2142322983.msf.Rep9,Adaptive,0.0,-2494.6472979440578
sim--2142322983.msf.Rep9,Deterministic,0.0,-2503.0822878461872
sim--2142322983.msf.Rep10,Adaptive,0.0,-2511.747367422234
sim--2142322983.msf.Rep10,Deterministic,0.0,-2503.127132027605
sim--2142322983.msf.Rep11,Adaptive,0.0,-2504.5590632304284
sim--2142322983.msf.Rep11,Deterministic,0.0,-2507.708194773616
sim--2142322983.msf.Rep12,Adaptive,0.0,-2503.095553943352
sim--2142322983.msf.Rep12,Deterministic,0.0,-2500.047163000879
sim--2142322983.msf.Rep13,Adaptive,0.0,-2498.1437218173187
sim--2142322983.msf.Rep13,Deterministic,0.0,-2504.8851982309325
sim--2142322983.msf.Rep14,Adaptive,0.0,-2503.213042329448
sim--2142322983.msf.Rep14,Deterministic,0.0,-2504.564338569816
sim--2142322983.msf.Rep15,Adaptive,0.0,-2513.579855099696
sim--2142322983.msf.Rep15,Deterministic,0.0,-2506.008132102302
sim--2142322983.msf.Rep16,Adaptive,0.0,-2501.44925901734
sim--2142322983.msf.Rep16,Deterministic,0.0,-2496.5890042894484
sim--2142322983.msf.Rep17,Adaptive,0.0,-2505.8774153775557
sim--2142322983.msf.Rep17,Deterministic,0.0,-2509.2721776824783
sim--2142322983.msf.Rep18,Adaptive,0.0,-2507.233881993188
sim--2142322983.msf.Rep18,Deterministic,0.0,-2506.362284401201
sim--2142322983.msf.Rep19,Adaptive,0.0,-2507.4752778578495
sim--2142322983.msf.Rep19,Deterministic,0.0,-2501.9125025569956
