#Method,Adaptive,AdaptiveType,T,IterScale,Repeat,Metric,Value,TreeName,Time
ANNEALING,true,0,586,500.0,0,ConsensusLogLL,-2422.3181638102174,sim--2142322983.msf,122266
ANNEALING,true,0,586,500.0,0,BestSampledLogLL,-2429.2418826156563,sim--2142322983.msf,122266
ANNEALING,true,0,586,500.0,0,PartitionMetric,0.0,sim--2142322983.msf,122266
ANNEALING,true,0,586,500.0,0,RobinsonFouldsMetric,0.8027830970275239,sim--2142322983.msf,122266
ANNEALING,true,0,586,500.0,0,KuhnerFelsenstein,0.05172692491192484,sim--2142322983.msf,122266
ANNEALING,false,0,586,500.0,0,ConsensusLogLL,-2421.828186331675,sim--2142322983.msf,118966
ANNEALING,false,0,586,500.0,0,BestSampledLogLL,-2429.287539232785,sim--2142322983.msf,118966
ANNEALING,false,0,586,500.0,0,PartitionMetric,0.0,sim--2142322983.msf,118966
ANNEALING,false,0,586,500.0,0,RobinsonFouldsMetric,0.8331783947645457,sim--2142322983.msf,118966
ANNEALING,false,0,586,500.0,0,KuhnerFelsenstein,0.04600289172304406,sim--2142322983.msf,118966
ANNEALING,true,0,609,500.0,1,ConsensusLogLL,-2423.6154141335332,sim--2142322983.msf,123792
ANNEALING,true,0,609,500.0,1,BestSampledLogLL,-2430.0739548615447,sim--2142322983.msf,123792
ANNEALING,true,0,609,500.0,1,PartitionMetric,0.0,sim--2142322983.msf,123792
ANNEALING,true,0,609,500.0,1,RobinsonFouldsMetric,0.9700855028836873,sim--2142322983.msf,123792
ANNEALING,true,0,609,500.0,1,KuhnerFelsenstein,0.07706314975810497,sim--2142322983.msf,123792
ANNEALING,false,0,609,500.0,1,ConsensusLogLL,-2421.112107567964,sim--2142322983.msf,119920
ANNEALING,false,0,609,500.0,1,BestSampledLogLL,-2424.9009236598185,sim--2142322983.msf,119920
ANNEALING,false,0,609,500.0,1,PartitionMetric,0.0,sim--2142322983.msf,119920
ANNEALING,false,0,609,500.0,1,RobinsonFouldsMetric,0.7845948550097966,sim--2142322983.msf,119920
ANNEALING,false,0,609,500.0,1,KuhnerFelsenstein,0.05669959720800616,sim--2142322983.msf,119920
ANNEALING,true,0,604,500.0,2,ConsensusLogLL,-2426.501926615412,sim--2142322983.msf,118685
ANNEALING,true,0,604,500.0,2,BestSampledLogLL,-2429.5698635896665,sim--2142322983.msf,118685
ANNEALING,true,0,604,500.0,2,PartitionMetric,0.0,sim--2142322983.msf,118685
ANNEALING,true,0,604,500.0,2,RobinsonFouldsMetric,0.9365206955532651,sim--2142322983.msf,118685
ANNEALING,true,0,604,500.0,2,KuhnerFelsenstein,0.04689084530870592,sim--2142322983.msf,118685
ANNEALING,false,0,604,500.0,2,ConsensusLogLL,-2422.7579249130345,sim--2142322983.msf,124019
ANNEALING,false,0,604,500.0,2,BestSampledLogLL,-2428.3373398381727,sim--2142322983.msf,124019
ANNEALING,false,0,604,500.0,2,PartitionMetric,0.0,sim--2142322983.msf,124019
ANNEALING,false,0,604,500.0,2,RobinsonFouldsMetric,0.7750164412337675,sim--2142322983.msf,124019
ANNEALING,false,0,604,500.0,2,KuhnerFelsenstein,0.04287419950173947,sim--2142322983.msf,124019
ANNEALING,true,0,610,500.0,3,ConsensusLogLL,-2423.033723878239,sim--2142322983.msf,122150
ANNEALING,true,0,610,500.0,3,BestSampledLogLL,-2425.7375989964385,sim--2142322983.msf,122150
ANNEALING,true,0,610,500.0,3,PartitionMetric,0.0,sim--2142322983.msf,122150
ANNEALING,true,0,610,500.0,3,RobinsonFouldsMetric,0.8431416571735448,sim--2142322983.msf,122150
ANNEALING,true,0,610,500.0,3,KuhnerFelsenstein,0.05730310471065904,sim--2142322983.msf,122150
ANNEALING,false,0,610,500.0,3,ConsensusLogLL,-2420.904261288858,sim--2142322983.msf,121595
ANNEALING,false,0,610,500.0,3,BestSampledLogLL,-2428.223104969397,sim--2142322983.msf,121595
ANNEALING,false,0,610,500.0,3,PartitionMetric,0.0,sim--2142322983.msf,121595
ANNEALING,false,0,610,500.0,3,RobinsonFouldsMetric,0.7567353267224878,sim--2142322983.msf,121595
ANNEALING,false,0,610,500.0,3,KuhnerFelsenstein,0.04352463886702633,sim--2142322983.msf,121595
ANNEALING,true,0,588,500.0,4,ConsensusLogLL,-2422.367774854723,sim--2142322983.msf,107324
ANNEALING,true,0,588,500.0,4,BestSampledLogLL,-2428.5669163165717,sim--2142322983.msf,107324
ANNEALING,true,0,588,500.0,4,PartitionMetric,0.0,sim--2142322983.msf,107324
