#t,ESS,tempDiff,temp
0,999.9999999999848,0.0,0.0
1,999.9896482772903,4.044664805729946E-5,4.044664805729946E-5
2,999.9595240161509,4.0387360146013236E-5,8.08340082033127E-5
3,999.9101364719579,4.0514860046096005E-5,1.213488682494087E-4
4,999.8412097942207,4.066401549064464E-5,1.6201288374005334E-4
5,999.7535962290586,4.092545228552706E-5,2.029383360255804E-4
6,999.6453369781119,4.12522892422782E-5,2.441906252678586E-4
7,999.521401358145,4.083416895551288E-5,2.850247942233715E-4
8,999.379553307982,4.10262865127575E-5,3.26051080736129E-4
9,999.2207318989948,4.0971251412337093E-5,3.6702233214846606E-4
10,999.0445120445621,4.0704519916824534E-5,4.077268520652906E-4
11,998.8539327144657,4.065302956427944E-5,4.4837988162957E-4
12,998.6529608322287,4.024975447725705E-5,4.886296361068271E-4
13,998.4390325843117,4.031701031426427E-5,5.289466464210914E-4
14,998.2138030100991,4.024504869254906E-5,5.691916951136405E-4
15,997.9770472212133,3.977802770205729E-5,6.089697228156978E-4
16,997.7268184894622,4.011291016315035E-5,6.490826329788482E-4
17,997.4662502599026,3.989694723488565E-5,6.889795802137339E-4
18,997.1890970255865,3.996536556364588E-5,7.289449457773797E-4
19,996.9084688847424,4.006075620065652E-5,7.690057019780363E-4
20,996.6174390388925,4.030434745840046E-5,8.093100494364368E-4
21,996.3089379211648,4.065977563371335E-5,8.499698250701501E-4
22,995.9913609811474,4.0239538410563426E-5,8.902093634807135E-4
23,995.6591838627351,4.0281513620360506E-5,9.30490877101074E-4
24,995.31403657238,4.018244993974193E-5,9.70673327040816E-4
25,994.9607634679176,4.03306428416872E-5,0.0010110039698825032
26,994.5881491828734,4.094078873786669E-5,0.0010519447586203698
27,994.20793543361,4.0894873524437976E-5,0.0010928396321448078
28,993.8190647367638,4.086176563016848E-5,0.0011337013977749763
29,993.4185819714036,4.0933456904332764E-5,0.001174634854679309
30,993.005098360258,4.056685454393173E-5,0.0012152017092232409
31,992.5786968247746,4.082292943383027E-5,0.0012560246386570711
32,992.1465943901175,4.066590163204657E-5,0.0012966905402891178
33,991.7080066180623,4.058248639710559E-5,0.0013372730266862235
34,991.2615791740716,4.0245599003782446E-5,0.001377518625690006
35,990.8093292880487,4.005443536068318E-5,0.0014175730610506891
36,990.344439821457,3.994070428529599E-5,0.001457513765335985
37,989.8727409622282,3.985980979325378E-5,0.001497373575129239
