#t,ESS,tempDiff,temp
0,999.9999999999848,0.0,0.0
1,999.9900000000001,2.8179320141349556E-5,2.8179320141349556E-5
2,999.9604564420088,2.8237036500768534E-5,5.641635664211809E-5
3,999.911722773698,2.8065906694889846E-5,8.448226333700794E-5
4,999.8443301579485,2.817111993837563E-5,1.1265338327538357E-4
5,999.759168322622,2.8094087282651263E-5,1.4074747055803482E-4
6,999.6557555786269,2.8404429623894702E-5,1.6915190018192952E-4
7,999.5343062989076,2.811025436316225E-5,1.9726215454509178E-4
8,999.3958996693102,2.8209457260416614E-5,2.254716118055084E-4
9,999.2415839363917,2.7912143048182877E-5,2.5338375485369126E-4
10,999.0702103550061,2.7670568941832493E-5,2.8105432379552374E-4
11,998.8837621105404,2.7884203134528325E-5,3.089385269300521E-4
12,998.6807564441343,2.7841359813422926E-5,3.3677988674347503E-4
13,998.461015707742,2.767599187759639E-5,3.644558786210714E-4
14,998.2256341305059,2.7641977272084246E-5,3.9209785589315566E-4
15,997.975699479222,2.766147314085049E-5,4.1975932903400617E-4
16,997.7109575671615,2.7703675628803523E-5,4.474630046628097E-4
17,997.4312663618346,2.795193405305319E-5,4.7541493871586287E-4
18,997.1380300279646,2.8203590593995337E-5,5.036185293098582E-4
19,996.8310765126495,2.821703721401865E-5,5.318355665238768E-4
20,996.5093840560322,2.8386858323622666E-5,5.602224248474995E-4
21,996.1752791487265,2.8206018561926133E-5,5.884284434094256E-4
22,995.8273407137955,2.8192130453738958E-5,6.166205738631646E-4
23,995.4652208976435,2.791344946201962E-5,6.445340233251842E-4
24,995.0901580496778,2.7732446939473933E-5,6.722664702646582E-4
25,994.7036287120135,2.76746767423887E-5,6.999411470070469E-4
26,994.3057290159542,2.7667992451483765E-5,7.276091394585306E-4
27,993.8949958026612,2.754432294212271E-5,7.551534624006533E-4
28,993.4740247550711,2.7507508681045138E-5,7.826609710816985E-4
29,993.0396709695452,2.7844627766944168E-5,8.105055988486427E-4
30,992.5915387925647,2.7814258949745563E-5,8.383198577983882E-4
31,992.1329572373562,2.7595624614705443E-5,8.659154824130937E-4
32,991.6624378730424,2.73831319661544E-5,8.932986143792482E-4
33,991.1793079387945,2.7410174350035606E-5,9.207087887292837E-4
34,990.6835810500862,2.7472927744781125E-5,9.481817164740648E-4
35,990.1810266116179,2.7166581542360834E-5,9.753482980164257E-4
36,989.6685482186926,2.6975222585005073E-5,0.0010023235206014307
37,989.1474686808069,2.6919973926789372E-5,0.00102924349452822
38,988.6136863100002,2.677832226098555E-5,0.0010560218167892056
39,988.0696308736168,2.6815209266675992E-5,0.0010828370260558815
40,987.5170601470206,2.6664885041628103E-5,0.0011095019110975097
41,986.9547567047852,2.6894300659295014E-5,0.0011363962117568046
42,986.3873991192094,2.6935324479550185E-5,0.0011633315362363549
43,985.8109497509295,2.672215856972919E-5,0.0011900536948060841
44,985.2219842197832,2.679207014526784E-5,0.001216845764951352
45,984.6234655006285,2.7019161704418075E-5,0.0012438649266557703
46,984.0194953759075,2.6786287060513978E-5,0.0012706512137162843
47,983.4091078811844,2.682874100949487E-5,0.0012974799547257792
48,982.7872278103964,2.6812966960064265E-5,0.0013242929216858434
49,982.1557483794287,2.6951563072201488E-5,0.001351244484758045
50,981.518672793487,2.693327256267507E-5,0.0013781777573207202
51,980.8746247584174,2.6945221995177063E-5,0.0014051229793158972
52,980.222646393996,2.654132126981034E-5,0.0014316643005857076
53,979.5595566505341,2.632528468646607E-5,0.0014579895852721736
54,978.8855832208134,2.636776729486367E-5,0.0014843573525670374
55,978.2106157345648,2.6266151840549993E-5,0.0015106235044075873
56,977.5236516076395,2.6087813552275182E-5,0.0015367113179598625
57,976.8309550102128,2.6049380429425298E-5,0.0015627606983892879
58,976.1281709870648,2.6164075826894072E-5,0.0015889247742161819
59,975.4179580979397,2.6383816686307392E-5,0.0016153085909024892
60,974.6986462860618,2.6484817244199193E-5,0.0016417934081466884
61,973.9714128833923,2.6189449269162935E-5,0.0016679828574158514
62,973.2339252348066,2.6054146405324314E-5,0.0016940370038211756
63,972.4860791159894,2.6147740667654256E-5,0.0017201847444888298
64,971.7335988848664,2.6009069619896004E-5,0.0017461938141087258
65,970.9659261840802,2.6205706459985045E-5,0.0017723995205687108
66,970.1927387304033,2.6380408402440896E-5,0.0017987799289711517
67,969.4160830069122,2.6366462900611703E-5,0.0018251463918717633
68,968.6321580837614,2.647748580934466E-5,0.0018516238776811079
69,967.8393062189976,2.6474691564615237E-5,0.0018780985692457232
70,967.0432204142201,2.623205074025854E-5,0.0019043306199859817
71,966.2451067297133,2.6202245271383208E-5,0.0019305328652573649
72,965.4478885596126,2.6226929762749104E-5,0.001956759795020114
73,964.6397098472007,2.620929290362483E-5,0.001982969087923739
74,963.8262357062528,2.6555835669167128E-5,0.002009524923592906
75,963.0027193653842,2.6618416404901684E-5,0.002036143339997808
76,962.1773682493746,2.662552586155142E-5,0.0020627688658593595
77,961.3535770260944,2.6898745218634E-5,0.0020896676110779932
78,960.5193802874463,2.649212527643045E-5,0.002116159736354424
79,959.6867479533207,2.6591126773236087E-5,0.00214275086312766
80,958.8487536783953,2.6558058460656294E-5,0.0021693089215883165
81,958.0032662420399,2.6705163637177833E-5,0.0021960140852254942
82,957.1421327116867,2.7163952182106173E-5,0.0022231780374076006
83,956.2800067509921,2.7271363225089587E-5,0.00225044940063269
84,955.4079931931963,2.720813209446562E-5,0.0022776575327271556
85,954.5316715501065,2.7089282697723267E-5,0.002304746815424879
86,953.6540875235052,2.724314546616859E-5,0.0023319899608910477
87,952.7664976235626,2.7165813593789675E-5,0.0023591557744848373
88,951.871733090157,2.7260885647599756E-5,0.002386416660132437
89,950.9822732647258,2.7390913694940028E-5,0.002413807573827377
90,950.092199819896,2.7245175842430197E-5,0.002441052749669807
91,949.209243176406,2.744075228633942E-5,0.0024684935019561463
92,948.3132647510071,2.746997062930233E-5,0.0024959634725854486
