#Method,Adaptive,AdaptiveType,T,IterScale,Repeat,Metric,Value,TreeName,Time
ANNEALING,true,0,5157,1000.0,0,ConsensusLogLL,-1189.5098996761515,sim-1121221206.msf,936226
ANNEALING,true,0,5157,1000.0,0,BestSampledLogLL,-1193.1967210248345,sim-1121221206.msf,936226
ANNEALING,true,0,5157,1000.0,0,PartitionMetric,2.0,sim-1121221206.msf,936226
ANNEALING,true,0,5157,1000.0,0,RobinsonFouldsMetric,0.9447242846277262,sim-1121221206.msf,936226
ANNEALING,true,0,5157,1000.0,0,KuhnerFelsenstein,0.06282839636314853,sim-1121221206.msf,936226
ANNEALING,false,0,5157,1000.0,0,ConsensusLogLL,-1189.6194704598206,sim-1121221206.msf,926385
ANNEALING,false,0,5157,1000.0,0,BestSampledLogLL,-1192.6122382132296,sim-1121221206.msf,926385
ANNEALING,false,0,5157,1000.0,0,PartitionMetric,2.0,sim-1121221206.msf,926385
ANNEALING,false,0,5157,1000.0,0,RobinsonFouldsMetric,0.9553042846277262,sim-1121221206.msf,926385
ANNEALING,false,0,5157,1000.0,0,KuhnerFelsenstein,0.06291995763920497,sim-1121221206.msf,926385
MCMC,,,,5157000.0,0,ConsensusLogLL,-1191.7334295953444,sim-1121221206.msf,5348982
MCMC,,,,5157000.0,0,BestSampledLogLL,-Infinity,sim-1121221206.msf,5348982
MCMC,,,,5157000.0,0,PartitionMetric,2.0,sim-1121221206.msf,5348982
MCMC,,,,5157000.0,0,RobinsonFouldsMetric,1.2503904853153343,sim-1121221206.msf,5348982
MCMC,,,,5157000.0,0,KuhnerFelsenstein,0.09887019168324587,sim-1121221206.msf,5348982
ANNEALING,true,0,5130,1000.0,1,ConsensusLogLL,-1189.7021498968015,sim-1121221206.msf,934211
ANNEALING,true,0,5130,1000.0,1,BestSampledLogLL,-1193.6219829561967,sim-1121221206.msf,934211
ANNEALING,true,0,5130,1000.0,1,PartitionMetric,2.0,sim-1121221206.msf,934211
ANNEALING,true,0,5130,1000.0,1,RobinsonFouldsMetric,0.9309042846277261,sim-1121221206.msf,934211
ANNEALING,true,0,5130,1000.0,1,KuhnerFelsenstein,0.06034726004853211,sim-1121221206.msf,934211
ANNEALING,false,0,5130,1000.0,1,ConsensusLogLL,-1189.5865188986145,sim-1121221206.msf,918660
ANNEALING,false,0,5130,1000.0,1,BestSampledLogLL,-1194.6232867165998,sim-1121221206.msf,918660
ANNEALING,false,0,5130,1000.0,1,PartitionMetric,2.0,sim-1121221206.msf,918660
ANNEALING,false,0,5130,1000.0,1,RobinsonFouldsMetric,0.9287642846277262,sim-1121221206.msf,918660
ANNEALING,false,0,5130,1000.0,1,KuhnerFelsenstein,0.06022720818942872,sim-1121221206.msf,918660
MCMC,,,,5130000.0,1,ConsensusLogLL,-1191.7241647108458,sim-1121221206.msf,5245375
MCMC,,,,5130000.0,1,BestSampledLogLL,-Infinity,sim-1121221206.msf,5245375
MCMC,,,,5130000.0,1,PartitionMetric,2.0,sim-1121221206.msf,5245375
MCMC,,,,5130000.0,1,RobinsonFouldsMetric,1.2499404853153342,sim-1121221206.msf,5245375
MCMC,,,,5130000.0,1,KuhnerFelsenstein,0.09852703792733168,sim-1121221206.msf,5245375
ANNEALING,true,0,5130,1000.0,2,ConsensusLogLL,-1189.811720271115,sim-1121221206.msf,928297
ANNEALING,true,0,5130,1000.0,2,BestSampledLogLL,-1194.9276995363311,sim-1121221206.msf,928297
ANNEALING,true,0,5130,1000.0,2,PartitionMetric,2.0,sim-1121221206.msf,928297
ANNEALING,true,0,5130,1000.0,2,RobinsonFouldsMetric,0.9225642846277264,sim-1121221206.msf,928297
ANNEALING,true,0,5130,1000.0,2,KuhnerFelsenstein,0.059639188286117674,sim-1121221206.msf,928297
ANNEALING,false,0,5130,1000.0,2,ConsensusLogLL,-1189.6196086710684,sim-1121221206.msf,912135
ANNEALING,false,0,5130,1000.0,2,BestSampledLogLL,-1193.8827363142154,sim-1121221206.msf,912135
ANNEALING,false,0,5130,1000.0,2,PartitionMetric,2.0,sim-1121221206.msf,912135
ANNEALING,false,0,5130,1000.0,2,RobinsonFouldsMetric,0.9319842846277263,sim-1121221206.msf,912135
ANNEALING,false,0,5130,1000.0,2,KuhnerFelsenstein,0.06079504508080117,sim-1121221206.msf,912135
MCMC,,,,5130000.0,2,ConsensusLogLL,-1191.7659096094594,sim-1121221206.msf,5244820
MCMC,,,,5130000.0,2,BestSampledLogLL,-Infinity,sim-1121221206.msf,5244820
MCMC,,,,5130000.0,2,PartitionMetric,2.0,sim-1121221206.msf,5244820
MCMC,,,,5130000.0,2,RobinsonFouldsMetric,1.2610604853153342,sim-1121221206.msf,5244820
MCMC,,,,5130000.0,2,KuhnerFelsenstein,0.10038822357621105,sim-1121221206.msf,5244820
ANNEALING,true,0,5121,1000.0,3,ConsensusLogLL,-1189.5910608819968,sim-1121221206.msf,885765
ANNEALING,true,0,5121,1000.0,3,BestSampledLogLL,-1194.6635999785033,sim-1121221206.msf,885765
ANNEALING,true,0,5121,1000.0,3,PartitionMetric,2.0,sim-1121221206.msf,885765
ANNEALING,true,0,5121,1000.0,3,RobinsonFouldsMetric,0.9211642846277261,sim-1121221206.msf,885765
ANNEALING,true,0,5121,1000.0,3,KuhnerFelsenstein,0.05955302494569984,sim-1121221206.msf,885765
ANNEALING,false,0,5121,1000.0,3,ConsensusLogLL,-1189.9097070598605,sim-1121221206.msf,874579
ANNEALING,false,0,5121,1000.0,3,BestSampledLogLL,-1193.7773098436096,sim-1121221206.msf,874579
ANNEALING,false,0,5121,1000.0,3,PartitionMetric,2.0,sim-1121221206.msf,874579
ANNEALING,false,0,5121,1000.0,3,RobinsonFouldsMetric,0.9237542846277265,sim-1121221206.msf,874579
ANNEALING,false,0,5121,1000.0,3,KuhnerFelsenstein,0.05880981902826491,sim-1121221206.msf,874579
MCMC,,,,5121000.0,3,ConsensusLogLL,-1191.6445946161475,sim-1121221206.msf,5206742
MCMC,,,,5121000.0,3,BestSampledLogLL,-Infinity,sim-1121221206.msf,5206742
MCMC,,,,5121000.0,3,PartitionMetric,2.0,sim-1121221206.msf,5206742
MCMC,,,,5121000.0,3,RobinsonFouldsMetric,1.2549304853153345,sim-1121221206.msf,5206742
MCMC,,,,5121000.0,3,KuhnerFelsenstein,0.10100037560948223,sim-1121221206.msf,5206742
ANNEALING,true,0,5153,1000.0,4,ConsensusLogLL,-1189.8571671559403,sim-1121221206.msf,905858
ANNEALING,true,0,5153,1000.0,4,BestSampledLogLL,-1193.6635719723859,sim-1121221206.msf,905858
ANNEALING,true,0,5153,1000.0,4,PartitionMetric,2.0,sim-1121221206.msf,905858
ANNEALING,true,0,5153,1000.0,4,RobinsonFouldsMetric,0.9312842846277263,sim-1121221206.msf,905858
ANNEALING,true,0,5153,1000.0,4,KuhnerFelsenstein,0.06021528543766076,sim-1121221206.msf,905858
ANNEALING,false,0,5153,1000.0,4,ConsensusLogLL,-1189.7295346637777,sim-1121221206.msf,917503
ANNEALING,false,0,5153,1000.0,4,BestSampledLogLL,-1193.9637604810368,sim-1121221206.msf,917503
ANNEALING,false,0,5153,1000.0,4,PartitionMetric,2.0,sim-1121221206.msf,917503
ANNEALING,false,0,5153,1000.0,4,RobinsonFouldsMetric,0.9615842846277263,sim-1121221206.msf,917503
ANNEALING,false,0,5153,1000.0,4,KuhnerFelsenstein,0.06255449953033776,sim-1121221206.msf,917503
MCMC,,,,5153000.0,4,ConsensusLogLL,-1191.6844698696066,sim-1121221206.msf,5217450
MCMC,,,,5153000.0,4,BestSampledLogLL,-Infinity,sim-1121221206.msf,5217450
MCMC,,,,5153000.0,4,PartitionMetric,2.0,sim-1121221206.msf,5217450
MCMC,,,,5153000.0,4,RobinsonFouldsMetric,1.255640485315334,sim-1121221206.msf,5217450
MCMC,,,,5153000.0,4,KuhnerFelsenstein,0.10011401163265062,sim-1121221206.msf,5217450
ANNEALING,true,0,5148,1000.0,5,ConsensusLogLL,-1189.73598250779,sim-1121221206.msf,889351
ANNEALING,true,0,5148,1000.0,5,BestSampledLogLL,-1193.095555509294,sim-1121221206.msf,889351
ANNEALING,true,0,5148,1000.0,5,PartitionMetric,2.0,sim-1121221206.msf,889351
ANNEALING,true,0,5148,1000.0,5,RobinsonFouldsMetric,0.9236942846277263,sim-1121221206.msf,889351
ANNEALING,true,0,5148,1000.0,5,KuhnerFelsenstein,0.059666938310026424,sim-1121221206.msf,889351
ANNEALING,false,0,5148,1000.0,5,ConsensusLogLL,-1189.5161901031045,sim-1121221206.msf,874712
ANNEALING,false,0,5148,1000.0,5,BestSampledLogLL,-1192.4353609822024,sim-1121221206.msf,874712
ANNEALING,false,0,5148,1000.0,5,PartitionMetric,2.0,sim-1121221206.msf,874712
ANNEALING,false,0,5148,1000.0,5,RobinsonFouldsMetric,0.9093842846277264,sim-1121221206.msf,874712
ANNEALING,false,0,5148,1000.0,5,KuhnerFelsenstein,0.059823658103783386,sim-1121221206.msf,874712
MCMC,,,,5148000.0,5,ConsensusLogLL,-1191.8828762115716,sim-1121221206.msf,5161812
MCMC,,,,5148000.0,5,BestSampledLogLL,-Infinity,sim-1121221206.msf,5161812
MCMC,,,,5148000.0,5,PartitionMetric,2.0,sim-1121221206.msf,5161812
MCMC,,,,5148000.0,5,RobinsonFouldsMetric,1.2891704853153338,sim-1121221206.msf,5161812
MCMC,,,,5148000.0,5,KuhnerFelsenstein,0.1082079961057786,sim-1121221206.msf,5161812
ANNEALING,true,0,5134,1000.0,6,ConsensusLogLL,-1189.6261699619101,sim-1121221206.msf,890295
ANNEALING,true,0,5134,1000.0,6,BestSampledLogLL,-1193.9862309850248,sim-1121221206.msf,890295
ANNEALING,true,0,5134,1000.0,6,PartitionMetric,2.0,sim-1121221206.msf,890295
ANNEALING,true,0,5134,1000.0,6,RobinsonFouldsMetric,0.9317542846277264,sim-1121221206.msf,890295
ANNEALING,true,0,5134,1000.0,6,KuhnerFelsenstein,0.06263441348733244,sim-1121221206.msf,890295
ANNEALING,false,0,5134,1000.0,6,ConsensusLogLL,-1189.6776513157333,sim-1121221206.msf,873344
ANNEALING,false,0,5134,1000.0,6,BestSampledLogLL,-1193.7916031454852,sim-1121221206.msf,873344
ANNEALING,false,0,5134,1000.0,6,PartitionMetric,2.0,sim-1121221206.msf,873344
ANNEALING,false,0,5134,1000.0,6,RobinsonFouldsMetric,0.9211842846277264,sim-1121221206.msf,873344
ANNEALING,false,0,5134,1000.0,6,KuhnerFelsenstein,0.059119913839814374,sim-1121221206.msf,873344
MCMC,,,,5134000.0,6,ConsensusLogLL,-1191.984159878423,sim-1121221206.msf,5241667
MCMC,,,,5134000.0,6,BestSampledLogLL,-Infinity,sim-1121221206.msf,5241667
MCMC,,,,5134000.0,6,PartitionMetric,2.0,sim-1121221206.msf,5241667
MCMC,,,,5134000.0,6,RobinsonFouldsMetric,1.2392504853153343,sim-1121221206.msf,5241667
MCMC,,,,5134000.0,6,KuhnerFelsenstein,0.09627788442357203,sim-1121221206.msf,5241667
ANNEALING,true,0,5126,1000.0,7,ConsensusLogLL,-1189.623168706468,sim-1121221206.msf,926088
ANNEALING,true,0,5126,1000.0,7,BestSampledLogLL,-1194.3999354186337,sim-1121221206.msf,926088
ANNEALING,true,0,5126,1000.0,7,PartitionMetric,2.0,sim-1121221206.msf,926088
ANNEALING,true,0,5126,1000.0,7,RobinsonFouldsMetric,0.959434284627726,sim-1121221206.msf,926088
ANNEALING,true,0,5126,1000.0,7,KuhnerFelsenstein,0.06489752719463097,sim-1121221206.msf,926088
ANNEALING,false,0,5126,1000.0,7,ConsensusLogLL,-1189.8365079910202,sim-1121221206.msf,911151
ANNEALING,false,0,5126,1000.0,7,BestSampledLogLL,-1194.8360587296524,sim-1121221206.msf,911151
ANNEALING,false,0,5126,1000.0,7,PartitionMetric,2.0,sim-1121221206.msf,911151
ANNEALING,false,0,5126,1000.0,7,RobinsonFouldsMetric,0.9456342846277261,sim-1121221206.msf,911151
ANNEALING,false,0,5126,1000.0,7,KuhnerFelsenstein,0.06341583737371298,sim-1121221206.msf,911151
MCMC,,,,5126000.0,7,ConsensusLogLL,-1191.7005839588226,sim-1121221206.msf,5190641
MCMC,,,,5126000.0,7,BestSampledLogLL,-Infinity,sim-1121221206.msf,5190641
MCMC,,,,5126000.0,7,PartitionMetric,2.0,sim-1121221206.msf,5190641
MCMC,,,,5126000.0,7,RobinsonFouldsMetric,1.2561804853153344,sim-1121221206.msf,5190641
MCMC,,,,5126000.0,7,KuhnerFelsenstein,0.10073801998891226,sim-1121221206.msf,5190641
ANNEALING,true,0,5148,1000.0,8,ConsensusLogLL,-1189.3823597902065,sim-1121221206.msf,893052
ANNEALING,true,0,5148,1000.0,8,BestSampledLogLL,-1193.9240476501327,sim-1121221206.msf,893052
ANNEALING,true,0,5148,1000.0,8,PartitionMetric,2.0,sim-1121221206.msf,893052
ANNEALING,true,0,5148,1000.0,8,RobinsonFouldsMetric,0.9266942846277263,sim-1121221206.msf,893052
ANNEALING,true,0,5148,1000.0,8,KuhnerFelsenstein,0.06448023767866658,sim-1121221206.msf,893052
ANNEALING,false,0,5148,1000.0,8,ConsensusLogLL,-1189.7248638328513,sim-1121221206.msf,890070
ANNEALING,false,0,5148,1000.0,8,BestSampledLogLL,-1193.060030356044,sim-1121221206.msf,890070
ANNEALING,false,0,5148,1000.0,8,PartitionMetric,2.0,sim-1121221206.msf,890070
