#treeName,Method,NumericalLogZ,logZ
sim--436676853.msf.Rep0,Adaptive,0.0,-1911.2759890582658
sim--436676853.msf.Rep0,Deterministic,0.0,-1911.373589162601
sim--436676853.msf.Rep0,MCMC,NA,0.0
sim--436676853.msf.Rep0,SS,NA,-1911.9419958358496
sim--436676853.msf.Rep1,Adaptive,0.0,-1911.2933213946244
sim--436676853.msf.Rep1,Deterministic,0.0,-1910.8090336540574
sim--436676853.msf.Rep1,MCMC,NA,0.0
sim--436676853.msf.Rep1,SS,NA,-1911.8139155775903
sim--436676853.msf.Rep2,Adaptive,0.0,-1910.9200119321395
sim--436676853.msf.Rep2,Deterministic,0.0,-1911.6095285467702
sim--436676853.msf.Rep2,MCMC,NA,0.0
sim--436676853.msf.Rep2,SS,NA,-1911.1561280611973
sim--436676853.msf.Rep3,Adaptive,0.0,-1911.438082546628
sim--436676853.msf.Rep3,Deterministic,0.0,-1911.3952885638407
sim--436676853.msf.Rep3,MCMC,NA,0.0
sim--436676853.msf.Rep3,SS,NA,-1911.4947258889906
sim--436676853.msf.Rep4,Adaptive,0.0,-1911.0791119309054
sim--436676853.msf.Rep4,Deterministic,0.0,-1911.2397455865516
sim--436676853.msf.Rep4,MCMC,NA,0.0
sim--436676853.msf.Rep4,SS,NA,-1911.7304954064819
sim--436676853.msf.Rep5,Adaptive,0.0,-1909.9645122478648
sim--436676853.msf.Rep5,Deterministic,0.0,-1910.3138945321293
sim--436676853.msf.Rep5,MCMC,NA,0.0
sim--436676853.msf.Rep5,SS,NA,-1911.8656770556502
sim--436676853.msf.Rep6,Adaptive,0.0,-1911.6975896220197
sim--436676853.msf.Rep6,Deterministic,0.0,-1910.5897836097145
sim--436676853.msf.Rep6,MCMC,NA,0.0
sim--436676853.msf.Rep6,SS,NA,-1911.7528168635176
sim--436676853.msf.Rep7,Adaptive,0.0,-1910.214204451633
sim--436676853.msf.Rep7,Deterministic,0.0,-1911.16551225411
sim--436676853.msf.Rep7,MCMC,NA,0.0
sim--436676853.msf.Rep7,SS,NA,-1912.062892563042
sim--436676853.msf.Rep8,Adaptive,0.0,-1911.5646800013449
sim--436676853.msf.Rep8,Deterministic,0.0,-1910.9634657694585
sim--436676853.msf.Rep8,MCMC,NA,0.0
sim--436676853.msf.Rep8,SS,NA,-1911.6419712880859
sim--436676853.msf.Rep9,Adaptive,0.0,-1910.3688225130961
sim--436676853.msf.Rep9,Deterministic,0.0,-1911.1797462260818
sim--436676853.msf.Rep9,MCMC,NA,0.0
sim--436676853.msf.Rep9,SS,NA,-1911.04867782706
