#treeName,Method,NumericalLogZ,logZ
sim--1138069217.msf.Rep0,Adaptive,0.0,-1280.4374233415629
sim--1138069217.msf.Rep0,Deterministic,0.0,-1280.6972583429792
sim--1138069217.msf.Rep1,Adaptive,0.0,-1280.861928203506
sim--1138069217.msf.Rep1,Deterministic,0.0,-1280.5502740876161
sim--1138069217.msf.Rep2,Adaptive,0.0,-1280.3011032374998
sim--1138069217.msf.Rep2,Deterministic,0.0,-1280.512115209359
sim--1138069217.msf.Rep3,Adaptive,0.0,-1280.425633739964
sim--1138069217.msf.Rep3,Deterministic,0.0,-1280.6083155494557
sim--1138069217.msf.Rep4,Adaptive,0.0,-1280.2787656146177
sim--1138069217.msf.Rep4,Deterministic,0.0,-1280.5078374071852
sim--1138069217.msf.Rep5,Adaptive,0.0,-1280.8166645030685
sim--1138069217.msf.Rep5,Deterministic,0.0,-1280.0791537686987
sim--1138069217.msf.Rep6,Adaptive,0.0,-1280.4075247278247
sim--1138069217.msf.Rep6,Deterministic,0.0,-1280.316292441363
sim--1138069217.msf.Rep7,Adaptive,0.0,-1280.330240139328
sim--1138069217.msf.Rep7,Deterministic,0.0,-1280.5048964178536
sim--1138069217.msf.Rep8,Adaptive,0.0,-1280.8735439858867
sim--1138069217.msf.Rep8,Deterministic,0.0,-1280.050544099714
sim--1138069217.msf.Rep9,Adaptive,0.0,-1280.570578849863
sim--1138069217.msf.Rep9,Deterministic,0.0,-1280.6134818078615
sim--1138069217.msf.Rep10,Adaptive,0.0,-1280.4676100748713
sim--1138069217.msf.Rep10,Deterministic,0.0,-1280.630662135449
sim--1138069217.msf.Rep11,Adaptive,0.0,-1280.2941840626174
sim--1138069217.msf.Rep11,Deterministic,0.0,-1280.016260852975
sim--1138069217.msf.Rep12,Adaptive,0.0,-1280.2692523822027
sim--1138069217.msf.Rep12,Deterministic,0.0,-1280.400964488429
sim--1138069217.msf.Rep13,Adaptive,0.0,-1280.3558050699867
sim--1138069217.msf.Rep13,Deterministic,0.0,-1280.453679622831
sim--1138069217.msf.Rep14,Adaptive,0.0,-1280.727219316369
sim--1138069217.msf.Rep14,Deterministic,0.0,-1280.2687841484537
sim--1138069217.msf.Rep15,Adaptive,0.0,-1280.3855494462737
sim--1138069217.msf.Rep15,Deterministic,0.0,-1280.5688708554683
sim--1138069217.msf.Rep16,Adaptive,0.0,-1280.3851144838493
sim--1138069217.msf.Rep16,Deterministic,0.0,-1280.365152462867
sim--1138069217.msf.Rep17,Adaptive,0.0,-1280.4302926079745
sim--1138069217.msf.Rep17,Deterministic,0.0,-1280.1534491782593
sim--1138069217.msf.Rep18,Adaptive,0.0,-1280.5442465781655
sim--1138069217.msf.Rep18,Deterministic,0.0,-1280.5457367110205
sim--1138069217.msf.Rep19,Adaptive,0.0,-1280.7562575976015
sim--1138069217.msf.Rep19,Deterministic,0.0,-1280.3547054040612
