#t,ESS,tempDiff,temp
0,200.00000000000065,0.0,0.0
1,199.99979999999985,1.1029610263179694E-5,1.1029610263179694E-5
2,199.9992050244591,1.0912432450705072E-5,2.1942042713884764E-5
3,199.9982217922464,1.1318044874777157E-5,3.326008758866192E-5
4,199.99685430472263,1.1393903954719752E-5,4.465399154338167E-5
5,199.99511556439424,1.1472585036468617E-5,5.612657657985029E-5
6,199.99302042954935,1.1133239562901746E-5,6.725981614275203E-5
7,199.99056196450562,1.1078353302702057E-5,7.833816944545408E-5
8,199.9877281534704,1.1136752028556623E-5,8.94749214740107E-5
9,199.9845217696553,1.0966636286175407E-5,1.0044155776018611E-4
10,199.98095806484127,1.0818376371463211E-5,1.1125993413164932E-4
11,199.9770559247164,1.063608050116954E-5,1.2189601463281887E-4
12,199.9728428480322,1.0699854065840452E-5,1.325958686986593E-4
13,199.96829414543475,1.1167641250189016E-5,1.4376350994884832E-4
14,199.96342247598028,1.1173182232653234E-5,1.5493669218150156E-4
15,199.9582601611495,1.1394366595887171E-5,1.6633105877738875E-4
16,199.95277158316563,1.1160802380386962E-5,1.774918611577757E-4
17,199.9469485665479,1.1219029011691809E-5,1.8871089016946752E-4
18,199.94086193435191,1.1357931234771255E-5,2.0006882140423876E-4
19,199.93448827821766,1.1247543443140314E-5,2.1131636484737908E-4
20,199.9277926852382,1.1109836516672227E-5,2.2242620136405132E-4
21,199.920857940371,1.0892009080627016E-5,2.3331821044467833E-4
22,199.91361044181457,1.0818407893961414E-5,2.4413661833863975E-4
23,199.9060689050043,1.0720319015920594E-5,2.5485693735456037E-4
24,199.8982769029634,1.0535798848774479E-5,2.653927362033349E-4
25,199.89016530224507,1.062120368366756E-5,2.7601393988700246E-4
26,199.88178814989297,1.0703740454274429E-5,2.867176803412769E-4
27,199.87318670698642,1.0768244153938528E-5,2.974859244952154E-4
28,199.8642446395758,1.0796880213040643E-5,3.0828280470825603E-4
29,199.85497104823938,1.0914844198719669E-5,3.191976489069757E-4
30,199.84545129858304,1.1046786244594813E-5,3.3024443515157053E-4
31,199.83554950086847,1.0991110449489603E-5,3.412355456010601E-4
32,199.82549272513364,1.1062153182334974E-5,3.522976987833951E-4
33,199.81528800736555,1.115995705486497E-5,3.634576558382601E-4
34,199.80475062338525,1.1167029301513947E-5,3.74624685139774E-4
35,199.79397913328452,1.1133325483238062E-5,3.8575801062301206E-4
36,199.78272963421796,1.1045783951239915E-5,3.96803794574252E-4
37,199.77145208988208,1.1005872182126952E-5,4.078096667563789E-4
38,199.75994236363138,1.1065118034276046E-5,4.1887478479065495E-4
39,199.74845884989432,1.080140113159865E-5,4.296761859222536E-4
40,199.736677367517,1.0796311995224818E-5,4.4047249791747843E-4
41,199.7246993922811,1.0747159362599696E-5,4.512196572800781E-4
42,199.7122950581077,1.0864044860901826E-5,4.620837021409799E-4
43,199.6996156302829,1.0650550640256963E-5,4.727342527812369E-4
44,199.68677463509718,1.0650794757166645E-5,4.833850475384036E-4
45,199.67360034100582,1.0757178923867447E-5,4.941422264622711E-4
46,199.6600918782483,1.0585364678101704E-5,5.047275911403728E-4
47,199.64653762794757,1.072329812971011E-5,5.154508892700829E-4
48,199.6326933635969,1.0829481336320329E-5,5.262803706064033E-4
49,199.61861053991905,1.0704415913922255E-5,5.369847865203255E-4
50,199.6043917924569,1.0558471920917127E-5,5.475432584412426E-4
51,199.58986260522195,1.0563637619508393E-5,5.58106896060751E-4
52,199.57509515020925,1.0808219188275373E-5,5.689151152490264E-4
53,199.55999871353777,1.0825291038808507E-5,5.797404062878349E-4
54,199.54464813000806,1.081356559190779E-5,5.905539718797427E-4
55,199.52918149942658,1.0620130512542317E-5,6.01174102392285E-4
56,199.5134889862009,1.0742014562320867E-5,6.119161169546058E-4
57,199.49759462261574,1.07137226985079E-5,6.226298396531137E-4
58,199.4814527296413,1.075942776465209E-5,6.333892674177658E-4
59,199.46521814304634,1.0612418237672025E-5,6.440016856554379E-4
60,199.44886284929242,1.0903727664709023E-5,6.549054133201469E-4
61,199.43223332866486,1.1066295685640412E-5,6.659717090057873E-4
62,199.41551710564707,1.098136302265887E-5,6.769530720284461E-4
63,199.39875372328459,1.1043251842131736E-5,6.879963238705779E-4
64,199.3819159820611,1.095679651770847E-5,6.989531203882863E-4
65,199.36485566537644,1.0805570764466393E-5,7.097586911527528E-4
66,199.3478034541274,1.0740252776789335E-5,7.204989439295421E-4
67,199.33045164974845,1.071452101005875E-5,7.312134649396009E-4
68,199.31292912503852,1.0508928979833062E-5,7.41722393919434E-4
69,199.29520646151894,1.0592610821459074E-5,7.52315004740893E-4
70,199.27755302566857,1.0423411561574908E-5,7.62738416302468E-4
71,199.25918327811624,1.0550283792425661E-5,7.732887000948936E-4
72,199.24087740601138,1.0498725942287111E-5,7.837874260371808E-4
73,199.22213112894298,1.0201619303590275E-5,7.93989045340771E-4
74,199.2031459899779,1.0073692994200146E-5,8.040627383349711E-4
75,199.1841353864727,1.0052573506746008E-5,8.141153118417171E-4
76,199.16511025279186,9.978386079040469E-6,8.240936979207576E-4
77,199.14588905729184,9.962405081038724E-6,8.340561030017962E-4
78,199.12630808536926,1.0061727041754699E-5,8.44117830043551E-4
79,199.10625768829743,1.0072868035304317E-5,8.541906980788553E-4
80,199.08590946477935,9.925840051533513E-6,8.641165381303887E-4
81,199.0652835197447,9.886425641546423E-6,8.740029637719351E-4
82,199.04421719527497,9.971141436700652E-6,8.839741052086358E-4
83,199.02281493474575,9.891092212614717E-6,8.938651974212506E-4
84,199.00172491252712,9.92306710959846E-6,9.03788264530849E-4
85,198.98054855284988,9.933985918425928E-6,9.13722250449275E-4
86,198.95927648130115,1.0010797288631446E-5,9.237330477379064E-4
87,198.93799794441827,9.931025409901978E-6,9.336640731478084E-4
88,198.9164670395903,9.898292138927035E-6,9.435623652867354E-4
89,198.89500294993636,9.784047038444542E-6,9.5334641232518E-4
90,198.87289373048077,9.91964242272802E-6,9.63266054747908E-4
91,198.85034403399158,9.864750382479595E-6,9.731308051303876E-4
92,198.82754328605571,9.859969371000601E-6,9.829907745013881E-4
93,198.80471098597343,9.848653396591494E-6,9.928394278979796E-4
94,198.78153374800107,9.758048529067663E-6,0.0010025974764270472
95,198.7583304871692,9.708776350200895E-6,0.001012306252777248
96,198.73482069264966,9.831406445135621E-6,0.0010221376592223837
97,198.71150445990864,9.883399474324534E-6,0.0010320210586967082
98,198.68738905590516,9.880016505763787E-6,0.001041901075202472
99,198.6630289445717,9.974201431333591E-6,0.0010518752766338058
100,198.63831343859218,9.883411966361578E-6,0.0010617586886001674
101,198.61321450594855,9.73573040457742E-6,0.0010714944190047448
102,198.58824902542594,9.754663034298878E-6,0.0010812490820390438
103,198.5629696560813,9.732095134877775E-6,0.0010909811771739216
104,198.53768086119936,9.686091518704648E-6,0.0011006672686926261
105,198.51248767407492,9.625244265343744E-6,0.0011102925129579699
106,198.48669325621276,9.594822885696125E-6,0.001119887335843666
107,198.46076480424608,9.68716636320544E-6,0.0011295745022068715
108,198.43423801775484,9.639675676641958E-6,0.0011392141778835134
109,198.40758088625063,9.704986070717439E-6,0.0011489191639542308
110,198.38099688843457,9.752787052992679E-6,0.0011586719510072235
111,198.35375148332,9.655956814240267E-6,0.0011683279078214637
112,198.32626441401283,9.637585060814778E-6,0.0011779654928822784
113,198.29854959260098,9.693665876973705E-6,0.001187659158759252
114,198.27127756754777,9.722103645169009E-6,0.001197381262404421
115,198.2438870241288,9.675244265619358E-6,0.0012070565066700405
116,198.21579158660612,9.648893335096077E-6,0.0012167054000051367
117,198.18765452388683,9.664157104587782E-6,0.0012263695571097244
118,198.15955916789844,9.535798210702206E-6,0.0012359053553204265
119,198.13098814450493,9.456946635286042E-6,0.0012453623019557127
120,198.1024005221377,9.628069529087926E-6,0.0012549903714848007
121,198.07378575607308,9.573905210890426E-6,0.001264564276695691
122,198.04487247109336,9.501608003946802E-6,0.0012740658846996378
123,198.01536604732811,9.430310794217498E-6,0.0012834961954938553
124,197.98572801370298,9.638554356346727E-6,0.0012931347498502022
125,197.9558494173838,9.429829313593552E-6,0.0013025645791637957
126,197.92623564197768,9.397152762000732E-6,0.0013119617319257964
127,197.89678099658784,9.304597900171675E-6,0.0013212663298259682
128,197.86730242601877,9.41300163760262E-6,0.0013306793314635708
129,197.8375698762559,9.440306734152434E-6,0.0013401196381977233
130,197.80752957339467,9.265804304503436E-6,0.0013493854425022267
131,197.77725581871616,9.290809869742989E-6,0.0013586762523719697
132,197.74645317053964,9.40729100893894E-6,0.0013680835433809086
133,197.71534652898185,9.28188477473965E-6,0.0013773654281556483
134,197.6839279360492,9.386470717221596E-6,0.0013867518988728699
135,197.65241801729968,9.293298934900028E-6,0.00139604519780777
136,197.62067564241102,9.229061131041448E-6,0.0014052742589388116
137,197.58855826239483,9.310032180328722E-6,0.0014145842911191403
138,197.55619450453887,9.292437279879166E-6,0.0014238767283990194
139,197.5239170011576,9.39244167842467E-6,0.0014332691700774441
140,197.49131622844726,9.63492902452099E-6,0.0014429040991019652
141,197.45845261619732,9.485845144693037E-6,0.0014523899442466582
142,197.4252176840103,9.460733967966763E-6,0.0014618506782146249
143,197.39238825139856,9.316896914571849E-6,0.0014711675751291967
144,197.35952006373066,9.441675723740137E-6,0.0014806092508529369
145,197.3274053300874,9.33384910906135E-6,0.0014899430999619982
146,197.29544676223102,9.449674360696135E-6,0.0014993927743226943
147,197.26340017463116,9.260575948966284E-6,0.0015086533502716606
148,197.23120353397866,9.124408163083077E-6,0.0015177777584347437
149,197.1991367119668,9.272573824712373E-6,0.0015270503322594561
150,197.16725280077944,9.27566663492278E-6,0.001536325998894379
151,197.13495636565474,9.391694436443254E-6,0.0015457176933308223
152,197.10319281027296,9.213590394441841E-6,0.001554931283725264
153,197.0714997575552,9.213225998612717E-6,0.0015641445097238768
154,197.03964943883258,9.211220595491246E-6,0.001573355730319368
155,197.0073204585108,9.098446899549017E-6,0.001582454177218917
156,196.9746737786064,9.160197879215823E-6,0.0015916143750981328
157,196.94167691977833,9.131089857133327E-6,0.0016007454649552661
158,196.90789748399993,9.096982779732836E-6,0.001609842447734999
159,196.87417999199857,9.136291109811387E-6,0.0016189787388448105
160,196.84036844187483,9.072098565777628E-6,0.0016280508374105882
161,196.8062969595513,9.155785482315954E-6,0.0016372066228929041
162,196.77271966764334,9.139745229774275E-6,0.0016463463681226783
163,196.73925204408528,9.164919621316137E-6,0.0016555112877439943
164,196.7053133773671,9.163882676371714E-6,0.001664675170420366
165,196.6709047733832,9.12238201498341E-6,0.0016737975524353493
166,196.63649977323178,9.185275139617787E-6,0.001682982827574967
167,196.6023604776884,9.250373774350614E-6,0.0016922332013493177
168,196.5677583020474,9.297132567678297E-6,0.001701530333916996
169,196.53315763888924,9.606172563913462E-6,0.0017111365064809093
170,196.49732744607778,9.561407540220054E-6,0.0017206979140211294
171,196.46119307124587,9.632799212908547E-6,0.001730330713234038
172,196.42596878723293,9.681969190600899E-6,0.001740012682424639
173,196.39016816258615,9.503488535171486E-6,0.0017495161709598103
174,196.35433922122357,9.515270566684091E-6,0.0017590314415264945
175,196.3181062584198,9.354786723009242E-6,0.0017683862282495038
176,196.28267881089602,9.423596709151218E-6,0.001777809824958655
177,196.2478827683639,9.40230020849151E-6,0.0017872121251671464
178,196.21340747455054,9.50840211665205E-6,0.0017967205272837986
179,196.17804017989,9.600042588686546E-6,0.001806320569872485
180,196.14223829251114,9.606596071232635E-6,0.0018159271659437177
181,196.1063920052663,9.564513788021951E-6,0.0018254916797317397
182,196.07140782811268,9.650723385488711E-6,0.0018351424031172285
183,196.0365315138205,9.469397922925808E-6,0.0018446118010401543
184,196.0019509621334,9.539244031147404E-6,0.0018541510450713016
185,195.96708901781307,9.577545125366298E-6,0.0018637285901966678
186,195.93216444882404,9.598429074053846E-6,0.0018733270192707217
187,195.89649625494326,9.536458527484697E-6,0.0018828634777982064
188,195.86196317425484,9.467846151435537E-6,0.001892331323949642
189,195.827211360701,9.456713263777213E-6,0.0019017880372134192
190,195.7925408398261,9.70201331154585E-6,0.001911490050524965
191,195.75732894006268,9.622913270148807E-6,0.0019211129637951138
192,195.72185642369425,9.566394798693408E-6,0.0019306793585938072
193,195.68647787309342,9.67189673841778E-6,0.001940351255332225
194,195.65115897329244,9.789332397678152E-6,0.0019501405877299033
195,195.61572036600734,9.766538223194055E-6,0.0019599071259530972
196,195.58088416194136,9.840875933956154E-6,0.0019697480018870533
197,195.54571165872355,9.825805497908735E-6,0.001979573807384962
198,195.5095659594205,9.893402278656257E-6,0.001989467209663618
199,195.47329444345033,9.908927835678941E-6,0.001999376137499297
200,195.43689398695474,9.875747750079382E-6,0.002009251885249376
201,195.40134575456247,1.0030775642503322E-5,0.0020192826608918793
202,195.36599533707954,1.000913365685531E-5,0.0020292917945487344
203,195.33079933946172,1.0077442319733316E-5,0.0020393692368684676
204,195.29530201274002,9.999009973805636E-6,0.0020493682468422734
205,195.26072909940632,1.0152362085171345E-5,0.002059520608927445
206,195.22550767657182,9.980182191475922E-6,0.002069500791118921
207,195.19076199088698,9.903757055845367E-6,0.0020794045481747664
208,195.15609806779443,9.81174884501672E-6,0.002089216297019783
209,195.12101247055338,9.837184939021746E-6,0.002099053481958805
210,195.08586138180507,9.944699506954324E-6,0.002108998181465759
211,195.05103332985837,1.014701415429778E-5,0.002119145195620057
212,195.0148962215686,1.012023710167727E-5,0.0021292654327217343
213,194.97977041473933,1.0342697011442665E-5,0.0021396081297331768
214,194.9430470055113,1.0423061018292532E-5,0.0021500311907514695
215,194.90499456551447,1.0271543223337153E-5,0.0021603027339748065
216,194.86684754986882,1.0228343635646613E-5,0.002170531077610453
217,194.82931919780955,9.880579701760684E-6,0.002180411657312214
