#Method,Adaptive,AdaptiveType,T,IterScale,Repeat,Metric,Value,TreeName,Time
ANNEALING,true,0,29570,200.0,0,ConsensusLogLL,-2713.1407856161622,sim--1138069217.msf,4243812
ANNEALING,true,0,29570,200.0,0,BestSampledLogLL,-2729.4750887684236,sim--1138069217.msf,4243812
ANNEALING,true,0,29570,200.0,0,PartitionMetric,12.0,sim--1138069217.msf,4243812
ANNEALING,true,0,29570,200.0,0,RobinsonFouldsMetric,2.7662681249432914,sim--1138069217.msf,4243812
ANNEALING,true,0,29570,200.0,0,KuhnerFelsenstein,0.1905671841957407,sim--1138069217.msf,4243812
ANNEALING,false,0,29570,200.0,0,ConsensusLogLL,-2712.381977186075,sim--1138069217.msf,4273141
ANNEALING,false,0,29570,200.0,0,BestSampledLogLL,-2732.7799099175713,sim--1138069217.msf,4273141
ANNEALING,false,0,29570,200.0,0,PartitionMetric,10.0,sim--1138069217.msf,4273141
ANNEALING,false,0,29570,200.0,0,RobinsonFouldsMetric,2.610216472035285,sim--1138069217.msf,4273141
ANNEALING,false,0,29570,200.0,0,KuhnerFelsenstein,0.17898230325538256,sim--1138069217.msf,4273141
ANNEALING,true,0,29083,200.0,1,ConsensusLogLL,-2713.81811604248,sim--1138069217.msf,4240346
ANNEALING,true,0,29083,200.0,1,BestSampledLogLL,-2733.713896305992,sim--1138069217.msf,4240346
ANNEALING,true,0,29083,200.0,1,PartitionMetric,8.0,sim--1138069217.msf,4240346
ANNEALING,true,0,29083,200.0,1,RobinsonFouldsMetric,2.6002253548266427,sim--1138069217.msf,4240346
ANNEALING,true,0,29083,200.0,1,KuhnerFelsenstein,0.17439482426417938,sim--1138069217.msf,4240346
ANNEALING,false,0,29083,200.0,1,ConsensusLogLL,-2713.872540940224,sim--1138069217.msf,4099523
ANNEALING,false,0,29083,200.0,1,BestSampledLogLL,-2728.5021929696554,sim--1138069217.msf,4099523
ANNEALING,false,0,29083,200.0,1,PartitionMetric,12.0,sim--1138069217.msf,4099523
ANNEALING,false,0,29083,200.0,1,RobinsonFouldsMetric,2.718201068525816,sim--1138069217.msf,4099523
ANNEALING,false,0,29083,200.0,1,KuhnerFelsenstein,0.18019926244804663,sim--1138069217.msf,4099523
ANNEALING,true,0,29151,200.0,2,ConsensusLogLL,-2712.0556809590557,sim--1138069217.msf,4140961
ANNEALING,true,0,29151,200.0,2,BestSampledLogLL,-2732.948484561244,sim--1138069217.msf,4140961
ANNEALING,true,0,29151,200.0,2,PartitionMetric,10.0,sim--1138069217.msf,4140961
ANNEALING,true,0,29151,200.0,2,RobinsonFouldsMetric,2.6776381249432917,sim--1138069217.msf,4140961
ANNEALING,true,0,29151,200.0,2,KuhnerFelsenstein,0.1865211276594765,sim--1138069217.msf,4140961
ANNEALING,false,0,29151,200.0,2,ConsensusLogLL,-2713.024804983236,sim--1138069217.msf,4133463
ANNEALING,false,0,29151,200.0,2,BestSampledLogLL,-2729.315897603595,sim--1138069217.msf,4133463
ANNEALING,false,0,29151,200.0,2,PartitionMetric,8.0,sim--1138069217.msf,4133463
ANNEALING,false,0,29151,200.0,2,RobinsonFouldsMetric,2.7714810685258153,sim--1138069217.msf,4133463
ANNEALING,false,0,29151,200.0,2,KuhnerFelsenstein,0.1982089429433614,sim--1138069217.msf,4133463
ANNEALING,true,0,29341,200.0,3,ConsensusLogLL,-2712.0680784599376,sim--1138069217.msf,4162088
ANNEALING,true,0,29341,200.0,3,BestSampledLogLL,-2730.6898739510075,sim--1138069217.msf,4162088
ANNEALING,true,0,29341,200.0,3,PartitionMetric,10.0,sim--1138069217.msf,4162088
ANNEALING,true,0,29341,200.0,3,RobinsonFouldsMetric,2.722258855188915,sim--1138069217.msf,4162088
ANNEALING,true,0,29341,200.0,3,KuhnerFelsenstein,0.18148487377094472,sim--1138069217.msf,4162088
ANNEALING,false,0,29341,200.0,3,ConsensusLogLL,-2712.55556892936,sim--1138069217.msf,4149749
ANNEALING,false,0,29341,200.0,3,BestSampledLogLL,-2735.4275723474534,sim--1138069217.msf,4149749
ANNEALING,false,0,29341,200.0,3,PartitionMetric,8.0,sim--1138069217.msf,4149749
ANNEALING,false,0,29341,200.0,3,RobinsonFouldsMetric,2.6289996833078733,sim--1138069217.msf,4149749
ANNEALING,false,0,29341,200.0,3,KuhnerFelsenstein,0.1763032289835399,sim--1138069217.msf,4149749
ANNEALING,true,0,29508,200.0,4,ConsensusLogLL,-2713.2617995893534,sim--1138069217.msf,4201835
ANNEALING,true,0,29508,200.0,4,BestSampledLogLL,-2733.269731150518,sim--1138069217.msf,4201835
ANNEALING,true,0,29508,200.0,4,PartitionMetric,12.0,sim--1138069217.msf,4201835
ANNEALING,true,0,29508,200.0,4,RobinsonFouldsMetric,2.701355931189795,sim--1138069217.msf,4201835
ANNEALING,true,0,29508,200.0,4,KuhnerFelsenstein,0.18292754786275922,sim--1138069217.msf,4201835
ANNEALING,false,0,29508,200.0,4,ConsensusLogLL,-2711.754821890669,sim--1138069217.msf,4166905
ANNEALING,false,0,29508,200.0,4,BestSampledLogLL,-2727.576980431126,sim--1138069217.msf,4166905
ANNEALING,false,0,29508,200.0,4,PartitionMetric,6.0,sim--1138069217.msf,4166905
ANNEALING,false,0,29508,200.0,4,RobinsonFouldsMetric,2.614358124943292,sim--1138069217.msf,4166905
ANNEALING,false,0,29508,200.0,4,KuhnerFelsenstein,0.17626867421695433,sim--1138069217.msf,4166905
ANNEALING,true,0,28975,200.0,5,ConsensusLogLL,-2713.1165990005034,sim--1138069217.msf,4120139
ANNEALING,true,0,28975,200.0,5,BestSampledLogLL,-2733.3681792360244,sim--1138069217.msf,4120139
ANNEALING,true,0,28975,200.0,5,PartitionMetric,10.0,sim--1138069217.msf,4120139
ANNEALING,true,0,28975,200.0,5,RobinsonFouldsMetric,2.589168533851927,sim--1138069217.msf,4120139
ANNEALING,true,0,28975,200.0,5,KuhnerFelsenstein,0.1718981893466921,sim--1138069217.msf,4120139
ANNEALING,false,0,28975,200.0,5,ConsensusLogLL,-2714.3643853581752,sim--1138069217.msf,4100472
ANNEALING,false,0,28975,200.0,5,BestSampledLogLL,-2734.563216279869,sim--1138069217.msf,4100472
ANNEALING,false,0,28975,200.0,5,PartitionMetric,10.0,sim--1138069217.msf,4100472
ANNEALING,false,0,28975,200.0,5,RobinsonFouldsMetric,2.7025710488303436,sim--1138069217.msf,4100472
ANNEALING,false,0,28975,200.0,5,KuhnerFelsenstein,0.1781987931421239,sim--1138069217.msf,4100472
ANNEALING,true,0,29400,200.0,6,ConsensusLogLL,-2711.7080320459368,sim--1138069217.msf,4185631
ANNEALING,true,0,29400,200.0,6,BestSampledLogLL,-2736.539125672185,sim--1138069217.msf,4185631
ANNEALING,true,0,29400,200.0,6,PartitionMetric,8.0,sim--1138069217.msf,4185631
ANNEALING,true,0,29400,200.0,6,RobinsonFouldsMetric,2.592047421566131,sim--1138069217.msf,4185631
ANNEALING,true,0,29400,200.0,6,KuhnerFelsenstein,0.17276378267789716,sim--1138069217.msf,4185631
ANNEALING,false,0,29400,200.0,6,ConsensusLogLL,-2712.6583481604493,sim--1138069217.msf,4156300
ANNEALING,false,0,29400,200.0,6,BestSampledLogLL,-2731.028811213165,sim--1138069217.msf,4156300
ANNEALING,false,0,29400,200.0,6,PartitionMetric,14.0,sim--1138069217.msf,4156300
ANNEALING,false,0,29400,200.0,6,RobinsonFouldsMetric,2.763904150553186,sim--1138069217.msf,4156300
ANNEALING,false,0,29400,200.0,6,KuhnerFelsenstein,0.18673132576138304,sim--1138069217.msf,4156300
ANNEALING,true,0,29190,200.0,7,ConsensusLogLL,-2713.398759116802,sim--1138069217.msf,4157815
ANNEALING,true,0,29190,200.0,7,BestSampledLogLL,-2733.838691551344,sim--1138069217.msf,4157815
ANNEALING,true,0,29190,200.0,7,PartitionMetric,10.0,sim--1138069217.msf,4157815
ANNEALING,true,0,29190,200.0,7,RobinsonFouldsMetric,2.57531231461294,sim--1138069217.msf,4157815
ANNEALING,true,0,29190,200.0,7,KuhnerFelsenstein,0.1672907925102322,sim--1138069217.msf,4157815
ANNEALING,false,0,29190,200.0,7,ConsensusLogLL,-2712.6275534399156,sim--1138069217.msf,4137131
ANNEALING,false,0,29190,200.0,7,BestSampledLogLL,-2731.05772486055,sim--1138069217.msf,4137131
ANNEALING,false,0,29190,200.0,7,PartitionMetric,10.0,sim--1138069217.msf,4137131
ANNEALING,false,0,29190,200.0,7,RobinsonFouldsMetric,2.7578166685613708,sim--1138069217.msf,4137131
ANNEALING,false,0,29190,200.0,7,KuhnerFelsenstein,0.18876795472057598,sim--1138069217.msf,4137131
ANNEALING,true,0,29532,200.0,8,ConsensusLogLL,-2713.5816639591153,sim--1138069217.msf,4210175
ANNEALING,true,0,29532,200.0,8,BestSampledLogLL,-2737.488205000852,sim--1138069217.msf,4210175
ANNEALING,true,0,29532,200.0,8,PartitionMetric,10.0,sim--1138069217.msf,4210175
ANNEALING,true,0,29532,200.0,8,RobinsonFouldsMetric,2.713237616568384,sim--1138069217.msf,4210175
ANNEALING,true,0,29532,200.0,8,KuhnerFelsenstein,0.19100003958344813,sim--1138069217.msf,4210175
ANNEALING,false,0,29532,200.0,8,ConsensusLogLL,-2713.2100885857276,sim--1138069217.msf,4194375
ANNEALING,false,0,29532,200.0,8,BestSampledLogLL,-2733.120043810705,sim--1138069217.msf,4194375
ANNEALING,false,0,29532,200.0,8,PartitionMetric,12.0,sim--1138069217.msf,4194375
ANNEALING,false,0,29532,200.0,8,RobinsonFouldsMetric,2.6828754936382233,sim--1138069217.msf,4194375
ANNEALING,false,0,29532,200.0,8,KuhnerFelsenstein,0.18458091417290415,sim--1138069217.msf,4194375
ANNEALING,true,0,29064,200.0,9,ConsensusLogLL,-2713.966846009092,sim--1138069217.msf,4135349
