#treeName,Method,NumericalLogZ,logZ
sim--1138069217.msf.Rep0,Deterministic,0.0,-1280.5111099074045
sim--1138069217.msf.Rep1,Deterministic,0.0,-1280.9434904022062
sim--1138069217.msf.Rep2,Deterministic,0.0,-1280.4118738087882
sim--1138069217.msf.Rep3,Deterministic,0.0,-1280.2524628023834
sim--1138069217.msf.Rep4,Deterministic,0.0,-1280.4733945877647
sim--1138069217.msf.Rep5,Deterministic,0.0,-1280.4504584837955
sim--1138069217.msf.Rep6,Deterministic,0.0,-1280.4160009908055
sim--1138069217.msf.Rep7,Deterministic,0.0,-1280.8470994156867
sim--1138069217.msf.Rep8,Deterministic,0.0,-1280.7689976067104
sim--1138069217.msf.Rep9,Deterministic,0.0,-1280.5047170445955
sim--1138069217.msf.Rep10,Deterministic,0.0,-1280.1029065728987
sim--1138069217.msf.Rep11,Deterministic,0.0,-1280.7323396454035
sim--1138069217.msf.Rep12,Deterministic,0.0,-1281.0240144157913
sim--1138069217.msf.Rep13,Deterministic,0.0,-1280.2758530197275
sim--1138069217.msf.Rep14,Deterministic,0.0,-1280.4825085200544
sim--1138069217.msf.Rep15,Deterministic,0.0,-1280.495238728466
sim--1138069217.msf.Rep16,Deterministic,0.0,-1280.8143212384773
sim--1138069217.msf.Rep17,Deterministic,0.0,-1280.4657325250726
sim--1138069217.msf.Rep18,Deterministic,0.0,-1280.5882364686645
sim--1138069217.msf.Rep19,Deterministic,0.0,-1280.5908663486402
