#Method,Adaptive,AdaptiveType,T,IterScale,Repeat,Metric,Value,TreeName,Time
ANNEALING,false,0,12200,200.0,0,ConsensusLogLL,-1094.471479220565,sim--1063910689.msf,664335
ANNEALING,false,0,12200,200.0,0,BestSampledLogLL,-1100.57218594148,sim--1063910689.msf,664335
ANNEALING,false,0,12200,200.0,0,PartitionMetric,6.0,sim--1063910689.msf,664335
ANNEALING,false,0,12200,200.0,0,RobinsonFouldsMetric,0.9265900184239095,sim--1063910689.msf,664335
ANNEALING,false,0,12200,200.0,0,KuhnerFelsenstein,0.037325832928470706,sim--1063910689.msf,664335
ANNEALING,false,0,12200,200.0,1,ConsensusLogLL,-1095.2630780134905,sim--1063910689.msf,658779
ANNEALING,false,0,12200,200.0,1,BestSampledLogLL,-1099.8150839940904,sim--1063910689.msf,658779
ANNEALING,false,0,12200,200.0,1,PartitionMetric,6.0,sim--1063910689.msf,658779
ANNEALING,false,0,12200,200.0,1,RobinsonFouldsMetric,0.9230980943138988,sim--1063910689.msf,658779
ANNEALING,false,0,12200,200.0,1,KuhnerFelsenstein,0.037696995774129036,sim--1063910689.msf,658779
ANNEALING,false,0,12200,200.0,2,ConsensusLogLL,-1094.3876981316773,sim--1063910689.msf,656860
ANNEALING,false,0,12200,200.0,2,BestSampledLogLL,-1099.562706319502,sim--1063910689.msf,656860
ANNEALING,false,0,12200,200.0,2,PartitionMetric,6.0,sim--1063910689.msf,656860
ANNEALING,false,0,12200,200.0,2,RobinsonFouldsMetric,0.9605118380205222,sim--1063910689.msf,656860
ANNEALING,false,0,12200,200.0,2,KuhnerFelsenstein,0.04152459786971807,sim--1063910689.msf,656860
ANNEALING,false,0,12200,200.0,3,ConsensusLogLL,-1094.3087333881695,sim--1063910689.msf,658235
ANNEALING,false,0,12200,200.0,3,BestSampledLogLL,-1098.9837777123016,sim--1063910689.msf,658235
ANNEALING,false,0,12200,200.0,3,PartitionMetric,6.0,sim--1063910689.msf,658235
ANNEALING,false,0,12200,200.0,3,RobinsonFouldsMetric,0.9280800184239097,sim--1063910689.msf,658235
ANNEALING,false,0,12200,200.0,3,KuhnerFelsenstein,0.036486449190290995,sim--1063910689.msf,658235
ANNEALING,false,0,12200,200.0,4,ConsensusLogLL,-1094.3870008298063,sim--1063910689.msf,660762
ANNEALING,false,0,12200,200.0,4,BestSampledLogLL,-1099.9943099927489,sim--1063910689.msf,660762
ANNEALING,false,0,12200,200.0,4,PartitionMetric,6.0,sim--1063910689.msf,660762
ANNEALING,false,0,12200,200.0,4,RobinsonFouldsMetric,0.9393400184239096,sim--1063910689.msf,660762
ANNEALING,false,0,12200,200.0,4,KuhnerFelsenstein,0.036764596599213925,sim--1063910689.msf,660762
ANNEALING,false,0,12200,200.0,5,ConsensusLogLL,-1094.6343105704816,sim--1063910689.msf,672173
ANNEALING,false,0,12200,200.0,5,BestSampledLogLL,-1100.4535535264272,sim--1063910689.msf,672173
ANNEALING,false,0,12200,200.0,5,PartitionMetric,4.0,sim--1063910689.msf,672173
ANNEALING,false,0,12200,200.0,5,RobinsonFouldsMetric,0.9319900184239096,sim--1063910689.msf,672173
ANNEALING,false,0,12200,200.0,5,KuhnerFelsenstein,0.0368349613108145,sim--1063910689.msf,672173
ANNEALING,false,0,12200,200.0,6,ConsensusLogLL,-1094.7293778226926,sim--1063910689.msf,674551
ANNEALING,false,0,12200,200.0,6,BestSampledLogLL,-1100.7231028599554,sim--1063910689.msf,674551
ANNEALING,false,0,12200,200.0,6,PartitionMetric,6.0,sim--1063910689.msf,674551
ANNEALING,false,0,12200,200.0,6,RobinsonFouldsMetric,0.9595000184239098,sim--1063910689.msf,674551
ANNEALING,false,0,12200,200.0,6,KuhnerFelsenstein,0.038464279783193146,sim--1063910689.msf,674551
ANNEALING,false,0,12200,200.0,7,ConsensusLogLL,-1094.5244752433882,sim--1063910689.msf,675029
ANNEALING,false,0,12200,200.0,7,BestSampledLogLL,-1099.7108677018991,sim--1063910689.msf,675029
ANNEALING,false,0,12200,200.0,7,PartitionMetric,4.0,sim--1063910689.msf,675029
ANNEALING,false,0,12200,200.0,7,RobinsonFouldsMetric,0.92913001842391,sim--1063910689.msf,675029
ANNEALING,false,0,12200,200.0,7,KuhnerFelsenstein,0.03634184217661854,sim--1063910689.msf,675029
ANNEALING,false,0,12200,200.0,8,ConsensusLogLL,-1095.5567984416239,sim--1063910689.msf,659553
ANNEALING,false,0,12200,200.0,8,BestSampledLogLL,-1101.9390953258182,sim--1063910689.msf,659553
ANNEALING,false,0,12200,200.0,8,PartitionMetric,6.0,sim--1063910689.msf,659553
ANNEALING,false,0,12200,200.0,8,RobinsonFouldsMetric,0.9735002265579236,sim--1063910689.msf,659553
ANNEALING,false,0,12200,200.0,8,KuhnerFelsenstein,0.04438658772589254,sim--1063910689.msf,659553
ANNEALING,false,0,12200,200.0,9,ConsensusLogLL,-1094.4266506791732,sim--1063910689.msf,656832
ANNEALING,false,0,12200,200.0,9,BestSampledLogLL,-1099.6653007828736,sim--1063910689.msf,656832
ANNEALING,false,0,12200,200.0,9,PartitionMetric,6.0,sim--1063910689.msf,656832
ANNEALING,false,0,12200,200.0,9,RobinsonFouldsMetric,0.9530600184239097,sim--1063910689.msf,656832
ANNEALING,false,0,12200,200.0,9,KuhnerFelsenstein,0.03977135166529516,sim--1063910689.msf,656832
ANNEALING,false,0,12200,200.0,10,ConsensusLogLL,-1095.147250585313,sim--1063910689.msf,661571
ANNEALING,false,0,12200,200.0,10,BestSampledLogLL,-1100.1269082879037,sim--1063910689.msf,661571
ANNEALING,false,0,12200,200.0,10,PartitionMetric,4.0,sim--1063910689.msf,661571
ANNEALING,false,0,12200,200.0,10,RobinsonFouldsMetric,0.9258100184239098,sim--1063910689.msf,661571
ANNEALING,false,0,12200,200.0,10,KuhnerFelsenstein,0.03985111941014789,sim--1063910689.msf,661571
ANNEALING,false,0,12200,200.0,11,ConsensusLogLL,-1094.762498468779,sim--1063910689.msf,653659
ANNEALING,false,0,12200,200.0,11,BestSampledLogLL,-1100.0341619416886,sim--1063910689.msf,653659
ANNEALING,false,0,12200,200.0,11,PartitionMetric,4.0,sim--1063910689.msf,653659
ANNEALING,false,0,12200,200.0,11,RobinsonFouldsMetric,0.9176700184239097,sim--1063910689.msf,653659
ANNEALING,false,0,12200,200.0,11,KuhnerFelsenstein,0.039498434880233045,sim--1063910689.msf,653659
ANNEALING,false,0,12200,200.0,12,ConsensusLogLL,-1094.6991134625798,sim--1063910689.msf,653994
