#Method,Adaptive,AdaptiveType,T,IterScale,Repeat,Metric,Value,TreeName,Time
MCMC,,,,50000.0,0,ConsensusLogLL,-2861.8382916182245,sim-176216295.msf,203605
MCMC,,,,50000.0,0,BestSampledLogLL,-Infinity,sim-176216295.msf,203605
MCMC,,,,50000.0,0,PartitionMetric,26.0,sim-176216295.msf,203605
MCMC,,,,50000.0,0,RobinsonFouldsMetric,19.982854068198183,sim-176216295.msf,203605
MCMC,,,,50000.0,0,KuhnerFelsenstein,139.40794255582904,sim-176216295.msf,203605
MCMC,,,,50000.0,1,ConsensusLogLL,-3072.814398034772,sim-176216295.msf,196348
MCMC,,,,50000.0,1,BestSampledLogLL,-Infinity,sim-176216295.msf,196348
MCMC,,,,50000.0,1,PartitionMetric,32.0,sim-176216295.msf,196348
MCMC,,,,50000.0,1,RobinsonFouldsMetric,39.06253639173839,sim-176216295.msf,196348
MCMC,,,,50000.0,1,KuhnerFelsenstein,302.873905409304,sim-176216295.msf,196348
MCMC,,,,50000.0,2,ConsensusLogLL,-2940.3328791190847,sim-176216295.msf,189783
MCMC,,,,50000.0,2,BestSampledLogLL,-Infinity,sim-176216295.msf,189783
MCMC,,,,50000.0,2,PartitionMetric,36.0,sim-176216295.msf,189783
MCMC,,,,50000.0,2,RobinsonFouldsMetric,22.86832475473732,sim-176216295.msf,189783
MCMC,,,,50000.0,2,KuhnerFelsenstein,147.9105878373628,sim-176216295.msf,189783
MCMC,,,,50000.0,3,ConsensusLogLL,-3028.0123692263855,sim-176216295.msf,189758
MCMC,,,,50000.0,3,BestSampledLogLL,-Infinity,sim-176216295.msf,189758
MCMC,,,,50000.0,3,PartitionMetric,26.0,sim-176216295.msf,189758
MCMC,,,,50000.0,3,RobinsonFouldsMetric,24.117227000649596,sim-176216295.msf,189758
MCMC,,,,50000.0,3,KuhnerFelsenstein,57.35494960368307,sim-176216295.msf,189758
MCMC,,,,50000.0,4,ConsensusLogLL,-3028.144317457317,sim-176216295.msf,189981
MCMC,,,,50000.0,4,BestSampledLogLL,-Infinity,sim-176216295.msf,189981
MCMC,,,,50000.0,4,PartitionMetric,28.0,sim-176216295.msf,189981
MCMC,,,,50000.0,4,RobinsonFouldsMetric,11.13165260225534,sim-176216295.msf,189981
MCMC,,,,50000.0,4,KuhnerFelsenstein,6.437056950657323,sim-176216295.msf,189981
MCMC,,,,50000.0,5,ConsensusLogLL,-2832.8666475011933,sim-176216295.msf,189349
MCMC,,,,50000.0,5,BestSampledLogLL,-Infinity,sim-176216295.msf,189349
MCMC,,,,50000.0,5,PartitionMetric,10.0,sim-176216295.msf,189349
MCMC,,,,50000.0,5,RobinsonFouldsMetric,6.514876301189147,sim-176216295.msf,189349
MCMC,,,,50000.0,5,KuhnerFelsenstein,2.6702992074320866,sim-176216295.msf,189349
MCMC,,,,50000.0,6,ConsensusLogLL,-3487.3403119361033,sim-176216295.msf,188724
MCMC,,,,50000.0,6,BestSampledLogLL,-Infinity,sim-176216295.msf,188724
MCMC,,,,50000.0,6,PartitionMetric,52.0,sim-176216295.msf,188724
MCMC,,,,50000.0,6,RobinsonFouldsMetric,55.935425895970816,sim-176216295.msf,188724
MCMC,,,,50000.0,6,KuhnerFelsenstein,426.56263237939095,sim-176216295.msf,188724
MCMC,,,,50000.0,7,ConsensusLogLL,-3059.573543674738,sim-176216295.msf,189846
MCMC,,,,50000.0,7,BestSampledLogLL,-Infinity,sim-176216295.msf,189846
MCMC,,,,50000.0,7,PartitionMetric,32.0,sim-176216295.msf,189846
MCMC,,,,50000.0,7,RobinsonFouldsMetric,43.82046476412451,sim-176216295.msf,189846
MCMC,,,,50000.0,7,KuhnerFelsenstein,245.54637040679762,sim-176216295.msf,189846
MCMC,,,,50000.0,8,ConsensusLogLL,-2979.3618101105526,sim-176216295.msf,190266
MCMC,,,,50000.0,8,BestSampledLogLL,-Infinity,sim-176216295.msf,190266
MCMC,,,,50000.0,8,PartitionMetric,22.0,sim-176216295.msf,190266
MCMC,,,,50000.0,8,RobinsonFouldsMetric,15.953670000518759,sim-176216295.msf,190266
MCMC,,,,50000.0,8,KuhnerFelsenstein,38.62274668233667,sim-176216295.msf,190266
MCMC,,,,50000.0,9,ConsensusLogLL,-3116.2898757087623,sim-176216295.msf,190064
MCMC,,,,50000.0,9,BestSampledLogLL,-Infinity,sim-176216295.msf,190064
MCMC,,,,50000.0,9,PartitionMetric,36.0,sim-176216295.msf,190064
MCMC,,,,50000.0,9,RobinsonFouldsMetric,41.05314805519817,sim-176216295.msf,190064
MCMC,,,,50000.0,9,KuhnerFelsenstein,251.54634792684732,sim-176216295.msf,190064
MCMC,,,,50000.0,10,ConsensusLogLL,-2847.2496984960558,sim-176216295.msf,189176
MCMC,,,,50000.0,10,BestSampledLogLL,-Infinity,sim-176216295.msf,189176
MCMC,,,,50000.0,10,PartitionMetric,22.0,sim-176216295.msf,189176
MCMC,,,,50000.0,10,RobinsonFouldsMetric,9.633047829107111,sim-176216295.msf,189176
MCMC,,,,50000.0,10,KuhnerFelsenstein,11.214696550217964,sim-176216295.msf,189176
MCMC,,,,50000.0,11,ConsensusLogLL,-2978.618288712099,sim-176216295.msf,189442
MCMC,,,,50000.0,11,BestSampledLogLL,-Infinity,sim-176216295.msf,189442
MCMC,,,,50000.0,11,PartitionMetric,22.0,sim-176216295.msf,189442
MCMC,,,,50000.0,11,RobinsonFouldsMetric,38.29412216627626,sim-176216295.msf,189442
MCMC,,,,50000.0,11,KuhnerFelsenstein,260.8460832989794,sim-176216295.msf,189442
MCMC,,,,50000.0,12,ConsensusLogLL,-3325.1831909670263,sim-176216295.msf,189412
MCMC,,,,50000.0,12,BestSampledLogLL,-Infinity,sim-176216295.msf,189412
MCMC,,,,50000.0,12,PartitionMetric,42.0,sim-176216295.msf,189412
MCMC,,,,50000.0,12,RobinsonFouldsMetric,79.50553346075209,sim-176216295.msf,189412
MCMC,,,,50000.0,12,KuhnerFelsenstein,637.6922571565483,sim-176216295.msf,189412
