#treeName,Method,NumericalLogZ,logZ
sim-606795242.msf.Rep0,MCMC,NA,0.0
sim-606795242.msf.Rep0,LIS,NA,-1146.5883182743198
sim-606795242.msf.Rep0,SS,NA,-1149.1659894879133
sim-606795242.msf.Rep1,MCMC,NA,0.0
sim-606795242.msf.Rep1,LIS,NA,-1147.2375977231864
sim-606795242.msf.Rep1,SS,NA,-1151.4619104053475
sim-606795242.msf.Rep2,MCMC,NA,0.0
sim-606795242.msf.Rep2,LIS,NA,-1148.1870675722644
sim-606795242.msf.Rep2,SS,NA,-1149.2659807162515
sim-606795242.msf.Rep3,MCMC,NA,0.0
sim-606795242.msf.Rep3,LIS,NA,-1150.0835950743067
sim-606795242.msf.Rep3,SS,NA,-1151.14727300693
sim-606795242.msf.Rep4,MCMC,NA,0.0
sim-606795242.msf.Rep4,LIS,NA,-1146.3395687134698
sim-606795242.msf.Rep4,SS,NA,-1150.5064789234189
sim-606795242.msf.Rep5,MCMC,NA,0.0
sim-606795242.msf.Rep5,LIS,NA,-1147.0639574500324
sim-606795242.msf.Rep5,SS,NA,-1150.783110229592
sim-606795242.msf.Rep6,MCMC,NA,0.0
sim-606795242.msf.Rep6,LIS,NA,-1147.4568033154158
sim-606795242.msf.Rep6,SS,NA,-1146.5575315317724
sim-606795242.msf.Rep7,MCMC,NA,0.0
sim-606795242.msf.Rep7,LIS,NA,-1151.744862458208
sim-606795242.msf.Rep7,SS,NA,-1149.1317638281357
sim-606795242.msf.Rep8,MCMC,NA,0.0
sim-606795242.msf.Rep8,LIS,NA,-1143.7233955364763
sim-606795242.msf.Rep8,SS,NA,-1148.3445969058243
sim-606795242.msf.Rep9,MCMC,NA,0.0
sim-606795242.msf.Rep9,LIS,NA,-1149.9831247363966
sim-606795242.msf.Rep9,SS,NA,-1147.926659652734
sim-606795242.msf.Rep10,MCMC,NA,0.0
sim-606795242.msf.Rep10,LIS,NA,-1147.7155477043873
sim-606795242.msf.Rep10,SS,NA,-1148.0630972178876
sim-606795242.msf.Rep11,MCMC,NA,0.0
sim-606795242.msf.Rep11,LIS,NA,-1145.6067538713496
sim-606795242.msf.Rep11,SS,NA,-1147.8974294429077
sim-606795242.msf.Rep12,MCMC,NA,0.0
sim-606795242.msf.Rep12,LIS,NA,-1153.4613834040267
sim-606795242.msf.Rep12,SS,NA,-1148.6813034902855
sim-606795242.msf.Rep13,MCMC,NA,0.0
sim-606795242.msf.Rep13,LIS,NA,-1147.7699580764875
sim-606795242.msf.Rep13,SS,NA,-1150.1280726006653
sim-606795242.msf.Rep14,MCMC,NA,0.0
sim-606795242.msf.Rep14,LIS,NA,-1148.2195794544639
sim-606795242.msf.Rep14,SS,NA,-1148.8305495754107
sim-606795242.msf.Rep15,MCMC,NA,0.0
sim-606795242.msf.Rep15,LIS,NA,-1150.119591983261
sim-606795242.msf.Rep15,SS,NA,-1150.53866414046
sim-606795242.msf.Rep16,MCMC,NA,0.0
sim-606795242.msf.Rep16,LIS,NA,-1149.5366960982008
sim-606795242.msf.Rep16,SS,NA,-1150.1806039812363
sim-606795242.msf.Rep17,MCMC,NA,0.0
sim-606795242.msf.Rep17,LIS,NA,-1150.9663811104233
sim-606795242.msf.Rep17,SS,NA,-1148.5785957347746
sim-606795242.msf.Rep18,MCMC,NA,0.0
sim-606795242.msf.Rep18,LIS,NA,-1151.2083934159557
sim-606795242.msf.Rep18,SS,NA,-1152.2551757449487
sim-606795242.msf.Rep19,MCMC,NA,0.0
sim-606795242.msf.Rep19,LIS,NA,-1150.444386838207
sim-606795242.msf.Rep19,SS,NA,-1146.104486349642
