#Method,Adaptive,AdaptiveType,T,IterScale,Repeat,Metric,Value,TreeName,Time
ANNEALING,true,0,667,100.0,0,ConsensusLogLL,-28405.300953160877,sim-1121221206.msf,162454
ANNEALING,true,0,667,100.0,0,BestSampledLogLL,-28415.099722764433,sim-1121221206.msf,162454
ANNEALING,true,0,667,100.0,0,PartitionMetric,2.0,sim-1121221206.msf,162454
ANNEALING,true,0,667,100.0,0,RobinsonFouldsMetric,1.4493488722765289,sim-1121221206.msf,162454
ANNEALING,true,0,667,100.0,0,KuhnerFelsenstein,0.06748316990903214,sim-1121221206.msf,162454
ANNEALING,false,0,667,100.0,0,ConsensusLogLL,-28649.838929568097,sim-1121221206.msf,159102
ANNEALING,false,0,667,100.0,0,BestSampledLogLL,-28641.290470386346,sim-1121221206.msf,159102
ANNEALING,false,0,667,100.0,0,PartitionMetric,2.0,sim-1121221206.msf,159102
ANNEALING,false,0,667,100.0,0,RobinsonFouldsMetric,2.0850601789681438,sim-1121221206.msf,159102
ANNEALING,false,0,667,100.0,0,KuhnerFelsenstein,0.1613617311241037,sim-1121221206.msf,159102
ANNEALING,true,0,678,100.0,1,ConsensusLogLL,-28961.36864937454,sim-1121221206.msf,165870
ANNEALING,true,0,678,100.0,1,BestSampledLogLL,-28986.924818652107,sim-1121221206.msf,165870
ANNEALING,true,0,678,100.0,1,PartitionMetric,8.0,sim-1121221206.msf,165870
ANNEALING,true,0,678,100.0,1,RobinsonFouldsMetric,2.7750355037510235,sim-1121221206.msf,165870
ANNEALING,true,0,678,100.0,1,KuhnerFelsenstein,0.548162619513912,sim-1121221206.msf,165870
ANNEALING,false,0,678,100.0,1,ConsensusLogLL,-30230.432065934765,sim-1121221206.msf,168169
ANNEALING,false,0,678,100.0,1,BestSampledLogLL,-30213.780542212233,sim-1121221206.msf,168169
ANNEALING,false,0,678,100.0,1,PartitionMetric,28.0,sim-1121221206.msf,168169
ANNEALING,false,0,678,100.0,1,RobinsonFouldsMetric,5.827356839763875,sim-1121221206.msf,168169
ANNEALING,false,0,678,100.0,1,KuhnerFelsenstein,2.7751490502894915,sim-1121221206.msf,168169
ANNEALING,true,0,628,100.0,2,ConsensusLogLL,-29335.070621009603,sim-1121221206.msf,156552
ANNEALING,true,0,628,100.0,2,BestSampledLogLL,-29361.342588501575,sim-1121221206.msf,156552
ANNEALING,true,0,628,100.0,2,PartitionMetric,16.0,sim-1121221206.msf,156552
ANNEALING,true,0,628,100.0,2,RobinsonFouldsMetric,3.833041781870975,sim-1121221206.msf,156552
ANNEALING,true,0,628,100.0,2,KuhnerFelsenstein,0.8422405203837046,sim-1121221206.msf,156552
ANNEALING,false,0,628,100.0,2,ConsensusLogLL,-28425.700289222164,sim-1121221206.msf,154812
ANNEALING,false,0,628,100.0,2,BestSampledLogLL,-28445.69907853849,sim-1121221206.msf,154812
ANNEALING,false,0,628,100.0,2,PartitionMetric,6.0,sim-1121221206.msf,154812
ANNEALING,false,0,628,100.0,2,RobinsonFouldsMetric,2.067124166520247,sim-1121221206.msf,154812
ANNEALING,false,0,628,100.0,2,KuhnerFelsenstein,0.24800397289145554,sim-1121221206.msf,154812
ANNEALING,true,0,713,100.0,3,ConsensusLogLL,-28411.929755719008,sim-1121221206.msf,176162
ANNEALING,true,0,713,100.0,3,BestSampledLogLL,-28434.070091894187,sim-1121221206.msf,176162
ANNEALING,true,0,713,100.0,3,PartitionMetric,2.0,sim-1121221206.msf,176162
ANNEALING,true,0,713,100.0,3,RobinsonFouldsMetric,1.5177240989991372,sim-1121221206.msf,176162
ANNEALING,true,0,713,100.0,3,KuhnerFelsenstein,0.1388547214915732,sim-1121221206.msf,176162
ANNEALING,false,0,713,100.0,3,ConsensusLogLL,-28870.453324438655,sim-1121221206.msf,175421
ANNEALING,false,0,713,100.0,3,BestSampledLogLL,-28875.702893239977,sim-1121221206.msf,175421
ANNEALING,false,0,713,100.0,3,PartitionMetric,20.0,sim-1121221206.msf,175421
ANNEALING,false,0,713,100.0,3,RobinsonFouldsMetric,3.5083407891772795,sim-1121221206.msf,175421
ANNEALING,false,0,713,100.0,3,KuhnerFelsenstein,1.030368403625636,sim-1121221206.msf,175421
ANNEALING,true,0,757,100.0,4,ConsensusLogLL,-28629.890105074424,sim-1121221206.msf,188802
ANNEALING,true,0,757,100.0,4,BestSampledLogLL,-28670.83845176726,sim-1121221206.msf,188802
ANNEALING,true,0,757,100.0,4,PartitionMetric,6.0,sim-1121221206.msf,188802
ANNEALING,true,0,757,100.0,4,RobinsonFouldsMetric,2.149393616927231,sim-1121221206.msf,188802
ANNEALING,true,0,757,100.0,4,KuhnerFelsenstein,0.18329778270743358,sim-1121221206.msf,188802
ANNEALING,false,0,757,100.0,4,ConsensusLogLL,-28530.554187448543,sim-1121221206.msf,189790
ANNEALING,false,0,757,100.0,4,BestSampledLogLL,-28594.504449983804,sim-1121221206.msf,189790
ANNEALING,false,0,757,100.0,4,PartitionMetric,12.0,sim-1121221206.msf,189790
ANNEALING,false,0,757,100.0,4,RobinsonFouldsMetric,2.525427447356838,sim-1121221206.msf,189790
ANNEALING,false,0,757,100.0,4,KuhnerFelsenstein,0.4042897818908662,sim-1121221206.msf,189790
ANNEALING,true,0,642,100.0,5,ConsensusLogLL,-29851.198073010477,sim-1121221206.msf,161457
ANNEALING,true,0,642,100.0,5,BestSampledLogLL,-29863.819790316244,sim-1121221206.msf,161457
ANNEALING,true,0,642,100.0,5,PartitionMetric,20.0,sim-1121221206.msf,161457
ANNEALING,true,0,642,100.0,5,RobinsonFouldsMetric,4.278582643579927,sim-1121221206.msf,161457
ANNEALING,true,0,642,100.0,5,KuhnerFelsenstein,2.3084499019514246,sim-1121221206.msf,161457
ANNEALING,false,0,642,100.0,5,ConsensusLogLL,-28471.274099184746,sim-1121221206.msf,158406
ANNEALING,false,0,642,100.0,5,BestSampledLogLL,-28517.83421557879,sim-1121221206.msf,158406
ANNEALING,false,0,642,100.0,5,PartitionMetric,12.0,sim-1121221206.msf,158406
ANNEALING,false,0,642,100.0,5,RobinsonFouldsMetric,2.104865598999249,sim-1121221206.msf,158406
ANNEALING,false,0,642,100.0,5,KuhnerFelsenstein,0.2119502715078009,sim-1121221206.msf,158406
ANNEALING,true,0,639,100.0,6,ConsensusLogLL,-29074.93460671381,sim-1121221206.msf,157128
ANNEALING,true,0,639,100.0,6,BestSampledLogLL,-29052.27627634965,sim-1121221206.msf,157128
ANNEALING,true,0,639,100.0,6,PartitionMetric,12.0,sim-1121221206.msf,157128
ANNEALING,true,0,639,100.0,6,RobinsonFouldsMetric,3.3373497498119606,sim-1121221206.msf,157128
ANNEALING,true,0,639,100.0,6,KuhnerFelsenstein,0.7637456165320373,sim-1121221206.msf,157128
ANNEALING,false,0,639,100.0,6,ConsensusLogLL,-28405.358937091645,sim-1121221206.msf,155882
ANNEALING,false,0,639,100.0,6,BestSampledLogLL,-28417.21473503241,sim-1121221206.msf,155882
ANNEALING,false,0,639,100.0,6,PartitionMetric,8.0,sim-1121221206.msf,155882
ANNEALING,false,0,639,100.0,6,RobinsonFouldsMetric,1.4003367876399273,sim-1121221206.msf,155882
ANNEALING,false,0,639,100.0,6,KuhnerFelsenstein,0.09101335800779507,sim-1121221206.msf,155882
ANNEALING,true,0,716,100.0,7,ConsensusLogLL,-29205.296584033822,sim-1121221206.msf,179028
ANNEALING,true,0,716,100.0,7,BestSampledLogLL,-29228.507480328168,sim-1121221206.msf,179028
ANNEALING,true,0,716,100.0,7,PartitionMetric,16.0,sim-1121221206.msf,179028
ANNEALING,true,0,716,100.0,7,RobinsonFouldsMetric,3.7061365806450763,sim-1121221206.msf,179028
ANNEALING,true,0,716,100.0,7,KuhnerFelsenstein,0.691701835759004,sim-1121221206.msf,179028
ANNEALING,false,0,716,100.0,7,ConsensusLogLL,-28440.42133643292,sim-1121221206.msf,176455
ANNEALING,false,0,716,100.0,7,BestSampledLogLL,-28448.068936616386,sim-1121221206.msf,176455
ANNEALING,false,0,716,100.0,7,PartitionMetric,6.0,sim-1121221206.msf,176455
ANNEALING,false,0,716,100.0,7,RobinsonFouldsMetric,1.4033349153477197,sim-1121221206.msf,176455
ANNEALING,false,0,716,100.0,7,KuhnerFelsenstein,0.05283898080110822,sim-1121221206.msf,176455
ANNEALING,true,0,647,100.0,8,ConsensusLogLL,-28963.104230439727,sim-1121221206.msf,160710
ANNEALING,true,0,647,100.0,8,BestSampledLogLL,-28956.261025899308,sim-1121221206.msf,160710
