#treeName,Method,NumericalLogZ,logZ
sim-1121221206.msf.Rep0,Adaptive,0.0,-31472.121680908294
sim-1121221206.msf.Rep0,Deterministic,0.0,-30371.200838939218
sim-1121221206.msf.Rep1,Adaptive,0.0,-30412.767204844527
sim-1121221206.msf.Rep1,Deterministic,0.0,-29948.140941619735
sim-1121221206.msf.Rep2,Adaptive,0.0,-32491.691446164645
sim-1121221206.msf.Rep2,Deterministic,0.0,-31538.852225523326
sim-1121221206.msf.Rep3,Adaptive,0.0,-30068.220114995238
sim-1121221206.msf.Rep3,Deterministic,0.0,-30328.63001763976
sim-1121221206.msf.Rep4,Adaptive,0.0,-29800.25432170574
sim-1121221206.msf.Rep4,Deterministic,0.0,-31091.945900423976
sim-1121221206.msf.Rep5,Adaptive,0.0,-29745.92536742746
sim-1121221206.msf.Rep5,Deterministic,0.0,-30297.772040376927
sim-1121221206.msf.Rep6,Adaptive,0.0,-30816.93536735786
sim-1121221206.msf.Rep6,Deterministic,0.0,-30168.137689960127
sim-1121221206.msf.Rep7,Adaptive,0.0,-29938.6714152455
sim-1121221206.msf.Rep7,Deterministic,0.0,-31113.74526777546
sim-1121221206.msf.Rep8,Adaptive,0.0,-30251.765063371793
sim-1121221206.msf.Rep8,Deterministic,0.0,-29737.23507303679
sim-1121221206.msf.Rep9,Adaptive,0.0,-31628.888375901515
sim-1121221206.msf.Rep9,Deterministic,0.0,-30237.146475490954
sim-1121221206.msf.Rep10,Adaptive,0.0,-29951.172302168936
sim-1121221206.msf.Rep10,Deterministic,0.0,-30942.57770698465
sim-1121221206.msf.Rep11,Adaptive,0.0,-29556.200874000166
sim-1121221206.msf.Rep11,Deterministic,0.0,-31596.56084249306
sim-1121221206.msf.Rep12,Adaptive,0.0,-29742.935081256404
sim-1121221206.msf.Rep12,Deterministic,0.0,-29777.17012364729
sim-1121221206.msf.Rep13,Adaptive,0.0,-30428.32683715197
sim-1121221206.msf.Rep13,Deterministic,0.0,-30640.342687317003
sim-1121221206.msf.Rep14,Adaptive,0.0,-31997.30346483691
sim-1121221206.msf.Rep14,Deterministic,0.0,-29845.034249784887
sim-1121221206.msf.Rep15,Adaptive,0.0,-30170.576647412745
sim-1121221206.msf.Rep15,Deterministic,0.0,-31249.81318753534
sim-1121221206.msf.Rep16,Adaptive,0.0,-29621.919159644563
sim-1121221206.msf.Rep16,Deterministic,0.0,-29542.217106109576
sim-1121221206.msf.Rep17,Adaptive,0.0,-30408.967333699897
sim-1121221206.msf.Rep17,Deterministic,0.0,-30031.202359735562
sim-1121221206.msf.Rep18,Adaptive,0.0,-31004.87496512367
sim-1121221206.msf.Rep18,Deterministic,0.0,-30251.039408486664
sim-1121221206.msf.Rep19,Adaptive,0.0,-30803.411016042042
sim-1121221206.msf.Rep19,Deterministic,0.0,-31310.29406568822
sim-1121221206.msf.Rep20,Adaptive,0.0,-33511.17268049839
sim-1121221206.msf.Rep20,Deterministic,0.0,-30035.58186384847
sim-1121221206.msf.Rep21,Adaptive,0.0,-31442.10427561432
sim-1121221206.msf.Rep21,Deterministic,0.0,-30696.086697781164
sim-1121221206.msf.Rep22,Adaptive,0.0,-30225.56420459521
sim-1121221206.msf.Rep22,Deterministic,0.0,-31385.281767406865
sim-1121221206.msf.Rep23,Adaptive,0.0,-31280.226345882867
sim-1121221206.msf.Rep23,Deterministic,0.0,-29944.60295948888
sim-1121221206.msf.Rep24,Adaptive,0.0,-32141.863257226687
sim-1121221206.msf.Rep24,Deterministic,0.0,-30553.83033063683
sim-1121221206.msf.Rep25,Adaptive,0.0,-31306.27800411394
sim-1121221206.msf.Rep25,Deterministic,0.0,-30608.956723056788
sim-1121221206.msf.Rep26,Adaptive,0.0,-29918.462601200394
sim-1121221206.msf.Rep26,Deterministic,0.0,-31107.850234069094
sim-1121221206.msf.Rep27,Adaptive,0.0,-29724.065335259602
sim-1121221206.msf.Rep27,Deterministic,0.0,-30923.65551452707
sim-1121221206.msf.Rep28,Adaptive,0.0,-31075.177797820063
sim-1121221206.msf.Rep28,Deterministic,0.0,-29944.84284446344
sim-1121221206.msf.Rep29,Adaptive,0.0,-29933.326478107614
sim-1121221206.msf.Rep29,Deterministic,0.0,-29776.565024750307
sim-1121221206.msf.Rep30,Adaptive,0.0,-32513.705754416183
sim-1121221206.msf.Rep30,Deterministic,0.0,-30875.642212057384
sim-1121221206.msf.Rep31,Adaptive,0.0,-31364.25307237105
sim-1121221206.msf.Rep31,Deterministic,0.0,-31675.39909301742
sim-1121221206.msf.Rep32,Adaptive,0.0,-31213.899000732
sim-1121221206.msf.Rep32,Deterministic,0.0,-29988.03207348439
sim-1121221206.msf.Rep33,Adaptive,0.0,-31241.345553772448
sim-1121221206.msf.Rep33,Deterministic,0.0,-30034.217070257906
sim-1121221206.msf.Rep34,Adaptive,0.0,-31288.758669641637
sim-1121221206.msf.Rep34,Deterministic,0.0,-31671.42391354165
sim-1121221206.msf.Rep35,Adaptive,0.0,-29633.732822036913
sim-1121221206.msf.Rep35,Deterministic,0.0,-29797.2454421453
sim-1121221206.msf.Rep36,Adaptive,0.0,-30787.4505340667
sim-1121221206.msf.Rep36,Deterministic,0.0,-30253.17942749263
sim-1121221206.msf.Rep37,Adaptive,0.0,-30158.633627556894
sim-1121221206.msf.Rep37,Deterministic,0.0,-31379.13759191121
sim-1121221206.msf.Rep38,Adaptive,0.0,-31490.78185487934
sim-1121221206.msf.Rep38,Deterministic,0.0,-31278.163002767717
sim-1121221206.msf.Rep39,Adaptive,0.0,-29741.180163750258
sim-1121221206.msf.Rep39,Deterministic,0.0,-30727.719105580538
sim-1121221206.msf.Rep40,Adaptive,0.0,-30150.762869576683
sim-1121221206.msf.Rep40,Deterministic,0.0,-31327.88600274273
sim-1121221206.msf.Rep41,Adaptive,0.0,-30679.367822113683
sim-1121221206.msf.Rep41,Deterministic,0.0,-31089.886185900796
sim-1121221206.msf.Rep42,Adaptive,0.0,-30827.266883461452
sim-1121221206.msf.Rep42,Deterministic,0.0,-30142.106849557895
sim-1121221206.msf.Rep43,Adaptive,0.0,-31150.937122804487
sim-1121221206.msf.Rep43,Deterministic,0.0,-29946.834551271724
sim-1121221206.msf.Rep44,Adaptive,0.0,-30649.343909014493
sim-1121221206.msf.Rep44,Deterministic,0.0,-30875.913171778124
sim-1121221206.msf.Rep45,Adaptive,0.0,-30920.879220601175
sim-1121221206.msf.Rep45,Deterministic,0.0,-32282.538579389
sim-1121221206.msf.Rep46,Adaptive,0.0,-32212.266801477977
sim-1121221206.msf.Rep46,Deterministic,0.0,-29732.924354560928
sim-1121221206.msf.Rep47,Adaptive,0.0,-30435.436133126776
sim-1121221206.msf.Rep47,Deterministic,0.0,-30463.73076153173
sim-1121221206.msf.Rep48,Adaptive,0.0,-31853.283607152436
sim-1121221206.msf.Rep48,Deterministic,0.0,-31218.67374022242
sim-1121221206.msf.Rep49,Adaptive,0.0,-30957.78656453612
sim-1121221206.msf.Rep49,Deterministic,0.0,-29971.015292648754
sim-1121221206.msf.Rep50,Adaptive,0.0,-30283.68857253685
sim-1121221206.msf.Rep50,Deterministic,0.0,-30641.369348605847
sim-1121221206.msf.Rep51,Adaptive,0.0,-30824.665347170856
sim-1121221206.msf.Rep51,Deterministic,0.0,-31518.722068048683
sim-1121221206.msf.Rep52,Adaptive,0.0,-31082.087761803323
sim-1121221206.msf.Rep52,Deterministic,0.0,-30080.833012499963
sim-1121221206.msf.Rep53,Adaptive,0.0,-30977.154268652863
sim-1121221206.msf.Rep53,Deterministic,0.0,-30702.15918185412
sim-1121221206.msf.Rep54,Adaptive,0.0,-31605.447117049735
sim-1121221206.msf.Rep54,Deterministic,0.0,-31247.64045452921
sim-1121221206.msf.Rep55,Adaptive,0.0,-30909.365053180096
sim-1121221206.msf.Rep55,Deterministic,0.0,-30148.19364832939
sim-1121221206.msf.Rep56,Adaptive,0.0,-30628.08645645547
sim-1121221206.msf.Rep56,Deterministic,0.0,-31957.30550866017
sim-1121221206.msf.Rep57,Adaptive,0.0,-31046.426877553655
sim-1121221206.msf.Rep57,Deterministic,0.0,-30521.67135816183
sim-1121221206.msf.Rep58,Adaptive,0.0,-30617.009018858847
sim-1121221206.msf.Rep58,Deterministic,0.0,-30165.73880081527
sim-1121221206.msf.Rep59,Adaptive,0.0,-31209.3123733763
sim-1121221206.msf.Rep59,Deterministic,0.0,-31884.80536224937
sim-1121221206.msf.Rep60,Adaptive,0.0,-29828.47131290993
sim-1121221206.msf.Rep60,Deterministic,0.0,-31121.27183945972
sim-1121221206.msf.Rep61,Adaptive,0.0,-30759.85586873713
sim-1121221206.msf.Rep61,Deterministic,0.0,-30376.497559159525
sim-1121221206.msf.Rep62,Adaptive,0.0,-30615.212764083095
sim-1121221206.msf.Rep62,Deterministic,0.0,-30546.953953240245
sim-1121221206.msf.Rep63,Adaptive,0.0,-31289.631462838104
sim-1121221206.msf.Rep63,Deterministic,0.0,-30464.8017831785
sim-1121221206.msf.Rep64,Adaptive,0.0,-30589.31591087284
sim-1121221206.msf.Rep64,Deterministic,0.0,-29638.48673458213
sim-1121221206.msf.Rep65,Adaptive,0.0,-29957.063171906
sim-1121221206.msf.Rep65,Deterministic,0.0,-31165.601947791412
sim-1121221206.msf.Rep66,Adaptive,0.0,-30746.294048129334
sim-1121221206.msf.Rep66,Deterministic,0.0,-30344.479902467276
sim-1121221206.msf.Rep67,Adaptive,0.0,-30514.87931299247
sim-1121221206.msf.Rep67,Deterministic,0.0,-30356.12598377915
sim-1121221206.msf.Rep68,Adaptive,0.0,-30360.19677867928
sim-1121221206.msf.Rep68,Deterministic,0.0,-31285.262366777097
sim-1121221206.msf.Rep69,Adaptive,0.0,-30025.73440823951
sim-1121221206.msf.Rep69,Deterministic,0.0,-31893.16610375865
sim-1121221206.msf.Rep70,Adaptive,0.0,-30227.84425308007
sim-1121221206.msf.Rep70,Deterministic,0.0,-30342.097332043508
sim-1121221206.msf.Rep71,Adaptive,0.0,-30465.828265252672
sim-1121221206.msf.Rep71,Deterministic,0.0,-30133.82737532232
sim-1121221206.msf.Rep72,Adaptive,0.0,-29726.727893816325
sim-1121221206.msf.Rep72,Deterministic,0.0,-31545.902358320138
sim-1121221206.msf.Rep73,Adaptive,0.0,-31332.38918357886
sim-1121221206.msf.Rep73,Deterministic,0.0,-30447.756166805462
sim-1121221206.msf.Rep74,Adaptive,0.0,-29948.21955522055
sim-1121221206.msf.Rep74,Deterministic,0.0,-31496.434200112657
sim-1121221206.msf.Rep75,Adaptive,0.0,-29686.357500927268
sim-1121221206.msf.Rep75,Deterministic,0.0,-30423.00014991684
sim-1121221206.msf.Rep76,Adaptive,0.0,-32580.5219879583
sim-1121221206.msf.Rep76,Deterministic,0.0,-31649.66600817565
sim-1121221206.msf.Rep77,Adaptive,0.0,-30486.9720333704
sim-1121221206.msf.Rep77,Deterministic,0.0,-30251.016953026683
sim-1121221206.msf.Rep78,Adaptive,0.0,-30709.95447186528
sim-1121221206.msf.Rep78,Deterministic,0.0,-31024.222156481806
sim-1121221206.msf.Rep79,Adaptive,0.0,-31266.866042131223
sim-1121221206.msf.Rep79,Deterministic,0.0,-30061.331316066236
sim-1121221206.msf.Rep80,Adaptive,0.0,-29800.532578847662
sim-1121221206.msf.Rep80,Deterministic,0.0,-29534.059896601222
sim-1121221206.msf.Rep81,Adaptive,0.0,-31069.4281767053
sim-1121221206.msf.Rep81,Deterministic,0.0,-31674.259519446943
sim-1121221206.msf.Rep82,Adaptive,0.0,-29814.46870323901
sim-1121221206.msf.Rep82,Deterministic,0.0,-30110.97975501642
sim-1121221206.msf.Rep83,Adaptive,0.0,-32038.96123604161
sim-1121221206.msf.Rep83,Deterministic,0.0,-30762.662140206667
sim-1121221206.msf.Rep84,Adaptive,0.0,-30905.35425545951
sim-1121221206.msf.Rep84,Deterministic,0.0,-30426.314078590043
sim-1121221206.msf.Rep85,Adaptive,0.0,-29907.35076491433
sim-1121221206.msf.Rep85,Deterministic,0.0,-31072.43708650566
sim-1121221206.msf.Rep86,Adaptive,0.0,-30652.209055368687
sim-1121221206.msf.Rep86,Deterministic,0.0,-31167.19327671113
sim-1121221206.msf.Rep87,Adaptive,0.0,-31348.880326956496
sim-1121221206.msf.Rep87,Deterministic,0.0,-31565.82667518905
sim-1121221206.msf.Rep88,Adaptive,0.0,-30158.13652627776
sim-1121221206.msf.Rep88,Deterministic,0.0,-30434.369980323696
sim-1121221206.msf.Rep89,Adaptive,0.0,-30453.19970904683
sim-1121221206.msf.Rep89,Deterministic,0.0,-30856.0016964693
sim-1121221206.msf.Rep90,Adaptive,0.0,-30627.03286936554
sim-1121221206.msf.Rep90,Deterministic,0.0,-29311.76051569958
sim-1121221206.msf.Rep91,Adaptive,0.0,-30321.375344808
sim-1121221206.msf.Rep91,Deterministic,0.0,-30854.33727652693
sim-1121221206.msf.Rep92,Adaptive,0.0,-32649.71337577509
sim-1121221206.msf.Rep92,Deterministic,0.0,-32147.78775716909
sim-1121221206.msf.Rep93,Adaptive,0.0,-30871.984056736208
sim-1121221206.msf.Rep93,Deterministic,0.0,-31190.083100478678
sim-1121221206.msf.Rep94,Adaptive,0.0,-31718.59246733935
sim-1121221206.msf.Rep94,Deterministic,0.0,-30515.122814114664
sim-1121221206.msf.Rep95,Adaptive,0.0,-29854.55259155072
sim-1121221206.msf.Rep95,Deterministic,0.0,-31522.358110392488
sim-1121221206.msf.Rep96,Adaptive,0.0,-30404.73527152864
sim-1121221206.msf.Rep96,Deterministic,0.0,-30461.451280904537
sim-1121221206.msf.Rep97,Adaptive,0.0,-30559.6549307044
sim-1121221206.msf.Rep97,Deterministic,0.0,-29633.316129726274
sim-1121221206.msf.Rep98,Adaptive,0.0,-30209.6105913119
sim-1121221206.msf.Rep98,Deterministic,0.0,-30963.644474502886
sim-1121221206.msf.Rep99,Adaptive,0.0,-29712.451700996968
sim-1121221206.msf.Rep99,Deterministic,0.0,-29852.744081382625
