#treeName,Method,NumericalLogZ,logZ
sim-1121221206.msf.Rep0,Adaptive,0.0,-31335.9467190182
sim-1121221206.msf.Rep0,Deterministic,0.0,-31115.615521631098
sim-1121221206.msf.Rep1,Adaptive,0.0,-30367.979907220637
sim-1121221206.msf.Rep1,Deterministic,0.0,-31380.751432667905
sim-1121221206.msf.Rep2,Adaptive,0.0,-29967.3201190947
sim-1121221206.msf.Rep2,Deterministic,0.0,-30498.495275889683
sim-1121221206.msf.Rep3,Adaptive,0.0,-30414.7371532586
sim-1121221206.msf.Rep3,Deterministic,0.0,-31662.807382942323
sim-1121221206.msf.Rep4,Adaptive,0.0,-30404.399674062624
sim-1121221206.msf.Rep4,Deterministic,0.0,-31227.638404516994
sim-1121221206.msf.Rep5,Adaptive,0.0,-29864.086204751035
sim-1121221206.msf.Rep5,Deterministic,0.0,-30288.499249711036
sim-1121221206.msf.Rep6,Adaptive,0.0,-30329.144316363556
sim-1121221206.msf.Rep6,Deterministic,0.0,-29695.681488958886
sim-1121221206.msf.Rep7,Adaptive,0.0,-32084.853700432945
sim-1121221206.msf.Rep7,Deterministic,0.0,-31425.86369325291
sim-1121221206.msf.Rep8,Adaptive,0.0,-30206.380719136214
sim-1121221206.msf.Rep8,Deterministic,0.0,-31555.908326363373
sim-1121221206.msf.Rep9,Adaptive,0.0,-30344.242723512703
sim-1121221206.msf.Rep9,Deterministic,0.0,-31806.224352846
sim-1121221206.msf.Rep10,Adaptive,0.0,-30174.06008127956
sim-1121221206.msf.Rep10,Deterministic,0.0,-32818.884846143796
sim-1121221206.msf.Rep11,Adaptive,0.0,-30204.234943457268
sim-1121221206.msf.Rep11,Deterministic,0.0,-30344.281284061046
sim-1121221206.msf.Rep12,Adaptive,0.0,-31428.188579774633
sim-1121221206.msf.Rep12,Deterministic,0.0,-32702.32876820301
sim-1121221206.msf.Rep13,Adaptive,0.0,-30160.88329173446
sim-1121221206.msf.Rep13,Deterministic,0.0,-30668.69486135181
sim-1121221206.msf.Rep14,Adaptive,0.0,-31411.50889035228
sim-1121221206.msf.Rep14,Deterministic,0.0,-31535.740325780924
sim-1121221206.msf.Rep15,Adaptive,0.0,-32080.24336496853
sim-1121221206.msf.Rep15,Deterministic,0.0,-31240.80785228868
sim-1121221206.msf.Rep16,Adaptive,0.0,-30449.444991028955
sim-1121221206.msf.Rep16,Deterministic,0.0,-30053.95496958843
sim-1121221206.msf.Rep17,Adaptive,0.0,-30564.601472983188
sim-1121221206.msf.Rep17,Deterministic,0.0,-31276.67792484319
sim-1121221206.msf.Rep18,Adaptive,0.0,-29941.526399869916
sim-1121221206.msf.Rep18,Deterministic,0.0,-31450.008789983494
sim-1121221206.msf.Rep19,Adaptive,0.0,-30462.509432231043
sim-1121221206.msf.Rep19,Deterministic,0.0,-30506.3697131452
sim-1121221206.msf.Rep20,Adaptive,0.0,-30015.655017589943
sim-1121221206.msf.Rep20,Deterministic,0.0,-30727.656998387665
sim-1121221206.msf.Rep21,Adaptive,0.0,-30513.020990660127
sim-1121221206.msf.Rep21,Deterministic,0.0,-30911.396769247815
sim-1121221206.msf.Rep22,Adaptive,0.0,-30611.829842254883
sim-1121221206.msf.Rep22,Deterministic,0.0,-32296.590816410553
sim-1121221206.msf.Rep23,Adaptive,0.0,-30561.221601405297
sim-1121221206.msf.Rep23,Deterministic,0.0,-31617.18415098616
sim-1121221206.msf.Rep24,Adaptive,0.0,-29324.409252467507
sim-1121221206.msf.Rep24,Deterministic,0.0,-30417.99617604817
sim-1121221206.msf.Rep25,Adaptive,0.0,-30870.140024264176
sim-1121221206.msf.Rep25,Deterministic,0.0,-31855.013015493987
sim-1121221206.msf.Rep26,Adaptive,0.0,-30791.18566964866
sim-1121221206.msf.Rep26,Deterministic,0.0,-30798.76368520514
