"X.treeName","Method","NumericalLogZ","logZ"
"sim-1121221206.msf.Rep0","Adaptive",0,-28280.151250879
"sim-1121221206.msf.Rep0","Deterministic",0,-28277.4803714718
"sim-1121221206.msf.Rep1","Adaptive",0,-28282.699638141
"sim-1121221206.msf.Rep1","Deterministic",0,-28277.7871795163
"sim-1121221206.msf.Rep2","Adaptive",0,-28284.978747164
"sim-1121221206.msf.Rep2","Deterministic",0,-28281.7170893343
"sim-1121221206.msf.Rep3","Adaptive",0,-28278.8573643981
"sim-1121221206.msf.Rep3","Deterministic",0,-28281.2570080344
"sim-1121221206.msf.Rep0","Adaptive",0,-28281.2268918644
"sim-1121221206.msf.Rep0","Deterministic",0,-28280.7502226924
"sim-1121221206.msf.Rep1","Adaptive",0,-28278.5398412413
"sim-1121221206.msf.Rep1","Deterministic",0,-28280.8836075268
"sim-1121221206.msf.Rep2","Adaptive",0,-28279.7932022233
"sim-1121221206.msf.Rep2","Deterministic",0,-28279.0641213214
"sim-1121221206.msf.Rep3","Adaptive",0,-28281.209250237
"sim-1121221206.msf.Rep3","Deterministic",0,-28278.1418127915
"sim-1121221206.msf.Rep0","Adaptive",0,-28280.5793420161
"sim-1121221206.msf.Rep0","Deterministic",0,-28281.1521906835
"sim-1121221206.msf.Rep1","Adaptive",0,-28280.3270491071
"sim-1121221206.msf.Rep1","Deterministic",0,-28285.0269156276
"sim-1121221206.msf.Rep2","Adaptive",0,-28278.644980684
"sim-1121221206.msf.Rep2","Deterministic",0,-28276.9915465687
"sim-1121221206.msf.Rep3","Adaptive",0,-28280.7003233797
"sim-1121221206.msf.Rep3","Deterministic",0,-28279.2702833111
"sim-1121221206.msf.Rep0","Adaptive",0,-28279.8057958306
"sim-1121221206.msf.Rep0","Deterministic",0,-28278.3984095497
"sim-1121221206.msf.Rep1","Adaptive",0,-28282.0235834495
"sim-1121221206.msf.Rep1","Deterministic",0,-28281.4435679318
"sim-1121221206.msf.Rep0","Adaptive",0,-28274.031877267
"sim-1121221206.msf.Rep0","Deterministic",0,-28281.6167920081
"sim-1121221206.msf.Rep1","Adaptive",0,-28283.3342679497
"sim-1121221206.msf.Rep1","Deterministic",0,-28280.3091086795
"sim-1121221206.msf.Rep2","Adaptive",0,-28285.0263243087
"sim-1121221206.msf.Rep2","Deterministic",0,-28280.6162864073
"sim-1121221206.msf.Rep3","Adaptive",0,-28276.1063236211
"sim-1121221206.msf.Rep3","Deterministic",0,-28280.010382213
"sim-1121221206.msf.Rep4","Adaptive",0,-28280.859422725
"sim-1121221206.msf.Rep4","Deterministic",0,-28278.736078158
"sim-1121221206.msf.Rep0","Adaptive",0,-28279.2520695818
"sim-1121221206.msf.Rep0","Deterministic",0,-28280.6122756563
