"X.Method","Adaptive","AdaptiveType","T","IterScale","Repeat","Metric","Value","TreeName","Time"
"ANNEALING","true",0,12372,3000,0,"ConsensusLogLL",-28043.9365054289,"sim-1121221206.msf",44535390
"ANNEALING","true",0,12372,3000,0,"BestSampledLogLL",-28055.374680694,"sim-1121221206.msf",44535390
"ANNEALING","true",0,12372,3000,0,"PartitionMetric",0,"sim-1121221206.msf",44535390
"ANNEALING","true",0,12372,3000,0,"RobinsonFouldsMetric",0.341447994043214,"sim-1121221206.msf",44535390
"ANNEALING","true",0,12372,3000,0,"KuhnerFelsenstein",0.00374281188008544,"sim-1121221206.msf",44535390
"ANNEALING","false",0,12372,3000,0,"ConsensusLogLL",-28043.877144982,"sim-1121221206.msf",44504344
"ANNEALING","false",0,12372,3000,0,"BestSampledLogLL",-28058.4897477481,"sim-1121221206.msf",44504344
"ANNEALING","false",0,12372,3000,0,"PartitionMetric",0,"sim-1121221206.msf",44504344
"ANNEALING","false",0,12372,3000,0,"RobinsonFouldsMetric",0.34865164432491,"sim-1121221206.msf",44504344
"ANNEALING","false",0,12372,3000,0,"KuhnerFelsenstein",0.00393485101465718,"sim-1121221206.msf",44504344
"ANNEALING","true",0,12334,3000,0,"ConsensusLogLL",-28043.9708701557,"sim-1121221206.msf",42420515
"ANNEALING","true",0,12334,3000,0,"BestSampledLogLL",-28059.8569952033,"sim-1121221206.msf",42420515
"ANNEALING","true",0,12334,3000,0,"PartitionMetric",0,"sim-1121221206.msf",42420515
"ANNEALING","true",0,12334,3000,0,"RobinsonFouldsMetric",0.349414534942355,"sim-1121221206.msf",42420515
"ANNEALING","true",0,12334,3000,0,"KuhnerFelsenstein",0.00386260477814201,"sim-1121221206.msf",42420515
"ANNEALING","false",0,12334,3000,0,"ConsensusLogLL",-28043.8525731103,"sim-1121221206.msf",42163637
"ANNEALING","false",0,12334,3000,0,"BestSampledLogLL",-28060.2838747243,"sim-1121221206.msf",42163637
"ANNEALING","false",0,12334,3000,0,"PartitionMetric",0,"sim-1121221206.msf",42163637
"ANNEALING","false",0,12334,3000,0,"RobinsonFouldsMetric",0.358846172973336,"sim-1121221206.msf",42163637
"ANNEALING","false",0,12334,3000,0,"KuhnerFelsenstein",0.0043396125877981,"sim-1121221206.msf",42163637
"ANNEALING","true",0,12304,3000,1,"ConsensusLogLL",-28043.7492793661,"sim-1121221206.msf",42243554
"ANNEALING","true",0,12304,3000,1,"BestSampledLogLL",-28058.1810715428,"sim-1121221206.msf",42243554
"ANNEALING","true",0,12304,3000,1,"PartitionMetric",0,"sim-1121221206.msf",42243554
"ANNEALING","true",0,12304,3000,1,"RobinsonFouldsMetric",0.348624010982672,"sim-1121221206.msf",42243554
"ANNEALING","true",0,12304,3000,1,"KuhnerFelsenstein",0.00433786432816373,"sim-1121221206.msf",42243554
"ANNEALING","false",0,12304,3000,1,"ConsensusLogLL",-28043.6916951621,"sim-1121221206.msf",42237026
"ANNEALING","false",0,12304,3000,1,"BestSampledLogLL",-28057.6171195881,"sim-1121221206.msf",42237026
"ANNEALING","false",0,12304,3000,1,"PartitionMetric",0,"sim-1121221206.msf",42237026
"ANNEALING","false",0,12304,3000,1,"RobinsonFouldsMetric",0.349064010982672,"sim-1121221206.msf",42237026
"ANNEALING","false",0,12304,3000,1,"KuhnerFelsenstein",0.00400183595394875,"sim-1121221206.msf",42237026
"ANNEALING","true",0,12321,3000,0,"ConsensusLogLL",-28043.9375107793,"sim-1121221206.msf",40938869
"ANNEALING","true",0,12321,3000,0,"BestSampledLogLL",-28059.0694319515,"sim-1121221206.msf",40938869
"ANNEALING","true",0,12321,3000,0,"PartitionMetric",0,"sim-1121221206.msf",40938869
"ANNEALING","true",0,12321,3000,0,"RobinsonFouldsMetric",0.359689995677078,"sim-1121221206.msf",40938869
"ANNEALING","true",0,12321,3000,0,"KuhnerFelsenstein",0.00431529186025501,"sim-1121221206.msf",40938869
"ANNEALING","false",0,12321,3000,0,"ConsensusLogLL",-28044.1479042175,"sim-1121221206.msf",41270054
"ANNEALING","false",0,12321,3000,0,"BestSampledLogLL",-28057.63977875,"sim-1121221206.msf",41270054
"ANNEALING","false",0,12321,3000,0,"PartitionMetric",0,"sim-1121221206.msf",41270054
"ANNEALING","false",0,12321,3000,0,"RobinsonFouldsMetric",0.341157821621169,"sim-1121221206.msf",41270054
"ANNEALING","false",0,12321,3000,0,"KuhnerFelsenstein",0.00376656531805676,"sim-1121221206.msf",41270054
"ANNEALING","true",0,12340,3000,1,"ConsensusLogLL",-28043.9570654264,"sim-1121221206.msf",41526058
