#t,ESS,tempDiff,temp
0,100.00000000000006,0.0,0.0
1,99.99899286013199,6.043905040488052E-7,6.043905040488052E-7
2,99.99595522123919,6.057112530867035E-7,1.2101017571355087E-6
3,99.99085819068448,6.090110046100132E-7,1.819112761745522E-6
4,99.98360919117707,6.147611498658535E-7,2.4338739116113757E-6
5,99.97431248168715,6.221948213110958E-7,3.0560687329224713E-6
6,99.96313900473446,6.169250507396098E-7,3.672993783662081E-6
7,99.95014213191774,6.170168466330089E-7,4.29001063029509E-6
8,99.93539854598012,6.161416695188379E-7,4.906152299813928E-6
9,99.91902514815193,6.072473424897966E-7,5.513399642303725E-6
10,99.9009447158661,6.071626632641618E-7,6.120562305567887E-6
11,99.88103142172457,6.056334688755282E-7,6.726195774443415E-6
12,99.8589893501569,6.067900440934754E-7,7.332985818536891E-6
13,99.83501753390105,6.073132531628403E-7,7.940299071699731E-6
14,99.80950016750943,6.056160929066304E-7,8.545915164606362E-6
15,99.78228343072486,6.056378729074077E-7,9.15155303751377E-6
16,99.75348985644696,5.974443152431321E-7,9.748997352756903E-6
17,99.7228789880913,6.026323637573363E-7,1.0351629716514239E-5
18,99.69002543690141,6.059140380592781E-7,1.0957543754573516E-5
19,99.65547956449434,6.088929640732998E-7,1.1566436718646817E-5
20,99.6193655415593,6.102528799781953E-7,1.2176689598625012E-5
21,99.58196153260072,6.095013821580668E-7,1.2786190980783079E-5
22,99.54301532658667,6.110343347483916E-7,1.339722531553147E-5
23,99.50295891122735,6.0743909325258E-7,1.400466440878405E-5
24,99.46163619082144,6.114410669038251E-7,1.4616105475687875E-5
25,99.4179816102751,6.160929936611524E-7,1.5232198469349027E-5
26,99.37202520398262,6.182718124858981E-7,1.5850470281834924E-5
27,99.32469257239379,6.158677300962128E-7,1.6466338011931136E-5
28,99.2756514236166,6.109977384574959E-7,1.707733575038863E-5
29,99.22399426700325,6.232372789759104E-7,1.7700573029364543E-5
30,99.17070788578714,6.202837101638E-7,1.832085673952834E-5
31,99.11414621952409,6.236938655094815E-7,1.894455060503782E-5
32,99.05662838227154,6.221357918338633E-7,1.9566686396871685E-5
33,98.99757165949158,6.273261044202426E-7,2.019401250129193E-5
34,98.93735506356735,6.246213077963541E-7,2.0818633809088285E-5
35,98.87519364234988,6.310407585996186E-7,2.1449674567687903E-5
36,98.8117146719356,6.291690731788272E-7,2.207884364086673E-5
37,98.7455188378441,6.34918645704851E-7,2.271376228657158E-5
38,98.67847019308172,6.277762827295229E-7,2.3341538569301104E-5
39,98.6105409156133,6.277666697617574E-7,2.396930523906286E-5
40,98.54075732644712,6.314535435965777E-7,2.4600758782659438E-5
41,98.4701136416842,6.382617025807083E-7,2.5239020485240145E-5
42,98.39874763806971,6.28252402001369E-7,2.5867272887241515E-5
43,98.32516029106284,6.301971151662521E-7,2.649747000240777E-5
44,98.24961747858187,6.267901597273635E-7,2.712426016213513E-5
45,98.17230909022591,6.355776208453795E-7,2.775983778298051E-5
46,98.09353579204539,6.390364330175898E-7,2.83988742159981E-5
47,98.0154039869106,6.312983228954273E-7,2.9030172538893527E-5
48,97.93716431863675,6.264914754186065E-7,2.9656664014312134E-5
49,97.85716020359494,6.241924668651119E-7,3.0280856481177245E-5
50,97.77713624484018,6.211059202975714E-7,3.090196240147482E-5
51,97.69646773435585,6.232008773457744E-7,3.152516327882059E-5
52,97.61490568669343,6.261873248755745E-7,3.2151350603696165E-5
53,97.531832109857,6.296697546862287E-7,3.2781020358382396E-5
54,97.44681461575423,6.346522053496799E-7,3.3415672563732074E-5
55,97.3621960006994,6.218810851742908E-7,3.403755364890636E-5
56,97.27744606361563,6.235849354931298E-7,3.4661138584399496E-5
57,97.1924662789888,6.199119317398543E-7,3.528105051613935E-5
58,97.10665765058212,6.178049784141029E-7,3.5898855494553454E-5
59,97.02012605901137,6.130641396578644E-7,3.6511919634211315E-5
60,96.93492667759148,6.064854910550788E-7,3.7118405125266395E-5
61,96.84970210299878,6.013808478313734E-7,3.771978597309777E-5
62,96.7636290511129,6.018225865797634E-7,3.832160855967753E-5
63,96.67835503928605,5.930268277843964E-7,3.891463538746193E-5
64,96.59167287225307,5.983455331064795E-7,3.951298092056841E-5
65,96.50428757256039,5.986087952816329E-7,4.011158971585004E-5
66,96.41381659299138,6.0063170264105E-7,4.071222141849109E-5
67,96.32244342535388,5.969209932551711E-7,4.130914241174626E-5
68,96.23028333594291,6.00687033821953E-7,4.190982944556821E-5
69,96.13586852503714,6.094386921545757E-7,4.251926813772279E-5
70,96.04077958856803,6.198610298804853E-7,4.313912916760328E-5
71,95.94323918593783,6.162380076416278E-7,4.3755367175244904E-5
72,95.84508519181536,6.139499864816781E-7,4.4369317161726584E-5
73,95.74480337538425,6.204890487967586E-7,4.498980621052334E-5
74,95.64437935399557,6.185290635143626E-7,4.56083352740377E-5
75,95.54189434513636,6.225786236386914E-7,4.623091389767639E-5
76,95.43880762591607,6.307985841707344E-7,4.6861712481847125E-5
77,95.33608685258845,6.317316284304083E-7,4.749344411027753E-5
78,95.23215337398042,6.311229171201363E-7,4.812456702739767E-5
79,95.1290978943022,6.231634739431602E-7,4.874773050134083E-5
