#treeName,Method,NumericalLogZ,logZ
sim-1121221206.msf.Rep0,Adaptive,0.0,-73327.00645183909
sim-1121221206.msf.Rep0,Deterministic,0.0,-73269.33505357584
sim-1121221206.msf.Rep0,MCMC,NA,0.0
sim-1121221206.msf.Rep0,LIS,NA,-73236.5712141465
sim-1121221206.msf.Rep0,SS,NA,-73252.3472311932
sim-1121221206.msf.Rep1,Adaptive,0.0,-73329.22665206245
sim-1121221206.msf.Rep1,Deterministic,0.0,-73291.96256172733
sim-1121221206.msf.Rep1,MCMC,NA,0.0
sim-1121221206.msf.Rep1,LIS,NA,-73241.66172148396
sim-1121221206.msf.Rep1,SS,NA,-73248.62097801028
