#t,ESS,tempDiff,temp
0,100.00000000000006,0.0,0.0
1,99.99899999999994,6.372912009050374E-7,6.372912009050374E-7
2,99.99601022392275,6.254796986439306E-7,1.262770899548968E-6
3,99.9910342688306,6.339983940259035E-7,1.8967692935748716E-6
4,99.98408248674359,6.340270114611565E-7,2.530796305036028E-6
5,99.9751600632866,6.367690725323256E-7,3.1675653775683536E-6
6,99.96430220892618,6.400720119309874E-7,3.807637389499341E-6
7,99.95151562565393,6.378304825358701E-7,4.445467872035211E-6
8,99.93679421544728,6.311205839022165E-7,5.076588455937427E-6
9,99.92010754996365,6.271752996967084E-7,5.703763755634136E-6
10,99.90146929792199,6.221793223398748E-7,6.32594307797401E-6
11,99.88095598445244,6.121522833595838E-7,6.938095361333594E-6
12,99.85856581463575,6.103294257560696E-7,7.548424787089663E-6
13,99.8342815268051,6.088773065811536E-7,8.157302093670817E-6
14,99.80803122487515,6.038358313372641E-7,8.76113792500808E-6
15,99.78000707110718,6.104207310516279E-7,9.371558656059708E-6
16,99.75006980294489,6.12048568760407E-7,9.983607224820115E-6
17,99.71815144656055,6.17105091068875E-7,1.0600712315888989E-5
18,99.6843031033469,6.169493680234576E-7,1.1217661683912446E-5
19,99.64851257162519,6.067100031011668E-7,1.1824371687013613E-5
20,99.61082101268985,6.118593703430829E-7,1.2436231057356697E-5
21,99.57128028319234,6.167503303724635E-7,1.305298138772916E-5
22,99.52990297401901,6.183642423528699E-7,1.367134563008203E-5
23,99.48660438493319,6.203628859216881E-7,1.4291708516003717E-5
24,99.44176956092096,6.252577883666643E-7,1.4916966304370381E-5
25,99.39516081112005,6.364105668430412E-7,1.5553376871213424E-5
26,99.34683755417866,6.402526002127514E-7,1.6193629471426175E-5
27,99.296745835307,6.43782693663176E-7,1.683741216508935E-5
28,99.24481019132715,6.418739486398847E-7,1.7479286113729232E-5
29,99.19117987949579,6.335775786344864E-7,1.8112863692363717E-5
30,99.13587179203894,6.312458965993943E-7,1.8744109588963113E-5
31,99.07902591390811,6.35287340547544E-7,1.9379396929510658E-5
32,99.02032866231873,6.372608588892726E-7,2.001665778839993E-5
33,98.95976690769919,6.322389503858362E-7,2.0648896738785766E-5
34,98.8971076387178,6.362309088763686E-7,2.1285127647662135E-5
35,98.83250740214345,6.328126523851451E-7,2.191794030004728E-5
36,98.76610754909436,6.390077968986222E-7,2.2556948096945905E-5
37,98.69800249788915,6.299044378839902E-7,2.3186852534829893E-5
38,98.62800089138794,6.331091299803611E-7,2.3819961664810254E-5
39,98.55622969771987,6.270120729312352E-7,2.444697373774149E-5
40,98.482758372263,6.286684227633025E-7,2.507564216050479E-5
41,98.40762081557534,6.262080514650208E-7,2.570185021196981E-5
42,98.33082990517423,6.257025354259345E-7,2.6327552747395744E-5
43,98.25241196072392,6.323845462149415E-7,2.6959937293610687E-5
44,98.1721785569813,6.279030980724564E-7,2.7587840391683142E-5
45,98.09058004231773,6.407598194101147E-7,2.8228600211093258E-5
46,98.00717322973932,6.443156909784649E-7,2.8872915902071722E-5
47,97.9216075685029,6.458519575489679E-7,2.951876785962069E-5
48,97.83419441117213,6.496939874830376E-7,3.0168461847103726E-5
49,97.74539070687597,6.489056625969813E-7,3.0817367509700704E-5
50,97.65506157653866,6.401128276564088E-7,3.1457480337357116E-5
51,97.56309914723431,6.377136996572498E-7,3.2095194037014365E-5
52,97.46960004049872,6.323783724234513E-7,3.2727572409437815E-5
53,97.37447648153456,6.410745709033812E-7,3.33686469803412E-5
54,97.27830364998728,6.445753073119408E-7,3.4013222287653136E-5
55,97.18050873098028,6.383112712711372E-7,3.4651533558924274E-5
56,97.08113027290204,6.365550370015145E-7,3.528808859592579E-5
57,96.98065533939861,6.370907075700924E-7,3.592517930349588E-5
58,96.87840420620432,6.309066364951193E-7,3.6556085939991E-5
59,96.77539787737385,6.434948946888454E-7,3.719958083467984E-5
60,96.67187415110385,6.499751391495393E-7,3.7849555973829376E-5
61,96.5671452934042,6.3753864328226E-7,3.848709461711164E-5
62,96.460207478587,6.419343964517839E-7,3.912902901356342E-5
63,96.35183228619887,6.415095552205492E-7,3.977053856878397E-5
64,96.2423102281161,6.373052399472085E-7,4.040784380873118E-5
65,96.13086351694247,6.386521409944997E-7,4.1046495949725684E-5
66,96.0172134828133,6.31209013766504E-7,4.1677704963492185E-5
67,95.90219240689862,6.3275027324369E-7,4.2310455236735874E-5
68,95.7866256515701,6.22782663022101E-7,4.2933237899757975E-5
69,95.6693900901266,6.225957587896057E-7,4.355583365854758E-5
70,95.55029261545323,6.236544827780648E-7,4.4179488141325645E-5
71,95.43041413451401,6.194918383991775E-7,4.4798979979724824E-5
72,95.30915656456001,6.353394173481232E-7,4.543431939707295E-5
73,95.18638091518581,6.350197474528996E-7,4.606933914452585E-5
74,95.06290977940365,6.36259742607291E-7,4.6705598887133144E-5
75,94.93894658327307,6.384879780918723E-7,4.7344086865225014E-5
76,94.81403620430949,6.376467801545178E-7,4.7981733645379534E-5
77,94.68733232346207,6.369274363274056E-7,4.861866108170694E-5
78,94.55981739973518,6.311014178182039E-7,4.9249762499525145E-5
79,94.43065444960233,6.384522041666101E-7,4.9888214703691757E-5
80,94.3007425199783,6.355019655323991E-7,5.052371666922415E-5
81,94.16836177637413,6.420081252512389E-7,5.116572479447539E-5
82,94.03432568520822,6.389390750360774E-7,5.180466386951147E-5
83,93.89875889634227,6.373974467026174E-7,5.2442061316214086E-5
84,93.76229112631827,6.465441111492515E-7,5.308860542736334E-5
85,93.62504425744818,6.418350719340449E-7,5.373044049929738E-5
86,93.4867241553869,6.457279978750296E-7,5.437616849717241E-5
87,93.34701202004236,6.473473207908423E-7,5.502351581796325E-5
88,93.20794249865725,6.64262709379196E-7,5.5687778527342444E-5
