#t,ESS,tempDiff,temp
0,300.00000000000114,0.0,0.0
1,299.9969999999996,6.267313448131406E-7,6.267313448131406E-7
2,299.98802031056186,6.274509085296646E-7,1.2541822533428051E-6
3,299.9730781318971,6.312150704832612E-7,1.8853973238260662E-6
4,299.95220167889937,6.329679382451686E-7,2.518365262071235E-6
5,299.9254221521709,6.268403431602624E-7,3.1452056052314974E-6
6,299.8927474962832,6.26383024429596E-7,3.7715886296610933E-6
7,299.85419091789265,6.234803443151263E-7,4.3950689739762195E-6
8,299.8097567489758,6.263309173386765E-7,5.021399891314896E-6
9,299.7594644985853,6.282515238795132E-7,5.649651415194409E-6
10,299.7033897908403,6.273133773018372E-7,6.2769647924962465E-6
11,299.641556927869,6.311032029633625E-7,6.908067995459609E-6
12,299.57408428966374,6.334705568147987E-7,7.541538552274407E-6
13,299.500858068176,6.299120827680512E-7,8.171450635042459E-6
14,299.4219188525136,6.252085077294964E-7,8.796659142771955E-6
15,299.3372676258369,6.234262907906491E-7,9.420085433562603E-6
16,299.2469431670101,6.230097490830582E-7,1.0043095182645662E-5
17,299.15110988802513,6.254085538415228E-7,1.0668503736487185E-5
18,299.0498879636897,6.290633958874699E-7,1.1297567132374654E-5
19,298.9430381989265,6.249737786050035E-7,1.1922540910979658E-5
20,298.8307097872097,6.232518876215922E-7,1.254579279860125E-5
21,298.7129523460888,6.266268837945319E-7,1.3172419682395783E-5
22,298.59006129682723,6.305335677388341E-7,1.3802953250134618E-5
23,298.46160756640745,6.345693625537138E-7,1.4437522612688332E-5
24,298.32782164021694,6.339427360216923E-7,1.5071465348710024E-5
25,298.1883983849971,6.366763495721125E-7,1.5708141698282136E-5
26,298.0431805887558,6.345308785664646E-7,1.63426725768486E-5
27,297.8925797108304,6.34283398870732E-7,1.697695597571933E-5
28,297.73701003330206,6.337790830658779E-7,1.7610735058785208E-5
29,297.57636538545046,6.389515672521003E-7,1.824968662603731E-5
30,297.41049573753514,6.386622212512681E-7,1.8888348847288576E-5
31,297.2386891040854,6.367709881276575E-7,1.9525119835416235E-5
32,297.0612905507069,6.409365628092016E-7,2.0166056398225438E-5
33,296.8788489079978,6.392070417699563E-7,2.0805263439995396E-5
34,296.6912640613633,6.375454904681429E-7,2.1442808930463537E-5
35,296.49860613040204,6.381046939503729E-7,2.208091362441391E-5
36,296.30065278739386,6.383578596854305E-7,2.271927148409934E-5
37,296.0971835293031,6.375842688083299E-7,2.335685575290767E-5
38,295.88825721826623,6.402428327329224E-7,2.3997098585640595E-5
39,295.67399111896384,6.372978944437433E-7,2.4634396480084337E-5
40,295.4547332021167,6.380504387633295E-7,2.5272446918847668E-5
41,295.2307697375884,6.34535221123427E-7,2.5906982139971095E-5
42,295.0014926442518,6.352400397702116E-7,2.6542222179741308E-5
43,294.7670654164724,6.370368281920256E-7,2.7179259007933335E-5
44,294.52785243753834,6.332779394484248E-7,2.781253694738176E-5
45,294.28350670505984,6.346302178203419E-7,2.84471671652021E-5
46,294.03424595413117,6.315241032072183E-7,2.907869126840932E-5
47,293.77969276699633,6.2651806607996E-7,2.9705209334489282E-5
48,293.5203548386493,6.255417169935896E-7,3.0330751051482873E-5
49,293.2558953439532,6.312622718216387E-7,3.096201332330451E-5
50,292.98599434469617,6.319374861806686E-7,3.1593950809485175E-5
51,292.71141508565256,6.301981304060694E-7,3.2224148939891245E-5
52,292.4320059573894,6.25731648026648E-7,3.2849880587917895E-5
53,292.14737142788084,6.247353541629122E-7,3.3474615942080805E-5
54,291.8581949241968,6.221394026053448E-7,3.409675534468615E-5
55,291.56459080454385,6.218722197036566E-7,3.471862756438981E-5
56,291.26861523972224,6.187982896407064E-7,3.533742585403051E-5
57,290.9679585867947,6.173897442014439E-7,3.595481559823195E-5
58,290.66401738333747,6.173565614945582E-7,3.657217215972651E-5
59,290.35625979343536,6.149048319540401E-7,3.718707699168055E-5
60,290.0438870622,6.161717165694228E-7,3.7803248708249976E-5
61,289.72749224370824,6.151084316580295E-7,3.8418357139908E-5
62,289.4062103615806,6.161709131051489E-7,3.903452805301315E-5
63,289.08056008481066,6.119525135783849E-7,3.964648056659154E-5
64,288.7510955113487,6.107073281461509E-7,4.025718789473769E-5
65,288.417859092482,6.0594014697329E-7,4.086312804171098E-5
