#t,ESS,tempDiff,temp
0,300.00000000000114,0.0,0.0
1,299.99737927740944,6.439200503525644E-7,6.439200503525644E-7
2,299.98948110613134,6.437795215272395E-7,1.287699571879804E-6
3,299.9763401743874,6.446103361942192E-7,1.932309908074023E-6
4,299.9580161175258,6.442699836761028E-7,2.576579891750126E-6
5,299.9340960155687,6.438660562927692E-7,3.2204459480428954E-6
6,299.9052372541733,6.425733080496633E-7,3.863019256092558E-6
7,299.87063948749795,6.466793347046959E-7,4.509698590797254E-6
8,299.83049195399593,6.427437568713753E-7,5.15244234766863E-6
9,299.785053737602,6.469031960335597E-7,5.799345543702189E-6
10,299.73424465371625,6.494567807641457E-7,6.448802324466334E-6
11,299.67754828895636,6.519604681730106E-7,7.100762792639345E-6
12,299.61577493642994,6.501760525751366E-7,7.750938845214482E-6
13,299.54810870906306,6.516078337718387E-7,8.40254667898632E-6
14,299.4752387938835,6.529602439938908E-7,9.055506922980211E-6
15,299.39569381070027,6.588439512197713E-7,9.714350874199982E-6
16,299.3096115675875,6.609585679176651E-7,1.0375309442117648E-5
17,299.216790866672,6.658983668362862E-7,1.1041207808953933E-5
18,299.1175840889407,6.716712645045231E-7,1.1712879073458456E-5
19,299.0136765219959,6.69611258599809E-7,1.2382490332058265E-5
20,298.90294118570955,6.750969430666309E-7,1.3057587275124897E-5
21,298.78703885949966,6.701300005156023E-7,1.3727717275640498E-5
22,298.6663116898124,6.6423554449891E-7,1.4391952820139408E-5
23,298.540483877105,6.673319038365864E-7,1.5059284723975995E-5
24,298.4085389052143,6.704883762823322E-7,1.572977310025833E-5
25,298.2700053088744,6.721221945289943E-7,1.6401895294787323E-5
26,298.12654262458744,6.679519418025948E-7,1.7069847236589918E-5
27,297.9751190445868,6.704088367131116E-7,1.774025607330303E-5
28,297.8164874126667,6.747543426386883E-7,1.841501041594172E-5
29,297.65270338449443,6.743281600313352E-7,1.9089338575973054E-5
30,297.48359982982737,6.77317435462203E-7,1.9766656011435258E-5
31,297.3086991027689,6.786965341788986E-7,2.0445352545614157E-5
32,297.1296181450691,6.721361901831146E-7,2.111748873579727E-5
33,296.9453777818415,6.743574843232765E-7,2.1791846220120545E-5
34,296.7574771622096,6.673027536175338E-7,2.245914897373808E-5
35,296.56514606334906,6.65514653117028E-7,2.3124663626855106E-5
36,296.3678544605888,6.635806948535365E-7,2.3788244321708644E-5
37,296.1680202514424,6.537254331325273E-7,2.4441969754841172E-5
38,295.96422169214645,6.522311773577779E-7,2.509420093219895E-5
39,295.7536432645034,6.524018013367571E-7,2.5746602733535707E-5
40,295.53841517842255,6.535583113637237E-7,2.640016104489943E-5
41,295.3165699873981,6.547548485748806E-7,2.705491589347431E-5
42,295.08803560348144,6.566688469177566E-7,2.7711584740392065E-5
43,294.85587740168904,6.505041166092649E-7,2.836208885700133E-5
44,294.6194645301864,6.484445668631779E-7,2.901053342386451E-5
45,294.37934620142227,6.48836334706985E-7,2.9659369758571494E-5
46,294.13276919511145,6.497261367374621E-7,3.0309095895308957E-5
47,293.8818258176522,6.498115612133897E-7,3.0958907456522344E-5
48,293.62598836099664,6.485626236823213E-7,3.1607470080204665E-5
49,293.36304302733873,6.495496018372446E-7,3.225701968204191E-5
50,293.0952918403472,6.499918832276705E-7,3.2907011565269584E-5
51,292.82084337914233,6.542769496167285E-7,3.356128851488631E-5
52,292.5410344381135,6.509771516430037E-7,3.4212265666529313E-5
53,292.25710746728555,6.474403571213757E-7,3.485970602365069E-5
54,291.9642500248245,6.583130203962811E-7,3.5518019044046967E-5
55,291.66636968768603,6.586806570801223E-7,3.617669970112709E-5
56,291.36294434571425,6.573114013232491E-7,3.683401110245034E-5
57,291.0546295366003,6.551429597536712E-7,3.7489154062204014E-5
58,290.7390393971373,6.548640874971446E-7,3.8144018149701156E-5
59,290.41936660733126,6.491532320040175E-7,3.879317138170517E-5
60,290.0982687189824,6.473681920161695E-7,3.9440539573721344E-5
61,289.77324578814245,6.463961533315707E-7,4.008693572705291E-5
62,289.4432546494154,6.464461474407741E-7,4.073338187449369E-5
63,289.1119755374341,6.457202802749786E-7,4.1379102154768665E-5
64,288.7789850054255,6.473476145742053E-7,4.202644976934287E-5
65,288.4416079141476,6.503094348505134E-7,4.2676759204193384E-5
66,288.09828545303907,6.55369450108392E-7,4.3332128654301775E-5
67,287.7504727518331,6.575409620707743E-7,4.398966961637255E-5
68,287.3954759086854,6.584997538173982E-7,4.464816937018995E-5
69,287.0344088954388,6.636866538821905E-7,4.5311856024072136E-5
70,286.67458886159,6.588741332100744E-7,4.597073015728221E-5
71,286.30928375508034,6.636406155799393E-7,4.6634370772862155E-5
72,285.94229739497644,6.591983549738321E-7,4.729356912783599E-5
73,285.5695307893255,6.617963777876428E-7,4.795536550562363E-5
74,285.19584410572776,6.600889910328873E-7,4.861545449665652E-5
75,284.8161264698849,6.632028846824641E-7,4.9278657381338985E-5
76,284.4302408093027,6.621519244066609E-7,4.994080930574565E-5
77,284.041332754906,6.5983259238913E-7,5.060064189813478E-5
78,283.64507483906357,6.612480143949864E-7,5.1261889912529764E-5
79,283.23660857311904,6.67435075665615E-7,5.192932498819538E-5
80,282.82130032188445,6.692294122005571E-7,5.259855440039594E-5
81,282.4021078178507,6.684535567453607E-7,5.32670079571413E-5
82,281.9807506035232,6.698122918017345E-7,5.3936820248943034E-5
83,281.5597660060719,6.677772770894488E-7,5.4604597526032486E-5
84,281.13471798513916,6.647742452224355E-7,5.5269371771254924E-5
85,280.71236570168367,6.621832507995818E-7,5.5931555022054504E-5
86,280.28546824162186,6.616304960489231E-7,5.659318551810343E-5
87,279.8477651874291,6.667708268649797E-7,5.725995634496841E-5
88,279.40637035531046,6.641959388373362E-7,5.792415228380575E-5
89,278.96179166213363,6.608674828515028E-7,5.8585019766657246E-5
90,278.51428130146877,6.579151319462964E-7,5.924293489860354E-5
91,278.061154815823,6.59380462084163E-7,5.99023153606877E-5
92,277.60159809028,6.608668988900884E-7,6.056318225957779E-5
93,277.1372462135218,6.621023681785433E-7,6.122528462775633E-5
94,276.6714224582044,6.661691271478947E-7,6.189145375490422E-5
95,276.2058727502892,6.630240593230281E-7,6.255447781422726E-5
96,275.74033119037495,6.588550143956403E-7,6.321333282862289E-5
97,275.2651162607604,6.583655819196351E-7,6.387169841054252E-5
98,274.77861956759875,6.671668185653195E-7,6.453886522910784E-5
99,274.28190694212867,6.639102677135519E-7,6.52027754968214E-5
100,273.77961336168454,6.667095180554336E-7,6.586948501487683E-5
101,273.27578829880406,6.605487429859713E-7,6.65300337578628E-5
102,272.77062281457125,6.633612483284521E-7,6.719339500619125E-5
103,272.2584556356471,6.635280178256163E-7,6.785692302401687E-5
104,271.73788341499727,6.682080999376984E-7,6.852513112395457E-5
105,271.2185235235462,6.667127637456784E-7,6.919184388770025E-5
