#Method,Adaptive,AdaptiveType,T,IterScale,Repeat,Metric,Value,TreeName,Time
ANNEALING,true,0,17398,300.0,0,ConsensusLogLL,-72796.06659408179,sim-1121221206.msf,13224912
ANNEALING,true,0,17398,300.0,0,BestSampledLogLL,-72832.85438498367,sim-1121221206.msf,13224912
ANNEALING,true,0,17398,300.0,0,PartitionMetric,0.0,sim-1121221206.msf,13224912
ANNEALING,true,0,17398,300.0,0,RobinsonFouldsMetric,0.8403498631841186,sim-1121221206.msf,13224912
ANNEALING,true,0,17398,300.0,0,KuhnerFelsenstein,0.015604929631739152,sim-1121221206.msf,13224912
ANNEALING,false,0,17398,300.0,0,ConsensusLogLL,-72795.58989144315,sim-1121221206.msf,13441884
ANNEALING,false,0,17398,300.0,0,BestSampledLogLL,-72832.4886968725,sim-1121221206.msf,13441884
ANNEALING,false,0,17398,300.0,0,PartitionMetric,0.0,sim-1121221206.msf,13441884
ANNEALING,false,0,17398,300.0,0,RobinsonFouldsMetric,0.7738704217564322,sim-1121221206.msf,13441884
ANNEALING,false,0,17398,300.0,0,KuhnerFelsenstein,0.012276554493248642,sim-1121221206.msf,13441884
MCMC,,,,5219400.0,0,ConsensusLogLL,-72844.71382752337,sim-1121221206.msf,54498903
MCMC,,,,5219400.0,0,BestSampledLogLL,-Infinity,sim-1121221206.msf,54498903
MCMC,,,,5219400.0,0,PartitionMetric,0.0,sim-1121221206.msf,54498903
MCMC,,,,5219400.0,0,RobinsonFouldsMetric,0.8674469316234584,sim-1121221206.msf,54498903
MCMC,,,,5219400.0,0,KuhnerFelsenstein,0.015488800776273898,sim-1121221206.msf,54498903
ANNEALING,true,0,17322,300.0,1,ConsensusLogLL,-72790.14231506379,sim-1121221206.msf,13128513
ANNEALING,true,0,17322,300.0,1,BestSampledLogLL,-72838.77479313652,sim-1121221206.msf,13128513
ANNEALING,true,0,17322,300.0,1,PartitionMetric,0.0,sim-1121221206.msf,13128513
ANNEALING,true,0,17322,300.0,1,RobinsonFouldsMetric,0.7867944091325364,sim-1121221206.msf,13128513
ANNEALING,true,0,17322,300.0,1,KuhnerFelsenstein,0.012108220582745875,sim-1121221206.msf,13128513
ANNEALING,false,0,17322,300.0,1,ConsensusLogLL,-72801.14138239033,sim-1121221206.msf,13115449
ANNEALING,false,0,17322,300.0,1,BestSampledLogLL,-72836.37457841956,sim-1121221206.msf,13115449
ANNEALING,false,0,17322,300.0,1,PartitionMetric,2.0,sim-1121221206.msf,13115449
ANNEALING,false,0,17322,300.0,1,RobinsonFouldsMetric,0.7881326657868901,sim-1121221206.msf,13115449
ANNEALING,false,0,17322,300.0,1,KuhnerFelsenstein,0.013730311532480503,sim-1121221206.msf,13115449
MCMC,,,,5196600.0,1,ConsensusLogLL,-72803.85183741368,sim-1121221206.msf,54107860
MCMC,,,,5196600.0,1,BestSampledLogLL,-Infinity,sim-1121221206.msf,54107860
MCMC,,,,5196600.0,1,PartitionMetric,0.0,sim-1121221206.msf,54107860
MCMC,,,,5196600.0,1,RobinsonFouldsMetric,0.8384552524774177,sim-1121221206.msf,54107860
MCMC,,,,5196600.0,1,KuhnerFelsenstein,0.013408409557320622,sim-1121221206.msf,54107860
