#treeName,Method,NumericalLogZ,logZ
sim--2142322983.msf.Rep0,Adaptive,-24.994580797757592,-24.917392222821398
sim--2142322983.msf.Rep0,Deterministic,-24.84317214000376,-24.918363082298217
sim--2142322983.msf.Rep0,MCMC,NA,0.0
sim--2142322983.msf.Rep0,LIS,NA,-24.895302796653496
sim--2142322983.msf.Rep0,SS,NA,-24.910176165260133
sim--2142322983.msf.Rep1,Adaptive,-24.926410995236747,-24.905656341876558
sim--2142322983.msf.Rep1,Deterministic,-24.93370683692026,-24.914103029131752
sim--2142322983.msf.Rep1,MCMC,NA,0.0
sim--2142322983.msf.Rep1,LIS,NA,-24.912953672591748
sim--2142322983.msf.Rep1,SS,NA,-24.93429923981809
sim--2142322983.msf.Rep2,Adaptive,-25.05331612445126,-24.92414799624693
sim--2142322983.msf.Rep2,Deterministic,-24.859082729906106,-24.931299877470092
sim--2142322983.msf.Rep2,MCMC,NA,0.0
sim--2142322983.msf.Rep2,LIS,NA,-24.916622227826274
sim--2142322983.msf.Rep2,SS,NA,-24.90499152066667
sim--2142322983.msf.Rep3,Adaptive,-24.85123544725665,-24.91940021815889
sim--2142322983.msf.Rep3,Deterministic,-24.796248850661055,-24.916826190384292
sim--2142322983.msf.Rep3,MCMC,NA,0.0
sim--2142322983.msf.Rep3,LIS,NA,-24.918512277492987
sim--2142322983.msf.Rep3,SS,NA,-24.908402623665076
sim--2142322983.msf.Rep4,Adaptive,-24.784804024509153,-24.907532526110558
sim--2142322983.msf.Rep4,Deterministic,-24.893308781006922,-24.916776171444983
sim--2142322983.msf.Rep4,MCMC,NA,0.0
sim--2142322983.msf.Rep4,LIS,NA,-24.914367455256304
sim--2142322983.msf.Rep4,SS,NA,-24.92082420404808
sim--2142322983.msf.Rep5,Adaptive,-24.82671761147846,-24.920590525224824
sim--2142322983.msf.Rep5,Deterministic,-24.971530585264787,-24.91980930608435
sim--2142322983.msf.Rep5,MCMC,NA,0.0
sim--2142322983.msf.Rep5,LIS,NA,-24.89961820718044
sim--2142322983.msf.Rep5,SS,NA,-24.90053171965451
sim--2142322983.msf.Rep6,Adaptive,-24.73553657576499,-24.921965510484736
sim--2142322983.msf.Rep6,Deterministic,-24.927392718294403,-24.914730354145902
sim--2142322983.msf.Rep6,MCMC,NA,0.0
sim--2142322983.msf.Rep6,LIS,NA,-24.9158114123043
sim--2142322983.msf.Rep6,SS,NA,-24.9217135916358
sim--2142322983.msf.Rep7,Adaptive,-25.01878335802034,-24.91103483133338
sim--2142322983.msf.Rep7,Deterministic,-24.737466913612046,-24.914647452979352
sim--2142322983.msf.Rep7,MCMC,NA,0.0
sim--2142322983.msf.Rep7,LIS,NA,-24.916764453511295
sim--2142322983.msf.Rep7,SS,NA,-24.916185591853797
sim--2142322983.msf.Rep8,Adaptive,-24.87366822637752,-24.92097459344559
sim--2142322983.msf.Rep8,Deterministic,-24.973517718454247,-24.913730977814893
sim--2142322983.msf.Rep8,MCMC,NA,0.0
sim--2142322983.msf.Rep8,LIS,NA,-24.92571347517377
sim--2142322983.msf.Rep8,SS,NA,-24.9129299433173
sim--2142322983.msf.Rep9,Adaptive,-25.023855364627927,-24.916930155453073
sim--2142322983.msf.Rep9,Deterministic,-24.969287381405948,-24.917569096794153
sim--2142322983.msf.Rep9,MCMC,NA,0.0
sim--2142322983.msf.Rep9,LIS,NA,-24.924644418743817
sim--2142322983.msf.Rep9,SS,NA,-24.92578972542088
sim--2142322983.msf.Rep10,Adaptive,-24.735139680026656,-24.90935689208082
sim--2142322983.msf.Rep10,Deterministic,-24.868399325679064,-24.918378435489885
sim--2142322983.msf.Rep10,MCMC,NA,0.0
sim--2142322983.msf.Rep10,LIS,NA,-24.909254368115214
sim--2142322983.msf.Rep10,SS,NA,-24.92092259672672
sim--2142322983.msf.Rep11,Adaptive,-24.919015403451837,-24.91787527294766
sim--2142322983.msf.Rep11,Deterministic,-24.92792094796874,-24.919154203951887
sim--2142322983.msf.Rep11,MCMC,NA,0.0
sim--2142322983.msf.Rep11,LIS,NA,-24.919371477415194
sim--2142322983.msf.Rep11,SS,NA,-24.920373336366975
sim--2142322983.msf.Rep12,Adaptive,-24.899989004151575,-24.928864799735003
sim--2142322983.msf.Rep12,Deterministic,-24.868533401264987,-24.912981873055855
sim--2142322983.msf.Rep12,MCMC,NA,0.0
sim--2142322983.msf.Rep12,LIS,NA,-24.904150719132915
sim--2142322983.msf.Rep12,SS,NA,-24.94218258979845
sim--2142322983.msf.Rep13,Adaptive,-25.04752726360583,-24.909601754130684
sim--2142322983.msf.Rep13,Deterministic,-24.818933386095424,-24.917682817919612
sim--2142322983.msf.Rep13,MCMC,NA,0.0
sim--2142322983.msf.Rep13,LIS,NA,-24.92497477588445
sim--2142322983.msf.Rep13,SS,NA,-24.90011323667367
sim--2142322983.msf.Rep14,Adaptive,-25.208397134778178,-24.915880299658525
sim--2142322983.msf.Rep14,Deterministic,-25.04987916428581,-24.914731110986963
sim--2142322983.msf.Rep14,MCMC,NA,0.0
sim--2142322983.msf.Rep14,LIS,NA,-24.925991349809085
sim--2142322983.msf.Rep14,SS,NA,-24.878902931343443
sim--2142322983.msf.Rep15,Adaptive,-25.049043498892505,-24.912652259578053
sim--2142322983.msf.Rep15,Deterministic,-25.069884218492177,-24.92112949879008
sim--2142322983.msf.Rep15,MCMC,NA,0.0
sim--2142322983.msf.Rep15,LIS,NA,-24.92268388298107
sim--2142322983.msf.Rep15,SS,NA,-24.921774868801403
sim--2142322983.msf.Rep16,Adaptive,-24.86220664278819,-24.92116236432342
sim--2142322983.msf.Rep16,Deterministic,-24.79659925867162,-24.91816309155064
sim--2142322983.msf.Rep16,MCMC,NA,0.0
sim--2142322983.msf.Rep16,LIS,NA,-24.932358902125497
sim--2142322983.msf.Rep16,SS,NA,-24.900597021600827
sim--2142322983.msf.Rep17,Adaptive,-24.90971887894621,-24.90881796398164
sim--2142322983.msf.Rep17,Deterministic,-25.016941130556447,-24.92332137751332
sim--2142322983.msf.Rep17,MCMC,NA,0.0
sim--2142322983.msf.Rep17,LIS,NA,-24.890733935503746
sim--2142322983.msf.Rep17,SS,NA,-24.915320162915414
sim--2142322983.msf.Rep18,Adaptive,-24.970429402931632,-24.91636154604428
sim--2142322983.msf.Rep18,Deterministic,-24.796955563965906,-24.915091366991156
sim--2142322983.msf.Rep18,MCMC,NA,0.0
sim--2142322983.msf.Rep18,LIS,NA,-24.91003099550295
sim--2142322983.msf.Rep18,SS,NA,-24.932594042751965
sim--2142322983.msf.Rep19,Adaptive,-24.87073028226451,-24.920155782495556
sim--2142322983.msf.Rep19,Deterministic,-24.89087133763823,-24.9060296280578
sim--2142322983.msf.Rep19,MCMC,NA,0.0
sim--2142322983.msf.Rep19,LIS,NA,-24.89395071109611
sim--2142322983.msf.Rep19,SS,NA,-24.92653082776887
sim--2142322983.msf.Rep20,Adaptive,-24.8125216751053,-24.91046227781036
sim--2142322983.msf.Rep20,Deterministic,-24.906123835012863,-24.91117199342758
