#Method,Adaptive,AdaptiveType,T,IterScale,Repeat,Metric,Value,TreeName,Time
ANNEALING,true,0,23,200000.0,0,ConsensusLogLL,-22.5190451481445,sim--2142322983.msf,1594792
ANNEALING,true,0,23,200000.0,0,BestSampledLogLL,-20.48239734585717,sim--2142322983.msf,1594792
ANNEALING,true,0,23,200000.0,0,PartitionMetric,0.0,sim--2142322983.msf,1594792
ANNEALING,true,0,23,200000.0,0,RobinsonFouldsMetric,0.2629293279843675,sim--2142322983.msf,1594792
ANNEALING,true,0,23,200000.0,0,KuhnerFelsenstein,0.016572368743446638,sim--2142322983.msf,1594792
ANNEALING,false,0,23,200000.0,0,ConsensusLogLL,-22.516674423219605,sim--2142322983.msf,1530362
ANNEALING,false,0,23,200000.0,0,BestSampledLogLL,-20.49966850488329,sim--2142322983.msf,1530362
ANNEALING,false,0,23,200000.0,0,PartitionMetric,0.0,sim--2142322983.msf,1530362
ANNEALING,false,0,23,200000.0,0,RobinsonFouldsMetric,0.2615993279843675,sim--2142322983.msf,1530362
ANNEALING,false,0,23,200000.0,0,KuhnerFelsenstein,0.016317993389966194,sim--2142322983.msf,1530362
MCMC,,,,4600000.0,0,ConsensusLogLL,-26.10412712160553,sim--2142322983.msf,688590
MCMC,,,,4600000.0,0,BestSampledLogLL,-Infinity,sim--2142322983.msf,688590
MCMC,,,,4600000.0,0,PartitionMetric,0.0,sim--2142322983.msf,688590
MCMC,,,,4600000.0,0,RobinsonFouldsMetric,0.6218000055750669,sim--2142322983.msf,688590
MCMC,,,,4600000.0,0,KuhnerFelsenstein,0.10790496465633916,sim--2142322983.msf,688590
ANNEALING,true,0,23,200000.0,1,ConsensusLogLL,-22.49995664703978,sim--2142322983.msf,1539654
ANNEALING,true,0,23,200000.0,1,BestSampledLogLL,-20.437836739217776,sim--2142322983.msf,1539654
ANNEALING,true,0,23,200000.0,1,PartitionMetric,0.0,sim--2142322983.msf,1539654
ANNEALING,true,0,23,200000.0,1,RobinsonFouldsMetric,0.26054932798436753,sim--2142322983.msf,1539654
ANNEALING,true,0,23,200000.0,1,KuhnerFelsenstein,0.016287154906591873,sim--2142322983.msf,1539654
ANNEALING,false,0,23,200000.0,1,ConsensusLogLL,-22.51482548693148,sim--2142322983.msf,1789652
ANNEALING,false,0,23,200000.0,1,BestSampledLogLL,-20.448390822987612,sim--2142322983.msf,1789652
ANNEALING,false,0,23,200000.0,1,PartitionMetric,0.0,sim--2142322983.msf,1789652
ANNEALING,false,0,23,200000.0,1,RobinsonFouldsMetric,0.26134932798436755,sim--2142322983.msf,1789652
