#Method,Adaptive,AdaptiveType,T,IterScale,Repeat,Metric,Value,TreeName,Time
ANNEALING,true,0,3738,1000.0,0,ConsensusLogLL,-736.361473353438,sim-1121221206.msf,434420
ANNEALING,true,0,3738,1000.0,0,BestSampledLogLL,-736.917496973135,sim-1121221206.msf,434420
ANNEALING,true,0,3738,1000.0,0,PartitionMetric,0.0,sim-1121221206.msf,434420
ANNEALING,true,0,3738,1000.0,0,RobinsonFouldsMetric,0.39630156518588566,sim-1121221206.msf,434420
ANNEALING,true,0,3738,1000.0,0,KuhnerFelsenstein,0.016956379359842476,sim-1121221206.msf,434420
ANNEALING,false,0,3738,1000.0,0,ConsensusLogLL,-736.3620048255239,sim-1121221206.msf,420010
ANNEALING,false,0,3738,1000.0,0,BestSampledLogLL,-736.9239016132856,sim-1121221206.msf,420010
ANNEALING,false,0,3738,1000.0,0,PartitionMetric,0.0,sim-1121221206.msf,420010
ANNEALING,false,0,3738,1000.0,0,RobinsonFouldsMetric,0.4055115651858856,sim-1121221206.msf,420010
ANNEALING,false,0,3738,1000.0,0,KuhnerFelsenstein,0.01743452153532628,sim-1121221206.msf,420010
MCMC,,,,3738000.0,0,ConsensusLogLL,-737.7342086832929,sim-1121221206.msf,2466865
MCMC,,,,3738000.0,0,BestSampledLogLL,-Infinity,sim-1121221206.msf,2466865
MCMC,,,,3738000.0,0,PartitionMetric,2.0,sim-1121221206.msf,2466865
MCMC,,,,3738000.0,0,RobinsonFouldsMetric,0.5504131253603534,sim-1121221206.msf,2466865
MCMC,,,,3738000.0,0,KuhnerFelsenstein,0.024010011359710856,sim-1121221206.msf,2466865
ANNEALING,true,0,3740,1000.0,1,ConsensusLogLL,-736.4472906356251,sim-1121221206.msf,431554
ANNEALING,true,0,3740,1000.0,1,BestSampledLogLL,-737.0897877165181,sim-1121221206.msf,431554
ANNEALING,true,0,3740,1000.0,1,PartitionMetric,2.0,sim-1121221206.msf,431554
ANNEALING,true,0,3740,1000.0,1,RobinsonFouldsMetric,0.43298156518588565,sim-1121221206.msf,431554
ANNEALING,true,0,3740,1000.0,1,KuhnerFelsenstein,0.019312700221943868,sim-1121221206.msf,431554
ANNEALING,false,0,3740,1000.0,1,ConsensusLogLL,-736.5178751668901,sim-1121221206.msf,422694
ANNEALING,false,0,3740,1000.0,1,BestSampledLogLL,-737.1484922837539,sim-1121221206.msf,422694
ANNEALING,false,0,3740,1000.0,1,PartitionMetric,2.0,sim-1121221206.msf,422694
ANNEALING,false,0,3740,1000.0,1,RobinsonFouldsMetric,0.40979246598666164,sim-1121221206.msf,422694
ANNEALING,false,0,3740,1000.0,1,KuhnerFelsenstein,0.018095520559116198,sim-1121221206.msf,422694
MCMC,,,,3740000.0,1,ConsensusLogLL,-737.8224818115284,sim-1121221206.msf,2417376
MCMC,,,,3740000.0,1,BestSampledLogLL,-Infinity,sim-1121221206.msf,2417376
MCMC,,,,3740000.0,1,PartitionMetric,2.0,sim-1121221206.msf,2417376
MCMC,,,,3740000.0,1,RobinsonFouldsMetric,0.5586031253603534,sim-1121221206.msf,2417376
MCMC,,,,3740000.0,1,KuhnerFelsenstein,0.024786391272589386,sim-1121221206.msf,2417376
ANNEALING,true,0,3707,1000.0,2,ConsensusLogLL,-736.4404521686323,sim-1121221206.msf,416798
ANNEALING,true,0,3707,1000.0,2,BestSampledLogLL,-737.2675323900575,sim-1121221206.msf,416798
ANNEALING,true,0,3707,1000.0,2,PartitionMetric,0.0,sim-1121221206.msf,416798
ANNEALING,true,0,3707,1000.0,2,RobinsonFouldsMetric,0.3956215651858856,sim-1121221206.msf,416798
ANNEALING,true,0,3707,1000.0,2,KuhnerFelsenstein,0.017580649354684442,sim-1121221206.msf,416798
ANNEALING,false,0,3707,1000.0,2,ConsensusLogLL,-736.4196393780078,sim-1121221206.msf,404904
ANNEALING,false,0,3707,1000.0,2,BestSampledLogLL,-736.6230400896782,sim-1121221206.msf,404904
ANNEALING,false,0,3707,1000.0,2,PartitionMetric,0.0,sim-1121221206.msf,404904
ANNEALING,false,0,3707,1000.0,2,RobinsonFouldsMetric,0.40172156518588564,sim-1121221206.msf,404904
ANNEALING,false,0,3707,1000.0,2,KuhnerFelsenstein,0.017435791739510792,sim-1121221206.msf,404904
MCMC,,,,3707000.0,2,ConsensusLogLL,-737.7687002254455,sim-1121221206.msf,2409256
MCMC,,,,3707000.0,2,BestSampledLogLL,-Infinity,sim-1121221206.msf,2409256
MCMC,,,,3707000.0,2,PartitionMetric,2.0,sim-1121221206.msf,2409256
MCMC,,,,3707000.0,2,RobinsonFouldsMetric,0.5607931253603534,sim-1121221206.msf,2409256
MCMC,,,,3707000.0,2,KuhnerFelsenstein,0.02436639044292282,sim-1121221206.msf,2409256
ANNEALING,true,0,3750,1000.0,3,ConsensusLogLL,-736.5288042101894,sim-1121221206.msf,427171
ANNEALING,true,0,3750,1000.0,3,BestSampledLogLL,-737.4108204883581,sim-1121221206.msf,427171
ANNEALING,true,0,3750,1000.0,3,PartitionMetric,2.0,sim-1121221206.msf,427171
ANNEALING,true,0,3750,1000.0,3,RobinsonFouldsMetric,0.43514458614467666,sim-1121221206.msf,427171
ANNEALING,true,0,3750,1000.0,3,KuhnerFelsenstein,0.020224336742040838,sim-1121221206.msf,427171
ANNEALING,false,0,3750,1000.0,3,ConsensusLogLL,-736.5647920767589,sim-1121221206.msf,416844
ANNEALING,false,0,3750,1000.0,3,BestSampledLogLL,-737.0436292203774,sim-1121221206.msf,416844
ANNEALING,false,0,3750,1000.0,3,PartitionMetric,2.0,sim-1121221206.msf,416844
ANNEALING,false,0,3750,1000.0,3,RobinsonFouldsMetric,0.4233615651858857,sim-1121221206.msf,416844
ANNEALING,false,0,3750,1000.0,3,KuhnerFelsenstein,0.01862791769416112,sim-1121221206.msf,416844
MCMC,,,,3750000.0,3,ConsensusLogLL,-737.7239957111001,sim-1121221206.msf,2479031
MCMC,,,,3750000.0,3,BestSampledLogLL,-Infinity,sim-1121221206.msf,2479031
MCMC,,,,3750000.0,3,PartitionMetric,2.0,sim-1121221206.msf,2479031
MCMC,,,,3750000.0,3,RobinsonFouldsMetric,0.5523031253603534,sim-1121221206.msf,2479031
MCMC,,,,3750000.0,3,KuhnerFelsenstein,0.02426741643210099,sim-1121221206.msf,2479031
ANNEALING,true,0,3738,1000.0,4,ConsensusLogLL,-736.4857643069884,sim-1121221206.msf,436573
ANNEALING,true,0,3738,1000.0,4,BestSampledLogLL,-736.8528644199716,sim-1121221206.msf,436573
ANNEALING,true,0,3738,1000.0,4,PartitionMetric,0.0,sim-1121221206.msf,436573
ANNEALING,true,0,3738,1000.0,4,RobinsonFouldsMetric,0.40006156518588576,sim-1121221206.msf,436573
ANNEALING,true,0,3738,1000.0,4,KuhnerFelsenstein,0.01790655631297596,sim-1121221206.msf,436573
ANNEALING,false,0,3738,1000.0,4,ConsensusLogLL,-736.486668489925,sim-1121221206.msf,422315
ANNEALING,false,0,3738,1000.0,4,BestSampledLogLL,-737.5627094082744,sim-1121221206.msf,422315
ANNEALING,false,0,3738,1000.0,4,PartitionMetric,0.0,sim-1121221206.msf,422315
ANNEALING,false,0,3738,1000.0,4,RobinsonFouldsMetric,0.41192156518588563,sim-1121221206.msf,422315
ANNEALING,false,0,3738,1000.0,4,KuhnerFelsenstein,0.017908441807057095,sim-1121221206.msf,422315
MCMC,,,,3738000.0,4,ConsensusLogLL,-737.7142099135101,sim-1121221206.msf,2473374
MCMC,,,,3738000.0,4,BestSampledLogLL,-Infinity,sim-1121221206.msf,2473374
MCMC,,,,3738000.0,4,PartitionMetric,2.0,sim-1121221206.msf,2473374
MCMC,,,,3738000.0,4,RobinsonFouldsMetric,0.5534931253603534,sim-1121221206.msf,2473374
MCMC,,,,3738000.0,4,KuhnerFelsenstein,0.024225548589073383,sim-1121221206.msf,2473374
ANNEALING,true,0,3713,1000.0,5,ConsensusLogLL,-736.4316529256112,sim-1121221206.msf,434069
ANNEALING,true,0,3713,1000.0,5,BestSampledLogLL,-737.4786024291187,sim-1121221206.msf,434069
ANNEALING,true,0,3713,1000.0,5,PartitionMetric,0.0,sim-1121221206.msf,434069
ANNEALING,true,0,3713,1000.0,5,RobinsonFouldsMetric,0.39131156518588556,sim-1121221206.msf,434069
ANNEALING,true,0,3713,1000.0,5,KuhnerFelsenstein,0.01719027133674731,sim-1121221206.msf,434069
ANNEALING,false,0,3713,1000.0,5,ConsensusLogLL,-736.4338114784164,sim-1121221206.msf,424140
ANNEALING,false,0,3713,1000.0,5,BestSampledLogLL,-737.2674484519844,sim-1121221206.msf,424140
ANNEALING,false,0,3713,1000.0,5,PartitionMetric,2.0,sim-1121221206.msf,424140
ANNEALING,false,0,3713,1000.0,5,RobinsonFouldsMetric,0.4218315651858857,sim-1121221206.msf,424140
ANNEALING,false,0,3713,1000.0,5,KuhnerFelsenstein,0.018418051258587365,sim-1121221206.msf,424140
MCMC,,,,3713000.0,5,ConsensusLogLL,-737.7031159725461,sim-1121221206.msf,2460974
MCMC,,,,3713000.0,5,BestSampledLogLL,-Infinity,sim-1121221206.msf,2460974
MCMC,,,,3713000.0,5,PartitionMetric,2.0,sim-1121221206.msf,2460974
MCMC,,,,3713000.0,5,RobinsonFouldsMetric,0.5604931253603536,sim-1121221206.msf,2460974
MCMC,,,,3713000.0,5,KuhnerFelsenstein,0.024764125867073765,sim-1121221206.msf,2460974
ANNEALING,true,0,3725,1000.0,6,ConsensusLogLL,-736.5192632303072,sim-1121221206.msf,427125
ANNEALING,true,0,3725,1000.0,6,BestSampledLogLL,-736.7929130193493,sim-1121221206.msf,427125
ANNEALING,true,0,3725,1000.0,6,PartitionMetric,0.0,sim-1121221206.msf,427125
