#treeName,Method,NumericalLogZ,logZ
sim--436676853.msf.Rep0,Adaptive,0.0,-1910.2477310365873
sim--436676853.msf.Rep0,Deterministic,0.0,-1910.2626119350477
sim--436676853.msf.Rep0,MCMC,NA,0.0
sim--436676853.msf.Rep0,SS,NA,-1911.3717893389282
sim--436676853.msf.Rep1,Adaptive,0.0,-1910.7606511059844
sim--436676853.msf.Rep1,Deterministic,0.0,-1912.0665881353468
sim--436676853.msf.Rep1,MCMC,NA,0.0
sim--436676853.msf.Rep1,SS,NA,-1911.4381342103402
sim--436676853.msf.Rep2,Adaptive,0.0,-1910.849850665438
sim--436676853.msf.Rep2,Deterministic,0.0,-1911.6987934867564
sim--436676853.msf.Rep2,MCMC,NA,0.0
sim--436676853.msf.Rep2,SS,NA,-1911.613327643443
sim--436676853.msf.Rep3,Adaptive,0.0,-1911.4390556122537
sim--436676853.msf.Rep3,Deterministic,0.0,-1909.4681996696718
sim--436676853.msf.Rep3,MCMC,NA,0.0
sim--436676853.msf.Rep3,SS,NA,-1911.9026045100345
sim--436676853.msf.Rep4,Adaptive,0.0,-1911.589507370906
sim--436676853.msf.Rep4,Deterministic,0.0,-1910.1972597650658
sim--436676853.msf.Rep4,MCMC,NA,0.0
sim--436676853.msf.Rep4,SS,NA,-1912.0254999894032
sim--436676853.msf.Rep5,Adaptive,0.0,-1910.6870648446086
sim--436676853.msf.Rep5,Deterministic,0.0,-1912.1424477386367
sim--436676853.msf.Rep5,MCMC,NA,0.0
sim--436676853.msf.Rep5,SS,NA,-1911.7130185692015
sim--436676853.msf.Rep6,Adaptive,0.0,-1910.1916914872306
sim--436676853.msf.Rep6,Deterministic,0.0,-1910.74838880496
sim--436676853.msf.Rep6,MCMC,NA,0.0
sim--436676853.msf.Rep6,SS,NA,-1911.9367525018922
sim--436676853.msf.Rep7,Adaptive,0.0,-1912.2701406560186
sim--436676853.msf.Rep7,Deterministic,0.0,-1911.0601240552905
sim--436676853.msf.Rep7,MCMC,NA,0.0
sim--436676853.msf.Rep7,SS,NA,-1912.2174851157636
sim--436676853.msf.Rep8,Adaptive,0.0,-1910.0727650947265
sim--436676853.msf.Rep8,Deterministic,0.0,-1910.6442962347273
sim--436676853.msf.Rep8,MCMC,NA,0.0
sim--436676853.msf.Rep8,SS,NA,-1911.6974650388386
sim--436676853.msf.Rep9,Adaptive,0.0,-1910.4849776555438
sim--436676853.msf.Rep9,Deterministic,0.0,-1911.1566450820787
sim--436676853.msf.Rep9,MCMC,NA,0.0
sim--436676853.msf.Rep9,SS,NA,-1912.42964708873
