#Method,Adaptive,AdaptiveType,T,IterScale,Repeat,Metric,Value,TreeName,Time
ANNEALING,true,0,12297,100.0,0,ConsensusLogLL,-28046.548756185657,sim-1121221206.msf,1415679
ANNEALING,true,0,12297,100.0,0,BestSampledLogLL,-28061.5353131597,sim-1121221206.msf,1415679
ANNEALING,true,0,12297,100.0,0,PartitionMetric,0.0,sim-1121221206.msf,1415679
ANNEALING,true,0,12297,100.0,0,RobinsonFouldsMetric,0.36189952437664513,sim-1121221206.msf,1415679
ANNEALING,true,0,12297,100.0,0,KuhnerFelsenstein,0.004152360148457333,sim-1121221206.msf,1415679
ANNEALING,false,0,12297,100.0,0,ConsensusLogLL,-28046.620046147465,sim-1121221206.msf,1409678
ANNEALING,false,0,12297,100.0,0,BestSampledLogLL,-28064.46695334204,sim-1121221206.msf,1409678
ANNEALING,false,0,12297,100.0,0,PartitionMetric,0.0,sim-1121221206.msf,1409678
ANNEALING,false,0,12297,100.0,0,RobinsonFouldsMetric,0.30413174311247826,sim-1121221206.msf,1409678
ANNEALING,false,0,12297,100.0,0,KuhnerFelsenstein,0.0029735283659088865,sim-1121221206.msf,1409678
ANNEALING,true,0,11980,100.0,1,ConsensusLogLL,-28046.430799958784,sim-1121221206.msf,1374242
ANNEALING,true,0,11980,100.0,1,BestSampledLogLL,-28060.547864599335,sim-1121221206.msf,1374242
ANNEALING,true,0,11980,100.0,1,PartitionMetric,0.0,sim-1121221206.msf,1374242
ANNEALING,true,0,11980,100.0,1,RobinsonFouldsMetric,0.3956943858405705,sim-1121221206.msf,1374242
ANNEALING,true,0,11980,100.0,1,KuhnerFelsenstein,0.005590918401993752,sim-1121221206.msf,1374242
ANNEALING,false,0,11980,100.0,1,ConsensusLogLL,-28045.832245879545,sim-1121221206.msf,1372578
ANNEALING,false,0,11980,100.0,1,BestSampledLogLL,-28062.818717385177,sim-1121221206.msf,1372578
ANNEALING,false,0,11980,100.0,1,PartitionMetric,0.0,sim-1121221206.msf,1372578
ANNEALING,false,0,11980,100.0,1,RobinsonFouldsMetric,0.34124488863305674,sim-1121221206.msf,1372578
ANNEALING,false,0,11980,100.0,1,KuhnerFelsenstein,0.003991448941914226,sim-1121221206.msf,1372578
ANNEALING,true,0,12136,100.0,2,ConsensusLogLL,-28046.391786850865,sim-1121221206.msf,1403041
ANNEALING,true,0,12136,100.0,2,BestSampledLogLL,-28061.74451111303,sim-1121221206.msf,1403041
ANNEALING,true,0,12136,100.0,2,PartitionMetric,0.0,sim-1121221206.msf,1403041
ANNEALING,true,0,12136,100.0,2,RobinsonFouldsMetric,0.36792454167258937,sim-1121221206.msf,1403041
ANNEALING,true,0,12136,100.0,2,KuhnerFelsenstein,0.004391136605275458,sim-1121221206.msf,1403041
ANNEALING,false,0,12136,100.0,2,ConsensusLogLL,-28046.236332515713,sim-1121221206.msf,1392336
ANNEALING,false,0,12136,100.0,2,BestSampledLogLL,-28065.11834947372,sim-1121221206.msf,1392336
ANNEALING,false,0,12136,100.0,2,PartitionMetric,0.0,sim-1121221206.msf,1392336
ANNEALING,false,0,12136,100.0,2,RobinsonFouldsMetric,0.3596187078757209,sim-1121221206.msf,1392336
ANNEALING,false,0,12136,100.0,2,KuhnerFelsenstein,0.004817177554808136,sim-1121221206.msf,1392336
ANNEALING,true,0,11659,100.0,3,ConsensusLogLL,-28047.57745433192,sim-1121221206.msf,1339596
ANNEALING,true,0,11659,100.0,3,BestSampledLogLL,-28068.085995309484,sim-1121221206.msf,1339596
ANNEALING,true,0,11659,100.0,3,PartitionMetric,0.0,sim-1121221206.msf,1339596
ANNEALING,true,0,11659,100.0,3,RobinsonFouldsMetric,0.34573525968159763,sim-1121221206.msf,1339596
ANNEALING,true,0,11659,100.0,3,KuhnerFelsenstein,0.003763783917912591,sim-1121221206.msf,1339596
ANNEALING,false,0,11659,100.0,3,ConsensusLogLL,-28047.818184615935,sim-1121221206.msf,1337907
ANNEALING,false,0,11659,100.0,3,BestSampledLogLL,-28067.150448955144,sim-1121221206.msf,1337907
ANNEALING,false,0,11659,100.0,3,PartitionMetric,0.0,sim-1121221206.msf,1337907
ANNEALING,false,0,11659,100.0,3,RobinsonFouldsMetric,0.355341081741538,sim-1121221206.msf,1337907
ANNEALING,false,0,11659,100.0,3,KuhnerFelsenstein,0.003983985749177543,sim-1121221206.msf,1337907
ANNEALING,true,0,11998,100.0,4,ConsensusLogLL,-28047.1047912247,sim-1121221206.msf,1378718
ANNEALING,true,0,11998,100.0,4,BestSampledLogLL,-28067.91138120475,sim-1121221206.msf,1378718
ANNEALING,true,0,11998,100.0,4,PartitionMetric,0.0,sim-1121221206.msf,1378718
ANNEALING,true,0,11998,100.0,4,RobinsonFouldsMetric,0.4062780772196827,sim-1121221206.msf,1378718
ANNEALING,true,0,11998,100.0,4,KuhnerFelsenstein,0.006624702203398666,sim-1121221206.msf,1378718
ANNEALING,false,0,11998,100.0,4,ConsensusLogLL,-28047.056626595077,sim-1121221206.msf,1393434
ANNEALING,false,0,11998,100.0,4,BestSampledLogLL,-28066.129368543297,sim-1121221206.msf,1393434
ANNEALING,false,0,11998,100.0,4,PartitionMetric,0.0,sim-1121221206.msf,1393434
ANNEALING,false,0,11998,100.0,4,RobinsonFouldsMetric,0.37997229599218635,sim-1121221206.msf,1393434
ANNEALING,false,0,11998,100.0,4,KuhnerFelsenstein,0.004903222961486858,sim-1121221206.msf,1393434
ANNEALING,true,0,11712,100.0,5,ConsensusLogLL,-28047.050568643324,sim-1121221206.msf,1346996
ANNEALING,true,0,11712,100.0,5,BestSampledLogLL,-28063.589284245274,sim-1121221206.msf,1346996
ANNEALING,true,0,11712,100.0,5,PartitionMetric,0.0,sim-1121221206.msf,1346996
ANNEALING,true,0,11712,100.0,5,RobinsonFouldsMetric,0.4048092495192291,sim-1121221206.msf,1346996
ANNEALING,true,0,11712,100.0,5,KuhnerFelsenstein,0.005881441282051901,sim-1121221206.msf,1346996
ANNEALING,false,0,11712,100.0,5,ConsensusLogLL,-28045.647805005472,sim-1121221206.msf,1342107
ANNEALING,false,0,11712,100.0,5,BestSampledLogLL,-28068.56050225744,sim-1121221206.msf,1342107
ANNEALING,false,0,11712,100.0,5,PartitionMetric,0.0,sim-1121221206.msf,1342107
ANNEALING,false,0,11712,100.0,5,RobinsonFouldsMetric,0.3513899059805395,sim-1121221206.msf,1342107
ANNEALING,false,0,11712,100.0,5,KuhnerFelsenstein,0.0039507365885718525,sim-1121221206.msf,1342107
ANNEALING,true,0,12099,100.0,6,ConsensusLogLL,-28046.443779892055,sim-1121221206.msf,1390842
ANNEALING,true,0,12099,100.0,6,BestSampledLogLL,-28060.09939218482,sim-1121221206.msf,1390842
ANNEALING,true,0,12099,100.0,6,PartitionMetric,0.0,sim-1121221206.msf,1390842
ANNEALING,true,0,12099,100.0,6,RobinsonFouldsMetric,0.35294932154210507,sim-1121221206.msf,1390842
ANNEALING,true,0,12099,100.0,6,KuhnerFelsenstein,0.0051250934535149095,sim-1121221206.msf,1390842
ANNEALING,false,0,12099,100.0,6,ConsensusLogLL,-28045.67530861467,sim-1121221206.msf,1389186
ANNEALING,false,0,12099,100.0,6,BestSampledLogLL,-28068.49593504172,sim-1121221206.msf,1389186
ANNEALING,false,0,12099,100.0,6,PartitionMetric,0.0,sim-1121221206.msf,1389186
ANNEALING,false,0,12099,100.0,6,RobinsonFouldsMetric,0.34292085418971346,sim-1121221206.msf,1389186
ANNEALING,false,0,12099,100.0,6,KuhnerFelsenstein,0.004050955676451559,sim-1121221206.msf,1389186
ANNEALING,true,0,11816,100.0,7,ConsensusLogLL,-28046.392940636608,sim-1121221206.msf,1359092
ANNEALING,true,0,11816,100.0,7,BestSampledLogLL,-28065.643764889945,sim-1121221206.msf,1359092
ANNEALING,true,0,11816,100.0,7,PartitionMetric,0.0,sim-1121221206.msf,1359092
ANNEALING,true,0,11816,100.0,7,RobinsonFouldsMetric,0.388708414394402,sim-1121221206.msf,1359092
ANNEALING,true,0,11816,100.0,7,KuhnerFelsenstein,0.0048528502607688645,sim-1121221206.msf,1359092
ANNEALING,false,0,11816,100.0,7,ConsensusLogLL,-28046.240261000945,sim-1121221206.msf,1358386
ANNEALING,false,0,11816,100.0,7,BestSampledLogLL,-28058.82904734279,sim-1121221206.msf,1358386
ANNEALING,false,0,11816,100.0,7,PartitionMetric,0.0,sim-1121221206.msf,1358386
ANNEALING,false,0,11816,100.0,7,RobinsonFouldsMetric,0.3973766383010135,sim-1121221206.msf,1358386
ANNEALING,false,0,11816,100.0,7,KuhnerFelsenstein,0.005011697762731924,sim-1121221206.msf,1358386
ANNEALING,true,0,12216,100.0,8,ConsensusLogLL,-28047.52132859049,sim-1121221206.msf,1408654
ANNEALING,true,0,12216,100.0,8,BestSampledLogLL,-28063.418270300397,sim-1121221206.msf,1408654
ANNEALING,true,0,12216,100.0,8,PartitionMetric,0.0,sim-1121221206.msf,1408654
ANNEALING,true,0,12216,100.0,8,RobinsonFouldsMetric,0.3648417637846997,sim-1121221206.msf,1408654
ANNEALING,true,0,12216,100.0,8,KuhnerFelsenstein,0.003769860340090462,sim-1121221206.msf,1408654
ANNEALING,false,0,12216,100.0,8,ConsensusLogLL,-28048.337445917226,sim-1121221206.msf,1403731
ANNEALING,false,0,12216,100.0,8,BestSampledLogLL,-28062.351173408053,sim-1121221206.msf,1403731
ANNEALING,false,0,12216,100.0,8,PartitionMetric,0.0,sim-1121221206.msf,1403731
ANNEALING,false,0,12216,100.0,8,RobinsonFouldsMetric,0.32543670987731566,sim-1121221206.msf,1403731
ANNEALING,false,0,12216,100.0,8,KuhnerFelsenstein,0.003911083624131645,sim-1121221206.msf,1403731
ANNEALING,true,0,11936,100.0,9,ConsensusLogLL,-28047.847720206133,sim-1121221206.msf,1375385
ANNEALING,true,0,11936,100.0,9,BestSampledLogLL,-28063.32936517011,sim-1121221206.msf,1375385
ANNEALING,true,0,11936,100.0,9,PartitionMetric,0.0,sim-1121221206.msf,1375385
ANNEALING,true,0,11936,100.0,9,RobinsonFouldsMetric,0.4015049784964506,sim-1121221206.msf,1375385
