#t,ESS,tempDiff,temp
0,100.00000000000006,0.0,0.0
1,99.99931316328275,1.2023555713616577E-5,1.2023555713616577E-5
2,99.99946814799249,1.0936199404149896E-5,2.2959755117766474E-5
3,99.99948973456759,1.0879009834028315E-5,3.383876495179479E-5
4,99.99949551786942,1.0621778481958324E-5,4.4460543433753114E-5
5,99.99952149967015,1.1490357329015163E-5,5.595090076276828E-5
6,99.99950816065156,1.0780628721602528E-5,6.673152948437081E-5
7,99.99957960694304,1.0376893720765984E-5,7.71084232051368E-5
8,99.99956242627515,1.0326580204966344E-5,8.743500341010314E-5
9,99.99965025639857,9.852869875947728E-6,9.728787328605086E-5
10,99.99968062566404,9.760051474287335E-6,1.0704792476033819E-4
11,99.99963040995023,1.0286644236158503E-5,1.173345689964967E-4
12,99.99948460432071,1.1923967564191346E-5,1.2925853656068804E-4
13,99.99943525689058,1.3673384673414703E-5,1.4293192123410273E-4
14,99.99965845891907,1.182390957113817E-5,1.547558308052409E-4
15,99.9996656806067,1.0776045206289561E-5,1.6553187601153044E-4
16,99.99961604744504,1.2865521819952567E-5,1.7839739783148301E-4
17,99.99963831768638,1.390964342257449E-5,1.923070412540575E-4
18,99.99954798147378,1.4226264026565153E-5,2.0653330528062265E-4
19,99.9990913157202,1.6583917396169065E-5,2.2311722267679172E-4
20,99.99865069281385,1.848083042132532E-5,2.4159805309811704E-4
21,99.99884207603395,1.6982986428061752E-5,2.585810395261788E-4
22,99.99884264776809,1.736011004931993E-5,2.759411495754987E-4
23,99.9988584498457,1.7345117727490226E-5,2.9328626730298896E-4
24,99.9986751666936,1.85030555921997E-5,3.1178932289518865E-4
25,99.99864335456225,2.141748052725546E-5,3.332068034224441E-4
26,99.99835185060664,2.3818966542671225E-5,3.570257699651153E-4
27,99.9990833659885,1.985184557197726E-5,3.7687761553709256E-4
28,99.99918792032288,2.0513557692609834E-5,3.9739117322970237E-4
29,99.9994472126314,1.697501428105618E-5,4.1436618751075854E-4
30,99.99952740158277,1.5877841886151146E-5,4.302440293969097E-4
31,99.9995317309293,1.3851305475423143E-5,4.4409533487233286E-4
32,99.99956312687098,1.5165711574358503E-5,4.5926104644669136E-4
33,99.99967692220956,1.6332919274386738E-5,4.755939657210781E-4
34,99.9995404002993,1.7999598883121376E-5,4.935935646041995E-4
35,99.999384470747,2.0326192886159222E-5,5.139197574903587E-4
36,99.99955059849978,1.7154819653897288E-5,5.31074577144256E-4
37,99.99960249216774,1.8870711713533452E-5,5.499452888577894E-4
38,99.99965478085394,1.7001340257521406E-5,5.669466291153108E-4
39,99.99955189605046,1.5674290036312203E-5,5.826209191516229E-4
40,99.99933509031057,1.616685175835696E-5,5.987877709099799E-4
41,99.99934776143769,1.5511569072923493E-5,6.142993399829034E-4
42,99.99942664683039,1.5207766278641953E-5,6.295071062615453E-4
43,99.99959750490117,1.4190068589580684E-5,6.43697174851126E-4
44,99.99956962900978,1.4085959595650355E-5,6.577831344467764E-4
45,99.99955538277351,1.425723841497046E-5,6.720403728617468E-4
46,99.99949240511681,1.4818672065812398E-5,6.868590449275592E-4
47,99.99947851506022,1.5167280302341133E-5,7.020263252299003E-4
48,99.9996247570283,1.4060261006611192E-5,7.160865862365115E-4
49,99.99949289070248,1.3674507424888545E-5,7.297610936614E-4
50,99.99941142628762,1.3364414906365745E-5,7.431255085677658E-4
51,99.9994961048358,1.3151689005628232E-5,7.56277197573394E-4
52,99.99929376164795,1.421286063893591E-5,7.704900582123299E-4
53,99.99919056578072,1.4710820807726166E-5,7.852008790200561E-4
54,99.9993685570085,1.3654611756486023E-5,7.988554907765421E-4
55,99.99916722110488,1.3908537075579561E-5,8.127640278521217E-4
56,99.99879576491996,1.5245715283928557E-5,8.280097431360502E-4
57,99.99882817332818,1.6487525901904446E-5,8.444972690379546E-4
58,99.99875493722605,1.665926530354502E-5,8.611565343414996E-4
59,99.99882837017917,1.633497162858001E-5,8.774915059700796E-4
60,99.99856737881223,1.7392399895757962E-5,8.948839058658376E-4
61,99.99886402240377,1.6946340041740107E-5,9.118302459075777E-4
62,99.99925733630026,1.5527077387346513E-5,9.273573232949242E-4
63,99.99937861980679,1.4189751536230313E-5,9.415470748311546E-4
64,99.99942663472717,1.3853805975855377E-5,9.554008808070099E-4
65,99.99918736227517,1.5358934238926933E-5,9.707598150459368E-4
66,99.99930444372107,1.4343833963034916E-5,9.851036490089718E-4
67,99.99935321990282,1.4709052988145184E-5,9.99812701997117E-4
68,99.99937424296245,1.4091101111414335E-5,0.0010139038031085313
69,99.99962510269232,1.2291330256105432E-5,0.0010261951333646368
70,99.9995316645248,1.2266721957515191E-5,0.001038461855322152
71,99.99958478483744,1.2121434528082508E-5,0.0010505832898502344
72,99.99945189836467,1.2938598984573752E-5,0.0010635218888348083
73,99.99960682360934,1.2325914114834567E-5,0.0010758478029496428
74,99.99967892552708,1.2051058383588349E-5,0.0010878988613332312
75,99.99973680157218,1.225849269506674E-5,0.001100157354028298
76,99.99984725107952,1.22118638727026E-5,0.0011123692179010006
77,99.99987709759495,1.1844824887482956E-5,0.0011242140427884836
78,99.99982766793575,1.2718221603478088E-5,0.0011369322643919617
79,99.99973202441244,1.4684644860884628E-5,0.0011516169092528462
80,99.99972510018574,1.5047437572856392E-5,0.0011666643468257027
81,99.99960758185165,1.631528729469679E-5,0.0011829796341203994
82,99.99953760028741,1.7441593426812326E-5,0.0012004212275472117
83,99.99948194869913,1.7753857227429822E-5,0.0012181750847746415
84,99.99947658136603,1.731636689182121E-5,0.0012354914516664627
85,99.99938488775878,1.774445110691383E-5,0.0012532359027733766
86,99.99918251196094,2.0323054042504238E-5,0.0012735589568158808
87,99.99936010011545,1.9168363805404493E-5,0.0012927273206212852
88,99.99940854175689,1.771275929090154E-5,0.0013104400799121866
89,99.99944355372713,1.659265714714736E-5,0.001327032737059334
90,99.99953901201702,1.5982113092922824E-5,0.0013430148501522568
91,99.99960527939261,1.4725647106791383E-5,0.0013577404972590482
92,99.99964616597981,1.549959586644415E-5,0.0013732400931254923
93,99.99969156038551,1.5090172657039198E-5,0.0013883302657825315
94,99.99968565434985,1.5103835417910542E-5,0.001403434101200442
95,99.99966668126088,1.5938710073008515E-5,0.0014193728112734505
96,99.9996004596929,1.6608303239840198E-5,0.0014359811145132906
97,99.99962486545877,1.5475417131924237E-5,0.0014514565316452149
98,99.99961459715082,1.6283885741567686E-5,0.0014677404173867826
99,99.999691451374,1.6352779287947915E-5,0.0014840931966747305
100,99.99953979375348,1.7623042438202492E-5,0.001501716239112933
101,99.99945194623784,1.7643336873619546E-5,0.0015193595759865526
102,99.99948248505558,1.6646070553194305E-5,0.0015360056465397469
103,99.9994379573687,1.708423248850792E-5,0.0015530898790282548
104,99.99946834262364,1.7935135047629997E-5,0.0015710250140758848
105,99.99939558170489,1.970279687030863E-5,0.0015907278109461933
106,99.99931028167661,1.9416195545542054E-5,0.0016101440064917353
107,99.99926146361564,2.0477163423097775E-5,0.0016306211699148331
108,99.99935895238936,2.0286995393075926E-5,0.001650908165307909
109,99.99925219880095,2.2043511247884243E-5,0.0016729516765557934
110,99.99915817870712,2.3462633989511616E-5,0.001696414310545305
111,99.99918201253715,2.2042293861571517E-5,0.0017184566044068765
112,99.99917942719803,2.1122111414266683E-5,0.0017395787158211431
113,99.99894247364685,2.0507972313159188E-5,0.0017600866881343023
114,99.99905266018027,2.0797672986880285E-5,0.0017808843611211826
115,99.99929841178403,1.912153339536718E-5,0.0018000058945165497
116,99.99935179562688,1.8389073371695492E-5,0.0018183949678882451
117,99.99928385254557,1.9117693002450977E-5,0.001837512660890696
118,99.9994531493327,1.8306866764546076E-5,0.001855819527655242
119,99.99944597757855,1.9129714678003788E-5,0.0018749492423332458
120,99.99926021186694,1.8652808907142377E-5,0.001893602051240388
121,99.99914138406153,1.9734068650364627E-5,0.0019133361198907528
122,99.99925613763156,1.9581296288284723E-5,0.0019329174161790376
123,99.99936714319736,1.919955292960913E-5,0.0019521169691086467
124,99.99924894244785,1.7926707530669982E-5,0.0019700436766393165
125,99.99916409776077,1.769731920838587E-5,0.0019877409958477025
126,99.99906324195342,1.922355193158223E-5,0.0020069645477792846
127,99.99885156289268,1.898234322905497E-5,0.0020259468910083394
128,99.99895742535699,1.9107477809691588E-5,0.002045054368818031
129,99.99844072100859,1.88657208569195E-5,0.0020639200896749505
130,99.99794866168938,1.9762522345697567E-5,0.002083682612020648
131,99.99752343835429,2.2029470548095187E-5,0.002105712082568743
132,99.99759040836985,2.139374704772801E-5,0.0021271058296164712
133,99.99809293394006,2.014002815767076E-5,0.002147245857774142
134,99.99851295422182,1.9362913224871723E-5,0.0021666087709990138
135,99.99893099916818,1.6623776054247526E-5,0.0021832325470532614
136,99.99901817624071,1.677715405505237E-5,0.002200009701108314
137,99.99921425353995,1.649049866571656E-5,0.0022165001997740304
138,99.99910559889186,1.58709963619686E-5,0.002232371196135999
139,99.99949066676145,1.42573047168021E-5,0.002246628500852801
140,99.99953431896046,1.318799471862513E-5,0.0022598164955714263
141,99.99964267843188,1.1710130601698923E-5,0.0022715266261731253
142,99.99971911638345,1.1283139200074031E-5,0.0022828097653731995
143,99.99980223124135,1.0644077818346126E-5,0.0022934538431915456
144,99.99983892151782,1.0583772940011346E-5,0.002304037616131557
145,99.9998663491501,1.0934363056673638E-5,0.0023149719791882304
