#treeName,Method,NumericalLogZ,logZ
sim--2142322983.msf.Rep0,Adaptive,0.0,-2504.5463200620193
sim--2142322983.msf.Rep0,Deterministic,0.0,-2507.5676210859174
sim--2142322983.msf.Rep1,Adaptive,0.0,-2503.405624065083
sim--2142322983.msf.Rep1,Deterministic,0.0,-2504.9228586011973
sim--2142322983.msf.Rep2,Adaptive,0.0,-2503.899896533499
sim--2142322983.msf.Rep2,Deterministic,0.0,-2513.5924160526115
sim--2142322983.msf.Rep3,Adaptive,0.0,-2505.0793503998593
sim--2142322983.msf.Rep3,Deterministic,0.0,-2509.05038060152
sim--2142322983.msf.Rep4,Adaptive,0.0,-2504.6670170630746
sim--2142322983.msf.Rep4,Deterministic,0.0,-2506.771216690922
sim--2142322983.msf.Rep5,Adaptive,0.0,-2519.1378478792617
sim--2142322983.msf.Rep5,Deterministic,0.0,-2502.7579159090865
sim--2142322983.msf.Rep6,Adaptive,0.0,-2509.446549227099
sim--2142322983.msf.Rep6,Deterministic,0.0,-2519.182393696367
sim--2142322983.msf.Rep7,Adaptive,0.0,-2504.5236470878517
sim--2142322983.msf.Rep7,Deterministic,0.0,-2502.046804967624
sim--2142322983.msf.Rep8,Adaptive,0.0,-2504.3745729680045
sim--2142322983.msf.Rep8,Deterministic,0.0,-2506.5471363406537
sim--2142322983.msf.Rep9,Adaptive,0.0,-2496.359613593861
sim--2142322983.msf.Rep9,Deterministic,0.0,-2512.4349383199046
sim--2142322983.msf.Rep10,Adaptive,0.0,-2506.059444178195
sim--2142322983.msf.Rep10,Deterministic,0.0,-2522.8625440061805
sim--2142322983.msf.Rep11,Adaptive,0.0,-2494.56742676446
sim--2142322983.msf.Rep11,Deterministic,0.0,-2495.1876813717545
sim--2142322983.msf.Rep12,Adaptive,0.0,-2503.2656092900975
sim--2142322983.msf.Rep12,Deterministic,0.0,-2498.9221691702824
sim--2142322983.msf.Rep13,Adaptive,0.0,-2523.7748359853376
sim--2142322983.msf.Rep13,Deterministic,0.0,-2504.6905375988317
sim--2142322983.msf.Rep14,Adaptive,0.0,-2500.8393765260207
sim--2142322983.msf.Rep14,Deterministic,0.0,-2506.3808604475157
sim--2142322983.msf.Rep15,Adaptive,0.0,-2510.2908928406414
sim--2142322983.msf.Rep15,Deterministic,0.0,-2506.850905375819
sim--2142322983.msf.Rep16,Adaptive,0.0,-2507.925581513092
sim--2142322983.msf.Rep16,Deterministic,0.0,-2498.738310879697
sim--2142322983.msf.Rep17,Adaptive,0.0,-2504.460411652095
sim--2142322983.msf.Rep17,Deterministic,0.0,-2496.1953418434714
sim--2142322983.msf.Rep18,Adaptive,0.0,-2507.8570970224328
sim--2142322983.msf.Rep18,Deterministic,0.0,-2501.839283964123
sim--2142322983.msf.Rep19,Adaptive,0.0,-2504.2844484541706
sim--2142322983.msf.Rep19,Deterministic,0.0,-2503.7722558911946
