#Method,Adaptive,AdaptiveType,T,IterScale,Repeat,Metric,Value,TreeName,Time
ANNEALING,true,0,4359,100.0,0,ConsensusLogLL,-2433.5533973906904,sim--2142322983.msf,156551
ANNEALING,true,0,4359,100.0,0,BestSampledLogLL,-2435.512370646499,sim--2142322983.msf,156551
ANNEALING,true,0,4359,100.0,0,PartitionMetric,2.0,sim--2142322983.msf,156551
ANNEALING,true,0,4359,100.0,0,RobinsonFouldsMetric,1.1293969992197532,sim--2142322983.msf,156551
ANNEALING,true,0,4359,100.0,0,KuhnerFelsenstein,0.12036148966698981,sim--2142322983.msf,156551
ANNEALING,false,0,4359,100.0,0,ConsensusLogLL,-2431.032753890972,sim--2142322983.msf,145238
ANNEALING,false,0,4359,100.0,0,BestSampledLogLL,-2435.983862522662,sim--2142322983.msf,145238
ANNEALING,false,0,4359,100.0,0,PartitionMetric,0.0,sim--2142322983.msf,145238
ANNEALING,false,0,4359,100.0,0,RobinsonFouldsMetric,0.9687286265937467,sim--2142322983.msf,145238
ANNEALING,false,0,4359,100.0,0,KuhnerFelsenstein,0.06315852621855297,sim--2142322983.msf,145238
ANNEALING,true,0,4208,100.0,1,ConsensusLogLL,-2423.820491669376,sim--2142322983.msf,140591
ANNEALING,true,0,4208,100.0,1,BestSampledLogLL,-2427.8417911353,sim--2142322983.msf,140591
ANNEALING,true,0,4208,100.0,1,PartitionMetric,0.0,sim--2142322983.msf,140591
ANNEALING,true,0,4208,100.0,1,RobinsonFouldsMetric,0.7244547671261643,sim--2142322983.msf,140591
ANNEALING,true,0,4208,100.0,1,KuhnerFelsenstein,0.03913205805447186,sim--2142322983.msf,140591
ANNEALING,false,0,4208,100.0,1,ConsensusLogLL,-2434.371443273328,sim--2142322983.msf,139152
ANNEALING,false,0,4208,100.0,1,BestSampledLogLL,-2437.883970140733,sim--2142322983.msf,139152
ANNEALING,false,0,4208,100.0,1,PartitionMetric,2.0,sim--2142322983.msf,139152
ANNEALING,false,0,4208,100.0,1,RobinsonFouldsMetric,1.1640205530262773,sim--2142322983.msf,139152
ANNEALING,false,0,4208,100.0,1,KuhnerFelsenstein,0.09100934302382283,sim--2142322983.msf,139152
ANNEALING,true,0,4584,100.0,2,ConsensusLogLL,-2425.58459360699,sim--2142322983.msf,152981
ANNEALING,true,0,4584,100.0,2,BestSampledLogLL,-2426.6664421133187,sim--2142322983.msf,152981
ANNEALING,true,0,4584,100.0,2,PartitionMetric,0.0,sim--2142322983.msf,152981
ANNEALING,true,0,4584,100.0,2,RobinsonFouldsMetric,0.8403721979418768,sim--2142322983.msf,152981
