#t,ESS,tempDiff,temp
0,100.00000000000006,0.0,0.0
1,99.99899999999994,1.3207530721241925E-5,1.3207530721241925E-5
2,99.99606881200167,1.3496280701506255E-5,2.6703811422748178E-5
3,99.99121622464175,1.3263618021342717E-5,3.9967429444090896E-5
4,99.98447132171864,1.3441571707532512E-5,5.340900115162341E-5
5,99.97586805449772,1.2777768986035935E-5,6.618677013765934E-5
6,99.96545134501169,1.2268781099658927E-5,7.845555123731826E-5
7,99.95327223204382,1.2158785055970777E-5,9.061433629328904E-5
8,99.93928983434817,1.2189447694722013E-5,1.0280378398801105E-4
9,99.92350677869545,1.2229013256387507E-5,1.1503279724439856E-4
10,99.90593658924514,1.221501510326149E-5,1.2724781234766004E-4
11,99.88650489643182,1.2114733204576576E-5,1.3936254555223663E-4
12,99.86540752661637,1.2238690792063165E-5,1.516012363442998E-4
13,99.8427394575908,1.2132328155332363E-5,1.6373356449963218E-4
14,99.81834609142868,1.1917962207884778E-5,1.7565152670751696E-4
15,99.79214824994844,1.197400158809924E-5,1.876255282956162E-4
16,99.76490066108934,1.23003550742717E-5,1.999258833698879E-4
17,99.73612649520523,1.1970937339389714E-5,2.118968207092776E-4
18,99.70607548981717,1.1839241585002972E-5,2.2373606229428056E-4
19,99.67418920987943,1.1941830556097688E-5,2.3567789285037824E-4
20,99.64108311384855,1.1735800562383485E-5,2.474136934127617E-4
21,99.60740946054622,1.1778569148128847E-5,2.5919226256089056E-4
22,99.57241492401529,1.1665218510806574E-5,2.708574810716971E-4
23,99.53602623770824,1.1473688425036563E-5,2.823311694967337E-4
24,99.49797637535232,1.1918085807057432E-5,2.9424925530379114E-4
25,99.45881199698825,1.2008970829691944E-5,3.062582261334831E-4
26,99.41819974022305,1.2162596423558432E-5,3.184208225570415E-4
27,99.37693029663332,1.261364775488978E-5,3.310344703119313E-4
28,99.33582387173054,1.2429615754321923E-5,3.434640860662532E-4
29,99.29308532305585,1.2581240840049662E-5,3.560453269063029E-4
30,99.24977055276494,1.2541456426601029E-5,3.685867833329039E-4
31,99.20542301222429,1.2636883849792448E-5,3.812236671826964E-4
32,99.15936751255985,1.2469547035588303E-5,3.936932142182847E-4
33,99.11170634642556,1.2658111348543385E-5,4.0635132556682805E-4
34,99.06347048021641,1.2920347393221452E-5,4.192716729600495E-4
35,99.01426866515283,1.2654244597604325E-5,4.319259175576538E-4
36,98.96413360065657,1.2635337761204978E-5,4.445612553188588E-4
37,98.91350455589524,1.3153311596956485E-5,4.5771456691581525E-4
38,98.86089385613523,1.3503025156939573E-5,4.712175920727548E-4
39,98.80888899152762,1.38858002402178E-5,4.851033923129726E-4
40,98.75557216858994,1.3926290527452595E-5,4.990296828404252E-4
41,98.70121702845601,1.3578668737731015E-5,5.126083515781561E-4
42,98.64491955452289,1.3457845821481041E-5,5.260661973996372E-4
43,98.58809004571545,1.3843709080910094E-5,5.399099064805473E-4
44,98.53004802454157,1.4089405382151779E-5,5.539993118626991E-4
45,98.4720247523981,1.3907799501969148E-5,5.679071113646682E-4
46,98.41379763548237,1.3916802730358352E-5,5.818239140950265E-4
47,98.35437016153614,1.3506560295869355E-5,5.953304743908958E-4
48,98.29460897353498,1.3707522570643648E-5,6.090379969615395E-4
49,98.23479582655136,1.3594184144533933E-5,6.226321811060734E-4
50,98.17536401341242,1.3231254550658871E-5,6.358634356567323E-4
51,98.11403159721705,1.2906380022724706E-5,6.48769815679457E-4
52,98.05241846544072,1.287660593505598E-5,6.61646421614513E-4
53,97.98887315032619,1.3403415412556032E-5,6.750498370270691E-4
54,97.9233812940123,1.2906448171823166E-5,6.879562851988923E-4
55,97.85542365888882,1.3064858291284137E-5,7.010211434901764E-4
56,97.78599864861492,1.28878939258865E-5,7.139090374160629E-4
57,97.7167074160987,1.2675419516237234E-5,7.265844569323001E-4
58,97.64803528088788,1.2418822961323346E-5,7.390032798936235E-4
59,97.57920079893944,1.226199717287874E-5,7.512652770665022E-4
60,97.50840889948573,1.2529285311102778E-5,7.63794562377605E-4
61,97.43597252891496,1.2343826076905824E-5,7.761383884545109E-4
62,97.36296339048972,1.2326089398003452E-5,7.884644778525143E-4
63,97.28994037257668,1.2067199771008966E-5,8.005316776235232E-4
64,97.21513326843218,1.1800284602394071E-5,8.123319622259172E-4
65,97.14039764599676,1.1834468414807214E-5,8.241664306407245E-4
66,97.06367390467717,1.1434048291377222E-5,8.356004789321017E-4
67,96.98758361107926,1.1292931572478576E-5,8.468934105045802E-4
68,96.90961550577676,1.119580890014116E-5,8.580892194047214E-4
69,96.83307193558343,1.1245484018325879E-5,8.693347034230473E-4
70,96.7562509774171,1.0890730220878425E-5,8.802254336439257E-4
71,96.6774802392946,1.1149788764982494E-5,8.913752224089082E-4
72,96.59891590113791,1.1311867872204128E-5,9.026870902811122E-4
73,96.51830008309278,1.1218803470485997E-5,9.139058937515982E-4
74,96.43656278959351,1.1601211494272595E-5,9.255071052458708E-4
75,96.3512790833742,1.163408060502479E-5,9.371411858508956E-4
76,96.26543259693281,1.1521304664673425E-5,9.48662490515569E-4
77,96.17869326878736,1.1580941367873546E-5,9.602434318834426E-4
78,96.08995919036056,1.1317680219860724E-5,9.715611121033033E-4
79,96.00007042192846,1.1213257925909877E-5,9.827743700292133E-4
80,95.91071968701749,1.1231382111257435E-5,9.940057521404706E-4
81,95.81859280565291,1.1155677263401418E-5,0.0010051614294038721
82,95.72478636802441,1.1051848367942608E-5,0.0010162132777718146
83,95.62972080642093,1.1203952898284126E-5,0.0010274172306700988
84,95.53379850392359,1.1131247871645729E-5,0.0010385484785417445
85,95.44073063448188,1.0842365826095259E-5,0.0010493908443678396
86,95.34699146785634,1.0864783682880064E-5,0.0010602556280507197
87,95.25101843083215,1.0735101329325911E-5,0.0010709907293800457
88,95.15527546220561,1.0529965234827994E-5,0.0010815206946148737
89,95.05695871376788,1.0422261791414213E-5,0.001091942956406288
90,94.95808539711052,1.072006656977659E-5,0.0011026630229760647
91,94.85858827829233,1.084597151750009E-5,0.0011135089944935648
92,94.75826858045804,1.0692118353669171E-5,0.001124201112847234
93,94.659464435812,1.0726370266150714E-5,0.0011349274831133848
94,94.55896665051864,1.0933314205401994E-5,0.0011458607973187868
95,94.45892199892893,1.0855085577104448E-5,0.0011567158828958912
96,94.35843506269168,1.1122474616438264E-5,0.0011678383575123295
97,94.2597447188566,1.1160161268499856E-5,0.0011789985187808294
98,94.15868254693721,1.110370535455258E-5,0.0011901022241353819
99,94.05652591717497,1.1092581290849438E-5,0.0012011948054262314
100,93.95347060027088,1.0982937247154279E-5,0.0012121777426733857
101,93.84900832019756,1.0948761902933408E-5,0.001223126504576319
102,93.74657291324002,1.0929956904430958E-5,0.00123405646148075
103,93.6431652701036,1.0858989691523214E-5,0.0012449154511722732
104,93.53886329417887,1.0912532037820365E-5,0.0012558279832100936
105,93.43401514932458,1.07504048813369E-5,0.0012665783880914305
106,93.33162665122394,1.092292650033985E-5,0.0012775013145917703
107,93.22867735176585,1.0811323390061055E-5,0.0012883126379818314
108,93.12193447616528,1.1036395632913284E-5,0.0012993490336147447
109,93.0146905143979,1.0855228112208071E-5,0.0013102042617269528
110,92.90740151935346,1.0757131716714535E-5,0.0013209613934436672
111,92.80022485385531,1.0628529489680793E-5,0.001331589922933348
112,92.69329427896008,1.1113176477774902E-5,0.001342703099411123
113,92.58198807247322,1.0986911100020356E-5,0.0013536900105111434
114,92.47018056628835,1.112426347719983E-5,0.0013648142739883433
115,92.35358360292771,1.133832001178362E-5,0.001376152594000127
116,92.2369117242254,1.1352642341487264E-5,0.0013875052363416143
117,92.11954403262102,1.1082314404986966E-5,0.0013985875507466013
118,91.99848889324498,1.1089831333658548E-5,0.0014096773820802598
119,91.87806004947392,1.1134170838186654E-5,0.0014208115529184464
120,91.75553757950914,1.1657848986299782E-5,0.0014324694019047463
121,91.63040189581956,1.1877092121923171E-5,0.0014443464940266694
122,91.50375636230042,1.2012550661641734E-5,0.0014563590446883112
123,91.3777773600923,1.1769173197538248E-5,0.0014681282178858493
124,91.24858148092162,1.1712838188695078E-5,0.0014798410560745443
125,91.11900965811805,1.1924242323715386E-5,0.0014917652983982596
126,90.99176354134077,1.1856530355338264E-5,0.0015036218287535978
127,90.86220048404535,1.1942413486586835E-5,0.0015155642422401846
128,90.73156011189513,1.205424090684897E-5,0.0015276184831470336
129,90.60120798955735,1.2324279563617516E-5,0.001539942762710651
130,90.47113225321243,1.2427351798330006E-5,0.001552370114508981
131,90.33909068813063,1.2201908316669775E-5,0.0015645720228256508
132,90.20657762662039,1.2148288563688604E-5,0.0015767203113893394
133,90.07763575424833,1.2182358289940705E-5,0.0015889026696792802
134,89.95004566528091,1.2233280298446733E-5,0.001601135949977727
135,89.82017586215281,1.1495152826123324E-5,0.0016126311028038503
136,89.6913171139998,1.1497452099017174E-5,0.0016241285549028674
137,89.56081508956444,1.1146830548203844E-5,0.0016352753854510713
138,89.4339654315968,1.1254634943680855E-5,0.001646530020394752
139,89.30415000614848,1.1483493923099286E-5,0.0016580135143178514
140,89.17141228311236,1.1451614487709027E-5,0.0016694651288055604
141,89.0372899417522,1.146451283349412E-5,0.0016809296416390544
142,88.90372908047965,1.1439332569359747E-5,0.0016923689742084141
143,88.76997964242395,1.1406772997876487E-5,0.0017037757472062906
144,88.64033671511585,1.2051548797452302E-5,0.0017158272960037428
145,88.50896190234155,1.2125544599977184E-5,0.00172795284060372
146,88.37714307356023,1.212444858833322E-5,0.0017400772891920531
147,88.2493376076223,1.2193527075683187E-5,0.0017522708162677363
148,88.1227149485552,1.2115504276636338E-5,0.0017643863205443727
149,87.99600598436461,1.2288421146823414E-5,0.001776674741691196
150,87.86672641700811,1.2194256390658923E-5,0.0017888689980818551
151,87.73475217788845,1.2105788028108393E-5,0.0018009747861099635
152,87.60150459403194,1.2047229340677464E-5,0.0018130220154506408
153,87.47012900350816,1.1751970628073174E-5,0.001824773986078714
154,87.33715675745556,1.178172370247006E-5,0.001836555709781184
155,87.20200678265115,1.1813618014882983E-5,0.001848369327796067
156,87.0613491852553,1.1779158255641414E-5,0.0018601484860517085
157,86.9168596848899,1.177065741764551E-5,0.001871919143469354
158,86.77441417930912,1.1436428126027057E-5,0.001883355571595381
159,86.63356184764139,1.1524336036765276E-5,0.0018948799076321462
160,86.49668186249235,1.1952187326620158E-5,0.0019068320949587663
161,86.36432622999904,1.1780430298726506E-5,0.0019186125252574928
162,86.23246687406943,1.1918360725471192E-5,0.001930530885982964
163,86.09987678759565,1.1872004330801853E-5,0.0019424028903137658
164,85.97142491389431,1.175444997327667E-5,0.0019541573402870427
165,85.84225490134169,1.1938999792649215E-5,0.001966096340079692
166,85.71402334304919,1.2312666638640872E-5,0.001978409006718333
167,85.58991666699288,1.194485205892527E-5,0.0019903538587772583
168,85.47474790569116,1.2126897205152592E-5,0.002002480755982411
169,85.35956582749276,1.2213616266918672E-5,0.0020146943722493295
170,85.24729984727858,1.2320243540402597E-5,0.0020270146157897323
171,85.13690980065093,1.2508144430728151E-5,0.0020395227602204606
172,85.02788806531133,1.2442432744023951E-5,0.0020519651929644844
173,84.91664265723881,1.2605114570740208E-5,0.0020645703075352247
174,84.79905278100846,1.2608846152126812E-5,0.0020771791536873517
175,84.68249108110727,1.2515301156697893E-5,0.0020896944548440496
176,84.56662450735564,1.2738586923032975E-5,0.0021024330417670828
177,84.45861771920507,1.3067733158087851E-5,0.0021155007749251707
178,84.35435983674651,1.3081416715569536E-5,0.00212858219164074
179,84.2423883616242,1.3661637301104932E-5,0.002142243828941845
180,84.13480048530873,1.3658213326714893E-5,0.00215590204226856
181,84.02644968439662,1.365924866420216E-5,0.0021695612909327622
182,83.916778235428,1.3672843646746823E-5,0.002183234134579509
183,83.80902328137402,1.3717651993873515E-5,0.0021969517865733828
184,83.70417883270997,1.4039708959943165E-5,0.002210991495533326
185,83.59559401817755,1.4144190544271137E-5,0.002225135686077597
186,83.48754684895026,1.4071183282966325E-5,0.0022392068693605632
187,83.37456139161327,1.3810537887960397E-5,0.0022530174072485235
188,83.2614119643248,1.3647483625589474E-5,0.002266664890874113
189,83.14888415102489,1.3810428749165769E-5,0.002280475319623279
190,83.0337496103514,1.3888522218953295E-5,0.0022943638418422324
191,82.94253149966269,1.4279002653309091E-5,0.0023086428444955417
192,82.8541395480392,1.4181113633947897E-5,0.0023228239581294897
193,82.76834548463619,1.4184918563826507E-5,0.0023370088766933163
194,82.67688044172854,1.4813719231174143E-5,0.0023518225959244903
195,82.58753528853256,1.4406993520735643E-5,0.0023662295894452258
196,82.49967514334398,1.4525488258975327E-5,0.002380755077704201
197,82.41187715784316,1.4135576815256118E-5,0.002394890654519457
198,82.32819531034549,1.3824430218618192E-5,0.002408715084738075
199,82.25104103116651,1.410999914909469E-5,0.0024228250838871698
200,82.16265228216201,1.3892764595370704E-5,0.0024367178484825404
201,82.07207696536659,1.4157676371855566E-5,0.002450875524854396
202,81.98399802854016,1.4271283020919734E-5,0.0024651468078753158
203,81.89794141407378,1.4359204628958332E-5,0.002479506012504274
204,81.82046489688697,1.4336747230269203E-5,0.002493842759734543
205,81.7439150412785,1.4223783457670934E-5,0.002508066543192214
206,81.66236344582127,1.4118106966803175E-5,0.002522184650159017
207,81.58217722951007,1.4231891832138368E-5,0.0025364165419911556
208,81.50671374110756,1.4157993309675437E-5,0.002550574535300831
209,81.4322225854702,1.428446161513528E-5,0.002564858996915966
210,81.35971577419627,1.4036905059377709E-5,0.0025788959019753437
211,81.28853768278647,1.380511267618493E-5,0.0025927010146515285
212,81.22167469378427,1.3983068266804652E-5,0.002606684082918333
213,81.15744528916707,1.401119578009423E-5,0.0026206952786984273
214,81.09348524706337,1.4117672291478547E-5,0.002634812950989906
215,81.03267537332312,1.3990050270500068E-5,0.002648803001260406
216,80.96160956134129,1.4181441602852317E-5,0.0026629844428632584
217,80.88723683150288,1.4224409467217467E-5,0.0026772088523304757
218,80.81201616302913,1.4171046872735635E-5,0.0026913798992032113
219,80.72933809996647,1.4286024989744322E-5,0.0027056659241929556
220,80.6361000622654,1.412107606109796E-5,0.0027197870002540537
221,80.53300774010876,1.387613754161E-5,0.0027336631377956637
222,80.43003802674122,1.3918836113470902E-5,0.0027475819739091346
223,80.3319117973011,1.3544241300390748E-5,0.002761126215209525
224,80.23635723238911,1.3293272964810321E-5,0.0027744194881743353
225,80.13744666645933,1.3229122060524392E-5,0.00278764861023486
226,80.0296734824984,1.3233596980407887E-5,0.0028008822072152677
227,79.91868165034361,1.3013304762587685E-5,0.0028138955119778554
228,79.80341609089311,1.3246768800860277E-5,0.0028271422807787158
229,79.68692742323849,1.3406315264850907E-5,0.0028405485960435665
230,79.57184654717254,1.3252573526188167E-5,0.0028538011695697545
231,79.46017753455057,1.3093611104751067E-5,0.0028668947806745055
232,79.34455408411623,1.309173445018893E-5,0.0028799865151246944
233,79.23040524269504,1.2845770948078287E-5,0.002892832286072773
234,79.11925880595007,1.2702561670100105E-5,0.002905534847742873
235,79.00915857601228,1.2504142591155005E-5,0.002918038990334028
236,78.90018411793672,1.2839310033691242E-5,0.002930878300367719
237,78.78759565657079,1.2853522931944832E-5,0.002943731823299664
238,78.67919292230252,1.2707945219471418E-5,0.0029564397685191354
239,78.57097346893461,1.2312474151375035E-5,0.0029687522426705103
240,78.45713186535173,1.211957890587412E-5,0.0029808718215763846
241,78.35275701156431,1.2425830621759828E-5,0.0029932976521981442
242,78.2481595269437,1.1935714965821102E-5,0.0030052333671639654
243,78.14641096516226,1.1981887214499063E-5,0.0030172152543784646
244,78.0478618899667,1.2254317473908704E-5,0.0030294695718523735
245,77.9535252894535,1.23224757958412E-5,0.0030417920476482146
246,77.85974520239982,1.1920205880466402E-5,0.0030537122535286808
247,77.76372017939494,1.183597017792623E-5,0.003065548223706607
248,77.66576213079439,1.2145998324313864E-5,0.0030776942220309207
249,77.5614382085349,1.2334381077057294E-5,0.003090028603107978
250,77.45866075132892,1.2413354944059868E-5,0.003102441958052038
251,77.35768150657746,1.2230339086063705E-5,0.0031146722971381016
252,77.2518472796146,1.2358526407640047E-5,0.003127030823545742
253,77.14189381557561,1.2171426107724169E-5,0.003139202249653466
254,77.02761019896676,1.2019642627820665E-5,0.0031512218922812867
255,76.91295865651406,1.1884163141084153E-5,0.003163106055422371
256,76.79978447140496,1.1959107668810859E-5,0.0031750651630911815
257,76.68341855568913,1.1849812182088288E-5,0.00318691497527327
258,76.56477969946391,1.1629492042893429E-5,0.0031985444673161634
259,76.44035362512112,1.1194747148536585E-5,0.0032097392144647
260,76.31453652926943,1.1521712983828732E-5,0.0032212609274485287
261,76.18622415079659,1.1282770913382306E-5,0.003232543698361911
262,76.05904651768773,1.1440231184580442E-5,0.003243983929546491
263,75.92956848402758,1.1618122872304724E-5,0.003255602052418796
264,75.7982183203909,1.1664792574124853E-5,0.003267266844992921
265,75.66300952241048,1.1545674641490524E-5,0.0032788125196344118
266,75.52767216507651,1.1779073851571062E-5,0.003290591593485983
267,75.40754228508915,1.2324251544054677E-5,0.0033029158450300377
268,75.28606752720664,1.2210069803902032E-5,0.00331512591483394
269,75.17168364148269,1.233646701939765E-5,0.0033274623818533374
270,75.05982177434392,1.2248648459163616E-5,0.003339711030312501
271,74.94926122479798,1.214655482594344E-5,0.003351857585138445
272,74.83660813126983,1.2244682630639086E-5,0.0033641022677690837
273,74.72256607954479,1.2274717406169962E-5,0.003376376985175254
274,74.60321567995419,1.2247051064699456E-5,0.003388624036239953
275,74.48411392629752,1.2199699715454099E-5,0.003400823735955407
276,74.35702962058379,1.2067658869700372E-5,0.0034128913948251074
277,74.22640934314354,1.2417210445489546E-5,0.003425308605270597
278,74.09615478111242,1.2742676555246294E-5,0.003438051281825843
279,73.97135982020772,1.2960857717632138E-5,0.003451012139543475
280,73.84347922466948,1.2980496220867835E-5,0.003463992635764343
281,73.71323836266009,1.3127566817236523E-5,0.0034771202025815793
282,73.59164029819259,1.331402927822529E-5,0.0034904342318598045
283,73.46102151825907,1.3163637248984691E-5,0.003503597869108789
284,73.3400072086093,1.3423691392276667E-5,0.0035170215605010656
285,73.21421651213599,1.3888606885112075E-5,0.003530910167386178
286,73.08671656049845,1.386147219258046E-5,0.0035447716395787584
287,72.96377820207046,1.3379678977660657E-5,0.003558151318556419
288,72.83342614996053,1.3083824321413691E-5,0.0035712351428778327
289,72.69704988278933,1.3122472958548943E-5,0.0035843576158363817
290,72.55784552073956,1.3129666539729813E-5,0.0035974872823761115
291,72.4286830202667,1.362515057394122E-5,0.0036111124329500526
292,72.29890509874467,1.3531616990639716E-5,0.0036246440499406924
293,72.16088304086881,1.3322293021423195E-5,0.0036379663429621156
294,72.02310062178692,1.3532686501371744E-5,0.0036514990294634875
295,71.88252037334752,1.3441553415727941E-5,0.0036649405828792156
296,71.74516388205652,1.3023408290575086E-5,0.0036779639911697906
297,71.60488224521498,1.3715187611780386E-5,0.003691679178781571
298,71.47393612719601,1.359316270776572E-5,0.0037052723414893367
299,71.34012795198193,1.3423302928848303E-5,0.003718695644418185
300,71.20890763351419,1.3650606433194629E-5,0.0037323462508513797
301,71.08158467849161,1.3617437329048762E-5,0.0037459636881804286
302,70.94933721940455,1.3422582148519169E-5,0.0037593862703289476
303,70.82231134659044,1.2893604769777787E-5,0.003772279875098725
304,70.69721044805628,1.2977390727487647E-5,0.003785257265826213
305,70.57265071203716,1.2915084300368917E-5,0.0037981723501265816
306,70.45667579476533,1.3279011405456314E-5,0.003811451361532038
307,70.3386768313518,1.3548492029083805E-5,0.0038249998535611215
308,70.22448814916072,1.3901194243033184E-5,0.0038389010478041548
309,70.11317757748286,1.3839580734595575E-5,0.0038527406285387505
310,69.997812277275,1.3924054788881346E-5,0.003866664683327632
311,69.87110994373228,1.393309665766578E-5,0.0038805977799852977
312,69.74496914842652,1.3549382863914738E-5,0.0038941471628492126
313,69.61898328436364,1.3661608927038736E-5,0.003907808771776251
314,69.50519823997098,1.3631342364033503E-5,0.003921440114140285
315,69.39177190544459,1.4240053917148008E-5,0.003935680168057433
316,69.27784976264876,1.4465408901737434E-5,0.00395014557695917
317,69.15855560264332,1.4301212788976381E-5,0.003964446789748146
318,69.0496425457096,1.4293297822612052E-5,0.0039787400875707585
319,68.9515940661133,1.4222430945055574E-5,0.003992962518515814
320,68.85571215252422,1.4740079234487792E-5,0.004007702597750302
321,68.76081771995699,1.422151127063923E-5,0.004021924109020941
322,68.66651758673352,1.4333228182275842E-5,0.004036257337203217
323,68.56978954248927,1.3602101197373628E-5,0.004049859438400591
324,68.47561438239347,1.3880189765052873E-5,0.004063739628165644
325,68.38154989066477,1.3786464014126188E-5,0.0040775260921797705
326,68.28767897351598,1.37560535896998E-5,0.00409128214576947
327,68.19237446285004,1.3495405883735347E-5,0.004104777551653205
328,68.09416126564432,1.3486801448776133E-5,0.004118264353101982
329,67.99762902062248,1.346080734875283E-5,0.0041317251604507345
330,67.89027034147547,1.3236905733652895E-5,0.004144962066184387
331,67.78214715468386,1.3280136326191809E-5,0.004158242202510579
332,67.68158783568222,1.333439560347391E-5,0.004171576598114053
333,67.58063747925695,1.3457134224127608E-5,0.00418503373233818
334,67.4818695670715,1.362814423933883E-5,0.004198661876577519
335,67.37277905671255,1.3318761392096512E-5,0.004211980637969615
336,67.2649761681719,1.3722531522106548E-5,0.004225703169491722
337,67.16380757391161,1.368430832370148E-5,0.004239387477815423
338,67.05964573120616,1.3658073712957012E-5,0.004253045551528381
339,66.9556096266792,1.3910335015040275E-5,0.004266955886543421
340,66.84837388582719,1.4171946873063549E-5,0.004281127833416485
341,66.74285673246204,1.4283220122438483E-5,0.004295411053538924
342,66.63870167507237,1.4382849775415735E-5,0.00430979390331434
343,66.52735828245437,1.4435663307795242E-5,0.004324229566622135
344,66.4115648654435,1.3919676107449073E-5,0.004338149242729584
345,66.3000005669324,1.3891855707522006E-5,0.004352041098437106
