#t,ESS,tempDiff,temp
0,100.00000000000006,0.0,0.0
1,99.99903632598505,1.3207530721241925E-5,1.3207530721241925E-5
2,99.99615615292602,1.3496280701506255E-5,2.6703811422748178E-5
3,99.9914261962616,1.3263618021342717E-5,3.9967429444090896E-5
4,99.98503406447574,1.3441571707532512E-5,5.340900115162341E-5
5,99.97714520780677,1.2777768986035935E-5,6.618677013765934E-5
6,99.96812261096221,1.2268781099658927E-5,7.845555123731826E-5
7,99.95810671803929,1.2158785055970777E-5,9.061433629328904E-5
8,99.94654536830193,1.2189447694722013E-5,1.0280378398801105E-4
9,99.93351708951776,1.2229013256387507E-5,1.1503279724439856E-4
10,99.91878847561404,1.221501510326149E-5,1.2724781234766004E-4
11,99.90336928142226,1.2114733204576576E-5,1.3936254555223663E-4
12,99.8866584655186,1.2238690792063165E-5,1.516012363442998E-4
13,99.86845780863949,1.2132328155332363E-5,1.6373356449963218E-4
14,99.84872495309233,1.1917962207884778E-5,1.7565152670751696E-4
15,99.82843431379229,1.197400158809924E-5,1.876255282956162E-4
16,99.80605540802637,1.23003550742717E-5,1.999258833698879E-4
17,99.78275550424422,1.1970937339389714E-5,2.118968207092776E-4
18,99.75770169614955,1.1839241585002972E-5,2.2373606229428056E-4
19,99.73194125574452,1.1941830556097688E-5,2.3567789285037824E-4
20,99.70404345963935,1.1735800562383485E-5,2.474136934127617E-4
21,99.67506952050954,1.1778569148128847E-5,2.5919226256089056E-4
22,99.6444061513132,1.1665218510806574E-5,2.708574810716971E-4
23,99.6138360814969,1.1473688425036563E-5,2.823311694967337E-4
24,99.58038913680254,1.1918085807057432E-5,2.9424925530379114E-4
25,99.54627187237524,1.2008970829691944E-5,3.062582261334831E-4
26,99.50960263235802,1.2162596423558432E-5,3.184208225570415E-4
27,99.47139565377746,1.261364775488978E-5,3.310344703119313E-4
28,99.43198579813745,1.2429615754321923E-5,3.434640860662532E-4
29,99.38991004493376,1.2581240840049662E-5,3.560453269063029E-4
30,99.34710253677709,1.2541456426601029E-5,3.685867833329039E-4
31,99.30561710833774,1.2636883849792448E-5,3.812236671826964E-4
32,99.26176870050193,1.2469547035588303E-5,3.936932142182847E-4
33,99.21548114120137,1.2658111348543385E-5,4.0635132556682805E-4
34,99.16667305521064,1.2920347393221452E-5,4.192716729600495E-4
35,99.12140924523484,1.2654244597604325E-5,4.319259175576538E-4
36,99.07426322477157,1.2635337761204978E-5,4.445612553188588E-4
37,99.02372110751705,1.3153311596956485E-5,4.5771456691581525E-4
38,98.97145344243954,1.3503025156939573E-5,4.712175920727548E-4
39,98.91478075463235,1.38858002402178E-5,4.851033923129726E-4
40,98.85799877893523,1.3926290527452595E-5,4.990296828404252E-4
41,98.80346832141818,1.3578668737731015E-5,5.126083515781561E-4
42,98.7489096096674,1.3457845821481041E-5,5.260661973996372E-4
43,98.69190516424729,1.3843709080910094E-5,5.399099064805473E-4
44,98.62834009907492,1.4089405382151779E-5,5.539993118626991E-4
45,98.56335564108181,1.3907799501969148E-5,5.679071113646682E-4
46,98.49637902567662,1.3916802730358352E-5,5.818239140950265E-4
47,98.4298969379642,1.3506560295869355E-5,5.953304743908958E-4
48,98.36434052255528,1.3707522570643648E-5,6.090379969615395E-4
49,98.29838199263811,1.3594184144533933E-5,6.226321811060734E-4
50,98.23277864708221,1.3231254550658871E-5,6.358634356567323E-4
51,98.16816037616306,1.2906380022724706E-5,6.48769815679457E-4
52,98.10258021420074,1.287660593505598E-5,6.61646421614513E-4
53,98.02965588335304,1.3403415412556032E-5,6.750498370270691E-4
54,97.95858972931751,1.2906448171823166E-5,6.879562851988923E-4
55,97.88352247828915,1.3064858291284137E-5,7.010211434901764E-4
56,97.80773910460304,1.28878939258865E-5,7.139090374160629E-4
57,97.72879830651,1.2675419516237234E-5,7.265844569323001E-4
58,97.64872814491599,1.2418822961323346E-5,7.390032798936235E-4
59,97.5709650719755,1.226199717287874E-5,7.512652770665022E-4
60,97.4891435815543,1.2529285311102778E-5,7.63794562377605E-4
61,97.40553402109639,1.2343826076905824E-5,7.761383884545109E-4
62,97.32188194762765,1.2326089398003452E-5,7.884644778525143E-4
63,97.24040442705495,1.2067199771008966E-5,8.005316776235232E-4
64,97.1589660915232,1.1800284602394071E-5,8.123319622259172E-4
65,97.07590811258571,1.1834468414807214E-5,8.241664306407245E-4
66,96.99234697337307,1.1434048291377222E-5,8.356004789321017E-4
67,96.90924385999747,1.1292931572478576E-5,8.468934105045802E-4
68,96.82599000241437,1.119580890014116E-5,8.580892194047214E-4
69,96.7403599317879,1.1245484018325879E-5,8.693347034230473E-4
70,96.65646163988683,1.0890730220878425E-5,8.802254336439257E-4
71,96.568843620977,1.1149788764982494E-5,8.913752224089082E-4
72,96.47857927781102,1.1311867872204128E-5,9.026870902811122E-4
73,96.38614741518397,1.1218803470485997E-5,9.139058937515982E-4
74,96.28725877807945,1.1601211494272595E-5,9.255071052458708E-4
75,96.1961549984188,1.163408060502479E-5,9.371411858508956E-4
76,96.10399574007594,1.1521304664673425E-5,9.48662490515569E-4
77,96.01176633401296,1.1580941367873546E-5,9.602434318834426E-4
78,95.91761604825926,1.1317680219860724E-5,9.715611121033033E-4
79,95.82330615209843,1.1213257925909877E-5,9.827743700292133E-4
80,95.73042875337757,1.1231382111257435E-5,9.940057521404706E-4
81,95.6400877462923,1.1155677263401418E-5,0.0010051614294038721
82,95.5475220122285,1.1051848367942608E-5,0.0010162132777718146
83,95.45584163354096,1.1203952898284126E-5,0.0010274172306700988
84,95.36361440401201,1.1131247871645729E-5,0.0010385484785417445
85,95.27174591736143,1.0842365826095259E-5,0.0010493908443678396
86,95.17780874053807,1.0864783682880064E-5,0.0010602556280507197
87,95.08162626241041,1.0735101329325911E-5,0.0010709907293800457
88,94.9870575098472,1.0529965234827994E-5,0.0010815206946148737
