#treeName,Method,NumericalLogZ,logZ
sim--2142322983.msf.Rep0,Adaptive,0.0,-2495.8856116985467
sim--2142322983.msf.Rep0,Deterministic,0.0,-2495.2217694134147
sim--2142322983.msf.Rep1,Adaptive,0.0,-2495.7828804212486
sim--2142322983.msf.Rep1,Deterministic,0.0,-2494.0245504943823
sim--2142322983.msf.Rep2,Adaptive,0.0,-2496.2305604960884
sim--2142322983.msf.Rep2,Deterministic,0.0,-2495.1192722091123
sim--2142322983.msf.Rep3,Adaptive,0.0,-2494.20674478297
sim--2142322983.msf.Rep3,Deterministic,0.0,-2495.4181969913766
sim--2142322983.msf.Rep4,Adaptive,0.0,-2495.2123029545164
sim--2142322983.msf.Rep4,Deterministic,0.0,-2495.7916386630673
sim--2142322983.msf.Rep5,Adaptive,0.0,-2494.479122872709
sim--2142322983.msf.Rep5,Deterministic,0.0,-2494.7441628824854
sim--2142322983.msf.Rep6,Adaptive,0.0,-2495.18425205453
sim--2142322983.msf.Rep6,Deterministic,0.0,-2494.117880659738
sim--2142322983.msf.Rep7,Adaptive,0.0,-2494.4702087392975
sim--2142322983.msf.Rep7,Deterministic,0.0,-2494.8577290145395
sim--2142322983.msf.Rep8,Adaptive,0.0,-2493.353852407545
sim--2142322983.msf.Rep8,Deterministic,0.0,-2493.8618323759088
sim--2142322983.msf.Rep9,Adaptive,0.0,-2495.5355688433942
sim--2142322983.msf.Rep9,Deterministic,0.0,-2494.514410618835
sim--2142322983.msf.Rep10,Adaptive,0.0,-2496.3730867158492
sim--2142322983.msf.Rep10,Deterministic,0.0,-2495.314088129495
sim--2142322983.msf.Rep11,Adaptive,0.0,-2495.640446296028
sim--2142322983.msf.Rep11,Deterministic,0.0,-2495.148606434532
sim--2142322983.msf.Rep12,Adaptive,0.0,-2496.345134418873
sim--2142322983.msf.Rep12,Deterministic,0.0,-2496.2723283097625
sim--2142322983.msf.Rep13,Adaptive,0.0,-2494.56763695718
sim--2142322983.msf.Rep13,Deterministic,0.0,-2494.6392313295723
sim--2142322983.msf.Rep14,Adaptive,0.0,-2495.1148348152988
sim--2142322983.msf.Rep14,Deterministic,0.0,-2494.684299589135
sim--2142322983.msf.Rep15,Adaptive,0.0,-2495.1930031252227
sim--2142322983.msf.Rep15,Deterministic,0.0,-2494.4350724445044
sim--2142322983.msf.Rep16,Adaptive,0.0,-2496.1307834257314
sim--2142322983.msf.Rep16,Deterministic,0.0,-2492.8601297803234
sim--2142322983.msf.Rep17,Adaptive,0.0,-2495.3183283580756
sim--2142322983.msf.Rep17,Deterministic,0.0,-2495.1897235846227
sim--2142322983.msf.Rep18,Adaptive,0.0,-2494.586013708296
sim--2142322983.msf.Rep18,Deterministic,0.0,-2496.3367868345363
sim--2142322983.msf.Rep19,Adaptive,0.0,-2493.5692070856285
sim--2142322983.msf.Rep19,Deterministic,0.0,-2494.5802667258035
