#Method,Adaptive,AdaptiveType,T,IterScale,Repeat,Metric,Value,TreeName,Time
ANNEALING,true,0,5868,100.0,0,ConsensusLogLL,-2419.106622596992,sim--2142322983.msf,237752
ANNEALING,true,0,5868,100.0,0,BestSampledLogLL,-2424.6110493898946,sim--2142322983.msf,237752
ANNEALING,true,0,5868,100.0,0,PartitionMetric,0.0,sim--2142322983.msf,237752
ANNEALING,true,0,5868,100.0,0,RobinsonFouldsMetric,0.7410181877411898,sim--2142322983.msf,237752
ANNEALING,true,0,5868,100.0,0,KuhnerFelsenstein,0.04820521839556355,sim--2142322983.msf,237752
ANNEALING,false,0,5868,100.0,0,ConsensusLogLL,-2419.90972622,sim--2142322983.msf,224324
ANNEALING,false,0,5868,100.0,0,BestSampledLogLL,-2423.8741317763574,sim--2142322983.msf,224324
ANNEALING,false,0,5868,100.0,0,PartitionMetric,0.0,sim--2142322983.msf,224324
ANNEALING,false,0,5868,100.0,0,RobinsonFouldsMetric,0.7784977156456095,sim--2142322983.msf,224324
ANNEALING,false,0,5868,100.0,0,KuhnerFelsenstein,0.045600026784426706,sim--2142322983.msf,224324
ANNEALING,true,0,5938,100.0,1,ConsensusLogLL,-2419.778858457547,sim--2142322983.msf,215804
ANNEALING,true,0,5938,100.0,1,BestSampledLogLL,-2427.282030802852,sim--2142322983.msf,215804
ANNEALING,true,0,5938,100.0,1,PartitionMetric,0.0,sim--2142322983.msf,215804
ANNEALING,true,0,5938,100.0,1,RobinsonFouldsMetric,0.8001477156456096,sim--2142322983.msf,215804
ANNEALING,true,0,5938,100.0,1,KuhnerFelsenstein,0.047444457851663145,sim--2142322983.msf,215804
ANNEALING,false,0,5938,100.0,1,ConsensusLogLL,-2419.0972083391857,sim--2142322983.msf,215956
ANNEALING,false,0,5938,100.0,1,BestSampledLogLL,-2423.9384027067044,sim--2142322983.msf,215956
ANNEALING,false,0,5938,100.0,1,PartitionMetric,0.0,sim--2142322983.msf,215956
ANNEALING,false,0,5938,100.0,1,RobinsonFouldsMetric,0.7074933670259176,sim--2142322983.msf,215956
ANNEALING,false,0,5938,100.0,1,KuhnerFelsenstein,0.0427649571746567,sim--2142322983.msf,215956
ANNEALING,true,0,5960,100.0,2,ConsensusLogLL,-2419.1908440994785,sim--2142322983.msf,216180
ANNEALING,true,0,5960,100.0,2,BestSampledLogLL,-2426.854917935125,sim--2142322983.msf,216180
ANNEALING,true,0,5960,100.0,2,PartitionMetric,0.0,sim--2142322983.msf,216180
ANNEALING,true,0,5960,100.0,2,RobinsonFouldsMetric,0.7540645440063871,sim--2142322983.msf,216180
ANNEALING,true,0,5960,100.0,2,KuhnerFelsenstein,0.04272683129705472,sim--2142322983.msf,216180
ANNEALING,false,0,5960,100.0,2,ConsensusLogLL,-2419.579200602473,sim--2142322983.msf,214987
ANNEALING,false,0,5960,100.0,2,BestSampledLogLL,-2425.757936135169,sim--2142322983.msf,214987
ANNEALING,false,0,5960,100.0,2,PartitionMetric,0.0,sim--2142322983.msf,214987
ANNEALING,false,0,5960,100.0,2,RobinsonFouldsMetric,0.7776578771206692,sim--2142322983.msf,214987
ANNEALING,false,0,5960,100.0,2,KuhnerFelsenstein,0.0437948449575763,sim--2142322983.msf,214987
ANNEALING,true,0,5827,100.0,3,ConsensusLogLL,-2419.5011864391013,sim--2142322983.msf,211329
ANNEALING,true,0,5827,100.0,3,BestSampledLogLL,-2426.033811159278,sim--2142322983.msf,211329
ANNEALING,true,0,5827,100.0,3,PartitionMetric,0.0,sim--2142322983.msf,211329
ANNEALING,true,0,5827,100.0,3,RobinsonFouldsMetric,0.7136516167268654,sim--2142322983.msf,211329
ANNEALING,true,0,5827,100.0,3,KuhnerFelsenstein,0.03710193144156761,sim--2142322983.msf,211329
ANNEALING,false,0,5827,100.0,3,ConsensusLogLL,-2418.996474143022,sim--2142322983.msf,209831
ANNEALING,false,0,5827,100.0,3,BestSampledLogLL,-2426.507332012875,sim--2142322983.msf,209831
ANNEALING,false,0,5827,100.0,3,PartitionMetric,0.0,sim--2142322983.msf,209831
ANNEALING,false,0,5827,100.0,3,RobinsonFouldsMetric,0.7696522672007773,sim--2142322983.msf,209831
ANNEALING,false,0,5827,100.0,3,KuhnerFelsenstein,0.05210048883253628,sim--2142322983.msf,209831
ANNEALING,true,0,5822,100.0,4,ConsensusLogLL,-2419.7394927188443,sim--2142322983.msf,211348
ANNEALING,true,0,5822,100.0,4,BestSampledLogLL,-2426.9696454391483,sim--2142322983.msf,211348
ANNEALING,true,0,5822,100.0,4,PartitionMetric,0.0,sim--2142322983.msf,211348
ANNEALING,true,0,5822,100.0,4,RobinsonFouldsMetric,0.7949274050250887,sim--2142322983.msf,211348
ANNEALING,true,0,5822,100.0,4,KuhnerFelsenstein,0.050468943360574545,sim--2142322983.msf,211348
ANNEALING,false,0,5822,100.0,4,ConsensusLogLL,-2420.154268459339,sim--2142322983.msf,211717
ANNEALING,false,0,5822,100.0,4,BestSampledLogLL,-2425.2627675493713,sim--2142322983.msf,211717
ANNEALING,false,0,5822,100.0,4,PartitionMetric,0.0,sim--2142322983.msf,211717
ANNEALING,false,0,5822,100.0,4,RobinsonFouldsMetric,0.7692981877411897,sim--2142322983.msf,211717
ANNEALING,false,0,5822,100.0,4,KuhnerFelsenstein,0.03670271988074284,sim--2142322983.msf,211717
ANNEALING,true,0,5921,100.0,5,ConsensusLogLL,-2419.502965961107,sim--2142322983.msf,218574
ANNEALING,true,0,5921,100.0,5,BestSampledLogLL,-2423.647681565732,sim--2142322983.msf,218574
ANNEALING,true,0,5921,100.0,5,PartitionMetric,0.0,sim--2142322983.msf,218574
ANNEALING,true,0,5921,100.0,5,RobinsonFouldsMetric,0.7091574050250892,sim--2142322983.msf,218574
ANNEALING,true,0,5921,100.0,5,KuhnerFelsenstein,0.040549292688136,sim--2142322983.msf,218574
ANNEALING,false,0,5921,100.0,5,ConsensusLogLL,-2419.3018716140014,sim--2142322983.msf,213182
ANNEALING,false,0,5921,100.0,5,BestSampledLogLL,-2425.432095677408,sim--2142322983.msf,213182
ANNEALING,false,0,5921,100.0,5,PartitionMetric,0.0,sim--2142322983.msf,213182
ANNEALING,false,0,5921,100.0,5,RobinsonFouldsMetric,0.8377774050250888,sim--2142322983.msf,213182
ANNEALING,false,0,5921,100.0,5,KuhnerFelsenstein,0.05087609173135549,sim--2142322983.msf,213182
ANNEALING,true,0,5754,100.0,6,ConsensusLogLL,-2419.7006400226956,sim--2142322983.msf,209021
ANNEALING,true,0,5754,100.0,6,BestSampledLogLL,-2426.511674710781,sim--2142322983.msf,209021
ANNEALING,true,0,5754,100.0,6,PartitionMetric,0.0,sim--2142322983.msf,209021
ANNEALING,true,0,5754,100.0,6,RobinsonFouldsMetric,0.7396639024587046,sim--2142322983.msf,209021
ANNEALING,true,0,5754,100.0,6,KuhnerFelsenstein,0.0433112259252357,sim--2142322983.msf,209021
ANNEALING,false,0,5754,100.0,6,ConsensusLogLL,-2419.823063626356,sim--2142322983.msf,207655
ANNEALING,false,0,5754,100.0,6,BestSampledLogLL,-2425.015288951108,sim--2142322983.msf,207655
ANNEALING,false,0,5754,100.0,6,PartitionMetric,0.0,sim--2142322983.msf,207655
ANNEALING,false,0,5754,100.0,6,RobinsonFouldsMetric,0.8007774050250889,sim--2142322983.msf,207655
ANNEALING,false,0,5754,100.0,6,KuhnerFelsenstein,0.05130642466124198,sim--2142322983.msf,207655
ANNEALING,true,0,5873,100.0,7,ConsensusLogLL,-2419.6515733328633,sim--2142322983.msf,213462
ANNEALING,true,0,5873,100.0,7,BestSampledLogLL,-2422.437147192488,sim--2142322983.msf,213462
ANNEALING,true,0,5873,100.0,7,PartitionMetric,0.0,sim--2142322983.msf,213462
ANNEALING,true,0,5873,100.0,7,RobinsonFouldsMetric,0.8024179226689657,sim--2142322983.msf,213462
ANNEALING,true,0,5873,100.0,7,KuhnerFelsenstein,0.043718704132516766,sim--2142322983.msf,213462
ANNEALING,false,0,5873,100.0,7,ConsensusLogLL,-2419.4339693704524,sim--2142322983.msf,212041
ANNEALING,false,0,5873,100.0,7,BestSampledLogLL,-2426.1573942255172,sim--2142322983.msf,212041
ANNEALING,false,0,5873,100.0,7,PartitionMetric,0.0,sim--2142322983.msf,212041
ANNEALING,false,0,5873,100.0,7,RobinsonFouldsMetric,0.7159174050250889,sim--2142322983.msf,212041
ANNEALING,false,0,5873,100.0,7,KuhnerFelsenstein,0.04029372240218389,sim--2142322983.msf,212041
ANNEALING,true,0,5934,100.0,8,ConsensusLogLL,-2419.055352020251,sim--2142322983.msf,215074
ANNEALING,true,0,5934,100.0,8,BestSampledLogLL,-2426.1623969783295,sim--2142322983.msf,215074
ANNEALING,true,0,5934,100.0,8,PartitionMetric,0.0,sim--2142322983.msf,215074
ANNEALING,true,0,5934,100.0,8,RobinsonFouldsMetric,0.778937405025089,sim--2142322983.msf,215074
ANNEALING,true,0,5934,100.0,8,KuhnerFelsenstein,0.047513199206464254,sim--2142322983.msf,215074
ANNEALING,false,0,5934,100.0,8,ConsensusLogLL,-2419.7932668320145,sim--2142322983.msf,214629
ANNEALING,false,0,5934,100.0,8,BestSampledLogLL,-2425.372736290176,sim--2142322983.msf,214629
ANNEALING,false,0,5934,100.0,8,PartitionMetric,0.0,sim--2142322983.msf,214629
ANNEALING,false,0,5934,100.0,8,RobinsonFouldsMetric,0.7776477156456094,sim--2142322983.msf,214629
ANNEALING,false,0,5934,100.0,8,KuhnerFelsenstein,0.04008722185123605,sim--2142322983.msf,214629
ANNEALING,true,0,5850,100.0,9,ConsensusLogLL,-2419.7272907418683,sim--2142322983.msf,216111
ANNEALING,true,0,5850,100.0,9,BestSampledLogLL,-2425.0381423674608,sim--2142322983.msf,216111
ANNEALING,true,0,5850,100.0,9,PartitionMetric,0.0,sim--2142322983.msf,216111
ANNEALING,true,0,5850,100.0,9,RobinsonFouldsMetric,0.7219174050250889,sim--2142322983.msf,216111
ANNEALING,true,0,5850,100.0,9,KuhnerFelsenstein,0.03771968010312139,sim--2142322983.msf,216111
ANNEALING,false,0,5850,100.0,9,ConsensusLogLL,-2419.2144992918866,sim--2142322983.msf,210192
ANNEALING,false,0,5850,100.0,9,BestSampledLogLL,-2423.8719161224635,sim--2142322983.msf,210192
ANNEALING,false,0,5850,100.0,9,PartitionMetric,0.0,sim--2142322983.msf,210192
ANNEALING,false,0,5850,100.0,9,RobinsonFouldsMetric,0.7619877156456094,sim--2142322983.msf,210192
ANNEALING,false,0,5850,100.0,9,KuhnerFelsenstein,0.04316489166776745,sim--2142322983.msf,210192
ANNEALING,true,0,5826,100.0,10,ConsensusLogLL,-2419.409125391695,sim--2142322983.msf,211517
ANNEALING,true,0,5826,100.0,10,BestSampledLogLL,-2426.593920641458,sim--2142322983.msf,211517
ANNEALING,true,0,5826,100.0,10,PartitionMetric,0.0,sim--2142322983.msf,211517
ANNEALING,true,0,5826,100.0,10,RobinsonFouldsMetric,0.7936177156456095,sim--2142322983.msf,211517
ANNEALING,true,0,5826,100.0,10,KuhnerFelsenstein,0.051046934821794926,sim--2142322983.msf,211517
ANNEALING,false,0,5826,100.0,10,ConsensusLogLL,-2419.019099267408,sim--2142322983.msf,209044
ANNEALING,false,0,5826,100.0,10,BestSampledLogLL,-2426.945300890824,sim--2142322983.msf,209044
ANNEALING,false,0,5826,100.0,10,PartitionMetric,0.0,sim--2142322983.msf,209044
ANNEALING,false,0,5826,100.0,10,RobinsonFouldsMetric,0.7520977156456095,sim--2142322983.msf,209044
ANNEALING,false,0,5826,100.0,10,KuhnerFelsenstein,0.04377245011755517,sim--2142322983.msf,209044
ANNEALING,true,0,5858,100.0,11,ConsensusLogLL,-2419.4445930992765,sim--2142322983.msf,212252
ANNEALING,true,0,5858,100.0,11,BestSampledLogLL,-2428.3814136251667,sim--2142322983.msf,212252
ANNEALING,true,0,5858,100.0,11,PartitionMetric,0.0,sim--2142322983.msf,212252
ANNEALING,true,0,5858,100.0,11,RobinsonFouldsMetric,0.784177405025089,sim--2142322983.msf,212252
ANNEALING,true,0,5858,100.0,11,KuhnerFelsenstein,0.050293422432600515,sim--2142322983.msf,212252
