#t,ESS,tempDiff,temp
0,100.00000000000006,0.0,0.0
1,99.99899999999963,1.4121044033800024E-5,1.4121044033800024E-5
2,99.99605866664447,1.3731943911991557E-5,2.785298794579158E-5
3,99.99130154749255,1.4315944552480708E-5,4.216893249827229E-5
4,99.9847171659047,1.4309514767106994E-5,5.6478447265379285E-5
5,99.97635926910448,1.4553264364946788E-5,7.103171163032607E-5
6,99.96613037002712,1.4281438917078739E-5,8.531315054740481E-5
7,99.95404473825712,1.4043802817235802E-5,9.935695336464061E-5
8,99.9404028003037,1.4334896041923699E-5,1.1369184940656431E-4
9,99.9251738432211,1.4162205076296356E-5,1.2785405448286066E-4
10,99.90806715691873,1.4290827291613392E-5,1.4214488177447405E-4
11,99.88941179606948,1.3549755806552984E-5,1.5569463758102704E-4
12,99.86885039588137,1.3535921160306185E-5,1.6923055874133323E-4
13,99.84642119093508,1.356816560904631E-5,1.8279872435037956E-4
14,99.82260949206595,1.3301066878663796E-5,1.9609979122904336E-4
15,99.79703991853192,1.3355724591815854E-5,2.0945551582085922E-4
16,99.77002830240191,1.3521853279631102E-5,2.2297736910049031E-4
17,99.7413911444529,1.3094275216537301E-5,2.3607164431702763E-4
18,99.71130588508689,1.3368210079211585E-5,2.494398543962392E-4
19,99.68036621330495,1.3504500991430417E-5,2.6294435538766963E-4
20,99.64766685975012,1.3239497795925428E-5,2.7618385318359506E-4
21,99.61341615951628,1.3809775159646892E-5,2.8999362834324197E-4
22,99.57787267412493,1.370067057379979E-5,3.0369429891704175E-4
23,99.54083254264177,1.3412921540632449E-5,3.171072204576742E-4
24,99.50280475076742,1.3385002160919411E-5,3.3049222261859364E-4
25,99.46453083909267,1.3715237752027028E-5,3.4420746037062066E-4
26,99.42429655187618,1.364086043196146E-5,3.578483208025821E-4
27,99.38251409542622,1.3632526286467266E-5,3.714808470890494E-4
28,99.33971960251029,1.372519057527883E-5,3.852060376643282E-4
29,99.29686374383509,1.3917957750540355E-5,3.9912399541486857E-4
30,99.25281426240097,1.3659029798790972E-5,4.1278302521365956E-4
31,99.2068252957605,1.3932255585738258E-5,4.267152807993978E-4
32,99.15945008938067,1.383153118821499E-5,4.4054681198761283E-4
33,99.11050834579457,1.3768447222049244E-5,4.543152592096621E-4
34,99.06071562673773,1.4177293649740659E-5,4.684925528594028E-4
35,99.01018474182727,1.412032673697909E-5,4.826128795963819E-4
36,98.9589325102373,1.3784294977624965E-5,4.963971745740068E-4
37,98.90725254588584,1.4030748703872025E-5,5.104279232778789E-4
38,98.85635394761121,1.4212293233952836E-5,5.246402165118317E-4
39,98.80203952475372,1.4065984220889255E-5,5.387062007327209E-4
40,98.74685707986937,1.383157198052688E-5,5.525377727132479E-4
41,98.69383229561517,1.394966001076915E-5,5.66487432724017E-4
42,98.64263938546424,1.3621134820362257E-5,5.801085675443792E-4
43,98.59050309874215,1.3524975886118447E-5,5.936335434304976E-4
44,98.5388591841756,1.40407515664604E-5,6.076742949969581E-4
45,98.48886035684292,1.3652389827000394E-5,6.213266848239585E-4
46,98.43786781214818,1.3787275194626652E-5,6.351139600185851E-4
47,98.38651609885147,1.3907580058215425E-5,6.490215400768005E-4
48,98.33214088544128,1.3816388686796226E-5,6.628379287635967E-4
49,98.27384839648188,1.3756218123577158E-5,6.765941468871738E-4
50,98.21282827857907,1.3710392077050667E-5,6.903045389642245E-4
51,98.15059354888137,1.3709077966219513E-5,7.04013616930444E-4
52,98.08829351022287,1.3490925468018629E-5,7.175045423984626E-4
53,98.02534861813174,1.321516789166435E-5,7.30719710290127E-4
54,97.9601840263481,1.3521874459401538E-5,7.442415847495285E-4
55,97.89248358578031,1.3616103699098848E-5,7.578576884486273E-4
56,97.8235837168355,1.4209977362543869E-5,7.720676658111711E-4
57,97.7545532798044,1.3983709213547683E-5,7.860513750247188E-4
58,97.68713212161857,1.4028744551163748E-5,8.000801195758826E-4
59,97.61882696274617,1.3803967239567582E-5,8.138840868154502E-4
60,97.5497893008971,1.3548459941328438E-5,8.274325467567786E-4
61,97.48279845396,1.3639743282958144E-5,8.410722900397368E-4
62,97.41400852784464,1.3375883418143239E-5,8.544481734578801E-4
63,97.34472228916698,1.314623857151135E-5,8.675944120293914E-4
64,97.27458490145817,1.2826422563956457E-5,8.804208345933478E-4
65,97.20397950958143,1.2923418805012813E-5,8.933442533983606E-4
66,97.13268202608698,1.3181777149499957E-5,9.065260305478605E-4
67,97.05989924994827,1.3670137991622362E-5,9.201961685394829E-4
68,96.98419304554925,1.37939386254494E-5,9.339901071649323E-4
69,96.90845976758561,1.3864374623448204E-5,9.478544817883805E-4
70,96.83138769727177,1.4059613129776844E-5,9.619140949181573E-4
71,96.75185569151002,1.4252664386657831E-5,9.761667593048152E-4
72,96.67118953654288,1.4363250813982518E-5,9.905300101187976E-4
73,96.59107820213106,1.4137552935844726E-5,0.0010046675630546423
74,96.50935564576079,1.4010985610009682E-5,0.001018678548664652
75,96.42707439014528,1.3954168269294417E-5,0.0010326327169339464
76,96.34469544910893,1.397898733357455E-5,0.0010466117042675208
77,96.26441131149768,1.4052168693545339E-5,0.0010606638729610662
78,96.1842879728498,1.4103096652789728E-5,0.0010747669696138558
79,96.10300160804223,1.3940517000930835E-5,0.0010887074866147866
80,96.02307640062513,1.431087755286647E-5,0.0011030183641676532
81,95.94147623489002,1.4362058217632006E-5,0.0011173804223852852
82,95.86001256988,1.4499930680109962E-5,0.001131880353065395
83,95.78048601801962,1.4550890081034965E-5,0.0011464312431464301
84,95.70169732237612,1.4611423043308796E-5,0.001161042666189739
85,95.62497117981331,1.42104419297629E-5,0.0011752531081195019
86,95.54445084485889,1.415194491973967E-5,0.0011894050530392416
87,95.46707732273511,1.4259994089893424E-5,0.001203665047129135
88,95.38386348089647,1.3891790056150289E-5,0.0012175568371852854
89,95.29925368362578,1.3765453002153834E-5,0.0012313222901874392
90,95.21213083224914,1.3356126574601868E-5,0.001244678416762041
91,95.12493498575313,1.3210550491866247E-5,0.0012578889672539074
92,95.03519384141156,1.3044620695981091E-5,0.0012709335879498886
93,94.94743142473786,1.2999260422341996E-5,0.0012839328483722305
94,94.86086954532718,1.3425234604260487E-5,0.001297358082976491
95,94.77455507095202,1.3078636910279882E-5,0.001310436719886771
96,94.68681244301149,1.2975562471991377E-5,0.0013234122823587624
97,94.59390561229439,1.2847031084984066E-5,0.0013362593134437464
98,94.50224290842044,1.3011750559117918E-5,0.0013492710640028644
99,94.40884331709974,1.2692091640924451E-5,0.0013619631556437888
100,94.31456311905187,1.2744595105339067E-5,0.0013747077507491278
101,94.22156248362583,1.2651135482832025E-5,0.0013873588862319598
102,94.12795394850627,1.2570528401361059E-5,0.0013999294146333208
103,94.03676671543987,1.2343795034317421E-5,0.0014122732096676382
104,93.94283694543982,1.2374671383404631E-5,0.001424647881051043
105,93.84645650344976,1.242309494365063E-5,0.0014370709759946936
106,93.74811375964255,1.2491814426435845E-5,0.0014495627904211295
107,93.6494083776476,1.2597642814094215E-5,0.0014621604332352238
108,93.5512651095835,1.2618084425264551E-5,0.0014747785176604884
109,93.45151162625243,1.276007459768719E-5,0.0014875385922581755
110,93.3514798625489,1.3010935998339337E-5,0.0015005495282565148
111,93.25243148668244,1.3214213905407561E-5,0.0015137637421619224
112,93.15487946049845,1.3169030760446005E-5,0.0015269327729223684
113,93.05982606838373,1.328948391700303E-5,0.0015402222568393715
114,92.96425362914911,1.3200227130224365E-5,0.001553422483969596
115,92.86984647116739,1.3026319798322311E-5,0.0015664488037679183
116,92.77396559905978,1.3143864666739478E-5,0.0015795926684346578
117,92.67959766546106,1.3234324226753358E-5,0.001592826992661411
118,92.5843091632707,1.272170345848074E-5,0.0016055486961198918
119,92.4874901832136,1.295396320781912E-5,0.0016185026593277109
120,92.38855152161021,1.3195024274235926E-5,0.0016316976836019468
121,92.28815878993154,1.3311565612724346E-5,0.0016450092492146713
122,92.18038835235461,1.3133324843868228E-5,0.0016581425740585395
123,92.07067890588041,1.3175667613320177E-5,0.0016713182416718596
124,91.96140806148534,1.3423184052522653E-5,0.0016847414257243822
125,91.85315788737506,1.3810659124308595E-5,0.0016985520848486909
126,91.74386125873289,1.377732847204744E-5,0.0017123294133207384
127,91.63861900041172,1.4026275045412543E-5,0.001726355688366151
128,91.53120292916373,1.4053040888809827E-5,0.0017404087292549608
129,91.42217170955072,1.3986507382183509E-5,0.0017543952366371443
130,91.31181680625953,1.4043378068148295E-5,0.0017684386147052925
131,91.19757674156035,1.4264555862045984E-5,0.0017827031705673385
132,91.0840559243558,1.4173278035984535E-5,0.001796876448603323
133,90.97385505294143,1.3908633098072607E-5,0.0018107850817013957
134,90.8637595625271,1.3731334864473181E-5,0.001824516416565869
135,90.75263609962187,1.3493733289848613E-5,0.0018380101498557176
136,90.63590538627865,1.3398846947429454E-5,0.001851408996803147
137,90.51852424723823,1.3545624796352171E-5,0.0018649546215994994
138,90.40200517877942,1.357678959502597E-5,0.0018785314111945254
139,90.28474518561633,1.3877894390929954E-5,0.0018924093055854554
140,90.17111510427434,1.3725075239529982E-5,0.0019061343808249853
141,90.05707509979956,1.3863466837646505E-5,0.0019199978476626318
142,89.93897237858188,1.423189832709232E-5,0.0019342297459897242
143,89.81452466125617,1.3718138968763075E-5,0.0019479478849584874
144,89.69134779953049,1.3620556279388786E-5,0.001961568441237876
145,89.57151639462668,1.3506283181734959E-5,0.001975074724419611
146,89.45583008018413,1.3508608785126856E-5,0.0019885833332047376
147,89.33739284718908,1.3542885655575274E-5,0.002002126218860313
148,89.21635237481675,1.334818518820809E-5,0.002015474404048521
149,89.09792460913542,1.2966376326036977E-5,0.002028440780374558
150,88.98251643849403,1.2915994363889987E-5,0.0020413567747384477
151,88.86571120623681,1.299007296741649E-5,0.002054346847705864
152,88.74438603636484,1.3086202424815826E-5,0.00206743305013068
153,88.62569501689113,1.3272273577623706E-5,0.0020807053237083036
154,88.50958411227155,1.325556647068228E-5,0.002093960890178986
155,88.3922142672791,1.3278039692304235E-5,0.00210723892987129
156,88.27399112666207,1.3079182972763461E-5,0.0021203181128440535
157,88.16016073003931,1.334223718798809E-5,0.0021336603500320414
158,88.05480285404624,1.2969234091773458E-5,0.002146629584123815
159,87.94451158018468,1.319212589847257E-5,0.0021598217100222876
160,87.82652644455366,1.3308017623734044E-5,0.0021731297276460218
161,87.70579741784917,1.3564977573067185E-5,0.002186694705219089
162,87.59441039714424,1.4915056656501541E-5,0.0022016097618755906
163,87.48215361917381,1.4602883513024946E-5,0.0022162126453886153
164,87.36234765824118,1.471741166867803E-5,0.0022309300570572932
165,87.24059881528298,1.4590760600250726E-5,0.002245520817657544
166,87.12305368989823,1.4746657216317266E-5,0.0022602674748738614
167,87.00530940437137,1.5570946191210972E-5,0.002275838421065072
168,86.88791353425653,1.5498882376589048E-5,0.002291337303441661
