#t,ESS,tempDiff,temp
0,100.00000000000006,0.0,0.0
1,99.99882657366493,1.4121044033800024E-5,1.4121044033800024E-5
2,99.99555986910865,1.3731943911991557E-5,2.785298794579158E-5
3,99.99019433858167,1.4315944552480708E-5,4.216893249827229E-5
4,99.98275272663805,1.4309514767106994E-5,5.6478447265379285E-5
5,99.97253318610916,1.4553264364946788E-5,7.103171163032607E-5
6,99.9604680702257,1.4281438917078739E-5,8.531315054740481E-5
7,99.9467601938685,1.4043802817235802E-5,9.935695336464061E-5
8,99.93069379018385,1.4334896041923699E-5,1.1369184940656431E-4
9,99.912483072898,1.4162205076296356E-5,1.2785405448286066E-4
10,99.8927733613524,1.4290827291613392E-5,1.4214488177447405E-4
11,99.87239780811342,1.3549755806552984E-5,1.5569463758102704E-4
12,99.85008406245869,1.3535921160306185E-5,1.6923055874133323E-4
13,99.82575832150081,1.356816560904631E-5,1.8279872435037956E-4
14,99.8009110031776,1.3301066878663796E-5,1.9609979122904336E-4
15,99.77368081357008,1.3355724591815854E-5,2.0945551582085922E-4
16,99.7450738119312,1.3521853279631102E-5,2.2297736910049031E-4
17,99.71574100086416,1.3094275216537301E-5,2.3607164431702763E-4
18,99.68354960353554,1.3368210079211585E-5,2.494398543962392E-4
19,99.6485043381845,1.3504500991430417E-5,2.6294435538766963E-4
20,99.61184173713598,1.3239497795925428E-5,2.7618385318359506E-4
21,99.57219841203285,1.3809775159646892E-5,2.8999362834324197E-4
22,99.53127453476222,1.370067057379979E-5,3.0369429891704175E-4
23,99.49066815199824,1.3412921540632449E-5,3.171072204576742E-4
24,99.45163244496773,1.3385002160919411E-5,3.3049222261859364E-4
25,99.4125131224577,1.3715237752027028E-5,3.4420746037062066E-4
26,99.37067812271627,1.364086043196146E-5,3.578483208025821E-4
27,99.32953151812941,1.3632526286467266E-5,3.714808470890494E-4
28,99.28530948078344,1.372519057527883E-5,3.852060376643282E-4
29,99.2390390116146,1.3917957750540355E-5,3.9912399541486857E-4
30,99.19274050338937,1.3659029798790972E-5,4.1278302521365956E-4
31,99.14484596015198,1.3932255585738258E-5,4.267152807993978E-4
32,99.0969040881518,1.383153118821499E-5,4.4054681198761283E-4
33,99.04856735284214,1.3768447222049244E-5,4.543152592096621E-4
34,98.99798150292253,1.4177293649740659E-5,4.684925528594028E-4
35,98.94669916847765,1.412032673697909E-5,4.826128795963819E-4
36,98.89364503706594,1.3784294977624965E-5,4.963971745740068E-4
37,98.84013653208737,1.4030748703872025E-5,5.104279232778789E-4
38,98.78526260141184,1.4212293233952836E-5,5.246402165118317E-4
39,98.72821205244777,1.4065984220889255E-5,5.387062007327209E-4
40,98.6696553851851,1.383157198052688E-5,5.525377727132479E-4
41,98.60885145274382,1.394966001076915E-5,5.66487432724017E-4
42,98.54803131590593,1.3621134820362257E-5,5.801085675443792E-4
43,98.48831928810381,1.3524975886118447E-5,5.936335434304976E-4
44,98.42549278840235,1.40407515664604E-5,6.076742949969581E-4
45,98.36484648327149,1.3652389827000394E-5,6.213266848239585E-4
46,98.30190588847599,1.3787275194626652E-5,6.351139600185851E-4
47,98.23797683229272,1.3907580058215425E-5,6.490215400768005E-4
48,98.17262316317515,1.3816388686796226E-5,6.628379287635967E-4
49,98.10674570250167,1.3756218123577158E-5,6.765941468871738E-4
50,98.04002682480112,1.3710392077050667E-5,6.903045389642245E-4
51,97.97413801829516,1.3709077966219513E-5,7.04013616930444E-4
52,97.90894183212248,1.3490925468018629E-5,7.175045423984626E-4
53,97.84480241649597,1.321516789166435E-5,7.30719710290127E-4
54,97.77894813748796,1.3521874459401538E-5,7.442415847495285E-4
55,97.71232574290235,1.3616103699098848E-5,7.578576884486273E-4
56,97.63811720298449,1.4209977362543869E-5,7.720676658111711E-4
57,97.56581970321955,1.3983709213547683E-5,7.860513750247188E-4
58,97.49249380038634,1.4028744551163748E-5,8.000801195758826E-4
59,97.42196512986224,1.3803967239567582E-5,8.138840868154502E-4
60,97.34999072251634,1.3548459941328438E-5,8.274325467567786E-4
61,97.27620322242184,1.3639743282958144E-5,8.410722900397368E-4
62,97.20279021460125,1.3375883418143239E-5,8.544481734578801E-4
63,97.13652670703904,1.314623857151135E-5,8.675944120293914E-4
64,97.06890181768887,1.2826422563956457E-5,8.804208345933478E-4
65,97.0016508404282,1.2923418805012813E-5,8.933442533983606E-4
66,96.93378815136121,1.3181777149499957E-5,9.065260305478605E-4
67,96.86454014848027,1.3670137991622362E-5,9.201961685394829E-4
68,96.79516273557499,1.37939386254494E-5,9.339901071649323E-4
69,96.72220403895888,1.3864374623448204E-5,9.478544817883805E-4
70,96.65100445518273,1.4059613129776844E-5,9.619140949181573E-4
71,96.57822378143014,1.4252664386657831E-5,9.761667593048152E-4
72,96.5050797405086,1.4363250813982518E-5,9.905300101187976E-4
73,96.43162618372254,1.4137552935844726E-5,0.0010046675630546423
74,96.35964759739456,1.4010985610009682E-5,0.001018678548664652
75,96.29034247531179,1.3954168269294417E-5,0.0010326327169339464
76,96.22215136261312,1.397898733357455E-5,0.0010466117042675208
77,96.15059605946989,1.4052168693545339E-5,0.0010606638729610662
78,96.07814120513798,1.4103096652789728E-5,0.0010747669696138558
79,96.00483638048452,1.3940517000930835E-5,0.0010887074866147866
80,95.92942468259109,1.431087755286647E-5,0.0011030183641676532
81,95.85282927126896,1.4362058217632006E-5,0.0011173804223852852
82,95.77227528248606,1.4499930680109962E-5,0.001131880353065395
83,95.68775107302939,1.4550890081034965E-5,0.0011464312431464301
84,95.6028473258376,1.4611423043308796E-5,0.001161042666189739
85,95.52396000132535,1.42104419297629E-5,0.0011752531081195019
86,95.44432163366838,1.415194491973967E-5,0.0011894050530392416
87,95.36389106876902,1.4259994089893424E-5,0.001203665047129135
88,95.28930893016724,1.3891790056150289E-5,0.0012175568371852854
89,95.2137725729082,1.3765453002153834E-5,0.0012313222901874392
90,95.1394150034163,1.3356126574601868E-5,0.001244678416762041
91,95.06767109369666,1.3210550491866247E-5,0.0012578889672539074
92,94.99657426187898,1.3044620695981091E-5,0.0012709335879498886
93,94.92697248150965,1.2999260422341996E-5,0.0012839328483722305
94,94.85123910902567,1.3425234604260487E-5,0.001297358082976491
95,94.77202808602753,1.3078636910279882E-5,0.001310436719886771
96,94.69738500890563,1.2975562471991377E-5,0.0013234122823587624
97,94.62903305159739,1.2847031084984066E-5,0.0013362593134437464
98,94.56394694267482,1.3011750559117918E-5,0.0013492710640028644
99,94.49899080004236,1.2692091640924451E-5,0.0013619631556437888
100,94.43153727220162,1.2744595105339067E-5,0.0013747077507491278
101,94.36525605415605,1.2651135482832025E-5,0.0013873588862319598
102,94.30085859293666,1.2570528401361059E-5,0.0013999294146333208
103,94.23898385688585,1.2343795034317421E-5,0.0014122732096676382
104,94.17672132527767,1.2374671383404631E-5,0.001424647881051043
105,94.11400312179978,1.242309494365063E-5,0.0014370709759946936
106,94.05170476167791,1.2491814426435845E-5,0.0014495627904211295
107,93.9893095022759,1.2597642814094215E-5,0.0014621604332352238
108,93.92962344141226,1.2618084425264551E-5,0.0014747785176604884
109,93.87035865433636,1.276007459768719E-5,0.0014875385922581755
110,93.81038170014932,1.3010935998339337E-5,0.0015005495282565148
111,93.74996685159277,1.3214213905407561E-5,0.0015137637421619224
112,93.68691983589682,1.3169030760446005E-5,0.0015269327729223684
113,93.62536416594591,1.328948391700303E-5,0.0015402222568393715
114,93.56013149695129,1.3200227130224365E-5,0.001553422483969596
115,93.49663261815422,1.3026319798322311E-5,0.0015664488037679183
116,93.43092317262477,1.3143864666739478E-5,0.0015795926684346578
117,93.3572647277741,1.3234324226753358E-5,0.001592826992661411
118,93.28769026578696,1.272170345848074E-5,0.0016055486961198918
119,93.22003413164461,1.295396320781912E-5,0.0016185026593277109
120,93.15257774566138,1.3195024274235926E-5,0.0016316976836019468
121,93.08200273589755,1.3311565612724346E-5,0.0016450092492146713
122,93.01242773331546,1.3133324843868228E-5,0.0016581425740585395
123,92.9464966570196,1.3175667613320177E-5,0.0016713182416718596
124,92.88289326644093,1.3423184052522653E-5,0.0016847414257243822
125,92.8178965690144,1.3810659124308595E-5,0.0016985520848486909
126,92.7568378991979,1.377732847204744E-5,0.0017123294133207384
127,92.70097122987784,1.4026275045412543E-5,0.001726355688366151
128,92.641054058623,1.4053040888809827E-5,0.0017404087292549608
129,92.57841658148617,1.3986507382183509E-5,0.0017543952366371443
130,92.51445094637164,1.4043378068148295E-5,0.0017684386147052925
131,92.44858136613686,1.4264555862045984E-5,0.0017827031705673385
132,92.38075278643123,1.4173278035984535E-5,0.001796876448603323
133,92.3066302983732,1.3908633098072607E-5,0.0018107850817013957
134,92.23316968102714,1.3731334864473181E-5,0.001824516416565869
135,92.16000418403172,1.3493733289848613E-5,0.0018380101498557176
136,92.08834413255519,1.3398846947429454E-5,0.001851408996803147
137,92.01557112782267,1.3545624796352171E-5,0.0018649546215994994
138,91.94609910313932,1.357678959502597E-5,0.0018785314111945254
139,91.87683853088022,1.3877894390929954E-5,0.0018924093055854554
140,91.80631406213732,1.3725075239529982E-5,0.0019061343808249853
141,91.73649660044052,1.3863466837646505E-5,0.0019199978476626318
142,91.66530974037428,1.423189832709232E-5,0.0019342297459897242
143,91.59832376380096,1.3718138968763075E-5,0.0019479478849584874
144,91.52921481402073,1.3620556279388786E-5,0.001961568441237876
145,91.45955765349424,1.3506283181734959E-5,0.001975074724419611
146,91.38260648548224,1.3508608785126856E-5,0.0019885833332047376
