#treeName,Method,NumericalLogZ,logZ
sim--2142322983.msf.Rep0,Adaptive,0.0,-2502.821360962058
sim--2142322983.msf.Rep0,Deterministic,0.0,-2497.5824436633334
sim--2142322983.msf.Rep1,Adaptive,0.0,-2502.672779149672
sim--2142322983.msf.Rep1,Deterministic,0.0,-2501.958122310481
sim--2142322983.msf.Rep2,Adaptive,0.0,-2499.693218497028
sim--2142322983.msf.Rep2,Deterministic,0.0,-2502.186148477624
sim--2142322983.msf.Rep3,Adaptive,0.0,-2499.1077593397167
sim--2142322983.msf.Rep3,Deterministic,0.0,-2498.585067811841
sim--2142322983.msf.Rep4,Adaptive,0.0,-2497.613615998554
sim--2142322983.msf.Rep4,Deterministic,0.0,-2496.93551233848
sim--2142322983.msf.Rep5,Adaptive,0.0,-2501.837694874871
sim--2142322983.msf.Rep5,Deterministic,0.0,-2504.347247575852
sim--2142322983.msf.Rep6,Adaptive,0.0,-2500.785845288666
sim--2142322983.msf.Rep6,Deterministic,0.0,-2501.142636439792
sim--2142322983.msf.Rep7,Adaptive,0.0,-2500.3814129909456
sim--2142322983.msf.Rep7,Deterministic,0.0,-2500.6105185152455
sim--2142322983.msf.Rep8,Adaptive,0.0,-2500.944917470941
sim--2142322983.msf.Rep8,Deterministic,0.0,-2500.3956908312816
sim--2142322983.msf.Rep9,Adaptive,0.0,-2501.1236691318745
sim--2142322983.msf.Rep9,Deterministic,0.0,-2499.7913531572262
sim--2142322983.msf.Rep10,Adaptive,0.0,-2499.7424372206215
sim--2142322983.msf.Rep10,Deterministic,0.0,-2502.5740569623886
sim--2142322983.msf.Rep11,Adaptive,0.0,-2500.6818599996423
sim--2142322983.msf.Rep11,Deterministic,0.0,-2490.8706039477997
sim--2142322983.msf.Rep12,Adaptive,0.0,-2502.3639177847235
sim--2142322983.msf.Rep12,Deterministic,0.0,-2503.867423137626
sim--2142322983.msf.Rep13,Adaptive,0.0,-2500.9004169765067
sim--2142322983.msf.Rep13,Deterministic,0.0,-2495.447553221786
sim--2142322983.msf.Rep14,Adaptive,0.0,-2502.180656356075
sim--2142322983.msf.Rep14,Deterministic,0.0,-2498.320700717841
sim--2142322983.msf.Rep15,Adaptive,0.0,-2503.651455937447
sim--2142322983.msf.Rep15,Deterministic,0.0,-2503.2642365787947
sim--2142322983.msf.Rep16,Adaptive,0.0,-2500.4801435154827
sim--2142322983.msf.Rep16,Deterministic,0.0,-2502.1917892457195
sim--2142322983.msf.Rep17,Adaptive,0.0,-2501.3644238416505
sim--2142322983.msf.Rep17,Deterministic,0.0,-2501.4383374612275
sim--2142322983.msf.Rep18,Adaptive,0.0,-2501.5675947325017
sim--2142322983.msf.Rep18,Deterministic,0.0,-2498.8605447407317
sim--2142322983.msf.Rep19,Adaptive,0.0,-2500.50052115486
sim--2142322983.msf.Rep19,Deterministic,0.0,-2505.964608135309
