#Method,Adaptive,AdaptiveType,T,IterScale,Repeat,Metric,Value,TreeName,Time
ANNEALING,true,0,5119,100.0,0,ConsensusLogLL,-2421.0508359836276,sim--2142322983.msf,195374
ANNEALING,true,0,5119,100.0,0,BestSampledLogLL,-2428.722297163401,sim--2142322983.msf,195374
ANNEALING,true,0,5119,100.0,0,PartitionMetric,0.0,sim--2142322983.msf,195374
ANNEALING,true,0,5119,100.0,0,RobinsonFouldsMetric,0.8048916381311035,sim--2142322983.msf,195374
ANNEALING,true,0,5119,100.0,0,KuhnerFelsenstein,0.05305544688589514,sim--2142322983.msf,195374
ANNEALING,false,0,5119,100.0,0,ConsensusLogLL,-2424.0229606222733,sim--2142322983.msf,192488
ANNEALING,false,0,5119,100.0,0,BestSampledLogLL,-2429.0123460119466,sim--2142322983.msf,192488
ANNEALING,false,0,5119,100.0,0,PartitionMetric,0.0,sim--2142322983.msf,192488
ANNEALING,false,0,5119,100.0,0,RobinsonFouldsMetric,0.6039613757408258,sim--2142322983.msf,192488
ANNEALING,false,0,5119,100.0,0,KuhnerFelsenstein,0.02379373336305596,sim--2142322983.msf,192488
ANNEALING,true,0,4803,100.0,1,ConsensusLogLL,-2434.5498973148156,sim--2142322983.msf,180060
ANNEALING,true,0,4803,100.0,1,BestSampledLogLL,-2434.8732134492907,sim--2142322983.msf,180060
ANNEALING,true,0,4803,100.0,1,PartitionMetric,2.0,sim--2142322983.msf,180060
ANNEALING,true,0,4803,100.0,1,RobinsonFouldsMetric,1.2254552699751475,sim--2142322983.msf,180060
ANNEALING,true,0,4803,100.0,1,KuhnerFelsenstein,0.08787722891110528,sim--2142322983.msf,180060
ANNEALING,false,0,4803,100.0,1,ConsensusLogLL,-2425.549544348121,sim--2142322983.msf,171190
ANNEALING,false,0,4803,100.0,1,BestSampledLogLL,-2434.531714783757,sim--2142322983.msf,171190
ANNEALING,false,0,4803,100.0,1,PartitionMetric,2.0,sim--2142322983.msf,171190
ANNEALING,false,0,4803,100.0,1,RobinsonFouldsMetric,1.0917214216733166,sim--2142322983.msf,171190
ANNEALING,false,0,4803,100.0,1,KuhnerFelsenstein,0.08802800048669988,sim--2142322983.msf,171190
ANNEALING,true,0,4922,100.0,2,ConsensusLogLL,-2430.580255125379,sim--2142322983.msf,176254
ANNEALING,true,0,4922,100.0,2,BestSampledLogLL,-2431.242716660726,sim--2142322983.msf,176254
ANNEALING,true,0,4922,100.0,2,PartitionMetric,4.0,sim--2142322983.msf,176254
ANNEALING,true,0,4922,100.0,2,RobinsonFouldsMetric,1.124760194076605,sim--2142322983.msf,176254
ANNEALING,true,0,4922,100.0,2,KuhnerFelsenstein,0.10237409489375457,sim--2142322983.msf,176254
ANNEALING,false,0,4922,100.0,2,ConsensusLogLL,-2425.6581552354655,sim--2142322983.msf,174798
ANNEALING,false,0,4922,100.0,2,BestSampledLogLL,-2433.7003785776915,sim--2142322983.msf,174798
ANNEALING,false,0,4922,100.0,2,PartitionMetric,0.0,sim--2142322983.msf,174798
ANNEALING,false,0,4922,100.0,2,RobinsonFouldsMetric,0.7126131726360045,sim--2142322983.msf,174798
ANNEALING,false,0,4922,100.0,2,KuhnerFelsenstein,0.036092412538161894,sim--2142322983.msf,174798
ANNEALING,true,0,5398,100.0,3,ConsensusLogLL,-2422.241541234694,sim--2142322983.msf,195034
ANNEALING,true,0,5398,100.0,3,BestSampledLogLL,-2425.3445746758953,sim--2142322983.msf,195034
ANNEALING,true,0,5398,100.0,3,PartitionMetric,0.0,sim--2142322983.msf,195034
ANNEALING,true,0,5398,100.0,3,RobinsonFouldsMetric,0.8816186894191707,sim--2142322983.msf,195034
ANNEALING,true,0,5398,100.0,3,KuhnerFelsenstein,0.05617010319461993,sim--2142322983.msf,195034
ANNEALING,false,0,5398,100.0,3,ConsensusLogLL,-2435.4272586911484,sim--2142322983.msf,192702
ANNEALING,false,0,5398,100.0,3,BestSampledLogLL,-2435.422290222165,sim--2142322983.msf,192702
ANNEALING,false,0,5398,100.0,3,PartitionMetric,0.0,sim--2142322983.msf,192702
ANNEALING,false,0,5398,100.0,3,RobinsonFouldsMetric,0.8690167902882453,sim--2142322983.msf,192702
ANNEALING,false,0,5398,100.0,3,KuhnerFelsenstein,0.06374212274886044,sim--2142322983.msf,192702
ANNEALING,true,0,3734,100.0,4,ConsensusLogLL,-2431.130663378527,sim--2142322983.msf,135320
ANNEALING,true,0,3734,100.0,4,BestSampledLogLL,-2431.1318290190297,sim--2142322983.msf,135320
ANNEALING,true,0,3734,100.0,4,PartitionMetric,2.0,sim--2142322983.msf,135320
ANNEALING,true,0,3734,100.0,4,RobinsonFouldsMetric,1.0719679380205873,sim--2142322983.msf,135320
ANNEALING,true,0,3734,100.0,4,KuhnerFelsenstein,0.0854262108828641,sim--2142322983.msf,135320
ANNEALING,false,0,3734,100.0,4,ConsensusLogLL,-2437.4558462813834,sim--2142322983.msf,133225
ANNEALING,false,0,3734,100.0,4,BestSampledLogLL,-2437.4600179943445,sim--2142322983.msf,133225
ANNEALING,false,0,3734,100.0,4,PartitionMetric,4.0,sim--2142322983.msf,133225
ANNEALING,false,0,3734,100.0,4,RobinsonFouldsMetric,0.9380358376031689,sim--2142322983.msf,133225
ANNEALING,false,0,3734,100.0,4,KuhnerFelsenstein,0.06310056226243721,sim--2142322983.msf,133225
ANNEALING,true,0,3928,100.0,5,ConsensusLogLL,-2442.4998988263715,sim--2142322983.msf,140862
ANNEALING,true,0,3928,100.0,5,BestSampledLogLL,-2442.4927679474417,sim--2142322983.msf,140862
ANNEALING,true,0,3928,100.0,5,PartitionMetric,4.0,sim--2142322983.msf,140862
ANNEALING,true,0,3928,100.0,5,RobinsonFouldsMetric,1.1182045457175673,sim--2142322983.msf,140862
ANNEALING,true,0,3928,100.0,5,KuhnerFelsenstein,0.1227418923773149,sim--2142322983.msf,140862
ANNEALING,false,0,3928,100.0,5,ConsensusLogLL,-2438.785432663532,sim--2142322983.msf,140414
ANNEALING,false,0,3928,100.0,5,BestSampledLogLL,-2438.7882496308143,sim--2142322983.msf,140414
ANNEALING,false,0,3928,100.0,5,PartitionMetric,4.0,sim--2142322983.msf,140414
ANNEALING,false,0,3928,100.0,5,RobinsonFouldsMetric,1.2330640254062795,sim--2142322983.msf,140414
ANNEALING,false,0,3928,100.0,5,KuhnerFelsenstein,0.10538995831619032,sim--2142322983.msf,140414
ANNEALING,true,0,4564,100.0,6,ConsensusLogLL,-2427.268138430565,sim--2142322983.msf,164276
ANNEALING,true,0,4564,100.0,6,BestSampledLogLL,-2432.424990903785,sim--2142322983.msf,164276
ANNEALING,true,0,4564,100.0,6,PartitionMetric,2.0,sim--2142322983.msf,164276
ANNEALING,true,0,4564,100.0,6,RobinsonFouldsMetric,0.9141666806674398,sim--2142322983.msf,164276
ANNEALING,true,0,4564,100.0,6,KuhnerFelsenstein,0.06344960171386983,sim--2142322983.msf,164276
ANNEALING,false,0,4564,100.0,6,ConsensusLogLL,-2426.0072212934633,sim--2142322983.msf,162308
ANNEALING,false,0,4564,100.0,6,BestSampledLogLL,-2431.346718445304,sim--2142322983.msf,162308
ANNEALING,false,0,4564,100.0,6,PartitionMetric,2.0,sim--2142322983.msf,162308
ANNEALING,false,0,4564,100.0,6,RobinsonFouldsMetric,1.0210550616502636,sim--2142322983.msf,162308
ANNEALING,false,0,4564,100.0,6,KuhnerFelsenstein,0.07507718075433423,sim--2142322983.msf,162308
ANNEALING,true,0,4884,100.0,7,ConsensusLogLL,-2425.0095522474194,sim--2142322983.msf,178938
ANNEALING,true,0,4884,100.0,7,BestSampledLogLL,-2432.144498297191,sim--2142322983.msf,178938
ANNEALING,true,0,4884,100.0,7,PartitionMetric,2.0,sim--2142322983.msf,178938
ANNEALING,true,0,4884,100.0,7,RobinsonFouldsMetric,0.781149618841443,sim--2142322983.msf,178938
ANNEALING,true,0,4884,100.0,7,KuhnerFelsenstein,0.044614262099083195,sim--2142322983.msf,178938
ANNEALING,false,0,4884,100.0,7,ConsensusLogLL,-2429.568165886235,sim--2142322983.msf,173806
ANNEALING,false,0,4884,100.0,7,BestSampledLogLL,-2429.730243250404,sim--2142322983.msf,173806
ANNEALING,false,0,4884,100.0,7,PartitionMetric,2.0,sim--2142322983.msf,173806
ANNEALING,false,0,4884,100.0,7,RobinsonFouldsMetric,1.1800696160875919,sim--2142322983.msf,173806
ANNEALING,false,0,4884,100.0,7,KuhnerFelsenstein,0.1245599132328916,sim--2142322983.msf,173806
ANNEALING,true,0,4500,100.0,8,ConsensusLogLL,-2434.40006463016,sim--2142322983.msf,161444
ANNEALING,true,0,4500,100.0,8,BestSampledLogLL,-2428.1788748252948,sim--2142322983.msf,161444
ANNEALING,true,0,4500,100.0,8,PartitionMetric,2.0,sim--2142322983.msf,161444
ANNEALING,true,0,4500,100.0,8,RobinsonFouldsMetric,1.157664799010771,sim--2142322983.msf,161444
ANNEALING,true,0,4500,100.0,8,KuhnerFelsenstein,0.07156955968902995,sim--2142322983.msf,161444
ANNEALING,false,0,4500,100.0,8,ConsensusLogLL,-2425.5504562921856,sim--2142322983.msf,160729
ANNEALING,false,0,4500,100.0,8,BestSampledLogLL,-2429.0455469612707,sim--2142322983.msf,160729
ANNEALING,false,0,4500,100.0,8,PartitionMetric,2.0,sim--2142322983.msf,160729
ANNEALING,false,0,4500,100.0,8,RobinsonFouldsMetric,0.8257230564053968,sim--2142322983.msf,160729
ANNEALING,false,0,4500,100.0,8,KuhnerFelsenstein,0.043385275339381836,sim--2142322983.msf,160729
ANNEALING,true,0,5087,100.0,9,ConsensusLogLL,-2429.004704542946,sim--2142322983.msf,186902
