"X.Method","Adaptive","AdaptiveType","T","IterScale","Repeat","Metric","Value","TreeName","Time"
"ANNEALING","true",0,12227,1000,0,"ConsensusLogLL",-28044.9543740593,"sim-1121221206.msf",17724458
"ANNEALING","true",0,12227,1000,0,"BestSampledLogLL",-28060.9781646272,"sim-1121221206.msf",17724458
"ANNEALING","true",0,12227,1000,0,"PartitionMetric",0,"sim-1121221206.msf",17724458
"ANNEALING","true",0,12227,1000,0,"RobinsonFouldsMetric",0.357593982942308,"sim-1121221206.msf",17724458
"ANNEALING","true",0,12227,1000,0,"KuhnerFelsenstein",0.00492148127694379,"sim-1121221206.msf",17724458
"ANNEALING","false",0,12227,1000,0,"ConsensusLogLL",-28044.3386563524,"sim-1121221206.msf",18554029
"ANNEALING","false",0,12227,1000,0,"BestSampledLogLL",-28059.5115841571,"sim-1121221206.msf",18554029
"ANNEALING","false",0,12227,1000,0,"PartitionMetric",0,"sim-1121221206.msf",18554029
"ANNEALING","false",0,12227,1000,0,"RobinsonFouldsMetric",0.364207382588739,"sim-1121221206.msf",18554029
"ANNEALING","false",0,12227,1000,0,"KuhnerFelsenstein",0.00445566038044084,"sim-1121221206.msf",18554029
"ANNEALING","true",0,12213,1000,1,"ConsensusLogLL",-28044.0661430244,"sim-1121221206.msf",16276510
"ANNEALING","true",0,12213,1000,1,"BestSampledLogLL",-28063.4837941116,"sim-1121221206.msf",16276510
"ANNEALING","true",0,12213,1000,1,"PartitionMetric",0,"sim-1121221206.msf",16276510
"ANNEALING","true",0,12213,1000,1,"RobinsonFouldsMetric",0.351185659630504,"sim-1121221206.msf",16276510
"ANNEALING","true",0,12213,1000,1,"KuhnerFelsenstein",0.00426956254642402,"sim-1121221206.msf",16276510
"ANNEALING","false",0,12213,1000,1,"ConsensusLogLL",-28044.1763429158,"sim-1121221206.msf",15989669
"ANNEALING","false",0,12213,1000,1,"BestSampledLogLL",-28057.5645470615,"sim-1121221206.msf",15989669
"ANNEALING","false",0,12213,1000,1,"PartitionMetric",0,"sim-1121221206.msf",15989669
"ANNEALING","false",0,12213,1000,1,"RobinsonFouldsMetric",0.356408218812015,"sim-1121221206.msf",15989669
"ANNEALING","false",0,12213,1000,1,"KuhnerFelsenstein",0.00414275159062982,"sim-1121221206.msf",15989669
"ANNEALING","true",0,12175,1000,2,"ConsensusLogLL",-28044.1073717702,"sim-1121221206.msf",25639229
"ANNEALING","true",0,12175,1000,2,"BestSampledLogLL",-28060.7379798407,"sim-1121221206.msf",25639229
"ANNEALING","true",0,12175,1000,2,"PartitionMetric",0,"sim-1121221206.msf",25639229
"ANNEALING","true",0,12175,1000,2,"RobinsonFouldsMetric",0.347222213233055,"sim-1121221206.msf",25639229
