#treeName,Method,NumericalLogZ,logZ
sim-1121221206.msf.Rep0,Adaptive,0.0,-28286.20340812026
sim-1121221206.msf.Rep0,Deterministic,0.0,-28285.537551631976
sim-1121221206.msf.Rep1,Adaptive,0.0,-28286.71444258156
sim-1121221206.msf.Rep1,Deterministic,0.0,-28284.71293117437
sim-1121221206.msf.Rep2,Adaptive,0.0,-28284.029130172883
sim-1121221206.msf.Rep2,Deterministic,0.0,-28287.224544195004
sim-1121221206.msf.Rep3,Adaptive,0.0,-28292.533424726902
sim-1121221206.msf.Rep3,Deterministic,0.0,-28296.47568305243
sim-1121221206.msf.Rep4,Adaptive,0.0,-28282.771426743322
sim-1121221206.msf.Rep4,Deterministic,0.0,-28284.814839535124
sim-1121221206.msf.Rep5,Adaptive,0.0,-28297.1017131229
sim-1121221206.msf.Rep5,Deterministic,0.0,-28284.099775110724
sim-1121221206.msf.Rep6,Adaptive,0.0,-28287.723197081737
sim-1121221206.msf.Rep6,Deterministic,0.0,-28284.90771907543
sim-1121221206.msf.Rep7,Adaptive,0.0,-28291.837609557242
sim-1121221206.msf.Rep7,Deterministic,0.0,-28285.70081348901
sim-1121221206.msf.Rep8,Adaptive,0.0,-28290.31511652691
sim-1121221206.msf.Rep8,Deterministic,0.0,-28287.75023877523
sim-1121221206.msf.Rep9,Adaptive,0.0,-28285.494891791815
sim-1121221206.msf.Rep9,Deterministic,0.0,-28278.44778609189
sim-1121221206.msf.Rep10,Adaptive,0.0,-28292.364869456644
sim-1121221206.msf.Rep10,Deterministic,0.0,-28301.834350990855
sim-1121221206.msf.Rep11,Adaptive,0.0,-28290.01053159715
sim-1121221206.msf.Rep11,Deterministic,0.0,-28286.79964938943
sim-1121221206.msf.Rep12,Adaptive,0.0,-28284.79281899127
sim-1121221206.msf.Rep12,Deterministic,0.0,-28296.631686050012
sim-1121221206.msf.Rep13,Adaptive,0.0,-28285.27415636634
sim-1121221206.msf.Rep13,Deterministic,0.0,-28280.522850326495
sim-1121221206.msf.Rep14,Adaptive,0.0,-28293.297470135178
sim-1121221206.msf.Rep14,Deterministic,0.0,-28292.354906768793
sim-1121221206.msf.Rep15,Adaptive,0.0,-28289.366535404894
sim-1121221206.msf.Rep15,Deterministic,0.0,-28285.553090286976
sim-1121221206.msf.Rep16,Adaptive,0.0,-28286.090014588593
sim-1121221206.msf.Rep16,Deterministic,0.0,-28283.888823394554
sim-1121221206.msf.Rep17,Adaptive,0.0,-28289.94090839281
sim-1121221206.msf.Rep17,Deterministic,0.0,-28284.060571169804
sim-1121221206.msf.Rep18,Adaptive,0.0,-28282.17065321267
sim-1121221206.msf.Rep18,Deterministic,0.0,-28284.02291998569
sim-1121221206.msf.Rep19,Adaptive,0.0,-28298.714081779664
sim-1121221206.msf.Rep19,Deterministic,0.0,-28297.83588804957
