"X.treeName","Method","NumericalLogZ","logZ"
"sim-1121221206.msf.Rep0","Adaptive",0,-28279.3206535104
"sim-1121221206.msf.Rep0","Deterministic",0,-28278.5535308335
"sim-1121221206.msf.Rep0","Adaptive",0,-28278.0129203676
"sim-1121221206.msf.Rep0","Deterministic",0,-28280.3960480374
"sim-1121221206.msf.Rep1","Adaptive",0,-28278.5590323276
"sim-1121221206.msf.Rep1","Deterministic",0,-28282.1756423078
"sim-1121221206.msf.Rep0","Adaptive",0,-28278.7389060245
"sim-1121221206.msf.Rep0","Deterministic",0,-28277.1979383851
"sim-1121221206.msf.Rep1","Adaptive",0,-28278.6319127677
"sim-1121221206.msf.Rep1","Deterministic",0,-28278.002148678
"sim-1121221206.msf.Rep0","Adaptive",0,-28280.1577759424
"sim-1121221206.msf.Rep0","Deterministic",0,-28279.5274742186
"sim-1121221206.msf.Rep0","Adaptive",0,-28277.3392965123
"sim-1121221206.msf.Rep0","Deterministic",0,-28277.2964273562
"sim-1121221206.msf.Rep0","Adaptive",0,-28280.4661567321
"sim-1121221206.msf.Rep0","Deterministic",0,-28276.8244512318
"sim-1121221206.msf.Rep0","Adaptive",0,-28280.441165766
"sim-1121221206.msf.Rep0","Deterministic",0,-28278.5502699
"sim-1121221206.msf.Rep0","Adaptive",0,-28279.3945731868
"sim-1121221206.msf.Rep0","Deterministic",0,-28277.5004282882
"sim-1121221206.msf.Rep0","Adaptive",0,-28279.3420380127
"sim-1121221206.msf.Rep0","Deterministic",0,-28276.738473657
"sim-1121221206.msf.Rep0","Adaptive",0,-28280.3136437084
"sim-1121221206.msf.Rep0","Deterministic",0,-28279.3433586871
