#treeName,Method,NumericalLogZ,logZ
sim-1121221206.msf.Rep0,Adaptive,0.0,-30573.378877283834
sim-1121221206.msf.Rep0,Deterministic,0.0,-30640.345865965115
sim-1121221206.msf.Rep1,Adaptive,0.0,-29901.356001434448
sim-1121221206.msf.Rep1,Deterministic,0.0,-29948.38938629858
sim-1121221206.msf.Rep2,Adaptive,0.0,-31788.29633497371
sim-1121221206.msf.Rep2,Deterministic,0.0,-32518.991688330614
sim-1121221206.msf.Rep3,Adaptive,0.0,-31041.334773065584
sim-1121221206.msf.Rep3,Deterministic,0.0,-31629.888067147825
sim-1121221206.msf.Rep4,Adaptive,0.0,-30033.096149273064
sim-1121221206.msf.Rep4,Deterministic,0.0,-31396.266641209244
sim-1121221206.msf.Rep5,Adaptive,0.0,-30771.059007863238
sim-1121221206.msf.Rep5,Deterministic,0.0,-30185.359667352976
sim-1121221206.msf.Rep6,Adaptive,0.0,-30474.938261105166
sim-1121221206.msf.Rep6,Deterministic,0.0,-30220.192873276774
sim-1121221206.msf.Rep7,Adaptive,0.0,-30161.07137963254
sim-1121221206.msf.Rep7,Deterministic,0.0,-32094.392523525323
sim-1121221206.msf.Rep8,Adaptive,0.0,-31896.098172236903
sim-1121221206.msf.Rep8,Deterministic,0.0,-30084.174408498726
sim-1121221206.msf.Rep9,Adaptive,0.0,-31947.911175503417
sim-1121221206.msf.Rep9,Deterministic,0.0,-30333.20871334191
sim-1121221206.msf.Rep10,Adaptive,0.0,-30892.709492797763
sim-1121221206.msf.Rep10,Deterministic,0.0,-29963.66652186664
sim-1121221206.msf.Rep11,Adaptive,0.0,-32479.655969806663
sim-1121221206.msf.Rep11,Deterministic,0.0,-29717.450669776405
sim-1121221206.msf.Rep12,Adaptive,0.0,-31718.992646331244
sim-1121221206.msf.Rep12,Deterministic,0.0,-30417.36514078301
sim-1121221206.msf.Rep13,Adaptive,0.0,-30411.053217480112
sim-1121221206.msf.Rep13,Deterministic,0.0,-30172.288264726605
sim-1121221206.msf.Rep14,Adaptive,0.0,-30963.466046202564
sim-1121221206.msf.Rep14,Deterministic,0.0,-30509.575508507005
sim-1121221206.msf.Rep15,Adaptive,0.0,-30547.588960285153
sim-1121221206.msf.Rep15,Deterministic,0.0,-29975.773330320568
sim-1121221206.msf.Rep16,Adaptive,0.0,-31440.807858888595
sim-1121221206.msf.Rep16,Deterministic,0.0,-29546.052984686437
sim-1121221206.msf.Rep17,Adaptive,0.0,-30811.686234921322
sim-1121221206.msf.Rep17,Deterministic,0.0,-30718.445477896632
sim-1121221206.msf.Rep18,Adaptive,0.0,-30406.533161491472
sim-1121221206.msf.Rep18,Deterministic,0.0,-31833.907086484745
sim-1121221206.msf.Rep19,Adaptive,0.0,-30175.915436942392
sim-1121221206.msf.Rep19,Deterministic,0.0,-31048.65417896076
sim-1121221206.msf.Rep20,Adaptive,0.0,-30190.81417159164
sim-1121221206.msf.Rep20,Deterministic,0.0,-30795.928716959916
sim-1121221206.msf.Rep21,Adaptive,0.0,-30405.80623876186
sim-1121221206.msf.Rep21,Deterministic,0.0,-29789.48110861759
sim-1121221206.msf.Rep22,Adaptive,0.0,-30204.256565144187
sim-1121221206.msf.Rep22,Deterministic,0.0,-29573.62130902086
sim-1121221206.msf.Rep23,Adaptive,0.0,-31304.685620916633
sim-1121221206.msf.Rep23,Deterministic,0.0,-29982.96880639708
sim-1121221206.msf.Rep24,Adaptive,0.0,-29690.71655181412
sim-1121221206.msf.Rep24,Deterministic,0.0,-30312.880627581202
sim-1121221206.msf.Rep25,Adaptive,0.0,-29643.152788293006
sim-1121221206.msf.Rep25,Deterministic,0.0,-30477.99816759044
sim-1121221206.msf.Rep26,Adaptive,0.0,-29636.68976866496
sim-1121221206.msf.Rep26,Deterministic,0.0,-30367.478486346034
sim-1121221206.msf.Rep27,Adaptive,0.0,-29523.721184087655
sim-1121221206.msf.Rep27,Deterministic,0.0,-30870.91105200997
sim-1121221206.msf.Rep28,Adaptive,0.0,-30692.89025482933
sim-1121221206.msf.Rep28,Deterministic,0.0,-30386.713618747788
sim-1121221206.msf.Rep29,Adaptive,0.0,-30666.223495055656
sim-1121221206.msf.Rep29,Deterministic,0.0,-30957.302002471508
sim-1121221206.msf.Rep30,Adaptive,0.0,-30126.167164413226
sim-1121221206.msf.Rep30,Deterministic,0.0,-29737.774307911222
sim-1121221206.msf.Rep31,Adaptive,0.0,-30380.299464072756
sim-1121221206.msf.Rep31,Deterministic,0.0,-30523.942484902716
sim-1121221206.msf.Rep32,Adaptive,0.0,-31496.57427704665
sim-1121221206.msf.Rep32,Deterministic,0.0,-30885.618781459998
sim-1121221206.msf.Rep33,Adaptive,0.0,-30059.951804029803
sim-1121221206.msf.Rep33,Deterministic,0.0,-30627.877551357964
sim-1121221206.msf.Rep34,Adaptive,0.0,-30582.603127954244
sim-1121221206.msf.Rep34,Deterministic,0.0,-31409.84263611095
sim-1121221206.msf.Rep35,Adaptive,0.0,-30962.351622463895
sim-1121221206.msf.Rep35,Deterministic,0.0,-29722.032709872547
sim-1121221206.msf.Rep36,Adaptive,0.0,-30830.050763996864
sim-1121221206.msf.Rep36,Deterministic,0.0,-31866.879053538825
sim-1121221206.msf.Rep37,Adaptive,0.0,-30592.077320798966
sim-1121221206.msf.Rep37,Deterministic,0.0,-30412.438254266475
sim-1121221206.msf.Rep38,Adaptive,0.0,-29946.113220578634
sim-1121221206.msf.Rep38,Deterministic,0.0,-30819.04785395121
sim-1121221206.msf.Rep39,Adaptive,0.0,-31585.578242875283
sim-1121221206.msf.Rep39,Deterministic,0.0,-30357.434374088272
sim-1121221206.msf.Rep40,Adaptive,0.0,-31053.63303666028
sim-1121221206.msf.Rep40,Deterministic,0.0,-30554.111759523486
sim-1121221206.msf.Rep41,Adaptive,0.0,-30165.73741224644
sim-1121221206.msf.Rep41,Deterministic,0.0,-30987.963263858594
sim-1121221206.msf.Rep42,Adaptive,0.0,-30573.69096323871
sim-1121221206.msf.Rep42,Deterministic,0.0,-31450.687463367176
sim-1121221206.msf.Rep43,Adaptive,0.0,-30421.057156504037
sim-1121221206.msf.Rep43,Deterministic,0.0,-29891.627495930177
sim-1121221206.msf.Rep44,Adaptive,0.0,-31222.492317519587
sim-1121221206.msf.Rep44,Deterministic,0.0,-30665.065106209833
sim-1121221206.msf.Rep45,Adaptive,0.0,-30303.516127165523
sim-1121221206.msf.Rep45,Deterministic,0.0,-29666.30089757653
sim-1121221206.msf.Rep46,Adaptive,0.0,-31669.34736363411
sim-1121221206.msf.Rep46,Deterministic,0.0,-31263.164540692887
sim-1121221206.msf.Rep47,Adaptive,0.0,-30089.308780367715
sim-1121221206.msf.Rep47,Deterministic,0.0,-30006.19108986479
sim-1121221206.msf.Rep48,Adaptive,0.0,-30348.949428663014
sim-1121221206.msf.Rep48,Deterministic,0.0,-30477.40619953743
sim-1121221206.msf.Rep49,Adaptive,0.0,-30083.711286417394
sim-1121221206.msf.Rep49,Deterministic,0.0,-31814.097788630304
sim-1121221206.msf.Rep50,Adaptive,0.0,-31811.719322034136
sim-1121221206.msf.Rep50,Deterministic,0.0,-30158.811167965712
sim-1121221206.msf.Rep51,Adaptive,0.0,-30684.450220098064
sim-1121221206.msf.Rep51,Deterministic,0.0,-30234.42452124692
sim-1121221206.msf.Rep52,Adaptive,0.0,-29928.347865017644
sim-1121221206.msf.Rep52,Deterministic,0.0,-31238.00229926584
sim-1121221206.msf.Rep53,Adaptive,0.0,-30756.81731779532
sim-1121221206.msf.Rep53,Deterministic,0.0,-31709.50673794909
sim-1121221206.msf.Rep54,Adaptive,0.0,-31816.680344881832
sim-1121221206.msf.Rep54,Deterministic,0.0,-30553.041317685398
sim-1121221206.msf.Rep55,Adaptive,0.0,-31961.492470906185
sim-1121221206.msf.Rep55,Deterministic,0.0,-30244.181931128864
sim-1121221206.msf.Rep56,Adaptive,0.0,-30648.775577942437
sim-1121221206.msf.Rep56,Deterministic,0.0,-30453.55389332515
sim-1121221206.msf.Rep57,Adaptive,0.0,-29751.50367571902
sim-1121221206.msf.Rep57,Deterministic,0.0,-29787.34221373468
sim-1121221206.msf.Rep58,Adaptive,0.0,-31737.939248942326
sim-1121221206.msf.Rep58,Deterministic,0.0,-30678.77845179918
sim-1121221206.msf.Rep59,Adaptive,0.0,-29538.11417708235
sim-1121221206.msf.Rep59,Deterministic,0.0,-30902.6605987717
sim-1121221206.msf.Rep60,Adaptive,0.0,-29250.101458113488
sim-1121221206.msf.Rep60,Deterministic,0.0,-31927.09939833687
sim-1121221206.msf.Rep61,Adaptive,0.0,-30847.50745952039
sim-1121221206.msf.Rep61,Deterministic,0.0,-30830.552296545895
sim-1121221206.msf.Rep62,Adaptive,0.0,-30533.037159821546
sim-1121221206.msf.Rep62,Deterministic,0.0,-29646.88072001533
sim-1121221206.msf.Rep63,Adaptive,0.0,-30749.431117112814
sim-1121221206.msf.Rep63,Deterministic,0.0,-30201.453056897877
sim-1121221206.msf.Rep64,Adaptive,0.0,-30360.26382658743
sim-1121221206.msf.Rep64,Deterministic,0.0,-30141.089412338697
sim-1121221206.msf.Rep65,Adaptive,0.0,-31501.85548296984
sim-1121221206.msf.Rep65,Deterministic,0.0,-30976.400839988615
sim-1121221206.msf.Rep66,Adaptive,0.0,-30990.86091051895
sim-1121221206.msf.Rep66,Deterministic,0.0,-29736.025257980396
sim-1121221206.msf.Rep67,Adaptive,0.0,-31803.616866688633
sim-1121221206.msf.Rep67,Deterministic,0.0,-29952.68845957405
sim-1121221206.msf.Rep68,Adaptive,0.0,-31861.439765269824
sim-1121221206.msf.Rep68,Deterministic,0.0,-30194.205169190307
sim-1121221206.msf.Rep69,Adaptive,0.0,-29778.520929933766
sim-1121221206.msf.Rep69,Deterministic,0.0,-31071.451424119743
sim-1121221206.msf.Rep70,Adaptive,0.0,-30240.351617515964
sim-1121221206.msf.Rep70,Deterministic,0.0,-30747.50280484895
sim-1121221206.msf.Rep71,Adaptive,0.0,-29980.231512847145
sim-1121221206.msf.Rep71,Deterministic,0.0,-30846.084627800945
sim-1121221206.msf.Rep72,Adaptive,0.0,-30810.831658593113
sim-1121221206.msf.Rep72,Deterministic,0.0,-30310.94381305319
sim-1121221206.msf.Rep73,Adaptive,0.0,-31602.24605150181
sim-1121221206.msf.Rep73,Deterministic,0.0,-31085.829446397776
sim-1121221206.msf.Rep74,Adaptive,0.0,-31320.17681600245
sim-1121221206.msf.Rep74,Deterministic,0.0,-30584.401086162867
sim-1121221206.msf.Rep75,Adaptive,0.0,-30388.614120775717
sim-1121221206.msf.Rep75,Deterministic,0.0,-30022.231937607496
sim-1121221206.msf.Rep76,Adaptive,0.0,-31695.074940250517
sim-1121221206.msf.Rep76,Deterministic,0.0,-31431.711029551436
sim-1121221206.msf.Rep77,Adaptive,0.0,-31213.003034042795
sim-1121221206.msf.Rep77,Deterministic,0.0,-30097.050285170735
sim-1121221206.msf.Rep78,Adaptive,0.0,-30768.042421970047
sim-1121221206.msf.Rep78,Deterministic,0.0,-30845.362424826926
sim-1121221206.msf.Rep79,Adaptive,0.0,-29490.014552105804
sim-1121221206.msf.Rep79,Deterministic,0.0,-29994.444126915845
sim-1121221206.msf.Rep80,Adaptive,0.0,-31113.762180759808
sim-1121221206.msf.Rep80,Deterministic,0.0,-30894.547046547563
sim-1121221206.msf.Rep81,Adaptive,0.0,-30587.60385307552
sim-1121221206.msf.Rep81,Deterministic,0.0,-30184.232131285386
sim-1121221206.msf.Rep82,Adaptive,0.0,-30528.876928810085
sim-1121221206.msf.Rep82,Deterministic,0.0,-29420.869728774083
sim-1121221206.msf.Rep83,Adaptive,0.0,-29767.849921408586
sim-1121221206.msf.Rep83,Deterministic,0.0,-31611.664374346707
sim-1121221206.msf.Rep84,Adaptive,0.0,-29559.749179219383
sim-1121221206.msf.Rep84,Deterministic,0.0,-30753.03652847687
sim-1121221206.msf.Rep85,Adaptive,0.0,-30206.205705565422
sim-1121221206.msf.Rep85,Deterministic,0.0,-30215.381248233694
sim-1121221206.msf.Rep86,Adaptive,0.0,-31288.67007674409
sim-1121221206.msf.Rep86,Deterministic,0.0,-31711.940524103196
sim-1121221206.msf.Rep87,Adaptive,0.0,-31311.938394225777
sim-1121221206.msf.Rep87,Deterministic,0.0,-32171.09114052344
sim-1121221206.msf.Rep88,Adaptive,0.0,-30987.0533287605
sim-1121221206.msf.Rep88,Deterministic,0.0,-30693.95941547348
sim-1121221206.msf.Rep89,Adaptive,0.0,-31604.68744539114
sim-1121221206.msf.Rep89,Deterministic,0.0,-30601.049928008673
sim-1121221206.msf.Rep90,Adaptive,0.0,-30794.44823741622
sim-1121221206.msf.Rep90,Deterministic,0.0,-30260.05842737508
sim-1121221206.msf.Rep91,Adaptive,0.0,-32420.928322175976
sim-1121221206.msf.Rep91,Deterministic,0.0,-30230.333550266474
sim-1121221206.msf.Rep92,Adaptive,0.0,-30154.123620571074
sim-1121221206.msf.Rep92,Deterministic,0.0,-30239.902979461665
sim-1121221206.msf.Rep93,Adaptive,0.0,-29712.193119138366
sim-1121221206.msf.Rep93,Deterministic,0.0,-32590.249046494617
sim-1121221206.msf.Rep94,Adaptive,0.0,-30543.552375818075
sim-1121221206.msf.Rep94,Deterministic,0.0,-29691.390479915804
sim-1121221206.msf.Rep95,Adaptive,0.0,-30796.064610130725
sim-1121221206.msf.Rep95,Deterministic,0.0,-30095.51266619636
sim-1121221206.msf.Rep96,Adaptive,0.0,-29500.336605389566
sim-1121221206.msf.Rep96,Deterministic,0.0,-31106.084880919232
sim-1121221206.msf.Rep97,Adaptive,0.0,-30990.013788308428
sim-1121221206.msf.Rep97,Deterministic,0.0,-29992.422412228334
sim-1121221206.msf.Rep98,Adaptive,0.0,-29998.534973367892
sim-1121221206.msf.Rep98,Deterministic,0.0,-30367.356200886497
sim-1121221206.msf.Rep99,Adaptive,0.0,-30574.52002157754
sim-1121221206.msf.Rep99,Deterministic,0.0,-30996.011082496345
