#Method,Adaptive,AdaptiveType,T,IterScale,Repeat,Metric,Value,TreeName,Time
ANNEALING,true,0,738,100.0,0,ConsensusLogLL,-28674.158459029146,sim-1121221206.msf,332998
ANNEALING,true,0,738,100.0,0,BestSampledLogLL,-28638.22331442892,sim-1121221206.msf,332998
ANNEALING,true,0,738,100.0,0,PartitionMetric,8.0,sim-1121221206.msf,332998
ANNEALING,true,0,738,100.0,0,RobinsonFouldsMetric,2.2198199705410278,sim-1121221206.msf,332998
ANNEALING,true,0,738,100.0,0,KuhnerFelsenstein,0.18040787858955762,sim-1121221206.msf,332998
ANNEALING,false,0,738,100.0,0,ConsensusLogLL,-29366.333131794687,sim-1121221206.msf,325864
ANNEALING,false,0,738,100.0,0,BestSampledLogLL,-29364.56529575521,sim-1121221206.msf,325864
ANNEALING,false,0,738,100.0,0,PartitionMetric,24.0,sim-1121221206.msf,325864
ANNEALING,false,0,738,100.0,0,RobinsonFouldsMetric,3.7284402148704325,sim-1121221206.msf,325864
ANNEALING,false,0,738,100.0,0,KuhnerFelsenstein,0.8431306721915849,sim-1121221206.msf,325864
ANNEALING,true,0,726,100.0,1,ConsensusLogLL,-28437.61712800454,sim-1121221206.msf,299635
ANNEALING,true,0,726,100.0,1,BestSampledLogLL,-28454.233716401526,sim-1121221206.msf,299635
ANNEALING,true,0,726,100.0,1,PartitionMetric,2.0,sim-1121221206.msf,299635
ANNEALING,true,0,726,100.0,1,RobinsonFouldsMetric,1.7229035226833893,sim-1121221206.msf,299635
ANNEALING,true,0,726,100.0,1,KuhnerFelsenstein,0.1491928616174224,sim-1121221206.msf,299635
ANNEALING,false,0,726,100.0,1,ConsensusLogLL,-28708.635629200973,sim-1121221206.msf,299555
ANNEALING,false,0,726,100.0,1,BestSampledLogLL,-28694.4422847955,sim-1121221206.msf,299555
ANNEALING,false,0,726,100.0,1,PartitionMetric,14.0,sim-1121221206.msf,299555
ANNEALING,false,0,726,100.0,1,RobinsonFouldsMetric,2.6008696089118497,sim-1121221206.msf,299555
ANNEALING,false,0,726,100.0,1,KuhnerFelsenstein,0.3586956976558571,sim-1121221206.msf,299555
ANNEALING,true,0,654,100.0,2,ConsensusLogLL,-30499.852156961257,sim-1121221206.msf,273059
ANNEALING,true,0,654,100.0,2,BestSampledLogLL,-30515.31014917296,sim-1121221206.msf,273059
ANNEALING,true,0,654,100.0,2,PartitionMetric,26.0,sim-1121221206.msf,273059
ANNEALING,true,0,654,100.0,2,RobinsonFouldsMetric,6.597328148004682,sim-1121221206.msf,273059
ANNEALING,true,0,654,100.0,2,KuhnerFelsenstein,3.2215129135654785,sim-1121221206.msf,273059
ANNEALING,false,0,654,100.0,2,ConsensusLogLL,-30603.32220785926,sim-1121221206.msf,278462
ANNEALING,false,0,654,100.0,2,BestSampledLogLL,-30579.57541438046,sim-1121221206.msf,278462
ANNEALING,false,0,654,100.0,2,PartitionMetric,24.0,sim-1121221206.msf,278462
ANNEALING,false,0,654,100.0,2,RobinsonFouldsMetric,5.726680813440577,sim-1121221206.msf,278462
ANNEALING,false,0,654,100.0,2,KuhnerFelsenstein,2.538621269084506,sim-1121221206.msf,278462
ANNEALING,true,0,765,100.0,3,ConsensusLogLL,-29158.048212266833,sim-1121221206.msf,340819
ANNEALING,true,0,765,100.0,3,BestSampledLogLL,-29136.207302897354,sim-1121221206.msf,340819
ANNEALING,true,0,765,100.0,3,PartitionMetric,18.0,sim-1121221206.msf,340819
ANNEALING,true,0,765,100.0,3,RobinsonFouldsMetric,2.498445919357115,sim-1121221206.msf,340819
ANNEALING,true,0,765,100.0,3,KuhnerFelsenstein,0.30615793805089264,sim-1121221206.msf,340819
ANNEALING,false,0,765,100.0,3,ConsensusLogLL,-30273.61658983776,sim-1121221206.msf,360777
ANNEALING,false,0,765,100.0,3,BestSampledLogLL,-30253.19679339543,sim-1121221206.msf,360777
ANNEALING,false,0,765,100.0,3,PartitionMetric,22.0,sim-1121221206.msf,360777
ANNEALING,false,0,765,100.0,3,RobinsonFouldsMetric,5.866191190338067,sim-1121221206.msf,360777
ANNEALING,false,0,765,100.0,3,KuhnerFelsenstein,2.634450290098219,sim-1121221206.msf,360777
ANNEALING,true,0,640,100.0,4,ConsensusLogLL,-28896.627680965335,sim-1121221206.msf,301166
ANNEALING,true,0,640,100.0,4,BestSampledLogLL,-28880.400612239355,sim-1121221206.msf,301166
ANNEALING,true,0,640,100.0,4,PartitionMetric,18.0,sim-1121221206.msf,301166
ANNEALING,true,0,640,100.0,4,RobinsonFouldsMetric,3.2084911857306473,sim-1121221206.msf,301166
ANNEALING,true,0,640,100.0,4,KuhnerFelsenstein,0.5620155508067151,sim-1121221206.msf,301166
ANNEALING,false,0,640,100.0,4,ConsensusLogLL,-30150.84240743446,sim-1121221206.msf,301868
ANNEALING,false,0,640,100.0,4,BestSampledLogLL,-30160.151393251836,sim-1121221206.msf,301868
ANNEALING,false,0,640,100.0,4,PartitionMetric,16.0,sim-1121221206.msf,301868
ANNEALING,false,0,640,100.0,4,RobinsonFouldsMetric,5.083428657934039,sim-1121221206.msf,301868
ANNEALING,false,0,640,100.0,4,KuhnerFelsenstein,2.4491473847511096,sim-1121221206.msf,301868
ANNEALING,true,0,630,100.0,5,ConsensusLogLL,-29685.61760678701,sim-1121221206.msf,297075
ANNEALING,true,0,630,100.0,5,BestSampledLogLL,-29685.406562575692,sim-1121221206.msf,297075
ANNEALING,true,0,630,100.0,5,PartitionMetric,14.0,sim-1121221206.msf,297075
