#t,ESS,tempDiff,temp
0,100.00000000000006,0.0,0.0
1,99.03062795952272,5.35697207266419E-5,5.35697207266419E-5
2,95.94776721046658,5.5475525862850226E-5,1.0904524658949212E-4
3,90.78517370828665,5.6775976425642114E-5,1.6582122301513424E-4
4,83.82524406409229,5.783172112317431E-5,2.2365294413830857E-4
5,75.21793399573498,6.095261003253476E-5,2.8460555417084333E-4
6,65.37169148930876,6.315197827771515E-5,3.4775753244855847E-4
7,55.95133441082965,6.264405871333154E-5,4.1040159116189E-4
8,47.2591767906431,6.258572916029635E-5,4.729873203221864E-4
9,98.77081585938535,6.332307865666808E-5,5.363103989788544E-4
10,95.35531426225994,6.335133285636667E-5,5.996617318352211E-4
11,90.05609605610677,6.574746567679849E-5,6.654091975120196E-4
12,83.47054632024413,6.814522542269564E-5,7.335544229347152E-4
13,76.19345465701028,7.224780242105335E-5,8.058022253557685E-4
14,68.97272248603238,7.314661827448592E-5,8.789488436302545E-4
15,62.11085872362424,7.490130449482902E-5,9.538501481250835E-4
16,56.195702555851504,7.592913996585465E-5,0.0010297792880909382
17,51.03553726008742,7.531426802790702E-5,0.0011050935561188453
18,46.561813557077244,7.507539206410214E-5,0.0011801689481829474
19,99.19543459953799,7.515224679423292E-5,0.0012553211949771802
20,96.97344194941698,7.622741509847946E-5,0.0013315486100756598
21,93.41012754481669,8.245805324786342E-5,0.0014140066633235233
22,88.66190464773054,8.452955130696167E-5,0.001498536214630485
23,82.2798555575719,9.165954900634005E-5,0.001590195763636825
24,74.97959631802672,9.827448161719774E-5,0.0016884702452540227
25,66.92836578393266,1.0600151411684795E-4,0.0017944717593708706
26,57.198485817592164,1.150021440915126E-4,0.001909473903462383
27,47.568793202927736,1.2089546648714243E-4,0.0020303693699495256
28,98.03823745327196,1.2610867161980737E-4,0.002156478041569333
29,92.57045596100652,1.3117276881367804E-4,0.002287650810383011
30,84.20882205439771,1.374000373636736E-4,0.0024250508477466847
31,74.57137900026903,1.3769248625962523E-4,0.0025627433340063097
32,64.55237053084751,1.4289532616034584E-4,0.0027056386601666555
33,54.10877934295794,1.5308272526902764E-4,0.002858721385435683
34,44.66479761954649,1.560378932744499E-4,0.003014759278710133
35,98.23649944022496,1.5440092795301026E-4,0.0031691602066631435
36,93.0117448560623,1.5308485268274825E-4,0.0033222450593458916
37,84.57217264539854,1.581298979742838E-4,0.0034803749573201754
38,74.33606230332805,1.5600047339474522E-4,0.0036363754307149206
39,63.24769970255018,1.5518075050424473E-4,0.0037915561812191653
40,52.2029844731355,1.5067490486032507E-4,0.00394223108607949
41,40.97129360690072,1.4337732330469362E-4,0.004085608409384184
42,98.14281596423452,1.4853566219792398E-4,0.004234144071582108
43,92.48051465030323,1.4583790601548142E-4,0.0043799819775975895
44,82.71629426520799,1.4962347929332623E-4,0.004529605456890916
45,69.85654057983963,1.49911039289363E-4,0.004679516496180279
46,55.1441892032403,1.5223229548508234E-4,0.004831748791665361
47,41.098796408816234,1.5775290565764387E-4,0.004989501697323005
48,97.18711176332884,1.589143877809228E-4,0.005148416085103928
49,89.3594756878936,1.615687651472009E-4,0.005309984850251128
50,77.89304185627135,1.6509176337832732E-4,0.005475076613629456
51,65.04586752465167,1.720126523464681E-4,0.0056470892659759245
52,53.3605028399768,1.77155905508327E-4,0.005824245171484252
53,45.44505531702346,1.4585929849887023E-4,0.005970104469983122
54,98.52727107526336,1.436977702913624E-4,0.006113802240274485
55,94.78602113306962,1.4360652558722498E-4,0.00625740876586171
56,89.88851100515646,1.410506004631428E-4,0.006398459366324853
57,84.3985651045842,1.4176073059198537E-4,0.0065402200969168385
58,78.87840724456647,1.4050870723565466E-4,0.006680728804152493
59,73.76384122129342,1.329858736687534E-4,0.006813714677821246
60,69.01917518248182,1.2906453729304339E-4,0.00694277921511429
61,64.47685952263839,1.3015364244568577E-4,0.007072932857559976
62,59.63347187596903,1.4008412484786388E-4,0.00721301698240784
63,54.75426712818027,1.391114156542669E-4,0.007352128398062107
64,49.43275390080562,1.3912890930104332E-4,0.00749125730736315
65,99.19702841664396,1.374369401217324E-4,0.0076286942474848825
66,96.72790949324771,1.393090800175228E-4,0.007768003327502405
67,92.32851089691945,1.417385732584417E-4,0.007909741900760848
68,85.89585089750703,1.4584055286615547E-4,0.008055582453627003
69,77.78620629593279,1.4930582275942764E-4,0.00820488827638643
70,68.94404303453628,1.516987635868155E-4,0.008356587039973246
71,60.177772625408274,1.491368220296734E-4,0.008505723862002918
72,51.569049077788236,1.5468629398658238E-4,0.008660410155989501
73,43.495621473698364,1.6044643302933758E-4,0.008820856589018839
74,98.53717328411979,1.64620086450194E-4,0.008985476675469032
75,94.43093301781153,1.649888347177336E-4,0.009150465510186766
76,88.03273226282771,1.742682939183313E-4,0.009324733804105097
77,80.25250006547249,1.8222996361907793E-4,0.009506963767724174
78,71.77676415251955,1.9634672579517794E-4,0.009703310493519352
79,63.365488892850934,2.1099989598374368E-4,0.009914310389503096
80,55.521679107141516,2.2900463407043276E-4,0.010143315023573529
81,48.77775271626087,2.3454710316984118E-4,0.010377862126743369
82,99.03450502164148,1.848617472449293E-4,0.010562723873988298
83,96.57507432529317,1.9558394388015515E-4,0.010758307817868453
84,93.1790886751525,2.0233888728053609E-4,0.010960646705148989
85,89.17767195713898,2.1190073154231249E-4,0.0111725474366913
86,84.77670020154443,2.163204574221389E-4,0.01138886789411344
87,80.19206217259807,2.1995995685253477E-4,0.011608827850965975
88,75.04862361730439,2.236305128338462E-4,0.01183245836379982
89,69.21907764896608,2.296656418450859E-4,0.012062124005644907
90,62.11378739985856,2.479682194720485E-4,0.012310092225116955
91,52.932911667471494,2.632828001438741E-4,0.01257337502526083
92,42.326982452856605,2.7656812089583125E-4,0.01284994314615666
93,97.73580537513615,2.804898607804498E-4,0.013130433006937111
94,91.61753262192401,2.5557977467751775E-4,0.013386012781614628
95,81.9202415991205,2.6263057900027836E-4,0.013648643360614906
96,70.65871893611784,2.5861678522301647E-4,0.013907260145837923
97,59.648289144140236,2.4912280386279843E-4,0.014156382949700721
98,49.57731910574599,2.479327795382039E-4,0.014404315729238925
99,98.00768521693034,2.443998508207644E-4,0.01464871558005969
100,93.02524515533379,2.4166160784619555E-4,0.014890377187905885
101,86.14321288246934,2.6196753778270915E-4,0.015152344725688594
102,79.01637029673417,2.552523823891118E-4,0.015407597108077705
103,72.35840289026567,2.55317370552137E-4,0.01566291447862984
104,66.39647454244998,2.480797599773462E-4,0.015910994238607187
105,61.21654190867039,2.4244989670638248E-4,0.01615344413531357
106,56.57297901380375,2.4091465227136851E-4,0.016394358787584936
107,52.33408536559095,2.4262641808313508E-4,0.016636985205668073
108,48.61325546235405,2.3523150854656778E-4,0.01687221671421464
109,99.41476143490668,2.3295632574060355E-4,0.017105173039955245
110,97.71475746539903,2.5052534897621677E-4,0.017355698388931463
111,95.15435879913468,2.5610383708752564E-4,0.017611802226018988
112,91.74702039445485,2.6420072764986194E-4,0.01787600295366885
113,87.35296723127628,2.787621259180973E-4,0.018154765079586948
114,81.50248730417267,2.941127951895174E-4,0.018448877874776465
115,74.2103392916212,3.0615048592152317E-4,0.01875502836069799
116,65.22276159948211,3.312543953714821E-4,0.01908628275606947
117,55.218954367360546,3.3759035989784734E-4,0.019423873115967317
118,44.929826308098036,3.5260466092253574E-4,0.01977647777688985
119,97.53048658859078,3.6077789836037774E-4,0.02013725567525023
120,89.74540081697727,3.784269293148881E-4,0.020515682604565117
121,78.53315624207623,3.8183878944709527E-4,0.020897521394012214
122,66.63294437552413,3.738830227318852E-4,0.021271404416744098
123,56.28402614450906,3.4951955323646235E-4,0.02162092396998056
124,47.38523311531198,3.4391492622750313E-4,0.021964838896208063
125,97.68234084022112,3.4289672687626944E-4,0.022307735623084333
126,92.38325053782536,3.300098609528875E-4,0.02263774548403722
127,85.2803630873637,3.3626050888493415E-4,0.022974005992922156
128,77.28136889113189,3.365748217127344E-4,0.02331058081463489
129,68.82732317990221,3.3635147640819174E-4,0.023646932291043084
130,59.479857154096855,3.452575125822734E-4,0.023992189803625358
131,50.99273625148113,3.083353564006406E-4,0.024300525160026
132,43.13036748764203,2.873193222987558E-4,0.024587844482324754
133,98.84271141784399,2.807522770646431E-4,0.0248685967593894
134,95.67101588118938,2.7491177934984066E-4,0.02514350853873924
135,90.20304928889432,2.684144964803901E-4,0.02541192303521963
136,82.614885086184,2.7121604307222126E-4,0.02568313907829185
137,73.27981241086798,2.6807749556298656E-4,0.025951216573854834
138,63.031933693132096,2.6960696162959044E-4,0.026220823535484425
139,53.2545001923675,2.5904033381884105E-4,0.026479863869303268
140,44.32305263784737,2.5725617384629774E-4,0.026737120043149567
141,98.78177832468037,2.348410585651147E-4,0.02697196110171468
142,95.12002430729082,2.3855057969242703E-4,0.027210511681407108
143,89.28782573784858,2.4226104006122245E-4,0.02745277272146833
144,81.96582459655886,2.4071614312560772E-4,0.027693488864593937
145,73.62048515243423,2.4656895293074935E-4,0.027940057817524688
146,64.80591205076308,2.4908327765616015E-4,0.028189141095180847
147,56.378495651535175,2.505878188380846E-4,0.02843972891401893
148,48.82427329655408,2.498207744678278E-4,0.02868954968848676
149,98.99070250196596,2.421113597607196E-4,0.02893166104824748
150,96.26442335439059,2.4768044187054006E-4,0.02917934149011802
151,91.9078264910615,2.695845700968926E-4,0.029448926060214913
152,86.54765404869089,2.7207826414510155E-4,0.029721004324360013
153,80.66592807238975,2.798181671052665E-4,0.03000082249146528
154,74.62564356304705,2.8342002425169353E-4,0.030284242515716975
155,68.6613008193155,2.859904755557867E-4,0.03057023299127276
156,62.84177894540351,2.88904632791043E-4,0.030859137624063802
157,57.31209500142245,2.86464232836105E-4,0.031145601856899907
158,52.23502976456469,2.818164153436765E-4,0.03142741827224358
159,47.348945184002204,2.8187890519978205E-4,0.03170929717744336
160,99.2419915835568,2.921628171207302E-4,0.032001459994564094
161,96.93949573107798,3.3230275786291124E-4,0.032333762752427005
162,93.42704673153543,3.4174121864237494E-4,0.03267550397106938
163,88.92482048748238,3.5959824697858676E-4,0.033035102218047965
164,83.6877971671732,3.6946981424628426E-4,0.03340457203229425
165,78.00996438700071,3.753479118236442E-4,0.033779919944117894
166,71.94270397285538,3.9705684060143494E-4,0.03417697678471933
167,65.40077145496855,4.1715639743697164E-4,0.0345941331821563
168,58.499229248489456,4.393585482055353E-4,0.03503349173036184
169,51.731078914971455,4.6000111730335234E-4,0.03549349284766519
170,45.69534616630458,4.599717144541476E-4,0.035953464562119335
171,98.92483692048938,4.751774159704318E-4,0.03642864197808977
172,96.34199837443741,4.257575001713669E-4,0.036854399478261135
173,93.2623292715553,3.6314268800201636E-4,0.03721754216626315
174,89.63149521926336,3.459776813624874E-4,0.03756351984762563
175,85.7861041836224,3.250807054744483E-4,0.03788860055310008
176,81.79581711845523,3.1050622212866507E-4,0.038199106775228746
177,77.76423547770251,2.946929982290803E-4,0.03849379977345783
178,73.82355134466822,2.8299681328838085E-4,0.03877679658674621
179,69.97716337020131,2.7325643711547656E-4,0.039050053023861685
180,66.23122632221921,2.673681604313134E-4,0.039317421184292996
181,62.5563757397358,2.6224274941054814E-4,0.039579663933703546
182,58.92792160268511,2.592293667125324E-4,0.03983889330041608
183,55.58513679792051,2.520207369430929E-4,0.04009091403735918
184,52.464498260398955,2.4872935039122775E-4,0.0403396433877504
185,48.767668670239374,2.52970699958639E-4,0.04059261408770904
186,99.67952635767747,2.5148865690169327E-4,0.040844102744610734
187,98.70595135342602,2.593734612760839E-4,0.04110347620588682
188,97.0306792147029,2.686955912136998E-4,0.041372171797100524
189,94.688550817524,2.8025368971728865E-4,0.041652425486817815
190,91.73462094127632,2.826396877562626E-4,0.04193506517457408
191,87.93058383665965,3.0188573381428993E-4,0.04223695090838837
192,83.42607598363819,3.137830811016791E-4,0.042550733989490046
193,78.37121778703141,3.316032306048573E-4,0.0428823372200949
194,72.44299868596698,3.496258762271617E-4,0.04323196309632206
195,65.75900684017064,3.6265551081241106E-4,0.04359461860713447
196,59.08337827481271,3.4735529587628645E-4,0.04394197390301076
197,51.92785525723349,3.5436340400732733E-4,0.04429633730701808
198,44.54298418788999,3.595802345407458E-4,0.04465591754155883
199,98.91109581273636,3.677286329720956E-4,0.045023646174530925
200,95.51461469612693,3.679546519313834E-4,0.045391600826462306
201,89.52104113368104,3.8547695642261113E-4,0.045777077782884916
202,81.39611537663328,3.9412894687105177E-4,0.04617120672975597
203,72.02351750867025,3.9739127899787393E-4,0.04656859800875385
204,62.55209771574757,3.9482843320819903E-4,0.046963426441962046
205,53.713429898082445,3.9796656254832946E-4,0.04736139300451037
206,45.884549919786366,4.038131454460532E-4,0.04776520614995643
207,98.70408114619906,4.0993437445417495E-4,0.0481751405244106
208,94.96709171333787,4.217723307933205E-4,0.04859691285520392
209,89.36207657235659,4.3960146113173135E-4,0.049036514316335655
210,82.81838542408447,4.5358499278658974E-4,0.049490099309122244
211,76.9492000277939,4.112434543721633E-4,0.04990134276349441
212,71.22889395597966,4.262905716089108E-4,0.05032763333510332
213,66.16471226044456,4.441542913943142E-4,0.05077178762649763
214,61.60704346110423,4.633987450024304E-4,0.05123518637150006
215,57.460280131822586,4.809484855817179E-4,0.05171613485708178
216,53.868623915826234,4.971861881565488E-4,0.05221332104523833
217,50.81866516949453,5.018880821913655E-4,0.05271520912742969
218,48.10832061919925,5.193884871940226E-4,0.053234597614623715
219,99.60205725795257,5.335506498694914E-4,0.05376814826449321
220,98.50696791978795,5.620228779921687E-4,0.054330171142485374
221,96.8506726696857,5.832430158955115E-4,0.054913414158380885
222,94.30994776902733,7.070262421869856E-4,0.05562044040056787
223,91.30250579284053,7.100021562950057E-4,0.05633044255686288
224,87.84855103602784,6.970041833621998E-4,0.05702744674022508
225,84.1251025796291,6.935609844511229E-4,0.0577210077246762
226,79.86922941768115,6.849424316376553E-4,0.058405950156313856
227,75.09596354587937,6.788523896641579E-4,0.05908480254597801
228,70.13334485031784,6.759319152643354E-4,0.059760734461242346
229,64.88789552108024,6.845241411027593E-4,0.060445258602345106
230,59.38488703598611,6.948007704768386E-4,0.061140059372821944
231,54.549705592534096,6.201328128681074E-4,0.06176019218569005
232,49.99112975282489,6.067290250480686E-4,0.06236692121073812
233,99.37840952584243,6.06700065243429E-4,0.06297362127598155
234,97.54708697094166,5.993043075463952E-4,0.06357292558352795
235,94.45360439769502,6.000004887697745E-4,0.06417292607229773
236,90.04226231317321,6.058619319875865E-4,0.06477878800428531
237,84.23470973878493,6.110185018347896E-4,0.0653898065061201
238,77.35179356729738,6.175324714884292E-4,0.06600733897760853
239,69.62148189656756,6.275223784115932E-4,0.06663486135602013
240,62.007268031152705,5.904159985621922E-4,0.06722527735458232
241,53.73205790684839,6.15712659628947E-4,0.06784099001421127
242,45.38693054189742,6.363395123192406E-4,0.06847732952653052
243,98.82346873347248,6.533984978788097E-4,0.06913072802440932
244,95.10060484426377,6.91259134208817E-4,0.06982198715861813
245,88.73335978460007,7.149731053505057E-4,0.07053696026396863
246,79.94758912655922,7.620125689308172E-4,0.07129897283289945
247,69.96798563104883,7.79766693070374E-4,0.07207873952596983
248,60.328610970660655,7.609477814000262E-4,0.07283968730736985
249,50.87632833843692,8.072688028721037E-4,0.07364695611024195
250,42.34571128597513,8.327789621976592E-4,0.07447973507243962
251,97.98161695191565,8.362360189086136E-4,0.07531597109134823
252,93.05316709852643,8.017365296883137E-4,0.07611770762103655
253,86.59444698053414,7.887950773407364E-4,0.07690650269837729
254,79.5896680454822,7.726611568639266E-4,0.07767916385524122
255,72.90886239058717,7.287355540275706E-4,0.07840789940926879
256,66.70906837388196,6.835647048727941E-4,0.07909146411414159
257,60.58088872558781,6.600715981736655E-4,0.07975153571231525
258,54.45941019682645,6.450267281351729E-4,0.08039656244045042
259,48.564080139227045,6.246403937548281E-4,0.08102120283420525
260,99.14765182074287,6.109254135326271E-4,0.08163212824773787
261,96.84358004078204,5.944509858076518E-4,0.08222657923354552
262,93.34580922126341,5.93738897898539E-4,0.08282031813144407
263,88.86127205268302,5.873255804385933E-4,0.08340764371188267
264,83.40613684667488,5.903763301854163E-4,0.08399802004206808
265,77.42448984348037,5.808428302185035E-4,0.08457886287228658
266,71.18215769784534,5.73832442790415E-4,0.08515269531507699
267,64.77317331992337,5.892985028183144E-4,0.08574199381789531
268,58.62593363665428,5.901376381987583E-4,0.08633213145609407
269,52.92112644393576,5.862736836468286E-4,0.0869184051397409
270,47.52565388008608,6.018502967062538E-4,0.08752025543644716
271,99.36045708496937,6.059845688967976E-4,0.08812624000534396
272,97.47368969158839,6.249762665243791E-4,0.08875121627186834
273,94.39755277169238,6.462791420678429E-4,0.08939749541393618
274,90.25260177948707,6.57684158867957E-4,0.09005517957280414
275,85.23011844060075,6.866936113240176E-4,0.09074187318412816
276,79.49480750643373,7.223165880898359E-4,0.091464189772218
277,73.10785140659362,7.521022507844061E-4,0.09221629202300241
278,66.0063072520254,7.914364280875317E-4,0.09300772845108994
279,58.82545644470226,8.179092978181263E-4,0.09382563774890806
280,51.831043379705406,8.633356852516814E-4,0.09468897343415975
281,45.666045613481,8.577024239524782E-4,0.09554667585811222
282,98.76700455441537,8.69718367342549E-4,0.09641639422545477
283,95.35704850195214,8.820639534383832E-4,0.09729845817889315
284,90.51038856433398,8.361159000335256E-4,0.09813457407892669
285,84.75716643736686,8.309552100285988E-4,0.09896552928895529
286,78.44031287321366,8.219399283017421E-4,0.09978746921725704
287,72.19702565450108,7.997550687048713E-4,0.10058722428596191
288,66.58627867506485,7.246203743340763E-4,0.10131184466029598
289,61.075795589522464,7.191917130532991E-4,0.10203103637334929
290,55.29284237635813,7.727129822265957E-4,0.10280374935557589
291,49.61033381411028,7.785530456050568E-4,0.10358230240118095
292,98.98121518055461,7.796168784275795E-4,0.10436191927960853
293,96.14065173229186,7.864644201735811E-4,0.1051483836997821
294,91.97746126749628,7.570813432363476E-4,0.10590546504301845
295,86.90351386838192,7.507305363585807E-4,0.10665619557937704
296,81.20124382770756,7.46778326825741E-4,0.10740297390620278
297,75.30488989917274,7.267198812472904E-4,0.10812969378745006
298,69.27952372653304,7.228134873290775E-4,0.10885250727477915
299,63.206480219568924,7.413187204593996E-4,0.10959382599523855
300,57.14424298260375,7.805455125979952E-4,0.11037437150783655
301,51.48376888776098,7.870303897567454E-4,0.1111614018975933
302,46.29872124201644,7.954033987809544E-4,0.11195680529637425
303,99.3595721112797,8.135912959991488E-4,0.1127703965923734
304,97.56368999402684,8.143224477497218E-4,0.11358471904012311
305,94.6514719505974,8.564883701205424E-4,0.11444120741024366
306,90.9408807224999,8.652574633679337E-4,0.1153064648736116
307,86.5029567128754,8.827531004396949E-4,0.1161892179740513
308,81.66734410948641,8.57585126972922E-4,0.11704680310102422
309,76.45090773366167,9.012598443419287E-4,0.11794806294536615
310,70.49601991336608,0.0010122165923977721,0.11896027953776392
311,64.59362940367281,0.0010129423511735292,0.11997322188893744
312,58.69004802801234,0.0010418060525424825,0.12101502794147992
313,53.18839181300025,0.0010561358113844747,0.12207116375286439
314,48.29586581735753,0.0010328759292069732,0.12310403968207137
315,98.92918452908899,0.0010561502220992113,0.12416018990417058
316,95.91705158759608,9.957023617688738E-4,0.12515589226593946
317,91.12977202418823,9.586781341998985E-4,0.12611457040013935
318,84.77280857062362,9.616076109647866E-4,0.12707617801110413
319,76.29257455391269,0.0010667894517890214,0.12814296746289316
320,67.03386228488152,0.0010604770619344406,0.1292034445248276
321,57.913077105075935,0.0010520229311047895,0.1302554674559324
322,49.54075635861901,0.0010412267214782124,0.1312966941774106
323,98.88285240130203,0.0010291862678382879,0.1323258804452489
324,95.75237942919836,0.0010213131553307422,0.13334719360057964
325,91.2226266021333,0.0010041626260009267,0.13435135622658056
326,85.90761532558955,9.875896687316628E-4,0.13533894589531223
327,80.37264638771575,9.545729751397454E-4,0.13629351887045196
328,75.00750407269972,8.995674628036436E-4,0.1371930863332556
329,69.62078091496093,8.978253523983519E-4,0.13809091168565396
330,64.23739730198754,9.301180749754657E-4,0.13902102976062944
331,58.90771401143423,9.492808377637207E-4,0.13997031059839316
332,53.711337419600156,9.607090782022076E-4,0.14093101967659535
333,48.55955125144062,9.698532703460747E-4,0.14190087294694143
334,98.9402841020771,9.872040483047406E-4,0.14288807699524617
335,95.92571926185151,0.001020949227670554,0.1439090262229167
336,91.04036381559838,0.001059762658694726,0.14496878888161144
337,85.00113810170745,0.0010374554240336457,0.14600624430564507
338,78.01261114937996,0.0010607067736400203,0.14706695107928508
339,70.24848284539513,0.0011062480576387208,0.1481731991369238
340,62.71241402494205,0.0010382538812682856,0.1492114530181921
341,56.584154046628,9.014440064368514E-4,0.15011289702462896
342,51.067964737664106,8.740409852115369E-4,0.1509869380098405
343,46.365425457884264,8.371528440432538E-4,0.15182409085388376
