#treeName,Method,NumericalLogZ,logZ
sim-1121221206.msf.Rep0,Adaptive,0.0,-28528.426288733088
sim-1121221206.msf.Rep0,Deterministic,0.0,-28523.13311366843
sim-1121221206.msf.Rep1,Adaptive,0.0,-28559.7466529567
sim-1121221206.msf.Rep1,Deterministic,0.0,-28497.700428962606
sim-1121221206.msf.Rep2,Adaptive,0.0,-28576.025772222987
sim-1121221206.msf.Rep2,Deterministic,0.0,-28507.566730751558
sim-1121221206.msf.Rep3,Adaptive,0.0,-28654.22314242287
sim-1121221206.msf.Rep3,Deterministic,0.0,-28481.03146613646
sim-1121221206.msf.Rep4,Adaptive,0.0,-28481.870102162848
sim-1121221206.msf.Rep4,Deterministic,0.0,-28546.689138628306
sim-1121221206.msf.Rep5,Adaptive,0.0,-28468.055299324504
sim-1121221206.msf.Rep5,Deterministic,0.0,-28469.996500791956
sim-1121221206.msf.Rep6,Adaptive,0.0,-28489.661588929568
sim-1121221206.msf.Rep6,Deterministic,0.0,-28469.310186901395
sim-1121221206.msf.Rep7,Adaptive,0.0,-28505.656703527304
sim-1121221206.msf.Rep7,Deterministic,0.0,-28557.055541966743
sim-1121221206.msf.Rep8,Adaptive,0.0,-28521.096307535812
sim-1121221206.msf.Rep8,Deterministic,0.0,-28547.21220002056
sim-1121221206.msf.Rep9,Adaptive,0.0,-28500.241790052194
sim-1121221206.msf.Rep9,Deterministic,0.0,-28564.66052545206
sim-1121221206.msf.Rep10,Adaptive,0.0,-28507.741191728273
sim-1121221206.msf.Rep10,Deterministic,0.0,-28575.26723617371
sim-1121221206.msf.Rep11,Adaptive,0.0,-28449.512958365038
sim-1121221206.msf.Rep11,Deterministic,0.0,-28619.29885239103
sim-1121221206.msf.Rep12,Adaptive,0.0,-28549.4446770136
sim-1121221206.msf.Rep12,Deterministic,0.0,-28525.527171911417
sim-1121221206.msf.Rep13,Adaptive,0.0,-28486.779903324845
sim-1121221206.msf.Rep13,Deterministic,0.0,-28571.178067321274
sim-1121221206.msf.Rep14,Adaptive,0.0,-28448.15568524052
sim-1121221206.msf.Rep14,Deterministic,0.0,-28504.54888908154
sim-1121221206.msf.Rep15,Adaptive,0.0,-28648.69168803893
sim-1121221206.msf.Rep15,Deterministic,0.0,-28483.19874365168
sim-1121221206.msf.Rep16,Adaptive,0.0,-28640.10620833578
sim-1121221206.msf.Rep16,Deterministic,0.0,-28554.584432700067
sim-1121221206.msf.Rep17,Adaptive,0.0,-28575.63185670907
sim-1121221206.msf.Rep17,Deterministic,0.0,-28455.48411326914
sim-1121221206.msf.Rep18,Adaptive,0.0,-28574.9883448154
sim-1121221206.msf.Rep18,Deterministic,0.0,-28472.892308785948
sim-1121221206.msf.Rep19,Adaptive,0.0,-28535.49643801884
sim-1121221206.msf.Rep19,Deterministic,0.0,-28696.647987190587
