"X.treeName","Method","NumericalLogZ","logZ"
"sim-1121221206.msf.Rep0","Adaptive",0,-28278.8781689046
"sim-1121221206.msf.Rep0","Deterministic",0,-28276.5487229874
"sim-1121221206.msf.Rep1","Adaptive",0,-28279.9053613677
"sim-1121221206.msf.Rep1","Deterministic",0,-28280.0037999367
"sim-1121221206.msf.Rep2","Adaptive",0,-28278.7085544166
"sim-1121221206.msf.Rep2","Deterministic",0,-28279.2214775023
"sim-1121221206.msf.Rep0","Adaptive",0,-28279.2839438825
"sim-1121221206.msf.Rep0","Deterministic",0,-28281.4094185127
"sim-1121221206.msf.Rep1","Adaptive",0,-28280.4792133622
"sim-1121221206.msf.Rep1","Deterministic",0,-28279.0913902324
"sim-1121221206.msf.Rep2","Adaptive",0,-28279.2914840178
"sim-1121221206.msf.Rep2","Deterministic",0,-28278.6766290064
"sim-1121221206.msf.Rep3","Adaptive",0,-28279.3432907248
"sim-1121221206.msf.Rep3","Deterministic",0,-28279.6442184833
"sim-1121221206.msf.Rep0","Adaptive",0,-28280.2330605357
"sim-1121221206.msf.Rep0","Deterministic",0,-28279.0069311865
"sim-1121221206.msf.Rep1","Adaptive",0,-28280.4814192439
"sim-1121221206.msf.Rep1","Deterministic",0,-28276.1003100321
"sim-1121221206.msf.Rep2","Adaptive",0,-28278.8385115219
"sim-1121221206.msf.Rep2","Deterministic",0,-28278.2092883034
"sim-1121221206.msf.Rep0","Adaptive",0,-28279.8531929298
"sim-1121221206.msf.Rep0","Deterministic",0,-28280.8625132335
"sim-1121221206.msf.Rep1","Adaptive",0,-28278.7712048033
"sim-1121221206.msf.Rep1","Deterministic",0,-28281.4914648852
"sim-1121221206.msf.Rep2","Adaptive",0,-28278.5970423611
"sim-1121221206.msf.Rep2","Deterministic",0,-28280.0440746746
"sim-1121221206.msf.Rep0","Adaptive",0,-28278.8119673841
"sim-1121221206.msf.Rep0","Deterministic",0,-28280.3561704451
"sim-1121221206.msf.Rep1","Adaptive",0,-28278.6963381298
"sim-1121221206.msf.Rep1","Deterministic",0,-28279.1683989655
"sim-1121221206.msf.Rep2","Adaptive",0,-28281.1096103469
"sim-1121221206.msf.Rep2","Deterministic",0,-28279.9081940494
"sim-1121221206.msf.Rep0","Adaptive",0,-28279.5952622674
"sim-1121221206.msf.Rep0","Deterministic",0,-28279.2548308843
"sim-1121221206.msf.Rep1","Adaptive",0,-28280.0093671224
"sim-1121221206.msf.Rep1","Deterministic",0,-28279.7863533691
"sim-1121221206.msf.Rep0","Adaptive",0,-28279.5952622674
"sim-1121221206.msf.Rep0","Deterministic",0,-28279.2548308843
"sim-1121221206.msf.Rep1","Adaptive",0,-28280.0093671224
"sim-1121221206.msf.Rep1","Deterministic",0,-28279.7863533691
