"X.Method","Adaptive","AdaptiveType","T","IterScale","Repeat","Metric","Value","TreeName","Time"
"ANNEALING","true",0,17419,1000,0,"ConsensusLogLL",-28043.7920239522,"sim-1121221206.msf",20874911
"ANNEALING","true",0,17419,1000,0,"BestSampledLogLL",-28059.0260937463,"sim-1121221206.msf",20874911
"ANNEALING","true",0,17419,1000,0,"PartitionMetric",0,"sim-1121221206.msf",20874911
"ANNEALING","true",0,17419,1000,0,"RobinsonFouldsMetric",0.352934010982672,"sim-1121221206.msf",20874911
"ANNEALING","true",0,17419,1000,0,"KuhnerFelsenstein",0.00401666015029989,"sim-1121221206.msf",20874911
"ANNEALING","false",0,17419,1000,0,"ConsensusLogLL",-28043.8776976309,"sim-1121221206.msf",21050948
"ANNEALING","false",0,17419,1000,0,"BestSampledLogLL",-28059.3228511242,"sim-1121221206.msf",21050948
"ANNEALING","false",0,17419,1000,0,"PartitionMetric",0,"sim-1121221206.msf",21050948
"ANNEALING","false",0,17419,1000,0,"RobinsonFouldsMetric",0.354039995677078,"sim-1121221206.msf",21050948
"ANNEALING","false",0,17419,1000,0,"KuhnerFelsenstein",0.00437413198893912,"sim-1121221206.msf",21050948
"ANNEALING","true",0,17474,1000,1,"ConsensusLogLL",-28043.8841765994,"sim-1121221206.msf",20735465
"ANNEALING","true",0,17474,1000,1,"BestSampledLogLL",-28060.2033708286,"sim-1121221206.msf",20735465
"ANNEALING","true",0,17474,1000,1,"PartitionMetric",0,"sim-1121221206.msf",20735465
"ANNEALING","true",0,17474,1000,1,"RobinsonFouldsMetric",0.346052157667742,"sim-1121221206.msf",20735465
"ANNEALING","true",0,17474,1000,1,"KuhnerFelsenstein",0.00392748495837972,"sim-1121221206.msf",20735465
"ANNEALING","false",0,17474,1000,1,"ConsensusLogLL",-28043.9975842393,"sim-1121221206.msf",20909692
"ANNEALING","false",0,17474,1000,1,"BestSampledLogLL",-28061.4373254878,"sim-1121221206.msf",20909692
"ANNEALING","false",0,17474,1000,1,"PartitionMetric",0,"sim-1121221206.msf",20909692
"ANNEALING","false",0,17474,1000,1,"RobinsonFouldsMetric",0.35478164432491,"sim-1121221206.msf",20909692
"ANNEALING","false",0,17474,1000,1,"KuhnerFelsenstein",0.00422759025682558,"sim-1121221206.msf",20909692
"ANNEALING","true",0,17448,1000,2,"ConsensusLogLL",-28043.910780118,"sim-1121221206.msf",20276694
"ANNEALING","true",0,17448,1000,2,"BestSampledLogLL",-28061.9949114037,"sim-1121221206.msf",20276694
"ANNEALING","true",0,17448,1000,2,"PartitionMetric",0,"sim-1121221206.msf",20276694
"ANNEALING","true",0,17448,1000,2,"RobinsonFouldsMetric",0.337294010982672,"sim-1121221206.msf",20276694
"ANNEALING","true",0,17448,1000,2,"KuhnerFelsenstein",0.00384895222105573,"sim-1121221206.msf",20276694
"ANNEALING","false",0,17448,1000,2,"ConsensusLogLL",-28043.862279999,"sim-1121221206.msf",22542884
"ANNEALING","false",0,17448,1000,2,"BestSampledLogLL",-28056.968142979,"sim-1121221206.msf",22542884
"ANNEALING","false",0,17448,1000,2,"PartitionMetric",0,"sim-1121221206.msf",22542884
"ANNEALING","false",0,17448,1000,2,"RobinsonFouldsMetric",0.36664543254434,"sim-1121221206.msf",22542884
"ANNEALING","false",0,17448,1000,2,"KuhnerFelsenstein",0.00448760103584877,"sim-1121221206.msf",22542884
"ANNEALING","true",0,17377,1000,0,"ConsensusLogLL",-28043.9811840911,"sim-1121221206.msf",19223271
"ANNEALING","true",0,17377,1000,0,"BestSampledLogLL",-28061.5966076966,"sim-1121221206.msf",19223271
"ANNEALING","true",0,17377,1000,0,"PartitionMetric",0,"sim-1121221206.msf",19223271
"ANNEALING","true",0,17377,1000,0,"RobinsonFouldsMetric",0.355564919201508,"sim-1121221206.msf",19223271
"ANNEALING","true",0,17377,1000,0,"KuhnerFelsenstein",0.00443262414209128,"sim-1121221206.msf",19223271
"ANNEALING","false",0,17377,1000,0,"ConsensusLogLL",-28043.8125025242,"sim-1121221206.msf",19067767
"ANNEALING","false",0,17377,1000,0,"BestSampledLogLL",-28059.3453278705,"sim-1121221206.msf",19067767
"ANNEALING","false",0,17377,1000,0,"PartitionMetric",0,"sim-1121221206.msf",19067767
"ANNEALING","false",0,17377,1000,0,"RobinsonFouldsMetric",0.339789995677078,"sim-1121221206.msf",19067767
"ANNEALING","false",0,17377,1000,0,"KuhnerFelsenstein",0.0037129498399387,"sim-1121221206.msf",19067767
"ANNEALING","true",0,17354,1000,1,"ConsensusLogLL",-28043.9160807119,"sim-1121221206.msf",19047125
"ANNEALING","true",0,17354,1000,1,"BestSampledLogLL",-28059.4812742205,"sim-1121221206.msf",19047125
"ANNEALING","true",0,17354,1000,1,"PartitionMetric",0,"sim-1121221206.msf",19047125
"ANNEALING","true",0,17354,1000,1,"RobinsonFouldsMetric",0.348605659630505,"sim-1121221206.msf",19047125
"ANNEALING","true",0,17354,1000,1,"KuhnerFelsenstein",0.00411572197871466,"sim-1121221206.msf",19047125
"ANNEALING","false",0,17354,1000,1,"ConsensusLogLL",-28044.0895494914,"sim-1121221206.msf",19033915
"ANNEALING","false",0,17354,1000,1,"BestSampledLogLL",-28060.2120189654,"sim-1121221206.msf",19033915
"ANNEALING","false",0,17354,1000,1,"PartitionMetric",0,"sim-1121221206.msf",19033915
"ANNEALING","false",0,17354,1000,1,"RobinsonFouldsMetric",0.3559172384337,"sim-1121221206.msf",19033915
"ANNEALING","false",0,17354,1000,1,"KuhnerFelsenstein",0.00450170105760896,"sim-1121221206.msf",19033915
"ANNEALING","true",0,17304,1000,2,"ConsensusLogLL",-28043.8266152822,"sim-1121221206.msf",19061527
"ANNEALING","true",0,17304,1000,2,"BestSampledLogLL",-28057.7208324107,"sim-1121221206.msf",19061527
"ANNEALING","true",0,17304,1000,2,"PartitionMetric",0,"sim-1121221206.msf",19061527
"ANNEALING","true",0,17304,1000,2,"RobinsonFouldsMetric",0.343760519636761,"sim-1121221206.msf",19061527
"ANNEALING","true",0,17304,1000,2,"KuhnerFelsenstein",0.00399202210475768,"sim-1121221206.msf",19061527
"ANNEALING","false",0,17304,1000,2,"ConsensusLogLL",-28043.9169630459,"sim-1121221206.msf",19070001
