#Method,Adaptive,AdaptiveType,T,IterScale,Repeat,Metric,Value,TreeName,Time
ANNEALING,false,0,10000,100.0,0,ConsensusLogLL,-3114.297161970987,sim-837415749.msf,606674
ANNEALING,false,0,10000,100.0,0,BestSampledLogLL,-3119.8172381713966,sim-837415749.msf,606674
ANNEALING,false,0,10000,100.0,0,PartitionMetric,0.0,sim-837415749.msf,606674
ANNEALING,false,0,10000,100.0,0,RobinsonFouldsMetric,0.5471933024474498,sim-837415749.msf,606674
ANNEALING,false,0,10000,100.0,0,KuhnerFelsenstein,0.016084567934346577,sim-837415749.msf,606674
ANNEALING,false,0,10000,100.0,1,ConsensusLogLL,-3114.2992422525895,sim-837415749.msf,589892
ANNEALING,false,0,10000,100.0,1,BestSampledLogLL,-3121.695203148748,sim-837415749.msf,589892
ANNEALING,false,0,10000,100.0,1,PartitionMetric,0.0,sim-837415749.msf,589892
ANNEALING,false,0,10000,100.0,1,RobinsonFouldsMetric,0.5222006082781258,sim-837415749.msf,589892
ANNEALING,false,0,10000,100.0,1,KuhnerFelsenstein,0.015200407819969959,sim-837415749.msf,589892
ANNEALING,false,0,10000,100.0,2,ConsensusLogLL,-3114.1907596337423,sim-837415749.msf,557364
ANNEALING,false,0,10000,100.0,2,BestSampledLogLL,-3117.766717497234,sim-837415749.msf,557364
ANNEALING,false,0,10000,100.0,2,PartitionMetric,0.0,sim-837415749.msf,557364
ANNEALING,false,0,10000,100.0,2,RobinsonFouldsMetric,0.4982363044886731,sim-837415749.msf,557364
ANNEALING,false,0,10000,100.0,2,KuhnerFelsenstein,0.01326067850323275,sim-837415749.msf,557364
ANNEALING,false,0,10000,100.0,3,ConsensusLogLL,-3114.9997897243275,sim-837415749.msf,556407
ANNEALING,false,0,10000,100.0,3,BestSampledLogLL,-3122.524901085925,sim-837415749.msf,556407
ANNEALING,false,0,10000,100.0,3,PartitionMetric,0.0,sim-837415749.msf,556407
ANNEALING,false,0,10000,100.0,3,RobinsonFouldsMetric,0.4743706082781258,sim-837415749.msf,556407
ANNEALING,false,0,10000,100.0,3,KuhnerFelsenstein,0.012209015969223618,sim-837415749.msf,556407
ANNEALING,false,0,10000,100.0,4,ConsensusLogLL,-3114.3220745966473,sim-837415749.msf,554093
ANNEALING,false,0,10000,100.0,4,BestSampledLogLL,-3120.6520612710465,sim-837415749.msf,554093
ANNEALING,false,0,10000,100.0,4,PartitionMetric,0.0,sim-837415749.msf,554093
ANNEALING,false,0,10000,100.0,4,RobinsonFouldsMetric,0.525958728635362,sim-837415749.msf,554093
ANNEALING,false,0,10000,100.0,4,KuhnerFelsenstein,0.014311514428425069,sim-837415749.msf,554093
ANNEALING,false,0,10000,100.0,5,ConsensusLogLL,-3114.7902936555192,sim-837415749.msf,578576
ANNEALING,false,0,10000,100.0,5,BestSampledLogLL,-3120.904009996226,sim-837415749.msf,578576
ANNEALING,false,0,10000,100.0,5,PartitionMetric,0.0,sim-837415749.msf,578576
ANNEALING,false,0,10000,100.0,5,RobinsonFouldsMetric,0.5218925339301412,sim-837415749.msf,578576
ANNEALING,false,0,10000,100.0,5,KuhnerFelsenstein,0.014484578436552523,sim-837415749.msf,578576
ANNEALING,false,0,10000,100.0,6,ConsensusLogLL,-3114.7074206482575,sim-837415749.msf,555144
ANNEALING,false,0,10000,100.0,6,BestSampledLogLL,-3121.4055497652917,sim-837415749.msf,555144
ANNEALING,false,0,10000,100.0,6,PartitionMetric,0.0,sim-837415749.msf,555144
ANNEALING,false,0,10000,100.0,6,RobinsonFouldsMetric,0.46777872863536196,sim-837415749.msf,555144
ANNEALING,false,0,10000,100.0,6,KuhnerFelsenstein,0.012117952588772081,sim-837415749.msf,555144
ANNEALING,false,0,10000,100.0,7,ConsensusLogLL,-3114.311658394081,sim-837415749.msf,560199
ANNEALING,false,0,10000,100.0,7,BestSampledLogLL,-3119.2821097539154,sim-837415749.msf,560199
ANNEALING,false,0,10000,100.0,7,PartitionMetric,0.0,sim-837415749.msf,560199
ANNEALING,false,0,10000,100.0,7,RobinsonFouldsMetric,0.5186125339301414,sim-837415749.msf,560199
ANNEALING,false,0,10000,100.0,7,KuhnerFelsenstein,0.014619450482402364,sim-837415749.msf,560199
ANNEALING,false,0,10000,100.0,8,ConsensusLogLL,-3114.1592919248205,sim-837415749.msf,555422
ANNEALING,false,0,10000,100.0,8,BestSampledLogLL,-3120.794722916733,sim-837415749.msf,555422
ANNEALING,false,0,10000,100.0,8,PartitionMetric,0.0,sim-837415749.msf,555422
ANNEALING,false,0,10000,100.0,8,RobinsonFouldsMetric,0.5229006082781256,sim-837415749.msf,555422
ANNEALING,false,0,10000,100.0,8,KuhnerFelsenstein,0.015259745892659469,sim-837415749.msf,555422
ANNEALING,false,0,10000,100.0,9,ConsensusLogLL,-3114.6928451566155,sim-837415749.msf,555824
ANNEALING,false,0,10000,100.0,9,BestSampledLogLL,-3119.216371172346,sim-837415749.msf,555824
ANNEALING,false,0,10000,100.0,9,PartitionMetric,0.0,sim-837415749.msf,555824
ANNEALING,false,0,10000,100.0,9,RobinsonFouldsMetric,0.49066872863536193,sim-837415749.msf,555824
ANNEALING,false,0,10000,100.0,9,KuhnerFelsenstein,0.013143635236967242,sim-837415749.msf,555824
