#treeName,Method,NumericalLogZ,logZ
sim-837415749.msf.Rep0,Deterministic,0.0,-3193.882740173799
sim-837415749.msf.Rep1,Deterministic,0.0,-3191.173962188966
sim-837415749.msf.Rep2,Deterministic,0.0,-3192.36336037206
sim-837415749.msf.Rep3,Deterministic,0.0,-3192.2980427267075
sim-837415749.msf.Rep4,Deterministic,0.0,-3192.680026919101
sim-837415749.msf.Rep5,Deterministic,0.0,-3192.7093880179846
sim-837415749.msf.Rep6,Deterministic,0.0,-3191.281081309338
sim-837415749.msf.Rep7,Deterministic,0.0,-3191.954784824495
sim-837415749.msf.Rep8,Deterministic,0.0,-3193.9812173670794
sim-837415749.msf.Rep9,Deterministic,0.0,-3193.4705241406227
