#Method,Adaptive,AdaptiveType,T,IterScale,Repeat,Metric,Value,TreeName,Time
ANNEALING,true,0,19795,37.0,0,ConsensusLogLL,-1306.3095905476607,sim--2142322983.msf,496645
ANNEALING,true,0,19795,37.0,0,BestSampledLogLL,-1308.7461460652592,sim--2142322983.msf,496645
ANNEALING,true,0,19795,37.0,0,PartitionMetric,4.0,sim--2142322983.msf,496645
ANNEALING,true,0,19795,37.0,0,RobinsonFouldsMetric,0.21237853922240418,sim--2142322983.msf,496645
ANNEALING,true,0,19795,37.0,0,KuhnerFelsenstein,0.004097036911201128,sim--2142322983.msf,496645
ANNEALING,true,0,20059,37.0,1,ConsensusLogLL,-1304.6439924773267,sim--2142322983.msf,321518
ANNEALING,true,0,20059,37.0,1,BestSampledLogLL,-1306.1574288171396,sim--2142322983.msf,321518
ANNEALING,true,0,20059,37.0,1,PartitionMetric,4.0,sim--2142322983.msf,321518
ANNEALING,true,0,20059,37.0,1,RobinsonFouldsMetric,0.2132556482550586,sim--2142322983.msf,321518
ANNEALING,true,0,20059,37.0,1,KuhnerFelsenstein,0.003508160870057495,sim--2142322983.msf,321518
ANNEALING,true,0,19636,37.0,2,ConsensusLogLL,-1304.266864448442,sim--2142322983.msf,296440
ANNEALING,true,0,19636,37.0,2,BestSampledLogLL,-1304.2405142231046,sim--2142322983.msf,296440
ANNEALING,true,0,19636,37.0,2,PartitionMetric,4.0,sim--2142322983.msf,296440
ANNEALING,true,0,19636,37.0,2,RobinsonFouldsMetric,0.1939826395285314,sim--2142322983.msf,296440
ANNEALING,true,0,19636,37.0,2,KuhnerFelsenstein,0.0029629370901131757,sim--2142322983.msf,296440
ANNEALING,true,0,19515,37.0,3,ConsensusLogLL,-1305.1087925723623,sim--2142322983.msf,306260
ANNEALING,true,0,19515,37.0,3,BestSampledLogLL,-1304.2870176437468,sim--2142322983.msf,306260
ANNEALING,true,0,19515,37.0,3,PartitionMetric,4.0,sim--2142322983.msf,306260
ANNEALING,true,0,19515,37.0,3,RobinsonFouldsMetric,0.2243905762906126,sim--2142322983.msf,306260
ANNEALING,true,0,19515,37.0,3,KuhnerFelsenstein,0.003583702377591762,sim--2142322983.msf,306260
ANNEALING,true,0,19959,37.0,4,ConsensusLogLL,-1302.8900426932698,sim--2142322983.msf,303608
ANNEALING,true,0,19959,37.0,4,BestSampledLogLL,-1304.6345194890175,sim--2142322983.msf,303608
ANNEALING,true,0,19959,37.0,4,PartitionMetric,4.0,sim--2142322983.msf,303608
ANNEALING,true,0,19959,37.0,4,RobinsonFouldsMetric,0.217111062119772,sim--2142322983.msf,303608
ANNEALING,true,0,19959,37.0,4,KuhnerFelsenstein,0.003551541596664233,sim--2142322983.msf,303608
ANNEALING,true,0,19491,37.0,5,ConsensusLogLL,-1306.4742840147733,sim--2142322983.msf,306745
ANNEALING,true,0,19491,37.0,5,BestSampledLogLL,-1304.0480801461438,sim--2142322983.msf,306745
ANNEALING,true,0,19491,37.0,5,PartitionMetric,4.0,sim--2142322983.msf,306745
ANNEALING,true,0,19491,37.0,5,RobinsonFouldsMetric,0.21511805339324486,sim--2142322983.msf,306745
ANNEALING,true,0,19491,37.0,5,KuhnerFelsenstein,0.0036311261851041093,sim--2142322983.msf,306745
ANNEALING,true,0,20111,37.0,6,ConsensusLogLL,-1305.517755800916,sim--2142322983.msf,302489
ANNEALING,true,0,20111,37.0,6,BestSampledLogLL,-1306.8308360970166,sim--2142322983.msf,302489
ANNEALING,true,0,20111,37.0,6,PartitionMetric,4.0,sim--2142322983.msf,302489
ANNEALING,true,0,20111,37.0,6,RobinsonFouldsMetric,0.2028985392224042,sim--2142322983.msf,302489
ANNEALING,true,0,20111,37.0,6,KuhnerFelsenstein,0.0034615286291535844,sim--2142322983.msf,302489
ANNEALING,true,0,20039,37.0,7,ConsensusLogLL,-1304.0291741536173,sim--2142322983.msf,304046
ANNEALING,true,0,20039,37.0,7,BestSampledLogLL,-1305.0585319524941,sim--2142322983.msf,304046
ANNEALING,true,0,20039,37.0,7,PartitionMetric,4.0,sim--2142322983.msf,304046
ANNEALING,true,0,20039,37.0,7,RobinsonFouldsMetric,0.2082971704495818,sim--2142322983.msf,304046
ANNEALING,true,0,20039,37.0,7,KuhnerFelsenstein,0.0029924971318330685,sim--2142322983.msf,304046
ANNEALING,true,0,19707,37.0,8,ConsensusLogLL,-1304.5772836869878,sim--2142322983.msf,309830
ANNEALING,true,0,19707,37.0,8,BestSampledLogLL,-1305.2122733332412,sim--2142322983.msf,309830
ANNEALING,true,0,19707,37.0,8,PartitionMetric,4.0,sim--2142322983.msf,309830
ANNEALING,true,0,19707,37.0,8,RobinsonFouldsMetric,0.2086085392224042,sim--2142322983.msf,309830
ANNEALING,true,0,19707,37.0,8,KuhnerFelsenstein,0.003160409428117634,sim--2142322983.msf,309830
ANNEALING,true,0,19376,37.0,9,ConsensusLogLL,-1305.9552851807327,sim--2142322983.msf,345108
ANNEALING,true,0,19376,37.0,9,BestSampledLogLL,-1305.706993521293,sim--2142322983.msf,345108
ANNEALING,true,0,19376,37.0,9,PartitionMetric,4.0,sim--2142322983.msf,345108
ANNEALING,true,0,19376,37.0,9,RobinsonFouldsMetric,0.20191898698326408,sim--2142322983.msf,345108
ANNEALING,true,0,19376,37.0,9,KuhnerFelsenstein,0.003180184160193922,sim--2142322983.msf,345108
