#treeName,Method,NumericalLogZ,logZ
sim--2142322983.msf.Rep0,Adaptive,0.0,-1388.7345293636886
sim--2142322983.msf.Rep1,Adaptive,0.0,-1388.9317292311557
sim--2142322983.msf.Rep2,Adaptive,0.0,-1388.0280805289167
sim--2142322983.msf.Rep3,Adaptive,0.0,-1387.5857954685528
sim--2142322983.msf.Rep4,Adaptive,0.0,-1388.571954145051
sim--2142322983.msf.Rep5,Adaptive,0.0,-1388.1788926557667
sim--2142322983.msf.Rep6,Adaptive,0.0,-1388.0922467836695
sim--2142322983.msf.Rep7,Adaptive,0.0,-1389.1988241483602
sim--2142322983.msf.Rep8,Adaptive,0.0,-1387.3705293602159
sim--2142322983.msf.Rep9,Adaptive,0.0,-1387.5478382924387
