#Method,Adaptive,AdaptiveType,T,IterScale,Repeat,Metric,Value,TreeName,Time
ANNEALING,true,0,54876,100.0,0,ConsensusLogLL,-72787.98627544877,sim-1121221206.msf,41621362
ANNEALING,true,0,54876,100.0,0,BestSampledLogLL,-72826.16974364169,sim-1121221206.msf,41621362
ANNEALING,true,0,54876,100.0,0,PartitionMetric,0.0,sim-1121221206.msf,41621362
ANNEALING,true,0,54876,100.0,0,RobinsonFouldsMetric,0.7062293022505886,sim-1121221206.msf,41621362
ANNEALING,true,0,54876,100.0,0,KuhnerFelsenstein,0.00990166642698856,sim-1121221206.msf,41621362
ANNEALING,false,0,54876,100.0,0,ConsensusLogLL,-72788.6934581006,sim-1121221206.msf,40312996
ANNEALING,false,0,54876,100.0,0,BestSampledLogLL,-72822.52856733522,sim-1121221206.msf,40312996
ANNEALING,false,0,54876,100.0,0,PartitionMetric,0.0,sim-1121221206.msf,40312996
ANNEALING,false,0,54876,100.0,0,RobinsonFouldsMetric,0.7914368513822265,sim-1121221206.msf,40312996
ANNEALING,false,0,54876,100.0,0,KuhnerFelsenstein,0.012648956869767181,sim-1121221206.msf,40312996
MCMC2,,,,5487600.0,0,ConsensusLogLL,-72784.86000117149,sim-1121221206.msf,85087364
MCMC2,,,,5487600.0,0,BestSampledLogLL,-Infinity,sim-1121221206.msf,85087364
MCMC2,,,,5487600.0,0,PartitionMetric,0.0,sim-1121221206.msf,85087364
MCMC2,,,,5487600.0,0,RobinsonFouldsMetric,0.7364362885052873,sim-1121221206.msf,85087364
MCMC2,,,,5487600.0,0,KuhnerFelsenstein,0.01065648829139581,sim-1121221206.msf,85087364
